id,full_text,retweet_count,favorite_count,created_at
953345524782043137,"Nicole Bouchard is the new Regional Director, #Ecosystems Management, at Fisheries and Oceans Canada, Quebec Region. She works at the Maurice Lamontagne Institute in Mont Joli. https://t.co/uN5omNIPqH https://t.co/iZjDaoGuoB",0,1,2018-01-16 19:17:40
953336568810524673,RT @DFO_Science: How fast do whales swim? How deep do they dive? We use satellite recorders to find out! 🐳 🛰️ https://t.co/xRIFbq04sJ https…,4,0,2018-01-16 18:42:04
952969011951792131,"A science mission showed areas of the Gulf of St. Lawrence that had previously been explored only little or not at all through imagery. Using ROPOS, Canadian remote-controlled robot, the mission brought back previously unseen images and precious samples. https://t.co/pXcUatZgYK https://t.co/MTxCV4wCs4",3,5,2018-01-15 18:21:32
952927835232047105,RT @DFO_Science: It’s the last day to nominate an outstanding hydrographer in your life for the Massey Medal 🏅 https://t.co/1RvnPMgfR1 http…,2,0,2018-01-15 15:37:55
952584606414528512,RT @CCG_GCC: You can help be the eyes and ears of the Coast Guard. Report a navigation hazard in your area here: https://t.co/Q2fiYUSPWJ ht…,10,0,2018-01-14 16:54:02
952253753071165441,RT @CCG_GCC: Follow along as the CCGS Henry Larsen provides an ice escort for both a ferry and a cargo ship through thick #Canadian ice. ht…,11,0,2018-01-13 18:59:21
951913384236277760,Use of electronic logbooks on commercial #fishing vessels will gradually become mandatory. https://t.co/90I7jYq7vY https://t.co/boLYyzuNut,0,0,2018-01-12 20:26:51
951886649595760642,"#SaguenayFjord winter recreational groundfish fishery season, commonly known as #icefishing, opens tomorrow, January 13. It will end on March 4, 2018, at midnight. To learn more and make the most of it: https://t.co/zPYMOhPSPQ https://t.co/UKNVAIu5XB",0,0,2018-01-12 18:40:37
951862214511747073,"RT @CCG_GCC: #TBT to when one of our own, Sebastian Taborszky received the Star of Courage. #GGBravery #CCGProud https://t.co/sLxdCNr0ZV",6,0,2018-01-12 17:03:31
951576865076056064,RT @DFO_MPO: We continue to work with our partners to be ready for #RightWhales potentially returning to the area this spring https://t.co/…,7,0,2018-01-11 22:09:38
951572904428425216,RT @NewsroomGC: .@Transport_gc lifts temporary speed restriction in the Gulf of St. Lawrence https://t.co/TqLh9WZqPH,14,0,2018-01-11 21:53:54
951543214615474176,"Since the summer of 2016, our biologists have been conducting visits of artificial reefs developed for #lobster and other species in the Estuary and the Gulf of St. Lawrence. They want to verify the effectiveness and sustainability of these enhancements. https://t.co/a1pPfDFw9N https://t.co/QZXed0u6qq",0,0,2018-01-11 19:55:55
951495537269858304,"February 15, 2018, is the deadline for submitting financial assistance applications to the Small Craft Harbours Abandoned and Wrecked Vessels Removal Program for 2018–2019. #OceansProtectionPlan https://t.co/koUGrS8pJy https://t.co/rStjbbbVbE",0,0,2018-01-11 16:46:28
951217504004792320,Fish nurseries in the St. Lawrence Estuary are not permanent. The abundance of larvae growing there is linked to the river floods that flow into the river and is therefore at the mercy of local climatic variations. https://t.co/5M0UPlaPXD https://t.co/roTTlGjVnU,0,0,2018-01-10 22:21:40
950794875158573056,RT @NewsroomGC: #Icebreaking + vessel escort: Stay off the ice when a #CCG icebreaker is around @ secpubliqueqc https://t.co/clInCiZviH,6,0,2018-01-09 18:22:17
950781445588516864,RT @CCG_GCC: Contribute to the protection of our waters by reporting marine pollution incidents: https://t.co/GQ30LTKEio https://t.co/DqIc2…,10,0,2018-01-09 17:28:55
950427958480719872,RT @DFO_Science: Find out how small capelin play a big role in the health of #Atlantic marine ecosystems https://t.co/al28AoHmi5 https://t.…,23,0,2018-01-08 18:04:18
950411994645041152,RT @CCG_GCC: Need information on #icebreaking services in your area? All you need to know here: https://t.co/tHXELM0N2A #StaySafe https://t…,18,0,2018-01-08 17:00:51
949754371365105664,RT @CCG_GCC: We are recruiting Health Officers. Are you an experienced nurse in isolated post/extended role of nursing? Are you looking for…,13,0,2018-01-06 21:27:42
949364116866719746,RT @jobs_gc: Are you an Inuit student? Then you may be interested in summer employment with @CCG_GCC as a Maritime Search and Rescue Crew M…,8,0,2018-01-05 19:36:58
949043492562571264,"RT @DFO_MPO: Sea turtles are amazing creatures, but unlike their land-based cousins, they cannot pull their limbs inside their shell. https…",12,0,2018-01-04 22:22:55
948648371883008001,RT @CCG_GCC: Are you a student with a strong interest in boating activities? We are #hiring student Inshore Rescue Boat Crew. For more info…,31,0,2018-01-03 20:12:51
947233894457315333,RT @DFO_Science: Argo is an international #ocean monitoring system. Discover how our role in it helps us learn more about #OurOceans https:…,35,0,2017-12-30 22:32:13
947147300597616640,RT @NewsroomGC: .@Transport_gc: Additional fine issued for violation of the speed restriction in the Gulf of St. Lawrence https://t.co/QkYp…,6,0,2017-12-30 16:48:08
946827514910998529,RT @CCG_GCC: Learn more about how we’re increasing our #icebreaking capability to deliver critical services on Canada’s waterways. For more…,6,0,2017-12-29 19:37:25
946779913775931392,RT @DFO_MPO: Our Canadian oceans are beautiful because of the variety of life within them. https://t.co/RgPCQaRUZy #Top5 #BestOf2017 https:…,12,0,2017-12-29 16:28:16
945728423481237511,"RT @CCG_GCC: The red and white ships of the Canadian Coast Guard are a visible symbol of our identity, and have been familiar and comfortin…",12,0,2017-12-26 18:50:01
945415050088640513,RT @DFO_MPO: https://t.co/pbywYbj55x,38,0,2017-12-25 22:04:47
945365114257137664,RT @CCG_GCC: Our personnel work 24/7/365 - keeping our waters safe. Happy Holidays to our crews and personel on and off duty. Thank you for…,37,0,2017-12-25 18:46:21
944728622539202561,"2/2 These fellows delivered warm clothes, sleeping bags, blankets and books to the @gilleskegle Foundation. As the holiday season approaches, the Central and Arctic Region–St. Lawrence Sector’s initiative touched the heart of the humanist, Order of Canada’s member. #CCGProud",1,3,2017-12-24 00:37:10
944728353814269952,"1/2 At CCG, we save lives and we give back to our community. Recently, Gerry Lavoie (left behind) and Pierre-Loup Boudreault (right behind) lent a helping hand to Denise St-Amant in her generous efforts that support the @gilleskegle Foundation. #CCGProud https://t.co/PiaVXCLNU3",1,3,2017-12-24 00:36:06
944301478960861184,RT @CCG_GCC: Seasonal CCG Atlantic Region #Searchandrescue stations in the Gulf of St. Lawrence are closed for the season. Vessels from sea…,13,0,2017-12-22 20:19:51
943977088117297152,Infoceans: the December 2017-January 2018 issue of our bulletin is now online! Check it out! https://t.co/fg3TRC3USm https://t.co/WNVa2U28IN,0,0,2017-12-21 22:50:50
943958527785259012,RT @NewsroomGC: New convictions under the Fisheries Act for the Magdalen Islands https://t.co/7C6EbpVxaS,3,0,2017-12-21 21:37:05
943958513683922956,RT @NewsroomGC: New convictions under the Fisheries Act for the North Shore https://t.co/MejhR9iIOX,3,0,2017-12-21 21:37:02
943628671604154368,RT @NewsroomGC: Seasonal Closure of #CCG Inshore Rescue Boat Stations in Québec https://t.co/ZlfmAqF1xM,3,0,2017-12-20 23:46:21
943627405931040768,RT @Transport_gc: Want an #AbandonedBoat removed from your local waterway? Apply for funding here https://t.co/vzMC5rB2mf #OurCoasts https:…,7,0,2017-12-20 23:41:19
