,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_comments,num_shares,num_likes,Reactions_SUM,category,matched_keywords,language,average_sentiment_score,sentiment,account_name
37904,1,2017-08-06_14-44-10,2017-08-06 14:44:10,https://instagram.fyvr3-1.fna.fbcdn.net/vp/577a5a5affea094b48725ef2c4459391/5AD95516/t51.2885-15/e35/20686915_160552274511372_4394924160074121216_n.jpg,"If you’re looking for a magical place to walk off into the sunset, this boardwalk in Gros Morne National Park is where your dreams can come true! Whether you’re looking for a dreamy, romantic sunset, or an invigorating outdoor adventure, a trip to Gros Morne is exactly what you’re looking for! by ",looking magical place walk sunset boardwalk Gros Morne National Park dreams come true Whether looking dreamy romantic sunset invigorating outdoor adventure trip Gros Morne exactly looking tomcochrane GrosMorne GrosMorneNP NL Newfoundland coastal Liveyouradventure Instatravel Vacation Sunset TravelGram Travel LiveOutdoors Instago Wanderlust Wanderer Travelphotography ILoveTravel Trip Vacay TravelTheWorld ParksCanada Canada150 Bucketlist DestinationCanada Dreamy,"[""grosmorne"",""grosmornenp"",""nl"",""newfoundland"",""coastal"",""liveyouradventure"",""instatravel"",""vacation"",""sunset"",""travelgram"",""travel"",""liveoutdoors"",""instago"",""wanderlust"",""wanderer"",""travelphotography"",""ilovetravel"",""trip"",""vacay"",""traveltheworld"",""parkscanada"",""canada150"",""bucketlist"",""destinationcanada"",""dreamy""]",235.0,,7068,7303,Social,"['sunset', 'park', 'sunset', 'adventure']",en,0.3669220547295644,positive,parks.canada_instagram
21447,0,899647862002339840,2017-08-21 15:02:19,['https://t.co/c\xe2\x80\xa6'],"RT @NASA: Experience #Eclipse2017 with us! We’ll have live coverage of unique views, NASA experts + more from noon – 4pm ET: https://t.co/c…",RT NASA Experience Eclipse2017 us live coverage unique views NASA experts noon 4pm ET https co,['#Eclipse2017'],,4639.0,0,4639,Environmental,['#eclipse2017'],fr,0.3371212121212121,Positive,ec_minister_tweeter
27869,0,899648169008664576,2017-08-21 15:03:32,['https://t.co/c\xe2\x80\xa6'],"RT @NASA: Experience #Eclipse2017 with us! We’ll have live coverage of unique views, NASA experts + more from noon – 4pm ET: https://t.co/c…",RT NASA Experience Eclipse2017 us live coverage unique views NASA experts noon 4pm ET https co,['#Eclipse2017'],,4639.0,0,4639,Environmental,['#eclipse2017'],fr,0.3371212121212121,Positive,environmentca_tweeter
37935,32,2017-08-03_16-36-46,2017-08-03 16:36:46,https://instagram.fyvr3-1.fna.fbcdn.net/vp/30387811ac4f730100290f1427634791/5AE4E292/t51.2885-15/e35/20482194_126075331344682_2580486410943332352_n.jpg,"Looking to fall in love with the Canadian Rockies, with a little less hustle and bustle? We’ll let you in on a little secret… It’s called Yoho National Park! With its peaks soaring above ,000 metres, numerous waterfalls, and world-renowned fossil beds it is no surprise Yoho was named for a Cree eression meaning “awe and wonder.” by ",Looking fall love Canadian Rockies little less hustle bustle let little called Yoho National Park 28 peaks soaring 000 metres numerous waterfalls world renowned fossil beds surprise Yoho named Cree expression meaning awe wonder jeremyklager Yoho YohoNationalPark MountainParks Climbers Nature Liveyouradventure Instatravel Vacation Sunset TravelGram Travel LiveOutdoors Instago Wanderlust Wanderer Travelphotography ILoveTravel Trip Vacay TravelTheWorld ParksCanada Canada150 Bucketlist DestinationCanada Dreamy,"[""yoho"",""yohonationalpark"",""mountainparks"",""climbers"",""nature"",""liveyouradventure"",""instatravel"",""vacation"",""sunset"",""travelgram"",""travel"",""liveoutdoors"",""instago"",""wanderlust"",""wanderer"",""travelphotography"",""ilovetravel"",""trip"",""vacay"",""traveltheworld"",""parkscanada"",""canada150"",""bucketlist"",""destinationcanada"",""dreamy""]",41.0,,4398,4439,Social,"['canadian', 'fossil']",en,0.26362212059620593,positive,parks.canada_instagram
37936,33,2017-08-02_16-20-15,2017-08-02 16:20:15,https://instagram.fyvr3-1.fna.fbcdn.net/vp/9ca2019dfc54946f41b8bc39c80db737/5ADB5022/t51.2885-15/e35/20589556_1957195427855158_8439750284422414336_n.jpg,"Looking for a dramatic sunset and a magical sunrise? Then pack your bags and plan a trip to Terra Nova National Park in Newfoundland and Labrador! It’s a magical place where the land and sea compete for your attention, where the island boreal forest reveals its natural and cultural secrets as you hike a trail and where you can eerience an evening of theatre under the stars. This place is ready for your next adventure-make it your own! by ",Looking dramatic sunset magical sunrise pack bags plan trip Terra Nova National Park Newfoundland Labrador magical place land sea compete attention island boreal forest reveals natural cultural secrets hike trail experience evening theatre stars place ready next adventure make TerraNova TerraNovaNP NL Newfoundland Liveyouradventure Instatravel Vacation Sunset TravelGram Travel LiveOutdoors Instago Wanderlust Wanderer Travelphotography ILoveTravel Trip Vacay TravelTheWorld ParksCanada Canada150 Bucketlist DestinationCanada Dreamy,"[""terranova"",""terranovanp"",""nl"",""newfoundland"",""liveyouradventure"",""instatravel"",""vacation"",""sunset"",""travelgram"",""travel"",""liveoutdoors"",""instago"",""wanderlust"",""wanderer"",""travelphotography"",""ilovetravel"",""trip"",""vacay"",""traveltheworld"",""parkscanada"",""canada150"",""bucketlist"",""destinationcanada"",""dreamy""]",36.0,,4383,4419,Environmental,"['sunset', 'sunrise', 'park', 'land', 'sea', 'forest', 'natural']",en,0.3696527777777778,positive,parks.canada_instagram
37940,37,2017-08-13_16-19-36,2017-08-13 16:19:36,https://instagram.fyvr3-1.fna.fbcdn.net/vp/e457ba5c38ff7b219413241b6b085d35/5ADFB009/t51.2885-15/e35/20838854_1986233024735768_4348716522491871232_n.jpg,Love Northern Canada? ️ Stay tuned tomorrow for a super exciting arctic announcement… : Torngat Mountains National Park : ..... ,Love Northern Canada Stay tuned tomorrow super exciting arctic Torngat Mountains National Park finktravels TorngatMountains mountains glacier torngat newfoundlandandlabrador newfoundland eastcoast ParksCanada Canada150 Liveyouradventure Instatravel Vacation TravelGram Travel LiveOutdoors Instago Wanderlust Wanderer Travelphotography ILoveTravel Trip Vacay TravelTheWorld ParksCanada Canada150 Bucketlist,"[""torngatmountains"",""mountains"",""glacier"",""torngat"",""newfoundlandandlabrador"",""newfoundland"",""eastcoast"",""parkscanada"",""canada150"",""liveyouradventure"",""instatravel"",""vacation"",""travelgram"",""travel"",""liveoutdoors"",""instago"",""wanderlust"",""wanderer"",""travelphotography"",""ilovetravel"",""trip"",""vacay"",""traveltheworld"",""parkscanada"",""canada150"",""bucketlist""]",27.0,,4311,4338,Economical,"['northern', 'arctic', 'arctic', 'park']",en,0.3030162738496072,positive,parks.canada_instagram
37964,61,2017-08-18_18-09-21,2017-08-18 18:09:21,https://instagram.fyvr3-1.fna.fbcdn.net/vp/4fd32830c472169f62b44ee802b864a7/5AF49E90/t51.2885-15/e35/20901938_1110721475726984_3060978549969125376_n.jpg,The early bird catches the worm… or at least catches the phenomenal sunrise view at Yoho National Park. Talk about a golden hour!: ,early bird catches least catches phenomenal sunrise view Yoho National Park Talk golden hour mmguri Yoho YohoNationalPark MountainParks Climbers Nature Liveyouradventure Instatravel Vacation Sunset TravelGram Travel LiveOutdoors Instago Wanderlust Wanderer Travelphotography ILoveTravel Trip Vacay TravelTheWorld ParksCanada Canada150 Bucketlist DestinationCanada Dreamy,"[""yoho"",""yohonationalpark"",""mountainparks"",""climbers"",""nature"",""liveyouradventure"",""instatravel"",""vacation"",""sunset"",""travelgram"",""travel"",""liveoutdoors"",""instago"",""wanderlust"",""wanderer"",""travelphotography"",""ilovetravel"",""trip"",""vacay"",""traveltheworld"",""parkscanada"",""canada150"",""bucketlist"",""destinationcanada"",""dreamy""]",21.0,,3999,4020,Environmental,"['bird', 'sunrise', 'park']",en,0.4211706349206349,positive,parks.canada_instagram
37966,63,2017-08-22_15-48-42,2017-08-22 15:48:42,https://instagram.fyvr3-1.fna.fbcdn.net/vp/7c5c4847720577a9e10f1099ad3c16fb/5ADB6E82/t51.2885-15/e35/21042218_1716626578633794_330264581127536640_n.jpg,"Canoe country is calling your name. Paddle leisurely along some of La Mauricie National Park's most breathtaking lakes. Eerience the vibrant colours and stunning views for yourself, on the water! : .....",Canoe country calling name Paddle leisurely along La Mauricie National Park breathtaking lakes Experience vibrant colours stunning views water MauricieNP mauricie parkscanada natureaddicts exploreeverything explorecanada explorequebec landscape wildernessculture enjoycanada findyourselfoutside outbackcollective freshairandfreedom exploreQuebec Canada150 quebec,"[""mauricienp"",""mauricie"",""parkscanada"",""natureaddicts"",""exploreeverything"",""landscape_capture"",""instanature_canada"",""explorecanada"",""explorequebec"",""landscape"",""wildernessculture"",""enjoycanada"",""findyourselfoutside"",""outbackcollective"",""freshairandfreedom"",""explorequebec"",""canada150"",""quebec""]",15.0,,3940,3955,Environmental,['lake'],en,0.5025,positive,parks.canada_instagram
37978,75,2017-08-15_16-48-56,2017-08-15 16:48:56,https://instagram.fyvr3-1.fna.fbcdn.net/vp/f7b0a6cce54cb0cdefb307b81a45e53b/5ADBF3BF/t51.2885-15/e35/20836854_760665514121888_4889260653732167680_n.jpg,Make a wish! Your dreams of coming to this beautiful park may just come true… : Waterton Lakes National Park : .ca . . . . .,Make wish dreams coming beautiful park may come Waterton Lakes National Park schoolpost ca watertonlakes waterton watertonlakesnp alberta explorealberta wildernessculture explorecanada canada150 travelawesome roadtrip outdooradventurephotos outdoorstyle adventureisoutthere adventureawaits getoutside keepitwild neverstopexploring mountainadventures mindthemountains,"[""watertonlakes"",""waterton"",""watertonlakesnp"",""alberta"",""explorealberta"",""wildernessculture"",""explorecanada"",""canada150"",""travelawesome"",""roadtrip"",""outdooradventurephotos"",""outdoorstyle"",""adventureisoutthere"",""adventureawaits"",""getoutside"",""keepitwild"",""neverstopexploring"",""mountainadventures"",""mindthemountains""]",30.0,,3711,3741,Environmental,"['park', 'park']",en,0.2008943965517241,positive,parks.canada_instagram
37983,80,2017-08-31_18-06-46,2017-08-31 18:06:46,https://instagram.fyvr3-1.fna.fbcdn.net/vp/d1d56de303c99930db7a91e65e745b5f/5AFCCE47/t51.2885-15/e35/21149274_363516850748636_6577166737882480640_n.jpg,"The grass is always greener… in Glacier National Park! Spend a day here among the alpine scenery, deep valleys and ancient history to gain an appreciation for the true beauty of nature! : ..... ",grass always Glacier National Park Spend day among alpine scenery deep valleys ancient history gain appreciation true beauty nature Salyninaturalimages glacier glaciernationalpark glaciernp explorebc bc beautifulbc hellobc tourismbc travelbc britishcolumbia beautifulbritishcolumbia nationalpark park canada parkscanada exploreCanada ohcanada enjoycanada tourcanada instatravel travelgram tourism instago wanderlust ilovetravel getoutside travel rockymountain travelphotography,"[""glacier"",""glaciernationalpark"",""glaciernp"",""explorebc"",""bc"",""beautifulbc"",""hellobc"",""tourismbc"",""travelbc"",""britishcolumbia"",""beautifulbritishcolumbia"",""nationalpark"",""park"",""canada"",""parkscanada"",""explorecanada"",""ohcanada"",""enjoycanada"",""tourcanada"",""instatravel"",""travelgram"",""tourism"",""instago"",""wanderlust"",""ilovetravel"",""getoutside"",""travel"",""rockymountain"",""travelphotography""]",16.0,,3617,3633,Social,['history'],en,0.4592092803030303,positive,parks.canada_instagram
