,id,date_published,link,caption_original,caption_cleaned,hashtags,category,Reactions_SUM,average_sentiment_score,language,account_name,words_matched_list,sentiment
0,377625007887_10155816151902888,2017-10-25 19:00:37,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10151491514147888.1073741825.377625007887/10155816151902888/?type=3,Rappel : Camions Ford. De l’eau pourrait s’infiltrer par le verrou et faire ouvrir la portière pendant que le véhicule est en mouvement. http://ow.ly/NlbW30g7sKg,Rappel : Camions Ford. De l’eau pourrait s’infiltrer par le verrou et faire ouvrir la portière pendant que le véhicule est en mouvement.,[],Environmental,2467,0.03480791779336053,fr,TransportsetInfrastructureauCanada_facebook,"['eau', 'or', 'air']",positive
1,377625007887_10154161941817888,2016-04-26 19:00:41,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10151491514147888.1073741825.377625007887/10154161941817888/?type=3,Avis aux consommateurs : La vis de fixation du mécanisme de réglage avant central pour certains sièges d’auto Evenflo 2013-2015 pourrait devoir être remplacée. http://www.tc.gc.ca/c3gby,Avis aux consommateurs : La vis de fixation du mécanisme de réglage avant central pour certains sièges d’auto Evenflo -2015 pourrait devoir être remplacée.,[],Social,2296,0.0,fr,TransportsetInfrastructureauCanada_facebook,[],neutral
2,377625007887_10155965912767888,2017-12-21 18:01:04,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10151491514147888.1073741825.377625007887/10155965912767888/?type=3,Rappel : VTT Bombardier avec direction assistée dynamique. L’arbre de direction pourrait se briser et provoquer une perte de contrôle. Les propriétaires ne devraient pas conduire leur VTT à moins que la réparation provisoire ait été effectuée. http://ow.ly/AqDW30hn5t4,Rappel : VTT Bombardier avec direction assistée dynamique. L’arbre de direction pourrait se briser et provoquer une perte de contrôle. Les propriétaires ne devraient pas conduire leur VTT à moins que la réparation provisoire ait été effectuée.,[],Environmental,856,0.0662202380952381,fr,TransportsetInfrastructureauCanada_facebook,"['arbre', 'air']",positive
3,377625007887_10154478330087888,2016-08-24 15:00:59,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10153795896582888.1073741830.377625007887/10154478330087888/?type=3,Rappel : Roulottes Keystone Bullet et Passport 2011-2017. Court-circuit possible dans le câblage du climatiseur. http://www.tc.gc.ca/jn1bv,Rappel : Roulottes Keystone Bullet et Passport -2017. Court-circuit possible dans le câblage du climatiseur.,[],Environmental,615,0.0,fr,TransportsetInfrastructureauCanada_facebook,"['or', 'climat']",neutral
4,377625007887_10154287081602888,2016-06-16 18:42:24,https://www.facebook.com/TransportsetInfrastructureauCanada/videos/10154287081602888/,,,[],Social,529,0.0,tl,TransportsetInfrastructureauCanada_facebook,[],neutral
5,377625007887_10155367625612888,2017-05-26 08:45:05,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10151491514147888.1073741825.377625007887/10155367625612888/?type=3,Rappel : Sièges d’auto évolutifs MyRide 65 de Graco. Les sangles pourraient ne pas satisfaire aux normes canadiennes. http://www.tc.gc.ca/dmmbu,Rappel : Sièges d’auto évolutifs MyRide de Graco. Les sangles pourraient ne pas satisfaire aux normes canadiennes. u,[],Environmental,332,0.0,fr,TransportsetInfrastructureauCanada_facebook,"['or', 'air']",neutral
6,377625007887_10154918999122888,2017-01-06 10:00:28,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10153795890792888.1073741827.377625007887/10154918999122888/?type=3,Rappel : Honda Odyssey. Les sièges de la 2e rangée peuvent être instables après les avoir baissés pour accéder à la 3e rangée. http://www.tc.gc.ca/m9qrm,Rappel : Honda Odyssey. Les sièges de la e rangée peuvent être instables après les avoir baissés pour accéder à la e rangée.,[],Social,325,0.0,fr,TransportsetInfrastructureauCanada_facebook,[],neutral
7,377625007887_10155849343102888,2017-11-07 12:15:21,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10151491514147888.1073741825.377625007887/10155849343102888/?type=3,"Rappel : Ford F150. L’indication du levier de vitesses pourrait être erronée et la boîte de vitesses pourrait rester au mauvais rapport. 
http://ow.ly/wN1c30gpWbd",Rappel : Ford F150. L’indication du levier de vitesses pourrait être erronée et la boîte de vitesses pourrait rester au mauvais rapport. d,[],Environmental,235,0.06490688131313131,fr,TransportsetInfrastructureauCanada_facebook,['or'],positive
8,377625007887_10154867341797888,2016-12-22 08:59:12,https://www.facebook.com/TransportsetInfrastructureauCanada/videos/10154867341797888/,En rappel : Le père Noël a renouvelé sa licence de pilote professionnel à Transports Canada! Le ministre Garneau donne le feu vert au père Noël! http://ow.ly/jaRC307mY6U,En rappel : Le père Noël a renouvelé sa licence de pilote professionnel à Transports Canada! Le ministre Garneau donne le feu vert au père Noël! U,[],Environmental,234,0.0,fr,TransportsetInfrastructureauCanada_facebook,"['eau', 'vert', 'ice', 'or']",neutral
9,377625007887_10153960991397888,2016-02-19 07:01:32,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10151491514147888.1073741825.377625007887/10153960991397888/?type=3,"Rappel: VUS Toyota RAV4 2006-2012. Ceintures de sécurité: problème possible si collision.  
http://www.tc.gc.ca/5dzas",Rappel: VUS Toyota RAV4 -2012. Ceintures de sécurité: problème possible si collision.,[],Social,187,0.0,en,TransportsetInfrastructureauCanada_facebook,[],neutral
