,id,date_published,link,caption_original,caption_cleaned,hashtags,category,Reactions_SUM,average_sentiment_score,language,account_name,words_matched_list,sentiment
10,632493333805962_655615324827096,2017-11-30 18:52:00,https://www.facebook.com/EnvironmentandClimateChange/videos/655615324827096/,"Tag a friend who you are looking forward to skating with this winter! 🙋🏿

RinkWatch is a citizen-driven scientific initiative that empowers skaters to submit temperature information on neighborhood rinks. This information will be used to study long-term impacts of climate change! 

So far, global citizens have submitted skating conditions on more than 1400 outdoor rinks and ponds. Be part of it this winter! http://ow.ly/XkDA30gVTtx","Tag a friend who you are looking forward to skating with this winter! RinkWatch is a citizen-driven scientific initiative that empowers skaters to submit temperature information on neighborhood rinks. This information will be used to study long-term impacts of climate change! So far, global citizens have submitted skating conditions on more than outdoor rinks and ponds. Be part of it this winter!",[],Environmental,13,0.0,en,EnvironmentandClimateChange_facebook,"['climate change', 'climate', 'or', 'climat']",neutral
11,632493333805962_651888025199826,2017-11-23 18:02:41,https://www.facebook.com/EnvironmentandClimateChange/videos/651888025199826/,"Thanks to the Montreal Protocol, 99% of ozone depleting substances are eliminated in Canada and the hole is repairing itself. But, the work is not done!  Canada is committed to a full recovery of the ozone layer and action on climate change.","Thanks to the Montreal Protocol, % of ozone depleting substances are eliminated in Canada and the hole is repairing itself. But, the work is not done! Canada is committed to a full recovery of the ozone layer and action on climate change.",[],Environmental,13,0.0,en,EnvironmentandClimateChange_facebook,"['climate', 'substance', 'climat', 'climate change', 'air', 'or']",neutral
12,632493333805962_663818704006758,2017-12-14 23:09:31,https://www.facebook.com/EnvironmentandClimateChange/photos/a.642042859517676.1073741828.632493333805962/663818237340138/?type=3,"The Government of Canada will be announcing a new fund to help support a low carbon economy. Check out our Facebook LIVE tomorrow, December 15 at 9:30am EST for more info!  
http://www.facebook.com/EnvironmentandClimateChange/","The Government of Canada will be announcing a new fund to help support a low carbon economy. Check out our Facebook LIVE tomorrow, December at :30am EST for more info!",[],Environmental,12,-0.105,en,EnvironmentandClimateChange_facebook,"['carbon', 'government', 'or', 'low carbon']",negative
13,632493333805962_655984858123476,2017-12-01 09:00:38,https://www.facebook.com/EnvironmentandClimateChange/photos/a.642042859517676.1073741828.632493333805962/655984858123476/?type=3,"This amazing interactive map showcases nearly 300 videos of global climate research produced by youth all over the world! 

The crowd-sourced media project, Youth Climate Report was produced by Canadian filmmaker, Mark Terry, in collaboration with the UNFCCC http://ow.ly/ImkW30gVsyo","This amazing interactive map showcases nearly videos of global climate research produced by youth all over the world! The crowd-sourced media project, Youth Climate Report was produced by Canadian filmmaker, Mark Terry, in collaboration with the UNFCCC",[],Environmental,12,0.0,en,EnvironmentandClimateChange_facebook,"['climate', 'or', 'climat']",neutral
14,632493333805962_650233905365238,2017-11-20 15:55:01,https://www.facebook.com/EnvironmentandClimateChange/videos/650233905365238/,"The Montreal Protocol is one of the most successful global agreements ever. Together with the world, Canada stopped the thinning of the ozone layer. And now, 30 years later we are coming together under this agreement to stop climate change with the Kigali Amendment.","The Montreal Protocol is one of the most successful global agreements ever. Together with the world, Canada stopped the thinning of the ozone layer. And now, years later we are coming together under this agreement to stop climate change with the Kigali Amendment.",[],Environmental,11,0.0,en,EnvironmentandClimateChange_facebook,"['climate change', 'climate', 'or', 'climat']",neutral
15,632493333805962_667586463629982,2017-12-21 17:00:00,https://www.facebook.com/EnvironmentandClimateChange/videos/667586463629982/,"On the naughty list this year? You won’t find a stocking full of coal from Santa thanks to the Canada-UK led Powering Past Coal Agreement. 

Canada and partners from around the world are united in phasing-out traditional coal power, making a cleaner more sustainable future for everyone.

Learn more about this historical agreement: http://ow.ly/PFs830hnsjm","On the naughty list this year? You won’t find a stocking full of coal from Santa thanks to the Canada-UK led Powering Past Coal Agreement. Canada and partners from around the world are united in phasing-out traditional coal power, making a cleaner more sustainable future for everyone. Learn more about this historical agreement:",[],Environmental,10,0.0,en,EnvironmentandClimateChange_facebook,"['sustainable', 'or', 'clean']",neutral
16,632493333805962_661403767581585,2017-12-10 09:12:41,https://www.facebook.com/EnvironmentandClimateChange/videos/661403767581585/,"#CanadaInChina – Minister McKenna is leading a #CleanTech trade mission: @XebecAdsorptionInc
 is a 🇨🇦 company specializing in innovative products that transform raw gases into marketable sources of clean energy. http://ow.ly/dxiJ30h7ZXK #ClimateAction",– Minister McKenna is leading a trade mission: is a 🇨🇦 company specializing in innovative products that transform raw gases into marketable sources of clean energy.,"['#CanadaInChina', '#CleanTech', '#ClimateAction']",Economical,10,0.05555555555555556,en,EnvironmentandClimateChange_facebook,"['energy', 'minister', 'innovative']",positive
17,632493333805962_655578784830750,2017-11-30 15:14:41,https://www.facebook.com/EnvironmentandClimateChange/videos/655578784830750/,Climate change is affecting our natural treasures like the Torngat Mountains. Environment and Climate Change Canada’s scientist Paul Smith explains! http://ow.ly/RFDm30gVCqG,Climate change is affecting our natural treasures like the Torngat Mountains. Environment and Climate Change Canada’s scientist Paul Smith elains!,[],Environmental,9,0.0,en,EnvironmentandClimateChange_facebook,"['climate change', 'climate', 'natural', 'or', 'climat']",neutral
18,632493333805962_662588960796399,2017-12-12 13:05:05,https://www.facebook.com/EnvironmentandClimateChange/photos/a.642042859517676.1073741828.632493333805962/662588960796399/?type=3,"Ballard Power System, a Canadian company, will produce fuel cell engines for trams in France.
These will be the first hydrogen bus routes in France and the only emission will be water vapour!
Check it out: http://ow.ly/Fhip30hbh0Z","Ballard Power System, a Canadian company, will produce fuel cell engines for trams in France. These will be the first hydrogen bus routes in France and the only emission will be water vapour! Check it out:",[],Environmental,9,0.0,en,EnvironmentandClimateChange_facebook,"['water', 'or']",neutral
19,632493333805962_651391941916101,2017-11-22 20:20:07,https://www.facebook.com/EnvironmentandClimateChange/photos/a.642042859517676.1073741828.632493333805962/651391941916101/?type=3,"Tune in to see Dr. Mona Nemer, host a panel discussion on the scientific foundation of the Montreal Protocol.
 
 
Science panelists include Dr. Vitali Fioletov, Environment and Climate Change Canada, Dr. Nathan Gillett, Environment and Climate Change Canada, Dr. Amanda Maycock, University of Leeds, UK, Dr. Guus Velders, Utrecht University and RIVM The Netherlands, and Dr. Anne Thompson, NASA Goddard, USA. See it LIVE in Montreal! UN Environment","Tune in to see Dr. Mona Nemer, host a panel discussion on the scientific foundation of the Montreal Protocol. Science panelists include Dr. Vitali Fioletov, Environment and Climate Change Canada, Dr. Nathan Gillett, Environment and Climate Change Canada, Dr. Amanda Maycock, University of Leeds, UK, Dr. Guus Velders, Utrecht University and RIVM The Netherlands, and Dr. Anne Thompson, NASA Goddard, USA. See it LIVE in Montreal! UN Environment",[],Environmental,8,0.0,en,EnvironmentandClimateChange_facebook,"['climate change', 'climate', 'lands', 'climat', 'mer']",neutral
20,632493333805962_659772881078007,2017-12-07 16:35:00,https://www.facebook.com/EnvironmentandClimateChange/videos/659772881078007/,#CanadaInChina – Minister McKenna is leading a #CleanTech trade mission: GHGSat Inc.  is a 🇨🇦 company specializing in measuring greenhouse gas emissions using satellite technology. http://ow.ly/ReAS30h5iKX #ClimateAction,– Minister McKenna is leading a trade mission: GHGSat Inc. is a 🇨🇦 company specializing in measuring greenhouse gas emissions using satellite technology.,"['#CanadaInChina', '#CleanTech', '#ClimateAction']",Environmental,8,0.0,en,EnvironmentandClimateChange_facebook,"['gas', 'emissions ', 'greenhouse gas']",neutral
21,632493333805962_663112914077337,2017-12-13 13:40:05,https://www.facebook.com/EnvironmentandClimateChange/photos/a.642042859517676.1073741828.632493333805962/663112914077337/?type=3,"#CanadaInChina – Minister McKenna is leading a #CleanTech trade mission: Cypher Environmental is a 🇨🇦 company specializing in dust control, soil and water remediation solutions. http://ow.ly/9BAc30h82Dj #ClimateAction","– Minister McKenna is leading a trade mission: Cypher Environmental is a 🇨🇦 company specializing in dust control, soil and water remediation solutions.","['#CanadaInChina', '#CleanTech', '#ClimateAction']",Economical,8,0.0,en,EnvironmentandClimateChange_facebook,"['oil', 'minister']",neutral
22,632493333805962_661053524283276,2017-12-09 18:19:17,https://www.facebook.com/EnvironmentandClimateChange/photos/a.642042859517676.1073741828.632493333805962/661053390949956/?type=3,"Working together to protect the environment, grow the economy and ensure that citizens in both China and Canada have clean air to breathe - Minister McKenna discussed increased collaboration with Minister Li Ganjie in Beijing.","Working together to protect the environment, grow the economy and ensure that citizens in both China and Canada have clean air to breathe - Minister McKenna discussed increased collaboration with Minister Li Ganjie in Beijing.",[],Environmental,8,0.0,en,EnvironmentandClimateChange_facebook,"['or', 'clean', 'air']",neutral
23,632493333805962_663206447401317,2017-12-13 18:15:43,https://www.facebook.com/EnvironmentandClimateChange/photos/a.642042859517676.1073741828.632493333805962/663206447401317/?type=3,"Canada is taking the next steps to develop a Clean Fuel Standard, with a goal of reducing yearly emissions the same as taking 7 million cars off the roads!
As one of the key actions under our made-in-Canada plan to fight climate change, we will meet with provinces, territories, industry groups, and non-governmental organizations to seek their input. 
Read the framework to find out how we are protecting our environment, our health, and our future prosperity. 
http://ow.ly/keyj30hddBp","Canada is taking the next steps to develop a Clean Fuel Standard, with a goal of reducing yearly emissions the same as taking million cars off the roads! As one of the key actions under our made-in-Canada plan to fight climate change, we will meet with provinces, territories, industry groups, and non-governmental organizations to seek their input. Read the framework to find out how we are protecting our environment, our health, and our future prosperity.",[],Environmental,8,-0.05,en,EnvironmentandClimateChange_facebook,"['climate', 'climat', 'government', 'climate change', 'clean', 'or', 'emissions ']",negative
24,632493333805962_667568466965115,2017-12-21 12:10:02,https://www.facebook.com/EnvironmentandClimateChange/videos/667568466965115/,"Today is the winter solstice, which marks the shortest day of the year. To reduce your energy consumption plan a cozy evening with candles, bring out some board games, and enjoy well-deserved time with your family!","Today is the winter solstice, which marks the shortest day of the year. To reduce your energy consumption plan a cozy evening with candles, bring out some board games, and enjoy well-deserved time with your family!",[],Social,8,0.0,en,EnvironmentandClimateChange_facebook,"['ami', 'family']",neutral
25,632493333805962_661019887619973,2017-12-09 16:50:50,https://www.facebook.com/EnvironmentandClimateChange/photos/a.642042859517676.1073741828.632493333805962/661019887619973/?type=3,"Environment and Climate Change Canada welcomes the first anniversary of the made in Canada plan to fight climate change and grow the economy! We have made a lot of progress this past year, but there is still more work to do to ensure a sustainable and healthy planet for our kids and grandkids.

Check out the first  progress report: http://ow.ly/iMEc30h7yeL","Environment and Climate Change Canada welcomes the first anniversary of the made in Canada plan to fight climate change and grow the economy! We have made a lot of progress this past year, but there is still more work to do to ensure a sustainable and healthy planet for our kids and grandkids. Check out the first progress report:",[],Environmental,7,0.0,en,EnvironmentandClimateChange_facebook,"['climate', 'climat', 'climate change', 'planet', 'sustainable', 'or']",neutral
26,632493333805962_644098199312142,2017-11-10 06:56:39,https://www.facebook.com/EnvironmentandClimateChange/photos/a.642042859517676.1073741828.632493333805962/644095689312393/?type=3,"Stop number 4 at the #ClimateCampus tour with the Minister of Environment and Climate Change, Catherine McKenna. This time, she spoke at Student Energy Carleton, the Innovation Jam - Ottawa Sustainability Challenge at Carleton University (Official). Students have a very important role in creating innovative solutions to address climate change.","Stop number at the tour with the Minister of Environment and Climate Change, Catherine McKenna. This time, she spoke at Student Energy Carleton, the Innovation Jam - Ottawa Sustainability Challenge at Carleton University (Official). Students have a very important role in creating innovative solutions to address climate change.",['#ClimateCampus'],Economical,7,0.0,en,EnvironmentandClimateChange_facebook,"['import', 'energy', 'innovative', 'minister', 'innovation']",neutral
27,632493333805962_655093124879316,2017-11-29 16:10:11,https://www.facebook.com/EnvironmentandClimateChange/photos/a.642042859517676.1073741828.632493333805962/655093038212658/?type=3,"Today, Minister of Environment and Climate Change, Catherine McKenna, was at the Toronto Region Board of Trade discussing how businesses in Canada can drive clean growth!","Today, Minister of Environment and Climate Change, Catherine McKenna, was at the Toronto Region Board of Trade discussing how businesses in Canada can drive clean growth!",[],Environmental,7,0.0,en,EnvironmentandClimateChange_facebook,"['climate change', 'climate', 'or', 'clean', 'climat']",neutral
28,632493333805962_667617400293555,2017-12-23 16:00:00,https://www.facebook.com/EnvironmentandClimateChange/videos/667617400293555/,"This year for a Green Holiday gift, give an experience that will last a lifetime and not end up in a landfill! 

Instead of giving merchandise, give tickets to a play, movie or sporting event or a gift certificate for dinner, a sports club membership or a spa treatment! The less material you buy the smaller your holiday carbon footprint will be.","This year for a Green Holiday gift, give an eerience that will last a lifetime and not end up in a landfill! Instead of giving merchandise, give tickets to a play, movie or sporting event or a gift certificate for dinner, a sports club membership or a spa treatment! The less material you buy the smaller your holiday carbon footprint will be.",[],Environmental,7,0.0,en,EnvironmentandClimateChange_facebook,"['carbon', 'or', 'green ', 'mer']",neutral
29,632493333805962_667653540289941,2017-12-21 15:58:03,https://www.facebook.com/EnvironmentandClimateChange/photos/a.642042859517676.1073741828.632493333805962/667653540289941/?type=3,"Today, the governments of Canada and Alberta have agreed to renew their commitment to provide clear and scientifically rigorous information on the environmental impacts of oil sands development in northeastern Alberta.

The agreement recognizes that Indigenous people are valued partners in helping conserving and protecting our environment and that both traditional and scientific knowledge are critical components in environmental decision-making. http://ow.ly/4moR30hnGII Alberta Environment","Today, the governments of Canada and Alberta have agreed to renew their commitment to provide clear and scientifically rigorous information on the environmental impacts of oil sands development in northeastern Alberta. The agreement recognizes that Indigenous people are valued partners in helping conserving and protecting our environment and that both traditional and scientific knowledge are critical components in environmental decision-making. Alberta Environment",[],Economical,7,0.0,en,EnvironmentandClimateChange_facebook,"['oil', 'government']",neutral
30,632493333805962_652362618485700,2017-11-24 13:10:33,https://www.facebook.com/EnvironmentandClimateChange/videos/652362618485700/,"In case you missed it, Canada’s delegation worked hard at COP23 in Bonn, Germany, working to create a sustainable planet for future generations. We are all in on #ClimateAction!","In case you missed it, Canada’s delegation worked hard at COP23 in Bonn, Germany, working to create a sustainable planet for future generations. We are all in on !",['#ClimateAction'],Environmental,6,0.0,en,EnvironmentandClimateChange_facebook,"['planet', 'sustainable', 'cop23', 'or']",neutral
31,632493333805962_667628813625747,2017-12-25 16:00:00,https://www.facebook.com/EnvironmentandClimateChange/videos/667628813625747/,Today’s Green Holiday tip: Save energy (and money) by using LED lightbulbs on a timer!,Today’s Green Holiday tip: Save energy (and money) by using LED lightbulbs on a timer!,[],Economical,6,0.0,en,EnvironmentandClimateChange_facebook,"['money', 'energy', 'green']",neutral
32,632493333805962_659600211095274,2017-12-07 09:42:30,https://www.facebook.com/EnvironmentandClimateChange/videos/659600211095274/,"Minister of Environment and Climate Change, Catherine McKenna visited China as part of the #CanadainChina #CleanTech trade mission.","Minister of Environment and Climate Change, Catherine McKenna visited China as part of the trade mission.","['#CanadainChina', '#CleanTech']",Environmental,6,0.0,en,EnvironmentandClimateChange_facebook,"['climate change', 'climate', 'climat']",neutral
33,632493333805962_650019872053308,2017-11-20 09:15:00,https://www.facebook.com/EnvironmentandClimateChange/photos/a.642042859517676.1073741828.632493333805962/650019872053308/?type=3,"Tune in to see the Right Honourable Brian Mulroney and Minister of Environment and Climate Change, Catherine McKenna, deliver remarks at the opening of the international conference aimed at protecting the ozone layer and tackling climate change. See it LIVE in Montreal!","Tune in to see the Right Honourable Brian Mulroney and Minister of Environment and Climate Change, Catherine McKenna, deliver remarks at the opening of the international conference aimed at protecting the ozone layer and tackling climate change. See it LIVE in Montreal!",[],Environmental,6,0.01444444444444444,en,EnvironmentandClimateChange_facebook,"['climate change', 'climate', 'climat']",positive
34,632493333805962_663139604074668,2017-12-13 14:53:40,https://www.facebook.com/EnvironmentandClimateChange/photos/a.642042859517676.1073741828.632493333805962/663139604074668/?type=3,"December is #ArcticScience Month, so we’re highlighting Environment and Climate Change Canada scientists who work in the North and how their research contributes to a better understanding of the threats facing Arctic ecosystems.

Rob, who studies polar bears in the circumpolar Arctic, works in partnership with local Inuit hunters to determine how chemical contaminants are impacting polar bear’s health. http://ow.ly/XKrP30hcWFC","December is Month, so we’re highlighting Environment and Climate Change Canada scientists who work in the North and how their research contributes to a better understanding of the threats facing Arctic ecosystems. Rob, who studies polar bears in the circumpolar Arctic, works in partnership with local Inuit hunters to determine how chemical contaminants are impacting polar bear’s health. C",['#ArcticScience'],Social,5,0.0,en,EnvironmentandClimateChange_facebook,"['inuit', 'local', 'ami', 'health', 'change']",neutral
35,632493333805962_659724577749504,2017-12-07 14:19:28,https://www.facebook.com/EnvironmentandClimateChange/photos/a.642042859517676.1073741828.632493333805962/659724187749543/?type=3,"As part of their Find Your 4-H Wings campaign, 4-H Canada is empowering kids to become champions for our environment. As a 4-H member, you can get involved by signing up for the 4-H Canada Science Fair!

Find out more: http://ow.ly/hcdN30h59I5","As part of their Find Your -H Wings campaign, -H Canada is empowering kids to become champions for our environment. As a -H member, you can get involved by signing up for the -H Canada Science Fair! Find out more:",[],Environmental,5,0.0,en,EnvironmentandClimateChange_facebook,"['or', 'air']",neutral
36,632493333805962_659291634459465,2017-12-06 20:44:02,https://www.facebook.com/EnvironmentandClimateChange/photos/a.642042859517676.1073741828.632493333805962/659291561126139/?type=3,"Minister of Environment and Climate Change, Catherine McKenna, paid a visit to the Shanghai Environment and Energy Exchange. This organization helps build a more sustainable future by supporting carbon emissions trading in China.","Minister of Environment and Climate Change, Catherine McKenna, paid a visit to the Shanghai Environment and Energy Exchange. This organization helps build a more sustainable future by supporting carbon emissions trading in China.",[],Environmental,5,0.0,en,EnvironmentandClimateChange_facebook,"['climate', 'climat', 'climate change', 'sustainable', 'carbon', 'or', 'emissions ']",neutral
37,632493333805962_657839007938061,2017-12-04 11:00:42,https://www.facebook.com/EnvironmentandClimateChange/photos/a.642042859517676.1073741828.632493333805962/657839007938061/?type=3,Canada and China: working together to protect the environment and fight climate change.,Canada and China: working together to protect the environment and fight climate change.,[],Environmental,5,0.0,en,EnvironmentandClimateChange_facebook,"['climate change', 'climate', 'or', 'climat']",neutral
38,632493333805962_646918192363476,2017-11-14 17:57:20,https://www.facebook.com/EnvironmentandClimateChange/photos/a.642042859517676.1073741828.632493333805962/646918192363476/?type=3,Today is Gender Day at COP 23 and Canada celebrates our powerful change agents: women and girls.,Today is Gender Day at COP and Canada celebrates our powerful change agents: women and girls.,[],Social,5,0.0,en,EnvironmentandClimateChange_facebook,"['gender', 'change', 'women']",neutral
39,632493333805962_659086397813322,2017-12-06 10:43:30,https://www.facebook.com/EnvironmentandClimateChange/photos/a.642042859517676.1073741828.632493333805962/659086397813322/?type=3,"Minister of Environment and Climate Change, Catherine McKenna, is using eco-friendly transportation during her #CleanTech trade mission in China! Canada’s International Trade - Global Affairs Canada","Minister of Environment and Climate Change, Catherine McKenna, is using eco-friendly transportation during her trade mission in China! Canada’s International Trade - Global Affairs Canada",['#CleanTech'],Environmental,5,0.0,en,EnvironmentandClimateChange_facebook,"['climate change', 'climate', 'or', 'climat', 'air']",neutral
40,632493333805962_647696102285685,2017-11-16 05:25:51,https://www.facebook.com/EnvironmentandClimateChange/photos/a.642042859517676.1073741828.632493333805962/647696102285685/?type=3,"Follow the Environment and Climate Change page to watch live at 5:45AM EST as Canada and UK welcome partners to the new #PoweringPastCoal Alliance, to transition away from traditional coal-fired electricity. http://ow.ly/4a7g30gCdPh","Follow the Environment and Climate Change page to watch live at :45AM EST as Canada and UK welcome partners to the new Alliance, to transition away from traditional coal-fired electricity.",['#PoweringPastCoal'],Environmental,5,0.003787878787878785,en,EnvironmentandClimateChange_facebook,"['climate change', 'climate', 'climat']",positive
41,632493333805962_662620630793232,2017-12-13 16:00:00,https://www.facebook.com/EnvironmentandClimateChange/videos/662620630793232/,We are creating well-paying green jobs to ensure future generations have a prosperous and sustainable economy. http://ow.ly/GZvF30hboxT,We are creating well-paying green jobs to ensure future generations have a prosperous and sustainable economy.,[],Economical,5,0.0,en,EnvironmentandClimateChange_facebook,"['green', 'jobs']",neutral
42,632493333805962_664200430635252,2017-12-15 14:31:57,https://www.facebook.com/EnvironmentandClimateChange/videos/664200430635252/,"We’ve got big news! The Government of Canada will provide over $1B from the Low Carbon Economy Fund over the next five years to the provinces of British Columbia, Alberta, Ontario, Quebec, New Brunswick, and Nova Scotia. 

Canada is committed to growing the economy and protecting the environment for future generations. 

http://ow.ly/SUOx30hfWbI","We’ve got big news! The Government of Canada will provide over $1B from the Low Carbon Economy Fund over the next five years to the provinces of British Columbia, Alberta, Ontario, Quebec, New Brunswick, and Nova Scotia. Canada is committed to growing the economy and protecting the environment for future generations.",[],Environmental,5,0.0,en,EnvironmentandClimateChange_facebook,"['carbon', 'government', 'or', 'low carbon']",neutral
43,632493333805962_650228925365736,2017-11-20 15:29:02,https://www.facebook.com/EnvironmentandClimateChange/photos/a.642042859517676.1073741828.632493333805962/650228718699090/?type=3,"Canada’s Minister of Environment and Climate Change, Catherine McKenna, is hosting an international meeting this week in Montreal focused, in part, on implementing one of the biggest, single, global climate actions ever taken: phasing down hydrofluorocarbons (HFCs). 

We all use HFCs in things like our fridges and air conditioners and they do a great job of cooling us down. Unfortunately, they also warm the planet. Delegates at the Montreal Protocol meeting are working to implement the Kigali Amendment to the Montreal Protocol which calls for a global HFC phase down. Countries adopted the Amendment last year and Canada recently became one of the first countries to ratify it. 

Canada is taking huge steps towards a clean future for our children and grandchildren, and as part of this, urges other countries to ratify the Kigali Amendment.","Canada’s Minister of Environment and Climate Change, Catherine McKenna, is hosting an international meeting this week in Montreal focused, in part, on implementing one of the biggest, single, global climate actions ever taken: phasing down hydrofluorocarbons (HFCs). We all use HFCs in things like our fridges and air conditioners and they do a great job of cooling us down. Unfortunately, they also warm the planet. Delegates at the Montreal Protocol meeting are working to implement the Kigali Amendment to the Montreal Protocol which calls for a global HFC phase down. Countries adopted the Amendment last year and Canada recently became one of the first countries to ratify it. Canada is taking huge steps towards a clean future for our children and grandchildren, and as part of this, urges other countries to ratify the Kigali Amendment.",[],Environmental,5,0.0,en,EnvironmentandClimateChange_facebook,"['climate', 'climat', 'climate change', 'air', 'planet', 'clean', 'carbon', 'or']",neutral
