,id,date_published,link,caption_original,caption_cleaned,hashtags,category,Reactions_SUM,average_sentiment_score,language,account_name,words_matched_list,sentiment
0,123326971154939_887358311418464,2017-07-20 08:30:18,https://www.facebook.com/GovCanNorth/photos/a.343736115780689.1073741825.123326971154939/887358311418464/?type=3,"The official grand opening of the Canadian High Arctic Research Station (CHARS) in Cambridge Bay, Nunavut, is coming up, in October 2017. CHARS will be a world-class research station in the Arctic, bringing an enhanced level of research and analysis to Canada’s North. For updates on the grand opening celebrations, visit: http://ow.ly/OAnf30dMkxh","The official grand opening of the Canadian High Arctic Research Station (CHARS) in Cambridge Bay, Nunavut, is coming up, in October . CHARS will be a world-class research station in the Arctic, bringing an enhanced level of research and analysis to Canada’s North. For updates on the grand opening celebrations, visit:",[],Environmental,336,0.0698330965909091,en,GovCanNorth_facebook,"['or', 'research station']",positive
1,123326971154939_852490154905280,2017-05-30 11:40:05,https://www.facebook.com/GovCanNorth/photos/a.343736115780689.1073741825.123326971154939/852490154905280/?type=3,Want to help oversee a Land Claim Agreement in Northern Canada? The Government of Canada is looking to fill the positions of Chairman and Vice-Chairman of the Inuvialuit Arbitration Board. Apply now: http://ow.ly/HQB930ca0LO,Want to help oversee a Land Claim Agreement in Northern Canada? The Government of Canada is looking to fill the positions of Chairman and Vice-Chairman of the Inuvialuit Arbitration Board. Apply now:,[],Environmental,248,0.02941176470588235,en,GovCanNorth_facebook,"['government', 'or', 'ice', 'air']",positive
2,123326971154939_964266113727683,2017-12-20 12:13:42,https://www.facebook.com/GovCanNorth/photos/a.343736115780689.1073741825.123326971154939/964265513727743/?type=3,"Check out job opportunities in areas such as land administration, communications, environmental regulation and more!  http://ow.ly/IM6h30hlQGw

ᖃᐅᔨᒋᐊᑭᒃ ᐃᖅᑲᓇᐃᔮᔅᓴᐃᑦ ᒪᑐᐃᖓᔪᑦ ᓄᓇᒧᑦ ᐊᐅᓚᑦᑎᔨᐅᓂᕐᒧᑦ, ᑐᓴᖅᑎᑦᑎᒌᖕᓂᕐᒧᑦ, ᐊᕙᑎᓕᕆᓂᕐᒧᑦ ᐊᑐᐊᒐᓂᒃ ᐊᒻᒪᓗ ᐊᒥᓱᑦ ᐃᓚᒋᔭᐅᔪᑦ! 

Naunaiyaqlugit havakhat pilaqnit hunani tahapkuatut nunaliginiqmun aulatyutit, tuhaumatyutit, avatiliqutit aulatyutai ilavaliilu!","Check out job opportunities in areas such as land administration, communications, environmental regulation and more! ᖃᐅᔨᒋᐊᑭᒃ ᐃᖅᑲᓇᐃᔮᔅᓴᐃᑦ ᒪᑐᐃᖓᔪᑦ ᓄᓇᒧᑦ ᐊᐅᓚᑦᑎᔨᐅᓂᕐᒧᑦ, ᑐᓴᖅᑎᑦᑎᒌᖕᓂᕐᒧᑦ, ᐊᕙᑎᓕᕆᓂᕐᒧᑦ ᐊᑐᐊᒐᓂᒃ ᐊᒻᒪᓗ ᐊᒥᓱᑦ ᐃᓚᒋᔭᐅᔪᑦ! Naunaiyaqlugit havakhat pilaqnit hunani tahapkuatut nunaliginiqmun aulatyutit, tuhaumatyutit, avatiliqutit aulatyutai ilavaliilu!",[],Environmental,132,0.2625,en,GovCanNorth_facebook,['or'],positive
3,123326971154939_888204164667212,2017-07-21 13:41:11,https://www.facebook.com/GovCanNorth/photos/a.343736115780689.1073741825.123326971154939/888203901333905/?type=3,Job opportunity for Inuit enrolled under the Nunavut Agreement - Pilimmaksaivik (the Federal Centre of Excellence for Inuit Employment in Nunavut) is hiring a Cultural and Wellness Officer. This person will coordinate Inuit cultural learning and well-being activities for federal employees in Nunavut. Apply now! http://ow.ly/Doay30dONid,Job opportunity for Inuit enrolled under the Nunavut Agreement - Pilimmaksaivik (the Federal Centre of Excellence for Inuit Employment in Nunavut) is hiring a Cultural and Wellness Officer. This person will coordinate Inuit cultural learning and well-being activities for federal employees in Nunavut. Apply now! d,[],Social,97,0.0,en,GovCanNorth_facebook,"['federal', 'inuit']",neutral
4,123326971154939_942780819209546,2017-11-07 12:05:10,https://www.facebook.com/GovCanNorth/photos/a.343736115780689.1073741825.123326971154939/942780819209546/?type=3,"Today is #InuitDay! Celebrate the unity and combined determination among Inuit of the circumpolar region, and the great work being done by Inuit Circumpolar Council Canada. http://ow.ly/5yni30gq0Dr #Inuujunga","Today is ! Celebrate the unity and combined determination among Inuit of the circumpolar region, and the great work being done by Inuit Circumpolar Council Canada.","['#InuitDay', '#Inuujunga']",Social,71,0.0,en,GovCanNorth_facebook,['inuit'],neutral
5,123326971154939_728341633986800,2016-11-10 11:55:13,https://www.facebook.com/GovCanNorth/photos/a.343736115780689.1073741825.123326971154939/728341633986800/?type=3,"UPDATE: The November 17 meeting in Baker Lake has been postponed due to weather issues affecting transportation.

An engagement session for the Nutrition North Canada program is coming to Baker Lake, NU. Join us at the Qamanituaq Recreation Center on November 17, 2016. http://ow.ly/s5PR3057sEg #NNCMySay","UPDATE: The November meeting in Baker Lake has been postponed due to weather issues affecting transportation. An engagement session for the Nutrition North Canada program is coming to Baker Lake, NU. Join us at the Qamanituaq Recreation Center on November , .",['#NNCMySay'],Social,64,0.0,en,GovCanNorth_facebook,['engagement'],neutral
6,123326971154939_764492137038416,2017-01-06 16:40:50,https://www.facebook.com/GovCanNorth/photos/a.343736115780689.1073741825.123326971154939/764492137038416/?type=3,"NEW DATE: A community meeting for the Nutrition North Canada program is coming to Baker Lake (NU) on January 10, 2017. Join us at the Qamani'tuaq Recreation Centre to have your say about how to improve the program. http://ow.ly/TG5a307LrCe","NEW DATE: A community meeting for the Nutrition North Canada program is coming to Baker Lake (NU) on January , . Join us at the Qamani'tuaq Recreation Centre to have your say about how to improve the program.",[],Environmental,52,0.0,en,GovCanNorth_facebook,"['or', 'lake ']",neutral
7,123326971154939_698373546983609,2016-09-21 15:16:18,https://www.facebook.com/GovCanNorth/photos/a.343736115780689.1073741825.123326971154939/698373546983609/?type=3,"An engagement session for the Nutrition North Canada program is coming to Pond Inlet, Nunavut. Join us at Attakaalik Hall on September 28, 2016 at 7:00 PM. http://ow.ly/ggon304r7uf #NNCMySay","An engagement session for the Nutrition North Canada program is coming to Pond Inlet, Nunavut. Join us at Attakaalik Hall on September , at :00 PM.",['#NNCMySay'],Social,48,0.01875,en,GovCanNorth_facebook,['engagement'],positive
8,123326971154939_938577622963199,2017-10-29 22:20:05,https://www.facebook.com/GovCanNorth/photos/a.343736115780689.1073741825.123326971154939/938577622963199/?type=3,"Check out the latest photos of the Canadian High Arctic Research Station construction in Cambridge Bay, Nunavut: http://ow.ly/AuWr30gbf1R","Check out the latest photos of the Canadian High Arctic Research Station construction in Cambridge Bay, Nunavut:",[],Economical,46,0.375,en,GovCanNorth_facebook,['arctic'],positive
9,123326971154939_896226213865007,2017-08-04 16:00:45,,"Are you an Inuk enrolled under the Nunavut Agreement? Public Services and Procurement Canada Public Services and Procurement Canada is hiring a Property and Facility Officer, and creating an inventory for future vacancies. Apply today!  For more info or to apply, visit: http://ow.ly/VUgX30eb8bd","Are you an Inuk enrolled under the Nunavut Agreement? Public Services and Procurement Canada Public Services and Procurement Canada is hiring a Property and Facility Officer, and creating an inventory for future vacancies. Apply today! For more info or to apply, visit: d",[],Social,40,0.0,en,GovCanNorth_facebook,"['future', 'futur']",neutral
