,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_comments,num_shares,num_likes,Reactions_SUM,category,matched_keywords,language,average_sentiment_score,sentiment,account_name
31155,1,824300734929924097,2017-01-25 16:59:44,"['https://t.co/TDQFOgQZCP', 'https://t.\xe2\x80\xa6']",RT @Bell_LetsTalk: Wake up and smell the coffee…it’s #BellLetsTalk Day! Here’s how you can get involved: https://t.co/TDQFOgQZCP https://t.…,RT Wake smell BellLetsTalk Day get involved https co TDQFOgQZCP https,['#BellLetsTalk'],,4715.0,0,4715,unknown,[],en,0.0,Neutral,GCIndigenous_tweeter
38330,15,137563459593611_1581482985201644,2017-01-07 09:20:01,http://nyti.ms/2ib5O7L,"What an honour! The New York Times released their 52 Places to Go in 2017, and Canada ranked... number ONE! We're welcoming people from across the globe to celebrate #Canada150 with us. With over 200 national parks, historic sites and marine conservation areas to visit #FREE, you're sure to find something spectacular!","What an honour! The New York Times released their Places to Go in , and Canada ranked... number ONE! We're welcoming people from across the globe to celebrate with us. With over national parks, historic sites and marine conservation areas to visit , you're sure to find something spectacular!","['#Canada150', '#FREE']",41.0,764.0,2438,3508,Environmental,"['#canada150', 'park', 'marine', 'conservation']",en,0.1571742424242424,positive,ParksCanada_facebook
5062,1,824977651806924804,2017-01-27 13:49:34,['https://t.co/ZNBkCcU66J'],RT @Bell_LetsTalk: The final results are in! Thank you all for your unbelievable participation! #BellLetsTalk https://t.co/ZNBkCcU66J,RT final results Thank unbelievable participation BellLetsTalk https co ZNBkCcU66J,['#BellLetsTalk'],,3216.0,0,3216,unknown,[],en,-0.15625,Neutral,CCG_GCC_tweeter
38336,21,137563459593611_1595678133782129,2017-01-20 09:15:01,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1595678133782129/?type=3,"Happy Friday Follower Photo!!! This extraordinary shot comes to us from Iain Robert Reid Photography, who captioned it: ""The Prince of Wales Hotel emerges from the fog after a snowy night in Waterton Lakes National Park.""

Every Friday, we randomly pick a photo sent to us by a follower and feature it on our wall. If you would like to submit a photo for consideration, simply send us a message with your photo and caption.","Happy Friday Follower Photo!!! This extraordinary shot comes to us from Iain Robert Reid Photography, who captioned it: ""The Prince of Wales Hotel emerges from the fog after a snowy night in Waterton Lakes National Park."" Every Friday, we randomly pick a photo sent to us by a follower and feature it on our wall. If you would like to submit a photo for consideration, simply send us a message with your photo and caption.",[],95.0,352.0,2280,3102,Social,"['park', 'photo', 'photo', 'photo']",en,0.18098748319892471,positive,ParksCanada_facebook
38352,37,137563459593611_1603946649621944,2017-01-26 20:00:00,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1603946649621944/?type=3,"Hey #Toronto! Join us at MEC ’s downtown location this Saturday, Jan. 28 from 3 to 5 p.m. for the launch of the new National Geographic Guide to the National Parks of Canada. Be one of the first 25 people to stop by our booth to receive a free copy of the guide. Our mascot, #Parka, will also be stopping by from 4 to 4:30 p.m., and we’ll have FREE 2017 Parks Canada Discovery Passes to give away. See you there. #Canada150 #NatGeoParksCanada","Hey ! Join us at MEC ’s downtown location this Saturday, Jan. from to p.m. for the launch of the new National Geographic Guide to the National Parks of Canada. Be one of the first people to stop by our booth to receive a free copy of the guide. Our mascot, , will also be stopping by from to :30 p.m., and we’ll have FREE Parks Canada Discovery Passes to give away. See you there.","['#Toronto', '#Parka', '#Canada150', '#NatGeoParksCanada']",89.0,332.0,1786,2384,Social,['#canada150'],en,0.04573412698412699,positive,ParksCanada_facebook
38355,40,137563459593611_1575599819123294,2017-01-03 11:20:01,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1575599819123294/?type=3,"To kick off 2017, we're featuring Canada's very first national park, Banff! For 132 years, Banff National Park has protected mountains, glaciers, waterfalls, lakes and wildlife, and has left countless visitors in awe. Travel Alberta

To celebrate #Canada150, we're featuring ALL of our 200+ places across our social media accounts. Stay tuned!","To kick off , we're featuring Canada's very first national park, Banff! For years, Banff National Park has protected mountains, glaciers, waterfalls, lakes and wildlife, and has left countless visitors in awe. Travel Alberta To celebrate , we're featuring ALL of our + places across our social media accounts. Stay tuned!",['#Canada150'],41.0,202.0,1931,2376,Environmental,"['park', 'park', 'mountain', 'lake', 'wildlife', 'travel', 'alberta', '#canada150', 'medium']",en,0.32364612733646825,positive,ParksCanada_facebook
38364,49,137563459593611_1572042629479013,2017-01-01 09:50:01,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1572042629479013/?type=3,"Happy New Year and Happy #Canada150! Get out and explore this year with your FREE #DiscoveryPass! Snap a selfie and #ShowUsYourPass! 

Photo taken in Jasper National Park",Happy New Year and Happy ! Get out and elore this year with your FREE ! Snap a selfie and ! Photo taken in Jasper National Park,"['#Canada150', '#DiscoveryPass', '#ShowUsYourPass']",110.0,428.0,1587,2244,Social,"['photo', 'park']",en,0.12326607135048695,positive,ParksCanada_facebook
38388,73,137563459593611_1594491120567497,2017-01-21 12:00:20,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1594491120567497/?type=3,"Happy #NationalHuggingDay! In #Wapusk National Park, bear cubs will soon start exploring their snowy new world for the very first time!","Happy ! In National Park, bear cubs will soon start eloring their snowy new world for the very first time!","['#NationalHuggingDay', '#Wapusk']",11.0,167.0,1442,1779,Environmental,['park'],en,0.29507575757575755,positive,ParksCanada_facebook
41652,1,825561161944985600,2017-01-29 04:28:13,[],RT @CanEmbUSA: Canadian passport holders and dual citizens will not be affected by the ban. Problems at the border? Call us 24/7 at 613-996…,RT CanEmbUSA Canadian passport holders dual citizens affected ban Problems border Call us 24 613,[],,1765.0,0,1765,Social,['canadian'],en,0.0,Neutral,Transport_gc_tweeter
38203,300,2017-01-23_13-28-10,2017-01-23 13:28:10,https://instagram.fyvr3-1.fna.fbcdn.net/vp/64dc1a9a4058b3f78f6ddb37cb137b39/5AFBB0C0/t51.2885-15/e35/16110180_785033408301978_8492509362038767616_n.jpg,"It might be cold out there, but that’s no reason to stay inside. This beautiful picture of the Wapta Falls by will inspire you to , with Canada’s frozen beauty as your backdrop.",might cold reason stay inside beautiful picture Wapta Falls stevint inspire GetOutAndPlay frozen beauty backdrop MondayMotivation Canada150 ExploreCanada explorebc YohoNP YNP Canada Adventure LifeInCanada EnjoyCanada ImagesOfCanada travelgram,"[""getoutandplay"",""mondaymotivation"",""canada150"",""explorecanada"",""explorebc"",""yohonp"",""ynp"",""canada"",""adventure"",""lifeincanada"",""enjoycanada"",""imagesofcanada"",""travelgram""]",26.0,,1589,1615,unknown,[],en,0.09227022977022978,positive,parks.canada_instagram
38204,301,2017-01-03_07-14-20,2017-01-03 07:14:20,https://instagram.fyvr3-1.fna.fbcdn.net/vp/117deaa36383eacc4a6b0be61ed131b1/5AD83162/t51.2885-15/e35/15877327_964286083701512_4801767063196532736_n.jpg,"How very fitting that the first park we feature in is Canada's first national park! Established in , Banff National Park has been protecting mountains, glaciers, waterfalls, lakes and wildlife for years! ",fitting first park feature 2017 Canada first national park Established 1885 Banff National Park protecting mountains glaciers waterfalls lakes wildlife 132 years adamcdyoung Canada150 ParksCanada Banff BanffNP mountains glaciers waterfalls lakes wildlife,"[""canada150"",""parkscanada"",""banff"",""banffnp"",""mountains"",""glaciers"",""waterfalls"",""lakes"",""wildlife""]",24.0,,1586,1610,Environmental,"['park', 'park', 'mountain', 'lake', 'wildlife']",en,0.2575617283950617,positive,parks.canada_instagram
38215,312,2017-01-25_12-44-19,2017-01-25 12:44:19,https://instagram.fyvr3-1.fna.fbcdn.net/vp/efa2914cb44fa73bb5270e2e310b2dd0/5ADC68CD/t51.2885-15/e35/16123971_1877528645815978_4934522337652375552_n.jpg,"A Steller’s Jay, one of the emblems of British Columbia, poses gracefully for the camera in Glacier National Park. You won’t have problems observing this beautiful bird, as it isn’t normally frightened by humans.",Jay one emblems British Columbia poses gracefully camera Glacier National Park problems observing beautiful bird normally frightened humans GlacierNationalParkCanada Canada150 parkscanada explorecanada Stellersjay birds bird birding nature birdsofinstagram birdstagram wildlifephotography birdphotography photography birdlover wildlifewednesday,"[""glaciernationalparkcanada"",""canada150"",""parkscanada"",""explorecanada"",""stellersjay"",""birds"",""bird"",""birding"",""nature"",""birdsofinstagram"",""birdstagram"",""wildlifephotography"",""birdphotography"",""photography"",""birdlover"",""wildlifewednesday""]",15.0,,1395,1410,Environmental,"['park', 'bird']",en,0.3516666666666667,positive,parks.canada_instagram
