,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_comments,num_shares,num_likes,Reactions_SUM,category,matched_keywords,language,average_sentiment_score,sentiment,account_name
38339,24,137563459593611_1543271082356168,2016-12-09 09:15:03,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1543271082356168/?type=3,"Happy Friday Follower Photo!!!

This stunning shot of Jasper National Park comes to us from @danielericmadrigal via Instagram. Don't forget to tag us (@parks.canada) and use #ParksCanada on IG so we can see your gorgeous parks pics! http://ow.ly/4eN9306WIbJ

Every Friday, we randomly pick a photo sent to us by a follower and feature it on our wall. If you would like to submit a photo for consideration, simply send us a message with your photo and caption.","Happy Friday Follower Photo!!! This stunning shot of Jasper National Park comes to us from via Instagram. Don't forget to tag us (.canada) and use on IG so we can see your gorgeous parks pics! Every Friday, we randomly pick a photo sent to us by a follower and feature it on our wall. If you would like to submit a photo for consideration, simply send us a message with your photo and caption.",['#ParksCanada'],59.0,228.0,2254,2813,Social,"['park', 'instagram', 'parkscanada', '#parkscanada', 'park', 'photo', 'photo', 'photo']",en,0.17854314735844587,positive,ParksCanada_facebook
38353,38,137563459593611_1555062454510364,2016-12-16 15:35:00,https://www.facebook.com/parkscanadawpg/photos/a.532371003541987.1073741828.527844677327953/1025265394252543/?type=3,How cute is this picture? Have yourselves a great weekend everyone! Daisy Gilardini Photography Parks Canada WPG,How cute is this picture? Have yourselves a great weekend everyone! Daisy Gilardini Photography Parks Canada WPG,[],38.0,0.0,1988,2383,unknown,[],en,0.1995729813664596,positive,ParksCanada_facebook
38363,48,137563459593611_1533550833328193,2016-12-02 12:19:16,,"We are thrilled that so many of you are excited for Canada150 and the free souvenir 2017 Parks Canada Discovery Pass. Due to the exceptionally high volume of Discovery Pass online orders, you may experience delays in accessing the site. 

We wish to remind those who are trying to order their pass online that this is not a limited time offer and encourage you to come back and try again later. If you are planning to visit soon, passes are also available at Parks Canada locations across the country starting January 1, 2017. 

We look forward to welcoming all visitors to experience the best of Canada’s natural and cultural heritage in 2017.","We are thrilled that so many of you are excited for Canada150 and the free souvenir Parks Canada Discovery Pass. Due to the exceptionally high volume of Discovery Pass online orders, you may eerience delays in accessing the site. We wish to remind those who are trying to order their pass online that this is not a limited time offer and encourage you to come back and try again later. If you are planning to visit soon, passes are also available at Parks Canada locations across the country starting January , . We look forward to welcoming all visitors to eerience the best of Canada’s natural and cultural heritage in .",[],215.0,686.0,1220,2256,Social,"['canada150', 'natural', 'heritage']",en,0.04991477272727272,positive,ParksCanada_facebook
38377,62,137563459593611_1552227361460540,2016-12-14 15:23:51,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1552227361460540/?type=3,"Haven't ordered your FREE #DiscoveryPass yet? No worries, there is NO DEADLINE! It'll be available throughout 2017! 
There are 2 ways to get your Discovery Pass: order online or get it in person at our entry gates and visitor centres... ALL THROUGH 2017!","Haven't ordered your FREE yet? No worries, there is NO DEADLINE! It'll be available throughout ! There are ways to get your Discovery Pass: order online or get it in person at our entry gates and visitor centres... ALL THROUGH !",['#DiscoveryPass'],126.0,1085.0,676,1948,Social,['#discoverypass'],en,0.050323275862068965,positive,ParksCanada_facebook
38403,88,137563459593611_1563728806977062,2016-12-27 10:15:01,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1563728806977062/?type=3,"Order your 2017 FREE #DiscoveryPass today and enter our #ParksContest for your chance to win an unforgettable 7-day trip for 4 to Western Newfoundland, 1 of 3 weekend getaways in one of our #oTENTiks, #ParksCanada merchandise and much more thanks to our partners MEC and CIBC. What are you waiting for?","Order your FREE today and enter our for your chance to win an unforgettable -day trip for to Western Newfoundland, of weekend getaways in one of our , merchandise and much more thanks to our partners MEC and CIBC. What are you waiting for?","['#DiscoveryPass', '#ParksContest', '#oTENTiks', '#ParksCanada']",110.0,486.0,957,1618,Social,"['#discoverypass', '#parkscanada', 'partner']",en,0.06454951298701299,positive,ParksCanada_facebook
40326,1,401846167974_10154930462952975,2016-12-22 08:56:56,https://www.facebook.com/TransportandInfrastructureinCanada/videos/10154930462952975/,"In case you missed it, Santa Claus renewed his commercial pilot’s license at Transport Canada! Watch Min Garneau give Santa the ok to fly! http://ow.ly/r5xO307mY09","In case you missed it, Santa Claus renewed his commercial pilot’s license at Transport Canada! Watch Min Garneau give Santa the ok to fly! 09",[],21.0,1147.0,226,1451,Social,"['santa', 'pilot', 'transport', 'santa']",en,0.0,neutral,TransportandInfrastructureinCanada_facebook
38441,126,137563459593611_1550547334961876,2016-12-13 10:39:25,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1550547334961876/?type=3,"Did you know Vuntut National Park is one of the least visited national parks in Canada? Remote and unspoiled Arctic wilderness, a First Nation’s history dating back millennia and the setting for one of the planet’s great animal migrations await the few visitors each year who make the trek! 

Find out what the other least visited parks are with MUCH #FarandWide: http://ow.ly/jGoa3075ltY Parks Canada Yukon Canada Keep Exploring","Did you know Vuntut National Park is one of the least visited national parks in Canada? Remote and unspoiled Arctic wilderness, a First Nation’s history dating back millennia and the setting for one of the planet’s great animal migrations await the few visitors each year who make the trek! Find out what the other least visited parks are with MUCH : Parks Canada Yukon Canada Keep Eloring",['#FarandWide'],50.0,109.0,1040,1298,Environmental,"['park', 'park', 'arctic', 'arctic', 'history', 'planet', 'park', 'yukon']",en,0.09990234375,positive,ParksCanada_facebook
38454,139,137563459593611_1563816513634958,2016-12-26 13:05:01,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1563816513634958/?type=3,"In Canada, we are fortunate to have the most extensive network of protected areas in the world. So this year, as we celebrate #Canada150, we encourage YOU to help the environment while on vacation! Here are our top ten ways to do just that: http://ow.ly/eXwk307pnkb

Photo taken in Pukaskwa National Park.","In Canada, we are fortunate to have the most extensive network of protected areas in the world. So this year, as we celebrate , we encourage YOU to help the environment while on vacation! Here are our top ten ways to do just that: Photo taken in Pukaskwa National Park.",['#Canada150'],10.0,120.0,1028,1230,Social,"['#canada150', 'environment', 'photo', 'park']",en,0.2706385281385281,positive,ParksCanada_facebook
38458,143,137563459593611_1574140529269223,2016-12-30 09:15:00,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1574140529269223/?type=3,"Happy Friday Follower Photo!!!

This amazing shot comes to us from Linda Unwin, who captioned it: ""We are from the UK and we can't get enough of Canada. This photo was taken in Jasper National Park.  It is our heaven on earth.""

Every Friday, we randomly pick a photo sent to us by a follower and feature it on our wall. If you would like to submit a photo for consideration, simply send us a message with your photo and caption.","Happy Friday Follower Photo!!! This amazing shot comes to us from Linda Unwin, who captioned it: ""We are from the UK and we can't get enough of Canada. This photo was taken in Jasper National Park. It is our heaven on earth."" Every Friday, we randomly pick a photo sent to us by a follower and feature it on our wall. If you would like to submit a photo for consideration, simply send us a message with your photo and caption.",[],25.0,66.0,1024,1211,Social,"['photo', 'park', 'photo', 'photo', 'photo']",en,0.16675084175084173,positive,ParksCanada_facebook
38477,162,137563459593611_1530949550254988,2016-12-19 12:10:32,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1530949550254988/?type=3,Olympian Clara Hughes and Minister Catherine McKenna already have their FREE 2017 #DiscoveryPass! Make sure to order yours and #ShowUsYourPass! #Canada150,Olympian Clara Hughes and Minister Catherine McKenna already have their FREE ! Make sure to order yours and !,"['#DiscoveryPass', '#ShowUsYourPass', '#Canada150']",90.0,211.0,777,1118,Social,"['minister', '#canada150']",en,0.08372519841269843,positive,ParksCanada_facebook
38478,163,137563459593611_1530724480277495,2016-12-10 09:15:06,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1530724480277495/?type=3,Last week we kicked off our exciting #ParksContest on our new #Instagram account: @parks.canada! Order your FREE #DiscoveryPass and enter our #contest today! http://ow.ly/eHO3306YHDT,Last week we kicked off our exciting on our new account: .canada! Order your FREE and enter our today!,"['#ParksContest', '#Instagram', '#DiscoveryPass', '#contest']",53.0,362.0,657,1114,Social,"['#instagram', '#discoverypass']",en,0.166605466130114,positive,ParksCanada_facebook
41654,3,811934980163194880,2016-12-22 14:02:38,"['https://t.co/eAwBFMJFtI', 'https://t.co/hK6THmPde']",#ICYMI- #Santa renewed his commercial pilot’s license! Watch what happened behind the scenes during his exam https://t.co/eAwBFMJFtI https://t.co/hK6THmPdeU,ICYMI Santa renewed commercial license Watch happened behind scenes exam https co eAwBFMJFtI https co hK6THmPdeU,"['#ICYMI', '#Santa']",,515.0,578,1093,Social,"['#santa', 'pilot']",en,-0.2,Neutral,Transport_gc_tweeter
38497,182,137563459593611_1529524350397508,2016-12-04 09:15:01,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1529524350397508/?type=3,"Happy #NationalCookieDay!!!
Try this classic and easy to make recipe for Scottish shortbread, dating back to the 19th century: http://ow.ly/VunNf 
 
Some have even declared these cookies the best they ever tasted!","Happy !!! Try this classic and easy to make recipe for Scottish shortbread, dating back to the th century: Some have even declared these cookies the best they ever tasted!",['#NationalCookieDay'],43.0,297.0,657,1046,unknown,[],en,0.08547548731870766,positive,ParksCanada_facebook
38256,353,2016-12-15_14-02-21,2016-12-15 14:02:21,https://instagram.fyvr3-1.fna.fbcdn.net/vp/d1bb3fc2afc2037b1fb1f71e572cc55a/5AEBAA3C/t51.2885-15/e35/15535496_361990617511532_8010289520878551040_n.jpg,"Take the journey! Eerience the backcountry powder on the Earth’s mantle of the Tablelands in National Park! PHOTO , and , head towards Southwest Gulch and then unwind by the woodstove in a hut. Click the link in our bio for more winter activities to discover in !",Take journey Experience backcountry powder mantle Tablelands GrosMorne National Park PHOTO tomcochrane Skiers snowboarders snowshoers head towards Southwest Gulch unwind woodstove ski hut nClick link bio winter activities discover 2017 Winter CanadianWinter snow snowseason ExploreCanada exploreNL Newfoundland ParksCanada,"[""grosmorne"",""skiers"",""snowboarders"",""snowshoers"",""ski"",""winter"",""canadianwinter"",""snow"",""snowseason"",""explorecanada"",""explorenl"",""newfoundland"",""parkscanada""]",7.0,,971,978,Social,"['photo', 'winter']",en,0.2255952380952381,positive,parks.canada_instagram
38518,203,137563459593611_1554851127864830,2016-12-24 13:10:01,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1554851127864830/?type=3,"Quttinirpaaq National Park is the northernmost park in Canada, and one of the least visited national parks! Find out what makes it unique with MUCH #FarandWide: http://ow.ly/2NCg307c7sm Parks Canada Nunavut Canada Keep Exploring","Quttinirpaaq National Park is the northernmost park in Canada, and one of the least visited national parks! Find out what makes it unique with MUCH : Parks Canada Nunavut Canada Keep Eloring",['#FarandWide'],17.0,69.0,781,944,Environmental,"['park', 'park', 'nunavut']",en,0.110609243697479,positive,ParksCanada_facebook
38519,204,137563459593611_1533806826635927,2016-12-05 12:10:02,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1533806826635927/?type=3,"Who's planning to #ExploreCanada in 2017?  Don't miss out on your chance to see some of our #HiddenGems and celebrate #Canada150 with us. http://ow.ly/pwAn306LgDi

Remember, our parks and sites are #FREE for everyone next year! What will you cross off of your bucket list? 

Photo taken in Mount Revelstoke and Glacier national parks.","Who's planning to in ? Don't miss out on your chance to see some of our and celebrate with us. Remember, our parks and sites are for everyone next year! What will you cross off of your bucket list? Photo taken in Mount Revelstoke and Glacier national parks.","['#ExploreCanada', '#HiddenGems', '#Canada150', '#FREE']",47.0,206.0,639,943,Environmental,"['#explorecanada', '#hiddengems', '#canada150', 'park', 'photo', 'park']",en,0.17498290043290046,positive,ParksCanada_facebook
38261,358,2016-12-11_14-40-48,2016-12-11 14:40:48,https://instagram.fyvr3-1.fna.fbcdn.net/vp/f97074734312b2131783ec81ca643a3c/5AE7595F/t51.2885-15/e35/15276640_708139796027255_6947249973696135168_n.jpg,"Have you ever seen a ? You might spot one of these big, powerful creatures if you head west from to Riding Mountain National Park’s aspen parkland; one of the best wildlife-viewing destinations in Canada! For more information and other , click the link in our bio! ",ever seen bison might spot one big powerful creatures head west Winnipeg Riding Mountain National aspen parkland one best wildlife viewing destinations Canada nFor information hiddengems click link bio RidingNP ParksCanada Canada150 Manitoba ExploreMB,"[""bison"",""winnipeg"",""hiddengems"",""ridingnp"",""parkscanada"",""canada150"",""manitoba"",""exploremb""]",12.0,,921,933,Environmental,['mountain'],en,0.229229797979798,positive,parks.canada_instagram
38262,359,2016-12-03_09-38-32,2016-12-03 09:38:32,https://instagram.fyvr3-1.fna.fbcdn.net/vp/df38caf55d05200793bf347191913168/5AE99522/t51.2885-15/e35/15538924_389389404732954_366035512605016064_n.jpg,"A big THANK YOU to all our new followers!!!.. like who shared with us this amazing photo of , that lies on the western slopes of the .",big THANK new followers like kevinandmelani shared us amazing photo YohonationalPark lies western slopes CanadianRockyMountains serene winterwonderland breathtaking,"[""yohonationalpark"",""canadianrockymountains"",""serene"",""winterwonderland"",""breathtaking""]",5.0,,924,929,Social,['photo'],en,0.325,positive,parks.canada_instagram
38263,360,2016-12-24_10-11-28,2016-12-24 10:11:28,https://instagram.fyvr3-1.fna.fbcdn.net/vp/2f5c2efe842c6631247c0d6b087b0bee/5AF6C833/t51.2885-15/e35/15625219_1355211301187248_6155584593626923008_n.jpg,"There's something truly magical about witnessing northern lights, especially this time of year! This winter, you too can watch this amazing natural phenomenon reflect off the ice of Clear Lake in Riding Mountain National Park. PHOTO ",something truly magical witnessing northern lights especially time year winter watch amazing natural phenomenon reflect ice Clear Lake Riding Mountain National Park nPHOTO jdleigh winter winterwonderland canadianwinter snow snowseason northernlights ridingnp travelmanitoba exploremb rmnp auroraborealis parkscanada canada150,"[""winter"",""winterwonderland"",""canadianwinter"",""snow"",""snowseason"",""northernlights"",""ridingnp"",""travelmanitoba"",""exploremb"",""rmnp"",""auroraborealis"",""parkscanada"",""canada150""]",11.0,,894,905,Environmental,"['northern', 'light', 'winter', 'natural', 'ice', 'lake', 'mountain', 'park', 'photo']",en,0.4501420454545455,positive,parks.canada_instagram
38268,365,2016-12-25_06-12-10,2016-12-25 06:12:10,https://instagram.fyvr3-1.fna.fbcdn.net/vp/92967bbed0dbd0b15f6646bf63b21de9/5AF11501/t51.2885-15/e35/15624005_1353065564746105_4883387273069985792_n.jpg,Today is all about you and your loved ones so we suggest cuddling like this polar bear family. This precious photo was taken in National Park which protects one of the largest polar bear maternity denning areas in the world! Merry Christmas and Happy Holidays!!!,Today loved ones suggest cuddling like polar bear family precious photo taken Wapusk National Park protects one largest polar bear maternity denning areas world Merry Christmas Happy Holidays winter winterwonderland canadianwinter snow family polarbear polarbears merrychristmas parkscanada Canada150,"[""wapusk"",""winter"",""winterwonderland"",""canadianwinter"",""snow"",""family"",""polarbear"",""polarbears"",""merrychristmas"",""parkscanada"",""canada150""]",12.0,,854,866,Social,"['family', 'photo', 'park', 'christmas']",en,0.15,positive,parks.canada_instagram
38269,366,2016-12-05_08-05-39,2016-12-05 08:05:39,https://instagram.fyvr3-1.fna.fbcdn.net/vp/a33521c01ebc8923c57cca3ead8b7a92/5AF80E07/t51.2885-15/e35/15338571_375818149419311_1664490227395198976_n.jpg,"Beautiful Grasslands National Park, one of our hidden gems! Discover some of Canada’s rarest wildlife, darkest skies, astonishing dinosaur fossils, over ,000 teepee rings, and varied landscapes, from buttes and valleys to breathtaking badlands. You can sleep in an oTENTik, teepee, or campsite. Your surprise awaits! Click the link in our bio to discover other ! Thank you for this amazing photo!",Beautiful Grasslands National Park one hidden gems Discover rarest wildlife darkest skies astonishing dinosaur fossils 12 000 teepee rings varied landscapes buttes valleys breathtaking badlands sleep oTENTik teepee campsite surprise awaits nClick link bio discover hiddengems nThank tourismsask brendanvanson photojbartlett amazing photo ExploreSask GrasslandsNationalPark GrasslandsNP ShareTheChair,"[""hiddengems"",""exploresask"",""grasslandsnationalpark"",""grasslandsnp"",""sharethechair""]",12.0,,850,862,Environmental,"['park', 'wildlife', 'fossil', 'landscape']",en,0.24839409722222225,positive,parks.canada_instagram
38559,244,137563459593611_1563774080305868,2016-12-31 10:35:03,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1563774080305868/?type=3,"It's difficult to take a bad picture at these gorgeous locations! Check out MUCH #FarandWide's list of most Instagrammable places in Canada. What's your favourite national park to Instagram? http://ow.ly/Z8Vq307pj3r

Don't forget to follow us on IG (parks.canada) and use #ParksCanada!

Photo taken in Kluane National Park and Reserve. Parks Canada Yukon",It's difficult to take a bad picture at these gorgeous locations! Check out MUCH 's list of most Instagrammable places in Canada. What's your favourite national park to Instagram? Don't forget to follow us on IG (parks.canada) and use ! Photo taken in Kluane National Park and Reserve. Parks Canada Yukon,"['#FarandWide', '#ParksCanada']",11.0,37.0,747,855,Social,"['park', 'instagram', 'parkscanada', 'photo', 'park', 'yukon']",en,0.2509469696969697,positive,ParksCanada_facebook
