,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_comments,num_shares,num_likes,Reactions_SUM,category,matched_keywords,language,average_sentiment_score,sentiment,account_name
41651,0,860102236936036352,2017-05-04 12:02:07,"['https://t.co/5fTSLgdPJt', 'https://t.co/axE5xmIprF']",#Recall All-Terrain Armored Transport the hydraulics could fail in extreme cold causing the #ATAT to fall https://t.co/5fTSLgdPJt #MayThe4th https://t.co/axE5xmIprF,Recall Terrain Armored Transport hydraulics could fail extreme cold causing ATAT fall https co 5fTSLgdPJt MayThe4th https co axE5xmIprF,"['#Recall', '#ATAT', '#MayThe4th']",,3039.0,3409,6448,Economical,"['#recall', 'transport']",en,-0.4083333333333334,Negative,Transport_gc_tweeter
38323,8,137563459593611_1713034198713188,2017-05-02 16:00:00,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1713034198713188/?type=3,"Would you like to join our dynamic team of park wardens and park warden-supervisors? As peace officers, park wardens protect Canada’s national parks, national marine conservation areas, and national historic sites in all regions of Canada. Apply now and get a chance to work in the beautiful setting of Canada’s protected areas! http://ow.ly/50xK30be2vU","Would you like to join our dynamic team of park wardens and park warden-supervisors? As peace officers, park wardens protect Canada’s national parks, national marine conservation areas, and national historic sites in all regions of Canada. Apply now and get a chance to work in the beautiful setting of Canada’s protected areas! U",[],515.0,1777.0,2352,4787,Environmental,"['park', 'park', 'park', 'park', 'marine', 'conservation']",en,0.008493589743589743,positive,ParksCanada_facebook
19914,0,863012819863842816,2017-05-12 12:47:44,"['https://t.co/pBnIVA0kzB', 'https://t.co/CpCZh4Gf']",BREAKING: First-ever footage of #Narwhals using their tusks to feed in the #Arctic  #OdySci https://t.co/pBnIVA0kzB https://t.co/CpCZh4Gfd0,BREAKING First ever footage Narwhals using tusks feed Arctic OdySci https co pBnIVA0kzB https co CpCZh4Gfd0,"['#Narwhals', '#Arctic', '#OdySci']",,1768.0,2570,4338,Environmental,"['breaking', '#arctic', '#odysci']",en,0.0,Neutral,DFO_Science_tweeter
37967,64,2017-05-27_18-10-42,2017-05-27 18:10:42,https://instagram.fyvr3-1.fna.fbcdn.net/vp/d2a35c9b6dcea9a3d66046f0b5c91378/5AF22449/t51.2885-15/e35/18646490_1312533512198217_6683614461476995072_n.jpg,This could be your view waking up this summer!! There’s no way around it: is THE best way to enjoy ’s nature! Make sure you do for ! Beautiful picture taken by in Gros Morne National Park  ,could view waking summer way around camping best way enjoy nature Make sure Canada150 nBeautiful picture taken j2hanson Gros Morne National Park CampingWeekCA hiking hikingadventures camping letscamp thegreatoutdoors wanderlust exploremore campingadventures canada explorecanada parkscanada letsgosomewhere instatravel getoutside neverstopexploring wildernessculture nature naturelovers naturephotography wild conservation photooftheday travel travelgram photography adventure landscape,"[""camping"",""canada"",""canada150"",""campingweekca"",""hiking"",""hikingadventures"",""camping"",""letscamp"",""thegreatoutdoors"",""wanderlust"",""exploremore"",""campingadventures"",""canada"",""explorecanada"",""parkscanada"",""letsgosomewhere"",""instatravel"",""getoutside"",""neverstopexploring"",""wildernessculture"",""nature"",""naturelovers"",""naturephotography"",""wild"",""conservation"",""photooftheday"",""travel"",""travelgram"",""photography"",""adventure"",""landscape""]",60.0,,3875,3935,Environmental,['park'],en,0.2248473011363636,positive,parks.canada_instagram
37985,82,2017-05-06_20-10-42,2017-05-06 20:10:42,https://instagram.fyvr3-1.fna.fbcdn.net/vp/0b53608fcf9e6ac1d859afc9f4ff957f/5AD84502/t51.2885-15/e35/18380091_1893928367562218_94965420586434560_n.jpg,"The Torngat Mountains are an Inuit homeland, a treasury of the powerful stories, spirits and traditions of centuries of travellers. Their descendants welcome those wishing to join them in following ancient footsteps through a dramatic landscape where nature and culture connect. Mesmerizing picture by ",Torngat Mountains Inuit homeland treasury powerful stories spirits traditions centuries travellers descendants welcome wishing join following ancient footsteps dramatic landscape nature culture connect nMesmerizing picture newfoundlandlabrador wildlife nature naturephotography conservation wildlifephotography photooftheday travel travelgram outdoors adventure naturephotography ExploreNL Newfoundland hike hiking history explorecanada canada parkscanada canada150 heritage,"[""wildlife"",""nature"",""naturephotography"",""conservation"",""wildlifephotography"",""photooftheday"",""travel"",""travelgram"",""outdoors"",""adventure"",""naturephotography"",""explorenl"",""newfoundland"",""hike"",""hiking"",""history"",""explorecanada"",""canada"",""parkscanada"",""canada150"",""heritage""]",48.0,,3536,3584,Social,"['inuit', 'landscape', 'nature', 'nature', 'culture']",en,0.287854609929078,positive,parks.canada_instagram
37995,92,2017-05-23_13-25-31,2017-05-23 13:25:31,https://instagram.fyvr3-1.fna.fbcdn.net/vp/4484d044612aa38ca425c5326cc9daab/5AD9E745/t51.2885-15/e35/18645375_1287276731389554_7524090822015320064_n.jpg,"Get in, we’re going camping!! is obviously our jam, and we couldn’t be more excited to share tips and tricks on proper camping practices with you all week long!! Follow our Twitter and Facebook accounts for more!! ️ Great photo taken at Nahanni National Park Reserve by ! ",Get going camping CampingWeekCA obviously jam excited share tips tricks proper camping practices week long Follow Twitter Facebook accounts Great photo taken Nahanni National Park Reserve nahanniwild hiking hikingadventures camping letscamp thegreatoutdoors wanderlust exploremore campingadventures canada explorecanada canada150 parkscanada letsgosomewhere instatravel getoutside neverstopexploring wildernessculture nature naturelovers naturephotography wild conservation photooftheday travel travelgram photography adventure landscape,"[""campingweekca"",""hiking"",""hikingadventures"",""camping"",""letscamp"",""thegreatoutdoors"",""wanderlust"",""exploremore"",""campingadventures"",""canada"",""explorecanada"",""canada150"",""parkscanada"",""letsgosomewhere"",""instatravel"",""getoutside"",""neverstopexploring"",""wildernessculture"",""nature"",""naturelovers"",""naturephotography"",""wild"",""conservation"",""photooftheday"",""travel"",""travelgram"",""photography"",""adventure"",""landscape""]",20.0,,3375,3395,Social,"['camping', 'photo', 'park']",en,0.35875,positive,parks.canada_instagram
37996,93,2017-05-31_13-28-06,2017-05-31 13:28:06,https://instagram.fyvr3-1.fna.fbcdn.net/vp/07f916e0a0952ae7bf361d6ff308a5c5/5AF725F6/t51.2885-15/e35/18808981_308782992892609_5211483247900360704_n.jpg,"The land of living skies, and cotton candy clouds, Prince Albert National Park is both wild and accessible! Whether your idea of adventure is portaging a canoe between remote forest lakes or a day of pulse-racing waterskiing and wakeboarding, it would be the perfect setting for your next adventure! Picture by ",land living skies cotton candy clouds Prince Albert National Park wild accessible Whether idea adventure portaging canoe remote forest lakes day pulse racing waterskiing wakeboarding would perfect setting next adventure nPicture Asavagefamily exploresk exploresask getouthere explore adventureculture liveyouradventure princealbert thegreatoutdoors lakelife canada explorecanada parkscanada canada150 hiking hikingadventures thegreatoutdoors wanderlust instatravel getoutside neverstopexploring wildernessculture nature naturelovers naturephotography wild conservation photooftheday travel travelgram,"[""exploresk"",""exploresask"",""getouthere"",""explore"",""adventureculture"",""liveyouradventure"",""princealbert"",""thegreatoutdoors"",""lakelife"",""canada"",""explorecanada"",""parkscanada"",""canada150"",""hiking"",""hikingadventures"",""thegreatoutdoors"",""wanderlust"",""instatravel"",""getoutside"",""neverstopexploring"",""wildernessculture"",""nature"",""naturelovers"",""naturephotography"",""wild"",""conservation"",""photooftheday"",""travel"",""travelgram""]",92.0,,3289,3381,Environmental,"['land', 'park', 'adventure', 'forest', 'lake']",en,0.4343492509363296,positive,parks.canada_instagram
38009,106,2017-05-14_19-09-12,2017-05-14 19:09:12,https://instagram.fyvr3-1.fna.fbcdn.net/vp/4ef59e1c6ef5d6fd067964ec2c25e73b/5AFCBC8C/t51.2885-15/e35/18443981_1908943576017230_2938336497566220288_n.jpg,"Sculptured bluffs, cliffs and caves in a rugged scenery: will Bruce Peninsula National Park be the backdrop to your next adventure? Weekends and holidays can be exceptionally busy in Bruce. Consider visiting the park in the early morning or during spring to enjoy the park in a quieter setting. Picture by ",Sculptured bluffs cliffs caves rugged scenery Bruce Peninsula National Park backdrop next adventure Weekends holidays exceptionally busy Bruce Consider visiting park early morning spring enjoy park quieter setting nPicture haleymaiphoto wildlife nature naturelovers naturephotography wild conservation wildlifephotography photooftheday travel travelgram beautiful photography outdoors adventure landscape naturephotography ontario exploreON travelontario bruce brucepeninsula brucepeninsulaNP explorecanada parkscanada canada150 canada,"[""wildlife"",""nature"",""naturelovers"",""naturephotography"",""wild"",""conservation"",""wildlifephotography"",""photooftheday"",""travel"",""travelgram"",""beautiful"",""photography"",""outdoors"",""adventure"",""landscape"",""naturephotography"",""ontario"",""exploreon"",""travelontario"",""bruce"",""brucepeninsula"",""brucepeninsulanp"",""explorecanada"",""parkscanada"",""canada150"",""canada""]",62.0,,3222,3284,Environmental,"['park', 'adventure', 'park', 'park']",en,0.12046252927400468,positive,parks.canada_instagram
38014,111,2017-05-20_15-02-38,2017-05-20 15:02:38,https://instagram.fyvr3-1.fna.fbcdn.net/vp/7fecefe6408675baaa46417ef52380e1/5AF2515B/t51.2885-15/e35/18581012_140696813140704_8780344910436892672_n.jpg,"Raise your hand if the only thing you want to do is flop on this dock and watch the clouds trail above your head for a whole afternoon! Make it happen at Whirlpool Lake in Riding Mountain National park! Thanks for the photo,  ",Raise hand thing want flop dock watch clouds trail head whole afternoon Make happen Whirlpool Lake Riding Mountain National park nThanks photo Hiking Lake Summer RidingMountainNationalPark Manitoba ExploreMB TravelManitoba ImagesOfCanada BestOfManitoba TrailsManitoba GetOutside canada explorecanada canada150 parkscanada letsgosomewhere instatravel neverstopexploring wildernessculture nature naturelovers naturephotography wild conservation photooftheday travel travelgram photography adventure landscape,"[""hiking"",""lake"",""summer"",""ridingmountainnationalpark"",""manitoba"",""exploremb"",""travelmanitoba"",""imagesofcanada"",""bestofmanitoba"",""trailsmanitoba"",""getoutside"",""canada"",""explorecanada"",""canada150"",""parkscanada"",""letsgosomewhere"",""instatravel"",""neverstopexploring"",""wildernessculture"",""nature"",""naturelovers"",""naturephotography"",""wild"",""conservation"",""photooftheday"",""travel"",""travelgram"",""photography"",""adventure"",""landscape""]",31.0,,3194,3225,Environmental,"['lake', 'mountain', 'photo']",en,0.1986431131592422,positive,parks.canada_instagram
38017,114,2017-05-02_13-54-25,2017-05-02 13:54:25,https://instagram.fyvr3-1.fna.fbcdn.net/vp/a0372382745a1ecc5c982a88f9483439/5AEC5A30/t51.2885-15/e35/18251349_1916312725280539_2436654312751890432_n.jpg,The alpine beauty of Jasper National Park shines even through the fog! The park will be busy this summer! Visit during springtime or start planning your visit for the fall if you want to avoid the crowds! Such a beautiful photo by ,alpine beauty Jasper National Park shines even fog park busy summer Visit springtime start planning visit fall want avoid crowds nSuch beautiful photo masonunrau Jasper JasperNP Jaspernationalpark fog mountain mountains rockies canadianrockies wildlife nature naturelovers naturephotography wild conservation wildlifephotography photooftheday travel travelgram beautiful photography outdoors adventure landscape naturephotography explorecanada parkscanada canada150 canada,"[""jasper"",""jaspernp"",""jaspernationalpark"",""fog"",""mountain"",""mountains"",""rockies"",""canadianrockies"",""wildlife"",""nature"",""naturelovers"",""naturephotography"",""wild"",""conservation"",""wildlifephotography"",""photooftheday"",""travel"",""travelgram"",""beautiful"",""photography"",""outdoors"",""adventure"",""landscape"",""naturephotography"",""explorecanada"",""parkscanada"",""canada150"",""canada""]",21.0,,3181,3202,Environmental,"['park', 'park', 'photo']",en,0.1462773998488284,positive,parks.canada_instagram
