Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,Reactions_SUM,category,language,average_sentiment_score,account_name,sentiment,lemmatized_text,matched_keywords,category
0,485734081568161_685291394945761,2016-02-23 11:45:32,https://www.facebook.com/QuestionsdargentCanada/photos/a.534106823397553.1073741828.485734081568161/685291394945761/?type=3,"ALERTE À LA FRAUDE: Prenez garde aux fraudeurs qui prétendent être de l'Agence du revenu du Canada (ARC). 

Dans ce type d'arnaque, le numéro affiché semble indiquer que l'appel provient de l'ARC. Les fraudeurs affirment que vous avez une dette fiscale et demandent un paiement immédiat par virement d'argent qu'il vous sera impossible de retracer ou par carte de crédit prépayée. Ils vous menacent aussi d'arrestation ou d'emprisonnement si vous ne le faites pas sans tarder.

Soyez toujours vigilant lorsque vous divulguez vos renseignements personnels ou financiers. Voici quelques points de repère pour détecter si l'appel vient vraiment de l'ARC: http://ow.ly/YExzg","ALERTE À LA FRAUDE: Prenez garde aux fraudeurs qui prétendent être de l'Agence du revenu du Canada (ARC). Dans ce type d'arnaque, le numéro affiché semble indiquer que l'appel provient de l'ARC. Les fraudeurs affirment que vous avez une dette fiscale et demandent un paiement immédiat par virement d'argent qu'il vous sera impossible de retracer ou par carte de crédit prépayée. Ils vous menacent aussi d'arrestation ou d'emprisonnement si vous ne le faites pas sans tarder. Soyez toujours vigilant lorsque vous divulguez vos renseignements personnels ou financiers. Voici quelques points de repère pour détecter si l'appel vient vraiment de l'ARC:",[],74,9,746,74,0,0,0,0,0,0,829,Economical,fr,0.03420138888888888,QuestionsdargentCanada_facebook,positive,"['alerte', 'fraude', 'prenez', 'garde', 'fraudeur', 'prétendent', 'être', ""l'agence"", 'revenu', 'canada', 'arc', 'type', ""d'arnaque"", 'numéro', 'affiché', 'semble', 'indiquer', ""l'appel"", 'provient', ""l'arc"", 'les', 'fraudeur', 'affirment', 'dette', 'fiscale', 'demandent', 'paiement', 'immédiat', 'virement', ""d'argent"", ""qu'il"", 'impossible', 'retracer', 'carte', 'crédit', 'prépayée', 'ils', 'menacent', 'aussi', ""d'arrestation"", ""d'emprisonnement"", 'faites', 'sans', 'tarder', 'toujours', 'vigilant', 'lorsque', 'divulguez', 'renseignement', 'personnel', 'ficiers', 'voici', 'quelques', 'point', 'repère', 'détecter', ""l'appel"", 'vient', 'vraiment', ""l'arc""]",['revenu'],Economical
1,485734081568161_688131747995059,2016-03-01 09:02:38,https://www.facebook.com/QuestionsdargentCanada/photos/a.534106823397553.1073741828.485734081568161/688131747995059/?type=3,"DÈS AUJOURD'HUI! Les Canadiens peuvent s'abonner à un forfait de télé de base qui ne coûte pas plus de 25 $ par mois. À compter du 1er mars, les entreprises de diffusion par câble ou par satellite doivent également offrir SOIT des services À LA CARTE sur une base individuelle OU de petits forfaits allant jusqu'à 10 canaux. Renseignez-vous auprès de votre fournisseur local : http://ow.ly/YT5S4","DÈS AUJOURD'HUI! Les Canadiens peuvent s'abonner à un forfait de télé de base qui ne coûte pas plus de $ par mois. À compter du er mars, les entreprises de diffusion par câble ou par satellite doivent également offrir SOIT des services À LA CARTE sur une base individuelle OU de petits forfaits allant jusqu'à canaux. Renseignez-vous auprès de votre fournisseur local :",[],81,13,243,78,3,0,0,0,0,0,337,unknown,fr,-0.046875,QuestionsdargentCanada_facebook,negative,"['dès', ""aujourd'hui"", 'les', 'canadien', 'peuvent', ""s'abonner"", 'forfait', 'télé', 'base', 'coûte', 'plus', 'mois', 'compter', 'mars', 'les', 'entreprise', 'diffusion', 'câble', 'satellite', 'doivent', 'également', 'offrir', 'service', 'carte', 'base', 'individuel', 'petit', 'forfait', 'allant', ""jusqu'à"", 'canal', 'renseignez-vous', 'auprès', 'fournisseur', 'local']",[],unknown
2,485734081568161_676778492463718,2016-02-02 11:46:01,http://ow.ly/XNDoF,"À compter de mars 2016, les entreprises canadiennes de câblodistribution et de télévision devront offrir un service d’entrée de gamme à prix abordable dont le tarif mensuel ne doit pas dépasser 25 $. Le #saviezvous?

Avec ce nouveau service d’entrée de gamme, les Canadiens auront accès, à un coût raisonnable, aux canaux canadiens locaux et régionaux. Renseignez-vous sur les changements qui découlent de la consultation Parlons télé du CRTC: http://ow.ly/XNDoF","À compter de mars , les entreprises canadiennes de câblodistribution et de télévision devront offrir un service d’entrée de gamme à prix abordable dont le tarif mensuel ne doit pas dépasser $. Le ? Avec ce nouveau service d’entrée de gamme, les Canadiens auront accès, à un coût raisonnable, aux canaux canadiens locaux et régionaux. Renseignez-vous sur les changements qui découlent de la consultation Parlons télé du CRTC:",['#saviezvous'],94,13,141,94,0,0,0,0,0,0,248,Social,fr,-0.0032894736842105283,QuestionsdargentCanada_facebook,negative,"['saviezvous', 'compter', 'mars', 'les', 'entreprise', 'canadien', 'câblodistribution', 'télévision', 'devront', 'offrir', 'service', ""d'entrée"", 'gamme', 'prix', 'abordable', 'dont', 'tarif', 'mensuel', 'doit', 'dépasser', 'nouveau', 'service', ""d'entrée"", 'gamme', 'les', 'canadien', 'accès', 'coût', 'raisonnable', 'canal', 'canadien', 'locaux', 'régional', 'renseignez-vous', 'les', 'changement', 'découlent', 'consultation', 'parlons', 'télé', 'crtc']",['changement'],Social
3,485734081568161_726632987478268,2016-05-16 17:45:30,http://ow.ly/clRG300b3nw,"Saviez-vous qu’il est possible de recevoir jusqu’à 2000 $ pour le régime enregistré d’épargne-études de votre enfant, SANS avoir à investir VOTRE PROPRE ARGENT?

Le Bon d’études canadien est une somme que le gouvernement du Canada dépose dans le REEE d’un enfant pour aider ses parents à commencer à épargner pour ses études postsecondaires. Pour en savoir davantage: http://ow.ly/clRG300b3nw","Saviez-vous qu’il est possible de recevoir jusqu’à $ pour le régime enregistré d’épargne-études de votre enfant, SANS avoir à investir VOTRE PROPRE ARGENT? Le Bon d’études canadien est une somme que le gouvernement du Canada dépose dans le REEE d’un enfant pour aider ses parents à commencer à épargner pour ses études postsecondaires. Pour en savoir davantage:",[],32,6,131,29,2,0,1,0,0,0,169,Social,fr,0.05555555555555555,QuestionsdargentCanada_facebook,positive,"['saviez-vous', ""qu'il"", 'possible', 'recevoir', ""jusqu'à"", 'régime', 'enregistré', ""d'épargne-études"", 'enfant', 'sans', 'avoir', 'investir', 'propre', 'argent', 'bon', ""d'études"", 'canadien', 'somme', 'gouvernement', 'canada', 'dépose', 'reee', ""d'un"", 'enfant', 'aider', 'parent', 'commencer', 'épargner', 'étude', 'postsecondaires', 'savoir', 'davantage']","['enfant', 'propre', 'enfant']",Social
4,485734081568161_674594319348802,2016-01-28 11:46:07,http://ow.ly/Xvpi5,"Les frais de garde d’enfants grugent une bonne partie de votre revenu? #Saviezvous que vous pouvez les déduire de vos impôts?

Pour l’exercice fiscal 2015, vous pouvez réclamer jusqu’à 8 000 $ pour les frais de garde d’enfants qui sont âgés de 6 ans ou moins à la fin de l’exercice. Pour les enfants de plus de 6 ans et de moins de 16 ans, vous pouvez réclamer 5 000 $ annuellement. Renseignez-vous : http://ow.ly/Xvpi5","Les frais de garde d’enfants grugent une bonne partie de votre revenu? que vous pouvez les déduire de vos impôts? Pour l’exercice fiscal , vous pouvez réclamer jusqu’à $ pour les frais de garde d’enfants qui sont âgés de ans ou moins à la fin de l’exercice. Pour les enfants de plus de ans et de moins de ans, vous pouvez réclamer $ annuellement. Renseignez-vous :",['#Saviezvous'],36,8,114,36,0,0,0,0,0,0,158,Social,fr,0.0625,QuestionsdargentCanada_facebook,positive,"['saviezvous', 'les', 'frais', 'garde', ""d'enfants"", 'grugent', 'bonne', 'partie', 'revenu', 'pouvez', 'les', 'déduire', 'impôt', ""l'exercice"", 'fiscal', 'pouvez', 'réclamer', ""jusqu'à"", 'les', 'frais', 'garde', ""d'enfants"", 'âgés', 'moins', 'fin', ""l'exercice"", 'les', 'enfant', 'plus', 'moins', 'pouvez', 'réclamer', 'annuellement', 'renseignez-vous']","['revenu', 'enfant']",Social
5,485734081568161_878860185588880,2017-02-06 11:45:31,https://www.facebook.com/QuestionsdargentCanada/photos/a.534106823397553.1073741828.485734081568161/878860185588880/?type=3,"Avez-vous entendu parler du défi 52 semaines d’économie?

Même si nous sommes en février, il n’est pas trop tard pour adopter une bonne stratégie d’économie. Il suffit d’avoir un bon plan et des objectifs réalistes.
Le défi consiste à épargner graduellement. Donc, économisez un dollar la première semaine, deux dollars la deuxième semaine, trois dollars la troisième, et ainsi de suite. À ce rythme, vous aurez économisé 1 378 $ d’ici la fin de 2017.
Comme nous en sommes à la 6e semaine de l’année, il faut rattraper le temps perdu. Alors, économisez 21$ cette semaine.
 
Apprenez d’autres façons d’économiser: https://www.canada.ca/fr/agence-consommation-matiere-financiere/services/epargnes-investissements/objectifs-epargne-investissement.html","Avez-vous entendu parler du défi semaines d’économie? Même si nous sommes en février, il n’est pas trop tard pour adopter une bonne stratégie d’économie. Il suffit d’avoir un bon plan et des objectifs réalistes. Le défi consiste à épargner graduellement. Donc, économisez un dollar la première semaine, deux dollars la deuxième semaine, trois dollars la troisième, et ainsi de suite. À ce rythme, vous aurez économisé $ d’ici la fin de . Comme nous en sommes à la e semaine de l’année, il faut rattraper le temps perdu. Alors, économisez $ cette semaine. Apprenez d’autres façons d’économiser:",[],67,16,74,58,7,2,0,0,0,0,157,unknown,fr,0.04736842105263158,QuestionsdargentCanada_facebook,positive,"['avez-vous', 'entendu', 'parler', 'défi', 'semaine', ""d'économie"", 'février', ""n'est"", 'trop', 'tard', 'adopter', 'bonne', 'stratégie', ""d'économie"", 'suffit', ""d'avoir"", 'bon', 'plan', 'objectif', 'réaliste', 'défi', 'consiste', 'épargner', 'graduellement', 'donc', 'économisez', 'dollar', 'première', 'semaine', 'deux', 'dollar', 'deuxième', 'semaine', 'trois', 'dollar', 'troisième', 'ainsi', 'suite', 'rythme', 'économisé', ""d'ici"", 'fin', 'comme', 'semaine', ""l'année"", 'faut', 'rattraper', 'temps', 'perdu', 'alors', 'économisez', 'cette', 'semaine', 'apprenez', ""d'autres"", 'façon', ""d'économiser""]",[],unknown
6,485734081568161_695050050636562,2016-03-16 13:45:16,http://ow.ly/Zy2HQ,Vous cherchez un emploi offrant des heures de travail flexibles et un salaire concurrentiel? Statistique Canada est actuellement en processus d’embauche en vue du #recensementde2016. Postulez dès maintenant! http://ow.ly/Zy2HQ,Vous cherchez un emploi offrant des heures de travail flexibles et un salaire concurrentiel? Statistique Canada est actuellement en processus d’embauche en vue du . Postulez dès maintenant!,['#recensementde2016'],31,16,108,30,1,0,0,0,0,0,155,Economical,fr,0.054545454545454564,QuestionsdargentCanada_facebook,positive,"['recensementde2016', 'cherchez', 'emploi', 'offrant', 'heure', 'travail', 'flexibles', 'salaire', 'concurrentiel', 'statistique', 'canada', 'actuellement', 'processus', ""d'embauche"", 'vue', 'postulez', 'dès', 'maintet']",['emploi'],Economical
7,485734081568161_1014228178718746,2017-09-12 07:32:18,https://www.facebook.com/QuestionsdargentCanada/videos/1014228178718746/,"#AlerteFraude: Vous recevez un appel ou un message d’une personne qui dit travailler pour l’Agence du revenu du Canada qui vous avertit que vous pourriez être poursuivi ou arrêté?

C'est une FRAUDE! Raccrochez-lui au nez ou supprimez le message! Ne retournez pas son appel — les fraudeurs veulent que vous les rappeliez à l’aide de leur faux numéro pour qu’ils puissent voler votre argent ou usurper votre identité. Gardez à l’esprit que l’ARC ne menace pas les gens et ne leur demande pas leur numéro de carte de crédit ou tout autre renseignement personnel par téléphone. 

Protégez-vous contre la fraude téléphonique: http://ow.ly/jpr230f1gO5",: Vous recevez un appel ou un message d’une personne qui dit travailler pour l’Agence du revenu du Canada qui vous avertit que vous pourriez être poursuivi ou arrêté? C'est une FRAUDE! Raccrochez-lui au nez ou supprimez le message! Ne retournez pas son appel — les fraudeurs veulent que vous les rappeliez à l’aide de leur faux numéro pour qu’ils puissent voler votre argent ou usurper votre identité. Gardez à l’esprit que l’ARC ne menace pas les gens et ne leur demande pas leur numéro de carte de crédit ou tout autre renseignement personnel par téléphone. Protégez-vous contre la fraude téléphonique:,['#AlerteFraude'],27,1,126,13,2,7,0,0,5,0,154,Economical,fr,0.0,QuestionsdargentCanada_facebook,neutral,"['alertefraude', 'recevez', 'appel', 'message', ""d'une"", 'personne', 'dit', 'travailler', ""l'agence"", 'revenu', 'canada', 'avertit', 'pourriez', 'être', 'poursuivi', 'arrêté', ""c'est"", 'fraude', 'raccrochez-lui', 'nez', 'supprimez', 'message', 'retournez', 'appel', 'les', 'fraudeur', 'veulent', 'les', 'rappeliez', ""l'aide"", 'faux', 'numéro', ""qu'ils"", 'puissent', 'voler', 'argent', 'usurper', 'identité', 'gardez', ""l'esprit"", ""l'arc"", 'menace', 'les', 'gens', 'demande', 'numéro', 'carte', 'crédit', 'tout', 'autre', 'renseignement', 'personnel', 'téléphone', 'protégez-vous', 'contre', 'fraude', 'téléphonique']",['revenu'],Economical
8,485734081568161_906512776156954,2017-03-22 14:54:43,https://www.facebook.com/QuestionsdargentCanada/videos/906512776156954/,"Le ministre des Finances, Bill Morneau, dépose le #Budget2017 dans la Chambre des communes – le 22 mars 2017 à Ottawa","Le ministre des Finances, Bill Morneau, dépose le dans la Chambre des communes – le mars à Ottawa",['#Budget2017'],71,41,40,52,10,1,2,0,6,0,152,Economical,fr,0.10032954545454546,QuestionsdargentCanada_facebook,positive,"['budget2017', 'ministre', 'fices', 'bill', 'morneau', 'dépose', 'chambre', 'commune', 'mars', 'ottawa']",['ministre'],Economical
9,485734081568161_668828659925368,2016-01-13 11:45:54,http://ow.ly/WX3RG,"Si vous êtes âgé de 65 ans ou plus et que vous avez un faible revenu, vous pourriez recevoir le Supplément de revenu garanti, qui s’ajoute à la pension de la Sécurité de la vieillesse. 

Pour être admissible au Supplément de revenu garanti, il faut être résident autorisé du Canada, recevoir une pension de la Sécurité de la vieillesse et avoir un revenu annuel inférieur au seuil établi. Plus d’info: http://ow.ly/WX3RG","Si vous êtes âgé de ans ou plus et que vous avez un faible revenu, vous pourriez recevoir le Supplément de revenu garanti, qui s’ajoute à la pension de la Sécurité de la vieillesse. Pour être admissible au Supplément de revenu garanti, il faut être résident autorisé du Canada, recevoir une pension de la Sécurité de la vieillesse et avoir un revenu annuel inférieur au seuil établi. Plus d’info:",[],35,9,89,35,0,0,0,0,0,0,133,Economical,fr,0.0,QuestionsdargentCanada_facebook,neutral,"['âgé', 'plus', 'faible', 'revenu', 'pourriez', 'recevoir', 'supplément', 'revenu', 'garanti', ""s'ajoute"", 'pension', 'sécurité', 'vieillesse', 'être', 'admissible', 'supplément', 'revenu', 'garanti', 'faut', 'être', 'résident', 'autorisé', 'canada', 'recevoir', 'pension', 'sécurité', 'vieillesse', 'avoir', 'revenu', 'annuel', 'inférieur', 'seuil', 'établi', 'plus', ""d'info""]","['revenu', 'revenu', 'revenu', 'revenu']",Economical
