,shortcode,mediaid,caption_hashtags,typename,url,caption_mentions,comments,caption,likes,tagged_users,date,is_video,id,owner_username,owner_id,video_url
0,BNe5DJhh9pT,1.3958E+18,"[""parcscanada"",""gratuit"",""concours"",""grosmorne"",""canada150"",""entréegratuiteen2017"",""voyagedunevie"",""explorecanada"",""pngrosmorne"",""terreneuve""]",GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/f170ee930a4862e971c6f406b5a0f5af/5AEBBC56/t51.2885-15/e35/19379530_241139069709111_6512404712732491776_n.jpg,[],4,Un cadeau du Canada pour vous : la carte d’entrée Découverte vous donne accès gratuitement aux endroits de ! EN PRIME : Commandez votre laissez-passer et vous serez inscrit à notre pour courir la chance de gagner un voyage inoubliable au magnifique parc national du . Cliquez sur le lien dans notre bio pour obtenir plus d’information. éeGratuiteEn2017,27,[],2016-12-01T09:20:05,FALSE,2016-12-01_09-20-05,parcs.canada,4141034395,
1,BNiA5ozh_Qh,1.39668E+18,"[""pnlacswaterton"",""canada150"",""vendredi"",""photodabonnés"",""parcscanada""]",GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/804f12c47b3774b635df7ef3e80af1bd/5AFC4A5B/t51.2885-15/e35/19367717_698576593664368_4071674819614081024_n.jpg,"[""kassdaze""]",0,"C'est enfin le week-end! C'est un plaisir de voir toutes vos photos comme celle-ci de au , là où la montagne et la prairie se rencontrent.Nous sommes également ravis de la vague d'enthousiasme pour et l'entrée gratuite avec la carte Découverte. Merci pour votre patience en essayant d'accéder au site!  és",28,"[""kassandraa.d""]",2016-12-02T14:26:25,FALSE,2016-12-02_14-26-25,parcs.canada,4141034395,
2,BNkGecQBrao,1.39727E+18,"[""parcnationalyoho"",""rocheusescanadiennes"",""serein"",""paisible"",""merveillesdhiver""]",GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/50325260c4de57fa1ee97ef41e4b9dc9/5ADC01B9/t51.2885-15/e35/19380091_137632950147140_2541697998652440576_n.jpg,"[""kevinandmelani""]",1,"Un grand MERCI à tous nos nouveaux abonnés!!!... Comme qui ont partagé cette magnifique photo du , situé dans la partie ouest des .",29,"[""kevinandmelani""]",2016-12-03T09:53:37,FALSE,2016-12-03_09-53-37,parcs.canada,4141034395,
3,BNmp44KBdoB,1.39799E+18,"[""pacificrim"",""rpnpacificrim"",""parcscanada""]",GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/3c4b9501cdaf858b04fb1eb643193d38/5AE45CB4/t51.2885-15/e35/19228928_1981320628765581_2267535697684463616_n.jpg,[],1,"Si l'été vous manque déjà levez la main! En regardant cette impressionnante photo de la Réserve de parc national du Canada Pacific Rim, vous pouvez pratiquement sentir le sable glisser entre vos orteilles!",15,[],2016-12-04T09:41:32,FALSE,2016-12-04_09-41-32,parcs.canada,4141034395,
4,BNpFTipB3rw,1.39867E+18,"[""exploresask"",""pndesprairies"",""parcnationaldesprairies"",""partagezlachaise""]",GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/ac529fadc2573359730b63690f98cf1d/5ADDA47B/t51.2885-15/e35/19428786_104205183537739_3575746559536529408_n.jpg,"[""tourismsask"",""brendanvanson"",""photojbartlett""]",1,"Le magnifique parc national des Prairies, un endroit privilégié à découvrir! Découvrez les espèces fauniques les plus inusitées du Canada, profitez de l’obscurité pour observer les étoiles; vous pourrez aussi y voir d’incroyables fossiles de dinosaures, plus de cercles de tipis et différents paysages, dont des buttes et des vallées ainsi qu’une vue à couper le souffle sur les badlands. Vous pouvez dormir dans une tente oTENTik, un tipi ou un terrain de camping. Vous serez surpris! Clickez le lien dans notre bio pour connaître d'autres joyaux à découvrir.MERCI à pour cette photo!",27,[],2016-12-05T08:19:35,FALSE,2016-12-05_08-19-35,parcs.canada,4141034395,
5,BNsTH2OBOBD,1.39958E+18,"[""toronto"",""montréal"",""canada150"",""parcnationalmi"",""milleiles"",""parcscanada""]",GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/6791f5ead553ad743d5bb392aa04c065/5AF7B8AF/t51.2885-15/e35/19436514_317650635358415_7362780680830320640_n.jpg,[],1,"Voici un autre endroit privilégié à découvrir en : le parc national des Mille-Îles! Vivez la magie de cette nature sauvage captivante et historique, située à quelques heures de et de éal. Cliquez le lien dans notre bio pour plus d'info et pour connaître d'autres joyaux qui valent la peine d'être visités!",34,[],2016-12-06T14:18:03,FALSE,2016-12-06_14-18-03,parcs.canada,4141034395,
6,BNuwYEzBz5F,1.40027E+18,"[""mingan"",""archipeldemingan"",""parcscanada"",""canada150""]",GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/bd5a70f50e9e34b5bd8ccf7efcc478a3/5AE5B0BF/t51.2885-15/e35/19380149_781041905387909_7840074031293267968_n.jpg,[],1,Nos endroits privilégiés à découvrir en sont en vedettes cette semaine! Laissez-vous émerveiller par la beauté du paysage et les formations rocheuses intéressantes qui se trouvent à la réserve de parc national de l'Archipel-de-!Cliquez sur le lien dans notre bio pour plus d'info et voir d'autres destinations inspirantes.,28,[],2016-12-07T13:12:09,FALSE,2016-12-07_13-12-09,parcs.canada,4141034395,
7,BNxVytxB7eJ,1.401E+18,"[""lanseauxmeadows"",""viking"",""patrimoine"",""trésor"",""parcscanada"",""canada150""]",GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/77944c4dc6d0c82dfbbcdbb2c3db4cbb/5AF7E80A/t51.2885-15/e35/19425440_112421656040163_5127600749903085568_n.jpg,[],1,Libérez le Viking qui sommeille en vous au lieu historique national de L'Anse aux Meadows! C'est le SEUL endroit scandinave attesté de ce genre en Amérique du Nord ce qui fait de lui un trésor patrimonial mondial! Cliquez sur le lien dans notre bio pour plus d'info et voir d'autres joyaux à découvrir!  ésor,27,[],2016-12-08T13:17:35,FALSE,2016-12-08_13-17-35,parcs.canada,4141034395,
8,BNz28x7BNlh,1.40171E+18,"[""lowerfortgarry"",""parcscanada"",""canada150"",""manitoba""]",GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/deb58653ef59577ab5770d0abed9c3f3/5AFB1D9B/t51.2885-15/e35/19379970_444256772624482_1580873360240279552_n.jpg,[],1,Revivez les débuts de l'époque du commerce des fourrures au milieu des années au lieu historique national de Lower Fort Garry! Un de nos endroits privilégiés à découvrir l'an prochain! Cliquez sur le lien dans notre bio pour plus d'info et voir d'autres joyaux à découvrir! ,23,[],2016-12-09T12:45:48,FALSE,2016-12-09_12-45-48,parcs.canada,4141034395,
9,BN5NEKwBTyy,1.40321E+18,"[""pnriding"",""parcscanada"",""canada150"",""manitoba"",""exploremb""]",GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/24613852b14b83d16d1a06c98bfdc415/5AF5DC3F/t51.2885-15/e35/19367536_627030544162985_5570581224386199552_n.jpg,[],1,"Avez-vous déjà vu un bison? Rendez-vous dans l’ouest de Winnipeg et découvrez la forêt-parc à trembles du parc national Mont-Riding, l’une des meilleures destinations au Canada pour observer la faune.Cliquez sur le lien dans notre bio pour plus d'info et voir d'autres joyaux à découvrir! ",36,[],2016-12-11T14:35:15,FALSE,2016-12-11_14-35-15,parcs.canada,4141034395,
10,BN702mZBWPX,1.40395E+18,"[""kouchibouguac"",""hiver"",""vélo"",""cycliste"",""neige"",""pnkouchibouguac"",""parcscanada"",""canada150""]",GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/35dad97526569b13b425402ca2e8cb75/5AEE6CD1/t51.2885-15/e35/19379462_301713140240089_5038570832385802240_n.jpg,"[""deography""]",0,Faites vos plans hivernales dès maintenant!Essayez un « fat bike » au parc national . Parcourez les circuits en vous laissant inspirer par la blancheur hivernale du parc. Cliquez sur le lien dans notre bio pour voir nos dix activités d'hiver à découvrir!  élo,22,"[""deography""]",2016-12-12T15:01:24,FALSE,2016-12-12_15-01-24,parcs.canada,4141034395,
11,BN-LKj9hr3l,1.40461E+18,"[""hiver"",""neige"",""exploreon"",""pêchesurglace"",""lacsupérieur"",""ontario"",""parcscanada"",""canada150""]",GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/a7c649a1110cd6c910a6cfa6314ba5a0/5ADD05F2/t51.2885-15/e35/19424940_301442966970364_4226719630011400192_n.jpg,[],0,"Avez-vous déjà essayé la pêche sur glace? Avec plus de espèces de poissons, l'aire marine nationale de conservation du Lac-Supérieur est l'endroit idéal pour tenter l’eérience! Réchauffez-vous dans une cabane de pêche confortable ou respirer l'air vivifiant de l'hiver en admirant le paysage spectaculaire. Laissez-nous vous aider à planifier votre prochaine activité hivernale : cliquez sur le lien dans notre bio!  êchesurglace érieur",26,[],2016-12-13T12:54:51,FALSE,2016-12-13_12-54-51,parcs.canada,4141034395,
12,BOA9wFTh3gc,1.40539E+18,"[""pnmauricie"",""lamauricie"",""hiver"",""neige"",""parcscanada"",""canada150""]",GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/59576f9fea91e3ef3ec9e3f6307c0f86/5AFEED8B/t51.2885-15/e35/19367793_1601869446512865_1911618505258565632_n.jpg,"[""emilieduchesne1""]",0,"Ski de fond, graphineige ou randonnées en raquettes – des activités pour tous au parc national de la Mauricie! Pourquoi ne pas essayez quelque chose de nouveau cet hiver?!Cliquez sur le lien dans notre bio pour voir nos dix activités d'hiver à découvrir! ",42,[],2016-12-14T14:55:21,FALSE,2016-12-14_14-55-21,parcs.canada,4141034395,
13,BODdEXmhi3-,1.4061E+18,"[""hiver"",""skieurs"",""surfeurs"",""raquetteurs"",""ski"",""neige"",""explorecanada"",""explorenl"",""pngrosmorne"",""terreneuve"",""parcscanada""]",GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/3351122292c6261b425100f0c38e3693/5AF2A007/t51.2885-15/e35/19425016_1956333694598792_4315017667921575936_n.jpg,"[""tomcochrane""]",0,"Prenez la route cet et faites l'eérience de l'épais manteau de poudreuse dans l'arrière-pays et parcourez les Tablelands au parc national du Gros Morne! PHOTO Les , des neiges et se dirigent vers le ravin Southwest et se détendent ensuite auprès du poêle à bois dans un abri. Cliquez sur le lien dans notre bio pour voir nos dix activités d'hiver à découvrir! ",51,[],2016-12-15T14:07:29,FALSE,2016-12-15_14-07-29,parcs.canada,4141034395,
14,BOGCe1-BsWI,1.40682E+18,"[""hiver"",""neige"",""sourcesthermales"",""parcscanada"",""canada150"",""pnkootenay"",""colombiebritannique""]",GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/fc09a2b3c8a2e0afca02a64eb2e06533/5ADC0189/t51.2885-15/e35/19367849_1580246478661702_8991502480713973760_n.jpg,[],0,"Il fait peut-être un peu froid dehors, mais nous avons la solution pour vous réchauffer! Venez relaxer dans les eaux minérales réconfortantes des sources thermales Radium et essayez de repérer un mouflon dans son habitat naturel au parc national Kootenay. Cliquez sur le lien dans notre bio pour voir nos dix activités d'hiver à découvrir! ",36,[],2016-12-16T14:12:54,FALSE,2016-12-16_14-12-54,parcs.canada,4141034395,
15,BOIjKsdhApd,1.40753E+18,"[""hiver"",""neige"",""toboggan"",""parcscanada"",""canada150"",""nouveaubrunswick"",""explorenb"",""pnfundy""]",GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/37b1688ab578be893f4b6069ba6fc000/5AFBCE93/t51.2885-15/e35/19367270_974750499334596_2345212934306660352_n.jpg,[],0,Passez une après-midi avec votre famille et amis au parc national Fundy et retournez à la maison la tête remplie de souvenirs qui sauront vous réchauffer cette saison. Cliquez sur le lien dans notre bio pour voir nos dix activités d'hiver à découvrir! ,23,[],2016-12-17T13:36:59,FALSE,2016-12-17_13-36-59,parcs.canada,4141034395,
16,BOLYXwXh6dV,1.40833E+18,"[""hiver"",""neige"",""parcscanada"",""canada150"",""parcnationalcanadadesglaciers""]",GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/f275bfc355df0d5486facf7472553453/5AE63763/t51.2885-15/e35/19228818_1324984624265252_5229833508557422592_n.jpg,"[""jorunswild""]",0,"Le Canada est un véritable paradis hivernal, et une multitude d'activités à essayer pendant les mois d'hiver.Cette magnifique photo de a été prise au col Rogers en plein cœur du parc national des Glaciers.Cliquez sur le lien dans notre bio pour voir nos dix activités d'hiver à découvrir! ",30,[],2016-12-18T16:00:22,FALSE,2016-12-18_16-00-22,parcs.canada,4141034395,
17,BONLvGQBNPw,1.40883E+18,"[""canalrideau"",""ottawa"",""cartedécouverte"",""montrezvotrecarte"",""canada150"",""explorecanada"",""entréegratuite"",""parcscanada""]",GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/4ba76ea6eaae347105ad882cf57c62d5/5AFA330D/t51.2885-15/e35/19379737_461462660877695_8134313066692083712_n.jpg,"[""claraannehughes""]",2,"L'olympienne et la ministre Catherine McKenna près du à . Elles ont déjà leur écouverte GRATUITE, et vous??? Commandez la vôtre et ! Cliquez sur le lien dans notre bio pour plus d'info!  éeGratuite",39,[],2016-12-19T08:48:26,FALSE,2016-12-19_08-48-26,parcs.canada,4141034395,
18,BOQOPYDhqHq,1.40969E+18,"[""canada150"",""forteresse"",""forteressedelouisbourg"",""jaimelouisbourg"",""nouvelleécosse"",""explorecanada"",""parcscanada""]",GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/35c4e0d56ef9e967237c01505d2038be/5AFC8260/t51.2885-15/e35/19379256_1916213341992451_4459020207595192320_n.jpg,[],0,"Ajoutez un élément percutant à votre visite ce , soyez apprenti canonnier et tirez au canon ou apprenez à tirer au mousquet. Revivez la vie quotidienne au lieu historique national de la -de-Louisbourg telle qu'elle était au XVIIIe siècle.Cliquez le lien dans notre bio pour voir eériences interactives pour découvrir l'histoire du Canada. Écosse",22,[],2016-12-20T13:08:03,FALSE,2016-12-20_13-08-03,parcs.canada,4141034395,
19,BOSpx0-h-ff,1.41037E+18,"[""ski"",""histoire"",""pnmountrevelstoke"",""revelstoke"",""colombiebritannique""]",GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/3f0e59f7a744c166aa80401d68e18acf/5AFCD93C/t51.2885-15/e35/19367059_669284643263405_731639707414298624_n.jpg,[],0,"Découvrez le célèbre tremplin de saut à du Mont Revelstoke depuis la plateforme de départ. Au sommet du tremplin, enfilez les « Nels’ Knickers » : des skis de saut surmontés d'un dossard de compétition.Cliquez le lien dans notre bio pour des eériences interactives pour découvrir l' du Canada!",26,[],2016-12-21T11:47:10,FALSE,2016-12-21_11-47-10,parcs.canada,4141034395,
20,BOXjAc_ByHC,1.41175E+18,"[""halifax"",""histoire"",""citadelhalifax"",""explorehalifax"",""canada150"",""parcscanada""]",GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/e47d20cf77604c617c8ec21e489284c2/5AFB9B13/t51.2885-15/e35/19428946_761641447351950_9186110073120751616_n.jpg,"[""drdrone""]",3,"Au sommet de la colline qui domine le port d’, on a érigé un fort pour protéger la ville en . Un emplacement stratégique des mieux choisi! PHOTO Cliquez le lien dans notre bio pour des eériences interactives pour découvrir l' du Canada!",37,[],2016-12-23T09:24:11,FALSE,2016-12-23_09-24-11,parcs.canada,4141034395,
21,BOaNuczhZUj,1.4125E+18,"[""hiver"",""hivercanadien"",""neige"",""auroresboréales"",""auroreboréal"",""pnriding"",""exploremb"",""parcscanada"",""canada150""]",GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/1fe9e7bfe93cb06e54fb31c0578481a3/5AF0CB6B/t51.2885-15/e35/19367840_371796749889761_2185439957621932032_n.jpg,"[""jdleigh""]",0,"Il y a de la magie dans l'air lorsqu'on observe des aurores boréales, surtout en ce temps-ci de l'année! Cet hiver, admirez ce phénomène naturel incroyable réflété sur la glace du lac Clear dans le parc national du Mont-Riding.PHOTO  éales éal",44,[],2016-12-24T10:15:57,FALSE,2016-12-24_10-15-57,parcs.canada,4141034395,
22,BOcW1ayh2bt,1.4131E+18,"[""wapusk"",""hiver"",""hivercanadien"",""neige"",""famille"",""ourspolaire"",""oursepolaire"",""ourspolaires"",""joyeuxnoël"",""parcscanada"",""canada150""]",GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/a8fdbc60da4fb61614603c00c4d4d0b3/5AD877E7/t51.2885-15/e35/19367172_1886801421643723_4047036739720577024_n.jpg,[],0,C'est aujourd'hui la journée parfaite pour se rassembler en famille. Nous vous suggérons donc de le faire comme cette famille d'ours polaires! Cette photo adorable a été prise au parc national qui constitue l'une des aires de mise bas de l'ourse polaire parmir les plus grandes au monde! Joyeux Noël et passez de Joyeuses Fêtes!!! ël,37,[],2016-12-25T06:14:02,FALSE,2016-12-25_06-14-02,parcs.canada,4141034395,
