,likes,mediaid,caption,url,caption_mentions,comments,id,typename,owner_username,tagged_users,date,shortcode,is_video,caption_hashtags,owner_id,video_url
0,532,1.3958E+18,"As Canada's gift to you, the 2017 #DiscoveryPass will provide free admission to #ParksCanada places! BONUS: Order your #FREE pass online and get entered in our #CONTEST for a chance to win an unforgettable trip to beautiful #GrosMorne National Park. Click on the link in our bio for more info!#Canada150 #TripOfALifetime #ExploreCanada #Newfoundland #FreeEntryIn2017",https://instagram.fyvr3-1.fna.fbcdn.net/vp/0aa1c801738fc03a27bbefbdca23fd1c/5AFADCCB/t51.2885-15/e35/15538309_385144795171190_5553376139449204736_n.jpg,[],62,2016-12-01_09-09-46,GraphImage,parks.canada,[],2016-12-01T09:09:46,BNe33g9AI7P,FALSE,"[""discoverypass"",""parkscanada"",""free"",""contest"",""grosmorne"",""canada150"",""tripofalifetime"",""explorecanada"",""newfoundland"",""freeentryin2017""]",4143631778,
1,810,1.39668E+18,"Yeah it's the weekend! We just LOVE seeing all your photos, like this one from @kassdaze in #WateronLakesNP, where the mountains meet the prairies.We're also thrilled that so many of you are excited for #Canada150 and the free #DiscoveryPass. We appreciate your patience during this high volume of online orders!#FridayFollowerPhoto #ParksCanada",https://instagram.fyvr3-1.fna.fbcdn.net/vp/f47db4f2363063cd885b5730eb778d83/5AFDFB62/t51.2885-15/e35/15535228_197673080695452_4385382958945533952_n.jpg,"[""kassdaze""]",13,2016-12-02_14-18-59,GraphImage,parks.canada,"[""kassandraa.d""]",2016-12-02T14:18:59,BNiADJug066,FALSE,"[""wateronlakesnp"",""canada150"",""discoverypass"",""fridayfollowerphoto"",""parkscanada""]",4143631778,
2,924,1.39726E+18,"A big THANK YOU to all our new followers!!!.. like @kevinandmelani who shared with us this amazing photo of #YohonationalPark, that lies on the western slopes of the #CanadianRockyMountains. #serene #winterwonderland #breathtaking",https://instagram.fyvr3-1.fna.fbcdn.net/vp/df38caf55d05200793bf347191913168/5AE99522/t51.2885-15/e35/15538924_389389404732954_366035512605016064_n.jpg,"[""kevinandmelani""]",5,2016-12-03_09-38-32,GraphImage,parks.canada,"[""kevinandmelani""]",2016-12-03T09:38:32,BNkEwB-gEnO,FALSE,"[""yohonationalpark"",""canadianrockymountains"",""serene"",""winterwonderland"",""breathtaking""]",4143631778,
3,559,1.39798E+18,"Who is missing summer already? Raise your hand! 🖐Looking at this awe-inspiring photo of Pacific Rim National Park Reserve, you can almost feel the sand between your toes! #DayDreaming #PacificRimNPR #PacificRim #ParksCanada",https://instagram.fyvr3-1.fna.fbcdn.net/vp/197c0bbd76cda301de1d639a381a61b3/5AFDB371/t51.2885-15/e35/15538777_1895589980673811_802730615983046656_n.jpg,[],13,2016-12-04_09-25-20,GraphImage,parks.canada,[],2016-12-04T09:25:20,BNmoCIXA2E_,FALSE,"[""daydreaming"",""pacificrimnpr"",""pacificrim"",""parkscanada""]",4143631778,
4,850,1.39867E+18,"Beautiful Grasslands National Park, one of our hidden gems! Discover some of Canada’s rarest wildlife, darkest skies, astonishing dinosaur fossils, over 12,000 teepee rings, and varied landscapes, from buttes and valleys to breathtaking badlands. You can sleep in an oTENTik, teepee, or campsite. Your surprise awaits! Click the link in our bio to discover other #hiddengems! Thank you @tourismsask @brendanvanson @photojbartlett for this amazing photo! #ExploreSask #GrasslandsNationalPark #GrasslandsNP #ShareTheChair",https://instagram.fyvr3-1.fna.fbcdn.net/vp/a33521c01ebc8923c57cca3ead8b7a92/5AF80E07/t51.2885-15/e35/15338571_375818149419311_1664490227395198976_n.jpg,"[""tourismsask"",""brendanvanson"",""photojbartlett""]",12,2016-12-05_08-05-39,GraphImage,parks.canada,"[""photojbartlett"",""brendanvanson"",""tourismsask""]",2016-12-05T08:05:39,BNpDtcpAKLM,FALSE,"[""hiddengems"",""exploresask"",""grasslandsnationalpark"",""grasslandsnp"",""sharethechair""]",4143631778,
5,730,1.39957E+18,"Here's another hidden gem you should discover in 2017: Thousand Islands National Park! Experience the magic of this captivating and historic wilderness, just a few hours from #Toronto or #Montreal. Click our bio link for more info and more hidden gems worth exploring! #Canada150 #TINationalPark #1000Islands #ParksCanada",https://instagram.fyvr3-1.fna.fbcdn.net/vp/1dbb5a2da8256e280e66570e3e741213/5AFD3723/t51.2885-15/e35/15538221_1310476622358151_8137478934330605568_n.jpg,[],13,2016-12-06_14-11-33,GraphImage,parks.canada,[],2016-12-06T14:11:33,BNsSYOAA0Vd,FALSE,"[""toronto"",""montreal"",""canada150"",""tinationalpark"",""1000islands"",""parkscanada""]",4143631778,
6,574,1.40027E+18,We're all about #HiddenGems this week! Let yourself be enchanted by the beautiful scenery and unusual rock formations at #Mingan Archipelago National Park Reserve! Click the link in our bio for more info and to see other inspiring destinations.#MinganArchipelago #ParksCanada #Canada150,https://instagram.fyvr3-1.fna.fbcdn.net/vp/e613d8b91bc87c4674ead7c4612bb3b7/5AF0F055/t51.2885-15/e35/15538213_893161790820059_5812319249573609472_n.jpg,[],2,2016-12-07_13-06-57,GraphImage,parks.canada,[],2016-12-07T13:06:57,BNuvx7wg8D8,FALSE,"[""hiddengems"",""mingan"",""minganarchipelago"",""parkscanada"",""canada150""]",4143631778,
7,508,1.40099E+18,"Let your inner Viking shine at L'Anse aux Meadows National Historic Site! It is the ONLY authenticated #Norse site in North America which makes it a world heritage treasure!For more information and #hiddengems, click the link in our bio! #LAnseAuxMeadows #viking #heritage #treasure #ParksCanada #Canada150",https://instagram.fyvr3-1.fna.fbcdn.net/vp/3adfd8605d0ea48bdd82b7775b75df24/5AF07426/t51.2885-15/e35/14624664_1139623426151724_4152915539062161408_n.jpg,[],8,2016-12-08_13-10-39,GraphImage,parks.canada,[],2016-12-08T13:10:39,BNxU_7agL_q,FALSE,"[""norse"",""hiddengems"",""lanseauxmeadows"",""viking"",""heritage"",""treasure"",""parkscanada"",""canada150""]",4143631778,
8,437,1.4017E+18,"Experience the early fur-trading days of the mid-1800s at Lower Fort Garry National Historic Site! It's one of our #hiddengems that could be yours to discover next year! For more information, click the link in our bio! #LowerFortGarry #furtrading #ParksCanada #Canada150 #Manitoba #ExploreMB",https://instagram.fyvr3-1.fna.fbcdn.net/vp/ba647fd7ae8bd1e953130975ecf1b999/5AEA3913/t51.2885-15/e35/15623727_244299992657551_1248673226330996736_n.jpg,[],0,2016-12-09_12-34-22,GraphImage,parks.canada,[],2016-12-09T12:34:22,BNz1pHIA2KF,FALSE,"[""hiddengems"",""lowerfortgarry"",""furtrading"",""parkscanada"",""canada150"",""manitoba"",""exploremb""]",4143631778,
9,921,1.40321E+18,"Have you ever seen a #bison? You might spot one of these big, powerful creatures if you head west from #Winnipeg to Riding Mountain National Park’s aspen parkland; one of the best wildlife-viewing destinations in Canada! For more information and other #hiddengems, click the link in our bio! #RidingNP #ParksCanada #Canada150 #Manitoba #ExploreMB",https://instagram.fyvr3-1.fna.fbcdn.net/vp/f97074734312b2131783ec81ca643a3c/5AE7595F/t51.2885-15/e35/15276640_708139796027255_6947249973696135168_n.jpg,[],12,2016-12-11_14-40-48,GraphImage,parks.canada,[],2016-12-11T14:40:48,BN5Ns3rABCe,FALSE,"[""bison"",""winnipeg"",""hiddengems"",""ridingnp"",""parkscanada"",""canada150"",""manitoba"",""exploremb""]",4143631778,
