,likes,mediaid,video_url,typename,url,shortcode,comments,id,caption,owner_username,tagged_users,date,caption_mentions,is_video,caption_hashtags,owner_id
0,6,1.36E+18,https://instagram.fyvr3-1.fna.fbcdn.net/vp/5013e7c2ae521762c1f4d2b43e511329/5A6454FA/t50.2886-16/25003932_924766241033393_872096523951800320_n.mp4,GraphVideo,https://instagram.fyvr3-1.fna.fbcdn.net/vp/fe3fe8de14942472f9542ef0f0e8e8ec/5A638D88/t51.2885-15/e15/25012412_151396235620751_2097230580721647616_n.jpg,BLqu7gwB4PV,0,2016-10-17_07-39-46,"Vous nous connaissez probablement sous le nom d’Environnement Canada, mais notre nom est maintenant Environnement et Changement climatique Canada, et ce, depuis près d’un an déjà. Que faisons-nous? Bien sûr, nous vous faisons connaître les conditions météorologiques pour vous aider à planifier vos journées, mais nous faisons beaucoup plus! Suivez-nous et découvrez les différents rôles que nous jouons. Nous vous donnons accès à des photos et à des vidéos exclusives du travail en coulisses des équipes dont les bureaux se trouvent aux quatre coins de notre magnifique pays.",environnementcan,[],2016-10-17T07:39:46,[],TRUE,[],3913646610
1,3,1.36E+18,,GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/0d2060da9562821f0a3d048684298c0f/5AF7ABB1/t51.2885-15/e35/25011829_1487829211301269_2512665608869380096_n.jpg,BLtILrfB6Uc,1,2016-10-18_05-58-54,"« Cet été, notre travail de biologistes nous a amenées de nouveau à partir à la recherche du Grand Héron. En observant les sites de nidification, nous pouvons surveiller et suivre ces merveilleux oiseaux. Malheureusement, la population du Grand Héron est en déclin alors nous essayons d’acquérir le plus de connaissances possible! » – Kate et Britney, équipe du Service canadien de la faune",environnementcan,[],2016-10-18T05:58:54,[],FALSE,[],3913646610
2,3,1.36E+18,,GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/baf1c20988e02e70f548d2f9fc3beeda/5AED01ED/t51.2885-15/e35/25019046_188689098375559_6088155634304286720_n.jpg,BLvnGYJBXau,1,2016-10-19_05-07-33,"« Nous approchons de Sand Heads, une station météorologique située au large de l’île de Vancouver, dans le détroit de Georgia.En tant que météorologiste, je fais parfois des voyages de familiarisation, notamment pour remplacer et calibrer des sondes météorologiques. Lors de ces sorties, je dois monter à bord d’un aéroglisseur de la Garde côtière canadienne! Je sais que je fais des jaloux!En arrière-plan, un de nos techniciens de surveillance et trois officiers de la garde côtière déchargent notre équipement sur la plateforme. » – Cindy Yu, équipe du Service météorologique du Canada",environnementcan,[],2016-10-19T05:07:33,[],FALSE,[],3913646610
3,4,1.37E+18,,GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/d12a1187a564538ffc48ef6de599c429/5AEEEBB2/t51.2885-15/e35/24327328_497420643975399_1095751053195870208_n.jpg,BLybBMDhJWh,1,2016-10-20_07-19-42,"« La patrouille des macareux arrive à la rescousse! Ce jeune macareux trouvé près de la réserve écologique de la baie Witless, à Terre-Neuve, est sorti de son habitat sécuritaire parce qu’il a été attiré par les lumières des collectivités avoisinantes qui brillent la nuit. Nous posons des bagues aux macareux que nous sauvons et nous prenons leurs mesures avant de les remettre en liberté dans l’océan. » – Sabina, Équipe du SCF",environnementcan,[],2016-10-20T07:19:42,[],FALSE,[],3913646610
4,7,1.37E+18,,GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/20d2dca50796174e227a8e0923b516c3/5AFCEBF9/t51.2885-15/e35/24327877_2031688483731887_7091553813915500544_n.jpg,BL1HZowhQyD,1,2016-10-21_08-26-00,Notre minifourgonnette est repérée lors d’une visite de terrain axée sur la conservation des oiseaux dans la magnifique aire nommée Lac du Bois Grasslands.,environnementcan,[],2016-10-21T08:26:00,[],FALSE,[],3913646610
5,9,1.37E+18,,GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/5495f3273013531fbe32d5e49f00ecea/5AF7877C/t51.2885-15/e35/25005279_149583202351969_7511849250393686016_n.jpg,BL8swIKhyhi,2,2016-10-24_07-07-04,« La folie du lundi »Des Chevêches des terriers prisent en photo par l’une de nos caméras infrarouges à détecteur de mouvement. Nos biologistes utilisent ces caméras pour prendre des photos au cœur des habitats sauvages aux quatre coins du Canada.,environnementcan,[],2016-10-24T07:07:04,[],FALSE,[],3913646610
6,3,1.37E+18,,GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/1511f9abe660b4aa3bd70230e3d48f50/5AF4F3B5/t51.2885-15/e35/25012811_593718587686245_7682335907034169344_n.jpg,BL_X1cJBnbu,2,2016-10-25_08-02-00,"Faites la connaissance de Lynne (à gauche) et de Barbara (à droite). En , ces deux femmes ont fait partie de la toute première équipe féminine de chercheuses du Service canadien de la faune (SCF) envoyée en Arctique pour procéder au baguage des oiseaux. Depuis, années ont passé et Barbara travaille toujours au sein du SCF. Ce mois-ci, elle se trouve sur l’île Manitoulin où elle dénombre les Grues du Canada.",environnementcan,[],2016-10-25T08:02:00,[],FALSE,[],3913646610
7,6,1.37E+18,,GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/e620ecea8914f37e884dd9b5b1c911ab/5AD8E6D6/t51.2885-15/e35/25006838_2030171670552335_6262880985579257856_n.jpg,BMB45uzBK9M,2,2016-10-26_07-29-26,"En dénombrant la population des hérons à proximité du fleuve Fraser en Colombie-Britannique, nous avons aperçu ce drôle de héron et sa partenaire en train de construire un nid sur un poteau. Ce poteau devait avoir quelque chose de spécial pour qu’ils y élèvent un oisillon.",environnementcan,[],2016-10-26T07:29:26,[],FALSE,[],3913646610
8,7,1.37E+18,,GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/cc2b7f64b5007e2a9afec867fe4a4c4d/5AF72F14/t51.2885-15/e35/24838215_183473228899594_4460688742260146176_n.jpg,BMEgVVihcAJ,1,2016-10-27_07-52-28,"Voici une photo d’une station météorologique automatisée prise en mars dernier dans la vallée Callaghan près de Whistler, alors que le soleil se pointait au-dessus des montagnes et qu’une gelée blanche recouvrait toujours la neige. Les stations météorologiques automatisées comme celle-ci, qui est située près de Whistler en Colombie-Britannique, permettent d’obtenir des données météorologiques qui contribuent à la production de prévisions plus précises!",environnementcan,[],2016-10-27T07:52:28,[],FALSE,[],3913646610
9,5,1.37E+18,,GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/a60f47992be02324bfb08962e40f0919/5AE0140F/t51.2885-15/e35/25011015_136738260377390_4285309727027494912_n.jpg,BMFFiExh7Vs,0,2016-10-27_13-17-31,"Docteur Fred Roots a eu tout un parcours, et nous lui devons beaucoup. L’eloration et la découverte ont été au cœur de sa vie, et il a joué un rôle influent dans le développement d’Environnement Canada. Qu’il s’agisse d’organiser le Programme du plateau continental polaire ou de présider le Programme sur l’homme et la biosphère de l’UNESCO, ses réalisations ont été multiples. Monsieur Roots est également connu pour sa contribution à la rédaction du Traité sur l’Antarctique – un traité dont l’héritage se perpétue encore aujourd’hui. Nous nous souviendrons toujours de lui. :",environnementcan,[],2016-10-27T13:17:31,"[""studentsonice""]",FALSE,[],3913646610
