,Unnamed: 0,Unnamed: 0.1,comment_id,status_id,parent_id,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,comment_message_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_filtered_spell_corrected,text_sentiment_scores,text_corrected_sentiment_scores,text_sentiment_scores_type,text_corrected_sentiment_scores_type
0,0,0,1070571143084449_1070587396416157,485734081568161_1070571143084449,,2017-12-29 12:27:03,1,1,0,0,0,0,0,0,"Personnellement j'aime mieux mettre le mm montant à chaque semaine... alors dans cette situation faudrait que je mettre ,50$ par semaine..",[],[],Personnellement aime mieux mettre le mm montant chaque semaine alors dans cette situation faudrait que je mettre 50 par semaine,"['Personnellement', 'aime', 'mieux', 'mettre', 'le', 'mm', 'montant', 'chaque', 'semaine', 'alors', 'dans', 'cette', 'situation', 'faudrait', 'que', 'je', 'mettre', '50', 'par', 'semaine']","[u'personnel', u'aim', u'mieux', u'mettr', 'le', 'mm', u'montant', u'chaqu', u'semain', u'alor', u'dan', u'cett', u'situat', u'faudrait', u'que', 'je', u'mettr', '50', u'par', u'semain']",Personnellement aime vieux mettle le mm montana cheque remained also dans cette situation faudrait que je mettle 50 par remained,0.0,0.0,Neutral,Neutral
1,1,1,1070571143084449_1070673219740908,485734081568161_1070571143084449,1070571143084449_1070587396416157,2017-12-29 16:07:52,2,2,0,0,0,0,0,0,% d'accord avec vous. L'autre façon proposé est complétement ridicule.....dans les deux derniers mois on se retrouve à mettre $ par mois.......si qqn peut se permettre celà....il n'a pas besoin de faire tout ça pendant un an.,[],[],accord avec vous autre est tement ridicule dans les deux derniers mois se retrouve mettre par mois si qqn peut se permettre il pas besoin de faire tout pendant un,"['accord', 'avec', 'vous', 'autre', 'est', 'tement', 'ridicule', 'dans', 'les', 'deux', 'derniers', 'mois', 'se', 'retrouve', 'mettre', 'par', 'mois', 'si', 'qqn', 'peut', 'se', 'permettre', 'il', 'pas', 'besoin', 'de', 'faire', 'tout', 'pendant', 'un']","[u'accord', u'avec', u'vous', u'autr', u'est', u'tement', u'ridicul', u'dan', u'les', u'deux', u'dernier', u'moi', 'se', u'retrouv', u'mettr', u'par', u'moi', 'si', u'qqn', u'peut', 'se', u'permettr', 'il', u'pas', u'besoin', 'de', u'fair', u'tout', u'pendant', 'un']",accord avec vous autre est cement ridicule dans les deux derbies moist se retrieve mettle par moist si in put se permeate il pas lesion de faire tout peasant un,0.0,0.0,Neutral,Neutral
2,2,2,1070571143084449_1070683386406558,485734081568161_1070571143084449,1070571143084449_1070587396416157,2017-12-29 16:46:03,0,0,0,0,0,0,0,0,pourquoi pas juste mettre $ par semaine et avoir plus en bout de ligne,[],[],pourquoi juste mettre semaine avoir plus bout ligne,"['pourquoi', 'juste', 'mettre', 'semaine', 'avoir', 'plus', 'bout', 'ligne']","[u'pourquoi', u'just', u'mettr', u'semain', u'avoir', u'plus', u'bout', u'lign']",pourquoi just mettle remained avoid plus bout ligne,0.0,0.0,Neutral,Neutral
3,3,3,1070571143084449_1070686163072947,485734081568161_1070571143084449,1070571143084449_1070587396416157,2017-12-29 16:54:21,0,0,0,0,0,0,0,0,Lewis Durivage si le budget le permet je trouve aussi que c une bonne idée... tout dépend des besoin... mon conjoint et moi avons des projets et on ce fait des tites case dans notre fichier Excel...,[],[],Lewis Durivage si le budget le permet je trouve aussi que une bonne tout pend des besoin mon conjoint et moi avons des projets et ce fait des tites case dans notre fichier Excel,"['Lewis', 'Durivage', 'si', 'le', 'budget', 'le', 'permet', 'je', 'trouve', 'aussi', 'que', 'une', 'bonne', 'tout', 'pend', 'des', 'besoin', 'mon', 'conjoint', 'et', 'moi', 'avons', 'des', 'projets', 'et', 'ce', 'fait', 'des', 'tites', 'case', 'dans', 'notre', 'fichier', 'Excel']","[u'lewi', u'durivag', 'si', 'le', u'budget', 'le', u'permet', 'je', u'trouv', u'aussi', u'que', u'une', u'bonn', u'tout', u'pend', u'des', u'besoin', u'mon', u'conjoint', 'et', u'moi', u'avon', u'des', u'projet', 'et', 'ce', u'fait', u'des', u'tite', u'case', u'dan', u'notr', u'fichier', u'excel']",Lewis Durivage si le budget le permit je trove aussi que une bonne tout end des lesion mon conjoined et mon among des projects et ce fait des times case dans notre richer Expel,0.0,0.0,Neutral,Neutral
4,4,4,1070571143084449_1070590779749152,485734081568161_1070571143084449,,2017-12-29 12:35:20,0,0,0,0,0,0,0,0,Moi j'ai réussie et oui pour je le ferai,[],[],Moi ai ussie et oui pour je le ferai,"['Moi', 'ai', 'ussie', 'et', 'oui', 'pour', 'je', 'le', 'ferai']","[u'moi', 'ai', u'ussi', 'et', u'oui', u'pour', 'je', 'le', u'ferai']",Roi ai russie et oui pour je le fera,0.0,0.0,Neutral,Neutral
5,5,5,1070571143084449_1070981029710127,485734081568161_1070571143084449,,2017-12-30 08:41:01,0,0,0,0,0,0,0,0,Bonjour,[],[],Bonjour,['Bonjour'],[u'bonjour'],Bonjour,0.0,0.0,Neutral,Neutral
6,6,6,1070571143084449_1071623379645892,485734081568161_1070571143084449,,2017-12-31 11:41:23,0,0,0,0,0,0,0,0,Valérie Rouette pour toi ça serait bien,[],[],rie Rouette pour toi serait bien,"['rie', 'Rouette', 'pour', 'toi', 'serait', 'bien']","[u'rie', u'rouett', u'pour', u'toi', u'serait', u'bien']",rise Coquette pour toi serait bien,0.0,0.0,Neutral,Neutral
7,7,7,1070571143084449_1070753863066177,485734081568161_1070571143084449,,2017-12-29 20:48:15,1,0,0,1,0,0,0,0,Guillaume Joseph,[],[],Guillaume Joseph,"['Guillaume', 'Joseph']","[u'guillaum', u'joseph']",Guillaume Joseph,0.0,0.0,Neutral,Neutral
8,8,8,1070571143084449_1070604839747746,485734081568161_1070571143084449,,2017-12-29 13:02:40,0,0,0,0,0,0,0,0,Ely Rioux,[],[],Ely Rioux,"['Ely', 'Rioux']","[u'eli', u'rioux']",Fly Sioux,0.0,0.8,Neutral,Positive
9,9,9,1070571143084449_1070572696417627,485734081568161_1070571143084449,,2017-12-29 11:49:44,1,1,0,0,0,0,0,0,Béatrice Cennes Habitudes,[],[],atrice Cennes Habitudes,"['atrice', 'Cennes', 'Habitudes']","[u'atric', u'cenn', u'habitud']",twice Senses Habitudes,0.0,0.0,Neutral,Neutral
