,Unnamed: 0,Unnamed: 0.1,comment_id,status_id,parent_id,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,comment_message_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original,text_sentiment_original_scores,text_sentiment_original_scores_type
0,0,0,10156132471852975_10156133933932975,401846167974_10156132471852975,,2017-12-29 10:18:35,1,1,0,0,0,0,0,0,Ya and BLIND the drivers ..oncoming .. !!!,[],[],Ya BLIND drivers oncoming,"['Ya', 'BLIND', 'drivers', 'oncoming']","['ya', u'blind', u'driver', u'oncom']",Ya    and BLIND   the drivers   ..oncoming  .. !!!,-0.9765625,Negative
1,1,1,10156132471852975_10156134309817975,401846167974_10156132471852975,,2017-12-29 12:43:59,1,1,0,0,0,0,0,0,"Oy. Only a moron would create a meme showing a car with white lights at the back. Well done, Transport Canada.",[],[],Oy moron would create meme showing car white lights back Well done Transport Canada,"['Oy', 'moron', 'would', 'create', 'meme', 'showing', 'car', 'white', 'lights', 'back', 'Well', 'done', 'Transport', 'Canada']","['oy', u'moron', u'would', u'creat', u'meme', u'show', u'car', u'white', u'light', u'back', u'well', u'done', u'transport', u'canada']","Oy. Only a moron would create a meme showing a car with white lights at the back. Well done, Transport Canada.",-0.2,Neutral
2,2,2,10156132471852975_10156138945362975,401846167974_10156132471852975,,2017-12-31 03:07:13,0,0,0,0,0,0,0,0,Have already complained. Dealerships say they are illegal and they should be. Morons. I put my high beams on now. Why not? If I can't see then they won't either.,[],[],already complained Dealerships say illegal Morons put high beams see either,"['already', 'complained', 'Dealerships', 'say', 'illegal', 'Morons', 'put', 'high', 'beams', 'see', 'either']","[u'alreadi', u'complain', u'dealership', u'say', u'illeg', u'moron', u'put', u'high', u'beam', u'see', u'either']",Have already complained.   Dealerships say they are illegal and they should be.  Morons.  I put my high beams on now.  Why not? If I can't see then they won't either.,-0.36000000000000004,Negative
3,3,3,10156128490292975_10156130287742975,401846167974_10156128490292975,,2017-12-27 23:55:55,0,0,0,0,0,0,0,0,Britt and this one is a Point harness that’s not legal in Canada.,[],[],Britt one Point harness legal Canada,"['Britt', 'one', 'Point', 'harness', 'legal', 'Canada']","[u'britt', u'one', u'point', u'har', u'legal', u'canada']","Britt and this one is a 3
Point harness that’s not legal in Canada.",-0.1,Neutral
4,4,4,10156128490292975_10156130292772975,401846167974_10156128490292975,10156128490292975_10156130287742975,2017-12-28 00:00:11,0,0,0,0,0,0,0,0,LoL that's so dumb. Who's picking these pictures? They need to take the car seat course!!,[],[],LoL dumb picking pictures need take car seat course,"['LoL', 'dumb', 'picking', 'pictures', 'need', 'take', 'car', 'seat', 'course']","[u'lol', u'dumb', u'pick', u'pictur', u'need', u'take', u'car', u'seat', u'cours']",LoL that's so dumb. Who's picking these pictures? They need to take the  car seat course!!,0.10703125000000002,Neutral
5,5,5,10156127312012975_10156128389872975,401846167974_10156127312012975,,2017-12-27 08:23:55,0,0,0,0,0,0,0,0,Léa Lachance,[],[],Lachance,['Lachance'],[u'lachanc'],Léa Lachance,0.0,Neutral
6,6,6,10156127312012975_10156128898617975,401846167974_10156127312012975,,2017-12-27 12:08:34,1,0,0,0,0,0,1,0,Geneviève B.Caza c'est bon à savoir!,[],[],Caza est bon savoir,"['Caza', 'est', 'bon', 'savoir']","[u'caza', u'est', u'bon', u'savoir']",Geneviève B.Caza c'est bon à savoir!,0.0,Neutral
7,7,7,10156125718112975_10156125816117975,401846167974_10156125718112975,,2017-12-26 08:57:57,1,0,0,0,1,0,0,0,Ashlee Roberts,[],[],Ashlee Roberts,"['Ashlee', 'Roberts']","[u'ashle', u'robert']",Ashlee Roberts,0.0,Neutral
8,8,8,10156125718112975_10156125817362975,401846167974_10156125718112975,10156125718112975_10156125816117975,2017-12-26 08:59:05,1,0,0,0,1,0,0,0,Elizabeth Cormier,[],[],Elizabeth Cormier,"['Elizabeth', 'Cormier']","[u'elizabeth', u'cormier']",Elizabeth Cormier😂🙄,0.0,Neutral
9,9,9,10156125718112975_10156126178832975,401846167974_10156125718112975,,2017-12-26 11:30:04,0,0,0,0,0,0,0,0,Krystal Johnson Ughhhhh haha,[],[],Krystal Johnson Ughhhhh haha,"['Krystal', 'Johnson', 'Ughhhhh', 'haha']","[u'krystal', u'johnson', u'ughhhhh', u'haha']",Krystal Johnson Ughhhhh haha,0.2,Neutral
