,Unnamed: 0,Unnamed: 0.1,comment_id,status_id,parent_id,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,comment_message_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original,text_sentiment_original_scores,text_sentiment_original_scores_type
0,0,0,1711263975591236_1712143578836609,1203325126385126_1711263975591236,,2017-12-30 08:26:11,0,0,0,0,0,0,0,0,Bonjour,[],[],Bonjour,['Bonjour'],[u'bonjour'],Bonjour,0.0,Neutral
1,1,1,1710505415667092_1710579228993044,1203325126385126_1710505415667092,,2017-12-28 15:49:05,0,0,0,0,0,0,0,0,Bonjour,[],[],Bonjour,['Bonjour'],[u'bonjour'],Bonjour,0.0,Neutral
2,2,2,1709498662434434_1709532075764426,1203325126385126_1709498662434434,,2017-12-27 12:48:19,0,0,0,0,0,0,0,0,Léa Lachance,[],[],Lachance,['Lachance'],[u'lachanc'],Léa Lachance,0.0,Neutral
3,3,3,1709498662434434_1709532442431056,1203325126385126_1709498662434434,,2017-12-27 12:48:50,0,0,0,0,0,0,0,0,Bonjour,[],[],Bonjour,['Bonjour'],[u'bonjour'],Bonjour,0.0,Neutral
4,4,4,1703594289691538_1703623713021929,1203325126385126_1703594289691538,,2017-12-21 14:43:04,1,1,0,0,0,0,0,0,Why has Mr. Garneau lied to the Canadian public about the Passengers Bill of Rights?,[],['https://www.facebook.com/AirPassengerRights/videos/1975801632694288/'],Mr Garneau lied Canadian public Passengers Bill Rights,"['Mr', 'Garneau', 'lied', 'Canadian', 'public', 'Passengers', 'Bill', 'Rights']","['mr', u'garneau', u'lie', u'canadian', u'public', u'passeng', u'bill', u'right']",Why has Mr. Garneau lied to the Canadian public about the Passengers Bill of Rights? https://www.facebook.com/AirPassengerRights/videos/1975801632694288/,0.0,Neutral
5,5,5,1703594289691538_1705845792799721,1203325126385126_1703594289691538,,2017-12-23 20:43:07,0,0,0,0,0,0,0,0,. bonjour,[],[],bonjour,['bonjour'],[u'bonjour'],. bonjour,0.0,Neutral
6,6,6,1654987901218844_1699617690089198,1203325126385126_1654987901218844,,2017-12-17 10:00:29,0,0,0,0,0,0,0,0,Time to get enforcing what you preach. WestJet once again gives passengers 'erroneous information' about why it cancelled flights Shared via the CBC News Android App,[],['http://www.cbc.ca/news/business/westjet-santa-clara-cuba-cancelled-flights-1.4451007'],Time get enforcing preach WestJet gives passengers erroneous information cancelled flights Shared via CBC News Android App,"['Time', 'get', 'enforcing', 'preach', 'WestJet', 'gives', 'passengers', 'erroneous', 'information', 'cancelled', 'flights', 'Shared', 'via', 'CBC', 'News', 'Android', 'App']","[u'time', u'get', u'enforc', u'preach', u'westjet', u'give', u'passeng', u'erron', u'inform', u'cancel', u'flight', u'share', u'via', u'cbc', u'news', u'android', u'app']","Time to get enforcing what you preach. WestJet once again gives passengers 'erroneous information' about why it cancelled flights
http://www.cbc.ca/news/business/westjet-santa-clara-cuba-cancelled-flights-1.4451007
Shared via the CBC News Android App",-0.5,Negative
7,7,7,1654987901218844_1699649546752679,1203325126385126_1654987901218844,,2017-12-17 10:43:36,0,0,0,0,0,0,0,0,"At this point the CTA is a burden to our court systems, because the only way to get enforcement of tariff violations is thru small claims court.",[],[],point CTA burden court systems way get enforcement tariff violations thru small claims court,"['point', 'CTA', 'burden', 'court', 'systems', 'way', 'get', 'enforcement', 'tariff', 'violations', 'thru', 'small', 'claims', 'court']","[u'point', u'cta', u'burden', u'court', u'system', u'way', u'get', u'enforc', u'tariff', u'violat', u'thru', u'small', u'claim', u'court']","At this point the CTA is a burden to our court systems, because the only way to get enforcement of tariff violations is thru small claims court.",-0.125,Neutral
8,8,8,1697513943632906_1699616640089303,1203325126385126_1697513943632906,,2017-12-17 09:58:58,1,1,0,0,0,0,0,0,How about the rules for lying to passengers? I want an investigation started. This is not the first case with westjet. WestJet once again gives passengers 'erroneous information' about why it cancelled flights,[],['http://www.cbc.ca/news/business/westjet-santa-clara-cuba-cancelled-flights-1.4451007'],rules lying passengers want investigation started first case westjet WestJet gives passengers erroneous information cancelled flights,"['rules', 'lying', 'passengers', 'want', 'investigation', 'started', 'first', 'case', 'westjet', 'WestJet', 'gives', 'passengers', 'erroneous', 'information', 'cancelled', 'flights']","[u'rule', u'lie', u'passeng', u'want', u'investig', u'start', u'first', u'case', u'westjet', u'westjet', u'give', u'passeng', u'erron', u'inform', u'cancel', u'flight']","How about the rules for lying to passengers? I want an investigation started. This is not the first case with westjet. WestJet once again gives passengers 'erroneous information' about why it cancelled flights
http://www.cbc.ca/news/business/westjet-santa-clara-cuba-cancelled-flights-1.4451007",-0.125,Neutral
9,9,9,1681286981922269_1681885258529108,1203325126385126_1681286981922269,,2017-11-30 02:04:38,2,2,0,0,0,0,0,0,"Glad to see the actual monetary values of enforcement actions taken finally added to your online content this past few weeks. A good step forward. Concerned to see that the ONLY fines levied against the two major Canadian airlines (Air Canada & Westjet) in all of & YTD seem to be quite a contrast to what I regularly read in the media about airline behaviour. AIR CANADA - a fine for $25,000 & another for $1,250 for pricing violations. Nothing for lost luggage, delayed or denied boarding, cancelled flights, passenger compensation issues. NOTHING? WESTJET - nothing in all of or YTD. NOTHING? Is this accurate? Am I missing some information for - ?",[],['https://otc-cta.gc.ca/eng/summaries-enforcement-actions'],Glad see actual monetary values enforcement actions taken finally added online content past weeks good step forward Concerned see fines levied two major Canadian airlines Air Canada Westjet YTD seem quite contrast regularly read media airline behaviour AIR CANADA fine 25 000 another 250 pricing violations Nothing lost luggage delayed denied boarding cancelled flights passenger compensation issues NOTHING WESTJET nothing YTD NOTHING accurate missing information,"['Glad', 'see', 'actual', 'monetary', 'values', 'enforcement', 'actions', 'taken', 'finally', 'added', 'online', 'content', 'past', 'weeks', 'good', 'step', 'forward', 'Concerned', 'see', 'fines', 'levied', 'two', 'major', 'Canadian', 'airlines', 'Air', 'Canada', 'Westjet', 'YTD', 'seem', 'quite', 'contrast', 'regularly', 'read', 'media', 'airline', 'behaviour', 'AIR', 'CANADA', 'fine', '25', '000', 'another', '250', 'pricing', 'violations', 'Nothing', 'lost', 'luggage', 'delayed', 'denied', 'boarding', 'cancelled', 'flights', 'passenger', 'compensation', 'issues', 'NOTHING', 'WESTJET', 'nothing', 'YTD', 'NOTHING', 'accurate', 'missing', 'information']","[u'glad', u'see', u'actual', u'monetari', u'valu', u'enforc', u'action', u'taken', u'final', u'ad', u'onlin', u'content', u'past', u'week', u'good', u'step', u'forward', u'concern', u'see', u'fine', u'levi', u'two', u'major', u'canadian', u'airlin', u'air', u'canada', u'westjet', u'ytd', u'seem', u'quit', u'contrast', u'regular', u'read', u'media', u'airlin', u'behaviour', u'air', u'canada', u'fine', '25', u'000', u'anoth', u'250', u'price', u'violat', u'noth', u'lost', u'luggag', u'delay', u'deni', u'board', u'cancel', u'flight', u'passeng', u'compens', u'issu', u'noth', u'westjet', u'noth', u'ytd', u'noth', u'accur', u'miss', u'inform']","Glad to see the actual monetary values of enforcement actions taken finally added to your online content this past few weeks. A good step forward.

Concerned to see that the ONLY fines levied against the two major Canadian airlines (Air Canada & Westjet) in all of 2016 & 2017 YTD seem to be quite a contrast to what I regularly read in the media about airline behaviour.

AIR CANADA - a fine for $25,000 & another for $1,250 for pricing violations. Nothing for lost luggage, delayed or denied boarding, cancelled flights, passenger compensation issues.  NOTHING?

WESTJET - nothing in all of 2016 or 2017 YTD. NOTHING?

Is this accurate?  Am I missing some information for 2016 - 2017?

https://otc-cta.gc.ca/eng/summaries-enforcement-actions",0.11909722222222224,Neutral
