comment_id,status_id,parent_id,comment_message,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,age_group
10156856964149045_10156857556729045,318424514044_10156856964149045,,Paris Bostock Did you see this? You are the only salamander enthusiast I know!,2017-12-28 18:51:14,2,2,0,0,0,0,0,0,18-21
comment_id,status_id,parent_id,comment_message,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,age_group
10156856964149045_10156857556729045,318424514044_10156856964149045,,Paris Bostock Did you see this? You are the only salamander enthusiast I know!,2017-12-28 18:51:14,2,2,0,0,0,0,0,0,18-21
comment_id,status_id,parent_id,comment_message,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,age_group
10156856964149045_10156857578109045,318424514044_10156856964149045,10156856964149045_10156857556729045,I looked at it; it's to do with domesticated salamanders imported from other countries.,2017-12-28 19:03:18,1,1,0,0,0,0,0,0,25-34
comment_id,status_id,parent_id,comment_message,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,age_group
10156854272484045_10156855265744045,318424514044_10156854272484045,,"And the right whales, too! 😭",2017-12-27 23:29:55,0,0,0,0,0,0,0,0,55 and more
comment_id,status_id,parent_id,comment_message,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,age_group
10156853312794045_10156856097214045,318424514044_10156853312794045,,Jodi Elchyshyn,2017-12-28 08:24:07,1,1,0,0,0,0,0,0,25-34
comment_id,status_id,parent_id,comment_message,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,age_group
10156847354154045_10156848167424045,318424514044_10156847354154045,,"-   What, so you can pile on more of Trudeau's EZ CARBON TAX MONEY GRAB!",2017-12-25 16:16:44,0,0,0,0,0,0,0,0,25-34
comment_id,status_id,parent_id,comment_message,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,age_group
10156847354154045_10156848121409045,318424514044_10156847354154045,,Merry Christmas .,2017-12-25 15:58:49,1,1,0,0,0,0,0,0,45-54
comment_id,status_id,parent_id,comment_message,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,age_group
10156847354154045_10156850278389045,318424514044_10156847354154045,,"The Carbon tax is a way to directly tax the middle class of this country. Carbon rebates are given to the lowest income class people. The government leads you to think if you are getting a carbon tax rebate that the impact is minimal. However, it is a direct tax on the middle class, those that need cars, families that need to Eat, and seniors that Require Services. It is the most pervasive tax that simply lines the coffers of provinces and the federal government. The Carbon tax penalizes the middle class because it is them that are spending that drives the economy, and it also may be a mechanism for the redistribution of wealth to the lower classes. The tax was envisioned by a socialist leader who is willing to ethically compromise himself for the Muslim faith and the Aga Kahn, whom he is given middle class tax payers money to, and fully promotes Trudeau, no fewer then 13 times in press releases. We know the elite don’t pay tax, Morneau ethic’s violation resulted in ill gotten money being contributed to his wife’s charities (Another was to skirt paying taxes, why did he just pay the tax and come clean), these elite leaders all have private trust funds to avoid taxes. The middle class carry the tax burden of this country. Morneau showed Canadian even when you get caught, you don’t need to adhere to ethical standards there is always a way to avoid paying the TAXES.",2017-12-26 09:38:52,0,0,0,0,0,0,0,0,25-34
comment_id,status_id,parent_id,comment_message,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,age_group
10156837657109045_10156842517054045,318424514044_10156837657109045,,Help Pictou county.Nova Scotia.,2017-12-24 04:58:00,0,0,0,0,0,0,0,0,22-24
comment_id,status_id,parent_id,comment_message,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,age_group
10156837657109045_10156842540719045,318424514044_10156837657109045,,They killed Boat Harbor now they want to kill the Northumberland .,2017-12-24 05:18:34,0,0,0,0,0,0,0,0,Under 18
comment_id,status_id,parent_id,comment_message,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,age_group
10156835076004045_10156836090269045,318424514044_10156835076004045,,"-  BUT, if you are in Ontario you'll be guaranteed a HUGE POWER BILL in the rural areas.. Oh, is Germany thinking of going back to COAL?? The RUSH TO GREEN is not going over to smooth in some countries...",2017-12-22 00:06:07,0,0,0,0,0,0,0,0,22-24
comment_id,status_id,parent_id,comment_message,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,age_group
10156833685114045_10156834491899045,318424514044_10156833685114045,,Albert Quintal pour les ostinades avec Jeanne Q.,2017-12-21 12:56:07,1,0,0,0,1,0,0,0,22-24
comment_id,status_id,parent_id,comment_message,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,age_group
10156831953529045_10156831962479045,318424514044_10156831953529045,,What about government?,2017-12-20 16:48:54,0,0,0,0,0,0,0,0,35-44
comment_id,status_id,parent_id,comment_message,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,age_group
10156831953529045_10156832231004045,318424514044_10156831953529045,10156831953529045_10156831962479045,What about gouvernement?,2017-12-20 18:14:55,0,0,0,0,0,0,0,0,25-34
comment_id,status_id,parent_id,comment_message,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,age_group
10156830916039045_10156831288529045,318424514044_10156830916039045,,"Interesting. I've never considered a winter bird roost, only ever thought of the summer nesting box.",2017-12-20 12:07:50,0,0,0,0,0,0,0,0,35-44
comment_id,status_id,parent_id,comment_message,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,age_group
