,id,date_published,link,caption_original,caption_cleaned,hashtags,num_comments,num_shares,num_likes,Reactions_SUM,category,matched_keywords,language,average_sentiment_score,sentiment,account_name,,,,, ,Top 1,Top 2,Top 3
0,137563459593611_1257381627611783,1/4/2016 19:41,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1257381627611783/?type=3,"Happy New Year!!!
We are starting 2016 with great news: as a first step towards celebrating Canada's 150th Anniversary of Confederation at Parks Canada places, our 2016 Discovery Pass will be valid for 24 months!

The Discovery Pass gives you unlimited opportunities to enjoy nearly 200 National Parks, National Historic Sites and National Marine Conservation Areas across Canada. Find out more: http://ow.ly/WgNJc","Happy New Year!!! We are starting with great news: as a first step towards celebrating Canada's th Anniversary of Confederation at Parks Canada places, our Discovery Pass will be valid for months! The Discovery Pass gives you unlimited opportunities to enjoy nearly National Parks, National Historic Sites and National Marine Conservation Areas across Canada. Find out more: c",[],221,2140,4355,6718,Environmental,"['marine', 'conservation']",en,0.090561224,positive,ParksCanada_facebook,,,,Marine Conservation Photo Park,Jan,6718,4039,3086
1,137563459593611_1263349230348356,1/15/2016 9:15,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1263349230348356/?type=3,"Happy Friday Follower Photo!!!
This amazing photo of Banff National Park comes to us from Shelby (SMV Photography) who captioned it: “It feels good being lost in the right direction!”

NEW! Every Friday, we randomly pick a photo sent to us by a follower and feature it on our wall. What a great way to see our amazing national parks and historic sites through YOUR eyes!!!

If you would like to submit a photo for consideration, simply send us a message with your photo and caption.","Happy Friday Follower Photo!!! This amazing photo of Banff National Park comes to us from Shelby (SMV Photography) who captioned it: “It feels good being lost in the right direction!” NEW! Every Friday, we randomly pick a photo sent to us by a follower and feature it on our wall. What a great way to see our amazing national parks and historic sites through YOUR eyes!!! If you would like to submit a photo for consideration, simply send us a message with your photo and caption.",[],83,445,3503,4039,Social,"['photo', 'park', 'right', 'photo', 'park', 'photo', 'photo']",en,0.258503401,positive,ParksCanada_facebook,,,,Photo Government Tax Money Friend,Feb,6503,3878,3684
2,137563459593611_1259767534039859,1/8/2016 15:59,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1259767534039859/?type=3,"Happy Friday Follower Photo!!!
This surreal aurora night shot at the Athabasca Glacier in Jasper National Park comes to us from Paul Zizka Photography.

NEW! Every Friday, we'll randomly pick a photo sent to us by a follower and feature it on our wall. 
What a great way to see our amazing national parks and historic sites through YOUR eyes!

If you would like to submit a photo for consideration, simply message us your photo with a short caption.","Happy Friday Follower Photo!!! This surreal aurora night shot at the Athabasca Glacier in Jasper National Park comes to us from Paul Zizka Photography. NEW! Every Friday, we'll randomly pick a photo sent to us by a follower and feature it on our wall. What a great way to see our amazing national parks and historic sites through YOUR eyes! If you would like to submit a photo for consideration, simply message us your photo with a short caption.",[],60,509,2505,3086,Social,"['park', 'photo', 'park', 'photo', 'photo']",en,0.27982736,positive,ParksCanada_facebook,,,,Mountain Park Photo Forest,Mar,2766,2490,2411
0,137563459593611_1282377541778858,2/15/2016 10:16,https://www.facebook.com/ParksCanada/photos/a.1282377168445562.1073741915.137563459593611/1282377541778858/?type=3,We are happy to share with you this photo album to commemorate National Flag Day. Our staff are proud to bear the #CanadianFlag!,We are happy to share with you this photo album to commemorate National Flag Day. Our staff are proud to bear the !,['#CanadianFlag'],85,1067,5341,6503,Social,['photo'],en,0.298048638,positive,ParksCanada_facebook,,,,Park Conservation Summer Camp,Apr,4091,2379,2214
1,431918433581020_771428256296701,2/23/2016 11:45,https://www.facebook.com/YourMoneyMattersCanada/photos/a.501487959957400.1073741828.431918433581020/771428256296701/?type=3,"SCAM ALERT: Beware of scammers impersonating the Canada Revenue Agency (CRA). 

These scammers “spoof” phone numbers to make it look like the call is from the CRA claiming that you owe the government back taxes. These scammers threaten arrest if you don't make an immediate payment through untraceable money transfers and prepaid credit cards.  

Always be vigilant when disclosing personal and financial information. Here are some ways to tell if it's really the CRA: http://ow.ly/YExnK",SCAM ALERT: Beware of scammers impersonating the Canada Revenue Agency (CRA). These scammers “spoof” phone numbers to make it look like the call is from the CRA claiming that you owe the government back taxes. These scammers threaten arrest if you don't make an immediate payment through untraceable money transfers and prepaid credit cards. Always be vigilant when disclosing personal and financial information. Here are some ways to tell if it's really the CRA:,[],89,3528,251,3878,Economical,"['government', 'government', 'tax', 'money']",en,0,neutral,YourMoneyMattersCanada_facebook,,,,Lake Park Photo,May,11478,9031,6678
2,7.02551E+17,2/24/2016 17:48,[],"RT @JustinTrudeau: On Pink Shirt Day, we stand up to bullying and vow to spread kindness. Please RT and tag a friend to #PinkItForward:
htt…",RT JustinTrudeau Pink Shirt Day stand bullying vow spread kindness Please RT tag friend PinkItForward,['#PinkItForward'],,3684,0,3684,Social,['friend'],en,-0.1,Neutral,DFO_Pacific_tweeter,,,,Race Marine Conservation Photo,Jun,3481,3435,2573
0,137563459593611_1293284547354824,3/4/2016 11:15,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1293284547354824/?type=3,"Happy Friday Follower Photo!!!
This amazing shot comes to us from Randy K. who captioned it: ""A moose in Riding Mountain National Park, Manitoba. A wildlife photographer's dream place!""

Every Friday, we randomly pick a photo sent to us by a follower and feature it on our wall. If you would like to submit a photo for consideration, simply send us a message with your photo and caption.","Happy Friday Follower Photo!!! This amazing shot comes to us from Randy K. who captioned it: ""A moose in Riding Mountain National Park, Manitoba. A wildlife photographer's dream place!"" Every Friday, we randomly pick a photo sent to us by a follower and feature it on our wall. If you would like to submit a photo for consideration, simply send us a message with your photo and caption.",[],39,242,2368,2766,Social,"['mountain', 'park', 'wildlife', 'photo', 'photo', 'photo']",en,0.344887566,positive,ParksCanada_facebook,,,,Park Photo Video Wild,Jul,3323,2868,2290
1,137563459593611_1304044479612164,3/21/2016 10:35,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1304044479612164/?type=3,"Happy #InternationalDayOfForests! 

Enjoy the calm of the forest today! 

Photo taken in Pacific Rim National Park Reserve",Happy ! Enjoy the calm of the forest today! Photo taken in Pacific Rim National Park Reserve,['#InternationalDayOfForests'],34,298,2057,2490,Environmental,"['forest', 'photo', 'park']",en,0.306744272,positive,ParksCanada_facebook,,,,Future Service Park,Aug,6442,4248,1616
2,137563459593611_1291850320831580,3/2/2016 8:05,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1291850320831580/?type=3,"“Today is your day! Your mountain is waiting. So... get on your way!” #DrSeussDay

Photo taken in Kluane National Park. Parks Canada Yukon",“Today is your day! Your mountain is waiting. So... get on your way!” Photo taken in Kluane National Park. Parks Canada Yukon,['#DrSeussDay'],36,261,2041,2411,Social,"['mountain', 'photo', 'park', 'yukon']",id,0.229888889,positive,ParksCanada_facebook,,,,Tree Friend Home Canada150 Mountain Park,Sep,7862,1749,1678
0,137563459593611_1339738726042739,4/28/2016 12:20,http://ow.ly/4ncR4t,"According to Thrillist, here's a list of Canada's most beautiful national parks! Have you been to one yet?","According to Thrillist, here's a list of Canada's most beautiful national parks! Have you been to one yet?",[],116,755,2961,4091,unknown,[],en,0.049661085,positive,ParksCanada_facebook,,,,Northern Summer Job Park Natural Photo,Oct,2794,2353,2328
