,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,category,Reactions_SUM,average_sentiment_score,language,account_name
0,0,431918433581020_771428256296701,2016-02-23 11:45:32,https://www.facebook.com/YourMoneyMattersCanada/photos/a.501487959957400.1073741828.431918433581020/771428256296701/?type=3,"SCAM ALERT: Beware of scammers impersonating the Canada Revenue Agency (CRA). 

These scammers “spoof” phone numbers to make it look like the call is from the CRA claiming that you owe the government back taxes. These scammers threaten arrest if you don't make an immediate payment through untraceable money transfers and prepaid credit cards.  

Always be vigilant when disclosing personal and financial information. Here are some ways to tell if it's really the CRA: http://ow.ly/YExnK",SCAM ALERT: Beware of scammers impersonating the Canada Revenue Agency (CRA). These scammers “spoof” phone numbers to make it look like the call is from the CRA claiming that you owe the government back taxes. These scammers threaten arrest if you don't make an immediate payment through untraceable money transfers and prepaid credit cards. Always be vigilant when disclosing personal and financial information. Here are some ways to tell if it's really the CRA:,[],Environmental,3878,0.0,en,YourMoneyMattersCanada_facebook
1,1,431918433581020_750814751691385,2016-01-06 13:30:31,https://www.facebook.com/YourMoneyMattersCanada/photos/a.501487959957400.1073741828.431918433581020/750814751691385/?type=3,"The Department of Finance is getting ready for Budget 2016 and we want to hear from you. 

Leave your questions in the comment section below and Finance Minister Bill Morneau will answer some of them at one of two Facebook Live town hall events coming up on:
• January 11, from 3:00 p.m. to 4:00 p.m., Atlantic Standard Time, hosted by Dalhousie University; and
• January 15, from 2:00 p.m. to 2:50 p.m., Mountain Standard Time, hosted by the University of Calgary. 

Tune in here to watch these Facebook Live events on January 11th and 15th.","The Department of Finance is getting ready for Budget and we want to hear from you. Leave your questions in the comment section below and Finance Minister Bill Morneau will answer some of them at one of two Facebook Live town hall events coming up on: • January , from :00 p.m. to :00 p.m., Atlantic Standard Time, hosted by Dalhousie University; and • January , from :00 p.m. to :50 p.m., Mountain Standard Time, hosted by the University of Calgary. Tune in here to watch these Facebook Live events on January th and th.",[],Environmental,613,0.0,en,YourMoneyMattersCanada_facebook
2,2,431918433581020_1045063055599885,2017-03-22 14:54:37,https://www.facebook.com/YourMoneyMattersCanada/videos/1045063055599885/,"The Minister of Finance, Bill Morneau, tables #Budget2017 in the House of Commons – March 22, 2017 in Ottawa","The Minister of Finance, Bill Morneau, tables in the House of Commons – March , in Ottawa",['#Budget2017'],Environmental,566,0.040137932175983895,en,YourMoneyMattersCanada_facebook
3,3,431918433581020_862727183833474,2016-08-09 13:41:47,https://www.facebook.com/YourMoneyMattersCanada/videos/862727183833474/,"Minister Morneau Facebook Live event in Sudbury Ontario
Le min Morneau à Sudbury Ontario, séance en direct sur Facebook","Minister Morneau Facebook Live event in Sudbury Ontario Le min Morneau à Sudbury Ontario, séance en direct sur Facebook",[],Environmental,516,0.0,en,YourMoneyMattersCanada_facebook
4,4,431918433581020_774439312662262,2016-03-01 09:02:39,https://www.facebook.com/YourMoneyMattersCanada/photos/a.501487959957400.1073741828.431918433581020/774439312662262/?type=3,"EFFECTIVE TODAY! Canadians can subscribe to a basic TV package that costs no more than $25/month. As of March 1st, cable and satellite companies must also now offer PICK & PAY options: EITHER individual channels OR packages of up to 10 channels. Get more details here or contact your local cable provider: http://ow.ly/YT5FW","EFFECTIVE TODAY! Canadians can subscribe to a basic TV package that costs no more than $25/month. As of March st, cable and satellite companies must also now offer PICK & PAY options: EITHER individual channels OR packages of up to channels. Get more details here or contact your local cable provider:",[],Environmental,470,0.0,en,YourMoneyMattersCanada_facebook
5,5,431918433581020_778945902211603,2016-03-11 11:45:43,https://www.facebook.com/YourMoneyMattersCanada/photos/a.501487959957400.1073741828.431918433581020/778945902211603/?type=3,"#Scam Spotlight: Scammers often try to lure users into clicking on fake celebrity gossip or quiz links on social media sites. Their goal is to trick you into providing your username and password so they can gain access to your personal information for illegal purposes. 
Learn about the risks and find out more on how to avoid social networking scams. #FPM2016 http://ow.ly/Zm6eX",Spotlight: Scammers often try to lure users into clicking on fake celebrity gossip or quiz links on social media sites. Their goal is to trick you into providing your username and password so they can gain access to your personal information for illegal purposes. Learn about the risks and find out more on how to avoid social networking scams.,"['#Scam', '#FPM2016']",Environmental,357,0.0,en,YourMoneyMattersCanada_facebook
6,6,431918433581020_897928290313363,2016-09-27 13:54:37,https://www.facebook.com/YourMoneyMattersCanada/photos/a.501487959957400.1073741828.431918433581020/897928290313363/?type=3,"If it sounds fishy, it is fishy. 

Beware of callers claiming to represent Public Safety Canada or the Canadian Cyber Incident Response Centre. These fraudsters will try to convince you to give them access to your computer. Remember that the Government of Canada will never call and ask for access to your PC.

#GetCyberSafe and learn more about how to protect yourself from fraudulent calls: http://www.getcybersafe.gc.ca/cnt/rsks/scms-frd/frdlnt-clls-eng.aspx","If it sounds fishy, it is fishy. Beware of callers claiming to represent Public Safety Canada or the Canadian Cyber Incident Response Centre. These fraudsters will try to convince you to give them access to your computer. Remember that the Government of Canada will never call and ask for access to your PC. and learn more about how to protect yourself from fraudulent calls:",['#GetCyberSafe'],Social,326,0.0,en,YourMoneyMattersCanada_facebook
7,7,431918433581020_770315863074607,2016-02-20 18:45:30,https://www.facebook.com/YourMoneyMattersCanada/photos/a.501487959957400.1073741828.431918433581020/770315863074607/?type=3,"Spammers are getting better and better at crafting professional, personalized emails. Here are five things to look for if you’re suspicious of that message in your inbox:","Spammers are getting better and better at crafting professional, personalized emails. Here are five things to look for if you’re suspicious of that message in your inbox:",[],Environmental,240,0.0,en,YourMoneyMattersCanada_facebook
8,8,431918433581020_1196427230463466,2017-09-11 17:41:17,https://www.facebook.com/YourMoneyMattersCanada/videos/1196427230463466/,"#ScamAlert: Got a call or voicemail from someone claiming to work for the Canada Revenue Agency (CRA) warning you’ll get sued or arrested?

It’s a SCAM! Hang up or delete the message! Never return the call—criminals want you to call back, using their fake telephone number, to steal your money or identity. Remember, the CRA will never threaten you or ask for your credit card or personal information by phone. 

Protect yourself from phone scams: http://ow.ly/fPi530f1gzR",": Got a call or voicemail from someone claiming to work for the Canada Revenue Agency (CRA) warning you’ll get sued or arrested? It’s a SCAM! Hang up or delete the message! Never return the call—criminals want you to call back, using their fake telephone number, to steal your money or identity. Remember, the CRA will never threaten you or ask for your credit card or personal information by phone. Protect yourself from phone scams:",['#ScamAlert'],Environmental,221,0.09112723214285716,en,YourMoneyMattersCanada_facebook
9,9,431918433581020_768817573224436,2016-02-17 11:45:57,http://ow.ly/YnMeQ,"#DYK being married or having a common-law partner can affect the amount of federal tax you pay on both your income and investments?

TIP: To maximize your tax credits, the person with the lower income should claim all of the couple's medical expenses on his or her tax return. This is because the federal government offers a non-refundable tax credit for expenses that are above a percentage (3% in 2015) of one partner's net income. Get more tax tips here: http://ow.ly/YnMeQ","being married or having a common-law partner can affect the amount of federal tax you pay on both your income and investments? TIP: To maximize your tax credits, the person with the lower income should claim all of the couple's medical eenses on his or her tax return. This is because the federal government offers a non-refundable tax credit for eenses that are above a percentage (3% in ) of one partner's net income. Get more tax tips here:",['#DYK'],Environmental,203,0.0,en,YourMoneyMattersCanada_facebook
10,10,431918433581020_981194085320116,2017-01-03 11:45:29,http://ow.ly/3QaD307xyKm,"What better way to celebrate #Canada150 than to discover our country’s beautiful parks.
To help you do that, Parks Canada is giving away free 2017 Discovery Passes. You can order your free pass online or you can get it in person when visiting a Parks Canada location.
Have fun exploring the best of Canada’s natural and cultural heritage in 2017—for FREE!
http://ow.ly/3QaD307xyKm","What better way to celebrate than to discover our country’s beautiful parks. To help you do that, Parks Canada is giving away free Discovery Passes. You can order your free pass online or you can get it in person when visiting a Parks Canada location. Have fun eloring the best of Canada’s natural and cultural heritage in —for FREE!",['#Canada150'],Environmental,188,0.0,en,YourMoneyMattersCanada_facebook
