,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,category,Reactions_SUM,average_sentiment_score,language,account_name
0,0,946472147115036677,2017-12-28 20:05:19,['https://t.co/QaKcZTXdg'],Un gros merci 🎈 de l’incroyable année #Canada150 de la part de tout le réseau de #ParcsCanada. https://t.co/QaKcZTXdg9,Un gros merci de incroyable Canada150 de la part de tout le seau de ParcsCanada https co QaKcZTXdg9,"['#Canada150', '#ParcsCanada']",Social,342,0.0,ca,ParcsCanada_tweeter
1,1,830416468185587712,2017-02-11 14:01:29,"['https://t.co/DYwz9KHh95', 'https://t.co/xhhXcvpMSs']",Envie de découvrir les sites de #ParcsCanada? N’oubliez pas de commander votre carte d’entrée Découverte #GRATUITE! https://t.co/DYwz9KHh95 https://t.co/xhhXcvpMSs,Envie de couvrir les sites de ParcsCanada oubliez pas de commander votre carte couverte GRATUITE https co DYwz9KHh95 https co xhhXcvpMSs,"['#ParcsCanada', '#GRATUITE']",Social,287,0.0,fr,ParcsCanada_tweeter
2,2,785488918368124929,2016-10-10 14:35:26,['https://t.co/tAY03UMNI'],Joyeuse #Actiondegrâce! Admirez les couleurs automnales dans l’un de nos parcs ou lieux historiques nationaux. https://t.co/tAY03UMNIc,Joyeuse ce Admirez les couleurs automnales dans un de nos parcs ou lieux historiques nationaux https co tAY03UMNIc,['#Actiondegr'],Environmental,246,0.0,fr,ParcsCanada_tweeter
3,3,895727338335424512,2017-08-10 19:23:33,"['https://t.co/GodnVHPA3A', 'https://t.co/xKSniBY6H']",Le parc national Qausuittuq est officiellement ouvert! C'est un archipel d'îles dans l'Extrême-Arctique : https://t.co/GodnVHPA3A #Nunavut https://t.co/xKSniBY6HU,Le parc national Qausuittuq est officiellement ouvert est un archipel les dans Arctique https co GodnVHPA3A Nunavut https co xKSniBY6HU,['#Nunavut'],Social,195,0.0,fr,ParcsCanada_tweeter
4,4,929115952972787712,2017-11-10 22:37:59,[],"RT @PMcanadien: Une pluie de 117 000 coquelicots, un pour chaque Canadien mort au combat, tombe sur l’édifice du Centre à Ottawa. #LeCanada…",RT PMcanadien Une pluie de 117 000 coquelicots un pour chaque Canadien mort au combat tombe sur difice du Centre Ottawa,['#LeCanada'],Economical,140,0.0,fr,ParcsCanada_tweeter
5,5,856928406587535360,2017-04-25 17:50:27,[],"RT @ministre_ec: Dans le cadre de la stratégie de réintroduction du #bison, un bébé bison, le 1er depuis + de 140 ans, est né au @PNBanff……",RT Dans le cadre de la gie de introduction du bison un bison le 1er depuis de 140 ans est au,['#bison'],Social,86,0.0,fr,ParcsCanada_tweeter
6,6,779363282553634816,2016-09-23 16:54:21,"['https://t.co/fOYbFnRP95', 'https://t.co/88whveqGPT']",RT @canada150e: À 100 jours de la fête! Comment allez-vous célébrer #Canada150 en 2017? https://t.co/fOYbFnRP95 https://t.co/88whveqGPT,RT canada150e 100 jours de la Comment allez vous brer Canada150 en 2017 https co fOYbFnRP95 https co 88whveqGPT,['#Canada150'],Social,69,0.0,ca,ParcsCanada_tweeter
7,7,927330967810990080,2017-11-06 00:25:06,['https://t.co/eTP5TgYKyB'],C'est le premier jour de la Semaine de l’ours polaire! ❄️ Restez à l’affût toute la semaine pour notre contenu intéressant! https://t.co/eTP5TgYKyB,est le premier jour de la Semaine de polaire Restez toute la semaine pour notre contenu ressant https co eTP5TgYKyB,[],Environmental,66,0.0,fr,ParcsCanada_tweeter
8,8,895335697497833472,2017-08-09 17:27:19,[],"RT @GCAutochtones: Pour la Journée internationale des peuples #autochtones, prenez un moment pour réfléchir à la richesse des cultures auto…",RT GCAutochtones Pour la internationale des peuples autochtones prenez un moment pour chir la richesse des cultures,['#autochtones'],Economical,65,0.0,fr,ParcsCanada_tweeter
9,9,865575303988469760,2017-05-19 14:30:08,"['https://t.co/fKLHj7WoxX', 'https://t.co/sDSJBsDvWq']",Elle est enfin arrivée!! Notre nouvelle #AppliPC rendra votre expérience dans nos sites encore plus mémorable! https://t.co/fKLHj7WoxX https://t.co/sDSJBsDvWq,Elle est enfin Notre nouvelle AppliPC rendra votre rience dans nos sites encore plus morable https co fKLHj7WoxX https co sDSJBsDvWq,['#AppliPC'],Social,65,0.0,fr,ParcsCanada_tweeter
10,10,778987321517543424,2016-09-22 16:00:24,['https://t.co/c9hqr1aQT'],Juste 101 jours avant #Canada150! Rencontrez les membres de notre équipe dans les #4Coins les plus éloignés du pays : https://t.co/c9hqr1aQT9,Juste 101 jours avant Canada150 Rencontrez les membres de notre quipe dans les 4Coins les plus du pays https co c9hqr1aQT9,"['#Canada150', '#4Coins']",Social,59,0.0,fr,ParcsCanada_tweeter
11,11,936312723033518080,2017-11-30 19:15:23,"['https://t.co/UUid1BEUk6', 'https://t.co/pEUYunRcm7']","Des nouvelles géniales! À partir de 2018, l'entrée aux endroits de #ParcsCanada est #GRATUITE pour les jeunes de 17 ans et moins. 🙌 https://t.co/UUid1BEUk6 Où comptez-vous explorer? https://t.co/pEUYunRcm7",Des nouvelles niales partir de 2018 aux endroits de ParcsCanada est GRATUITE pour les jeunes de 17 ans et moins https co UUid1BEUk6 comptez vous explorer https co pEUYunRcm7,"['#ParcsCanada', '#GRATUITE']",Social,52,0.0,fr,ParcsCanada_tweeter
12,12,803023141278781440,2016-11-27 23:50:10,['https://t.co/AWrNONNElQ'],"Vous ne voudrez pas manquer ça! Le 1er déc., nous aurons enfin notre compte #Instagram! Préparez-vous à un lancement électrisant! @instagram https://t.co/AWrNONNElQ",Vous ne voudrez pas manquer Le 1er nous aurons enfin notre compte Instagram parez vous un lancement lectrisant instagram https co AWrNONNElQ,['#Instagram'],Social,50,0.0,fr,ParcsCanada_tweeter
13,13,795714845853224961,2016-11-07 19:49:37,['https://t.co/cw2xIHG'],RT @GCAutochtones: Bonne Journée des #Inuit à tous les Inuit au Canada et de par le monde! #Inuujunga https://t.co/cw2xIHGcDc,RT GCAutochtones Bonne des Inuit tous les Inuit au Canada et de par le monde Inuujunga https co cw2xIHGcDc,"['#Inuit', '#Inuujunga']",Social,42,0.0,fr,ParcsCanada_tweeter
14,14,792502576503808004,2016-10-29 23:05:12,['https://t.co/ge7Rxqpzo'],Les chauves-souris n'ont qu'un seul chauve-souriceau par année. Il est allaité jusqu'à ce qu'il puisse voler seul. #SemainedelaChauveSouris https://t.co/ge7RxqpzoD,Les chauves souris ont qu un seul chauve souriceau par Il est jusqu ce qu il puisse voler seul SemainedelaChauveSouris https co ge7RxqpzoD,['#SemainedelaChauveSouris'],Environmental,40,0.0,fr,ParcsCanada_tweeter
15,15,788406350351101952,2016-10-18 15:48:16,[],"RT @AuCanada: Très bientôt, la majorité du Canada sera recouverte de neige. Nous avons déjà reçu notre première bordée au @PNLacsWaterton…",RT AuCanada la du Canada sera recouverte de neige Nous avons notre au,[],Economical,40,0.0,fr,ParcsCanada_tweeter
16,16,870304744639778816,2017-06-01 15:43:15,['https://t.co/nzjjhJ88FA'],"RT @banqueducanada: Découvrez les multiples portraits et paysages du billet #Canada150, émis aujourd’hui! https://t.co/nzjjhJ88FA",RT banqueducanada couvrez les multiples portraits et paysages du billet Canada150 mis hui https co nzjjhJ88FA,['#Canada150'],Social,39,0.0,fr,ParcsCanada_tweeter
17,17,828634757747601412,2017-02-06 16:01:36,"['https://t.co/pjaSWvHGe', 'https://t.co/U6bNFQXSWF']",Le #Canada a le plus grand réseau d’aires protégées au monde! Aidez à protéger l’environnement pendant vos vacances https://t.co/pjaSWvHGeu https://t.co/U6bNFQXSWF,Le Canada le plus grand seau aires es au monde Aidez ger environnement pendant vos vacances https co pjaSWvHGeu https co U6bNFQXSWF,['#Canada'],Social,39,0.625,fr,ParcsCanada_tweeter
18,18,945660530827636736,2017-12-26 14:20:14,['https://t.co/4tMolsoP'],C’est la Journée de la note de remerciements! Nous désirons VOUS remercier d’avoir rendu  #Canada150 un événement exceptionnel. ❤ https://t.co/4tMolsoPc2,est la de la note de remerciements Nous sirons VOUS remercier avoir rendu Canada150 un nement exceptionnel https co 4tMolsoPc2,['#Canada150'],Social,39,0.0,fr,ParcsCanada_tweeter
19,19,865550195492134913,2017-05-19 12:50:22,['https://t.co/xMGZYNeda'],C'est notre anniversaire! Nous existons depuis 1911 et nous sommes très heureux de célébrer #Canada150! Partagez vos souvenirs avec nous ☺ https://t.co/xMGZYNeda1,est notre anniversaire Nous existons depuis 1911 et nous sommes heureux de brer Canada150 Partagez vos souvenirs avec nous https co xMGZYNeda1,['#Canada150'],Social,36,0.0,fr,ParcsCanada_tweeter
20,20,831476940993331207,2017-02-14 12:15:25,['https://t.co/o72aXQxJZ'],Joyeuse #SaintValentin aux amoureux! Envoyez ceci à l’être cher. 💞❤️ https://t.co/o72aXQxJZ8,Joyeuse SaintValentin aux amoureux Envoyez ceci cher https co o72aXQxJZ8,['#SaintValentin'],Social,33,0.0,fr,ParcsCanada_tweeter
21,21,778233216062918658,2016-09-20 14:03:52,['https://t.co\xe2\x80\xa6'],RT @SportCanada_Fr: Obrigado (merci) à chacun des 162 athlètes paralympiques du Canada qui ont partagé leur histoire avec nous https://t.co…,RT Obrigado merci chacun des 162 tes paralympiques du Canada qui ont leur histoire avec nous https,[],Social,32,0.0,fr,ParcsCanada_tweeter
22,22,804655145539829760,2016-12-02 11:55:11,['https://t.co/ImcMXyeeCI'],Nous sommes finalement sur #Instagram! Suivez 📷 parcs.canada et assurez-vous de nous identifier sur vos photos et d'utiliser #ParcsCanada! https://t.co/ImcMXyeeCI,Nous sommes finalement sur Instagram Suivez parcs canada et assurez vous de nous identifier sur vos photos et utiliser ParcsCanada https co ImcMXyeeCI,"['#Instagram', '#ParcsCanada']",Social,32,0.0,fr,ParcsCanada_tweeter
23,23,934497068512575490,2017-11-25 19:00:37,['https://t.co/hrysTD9bsk'],Sortez des sentiers battus! Découvrez comment la #science aide les ours à s’adapter aux nouveaux passages pour animaux 🐻 https://t.co/hrysTD9bsk,Sortez des sentiers battus couvrez comment la science aide les adapter aux nouveaux passages pour animaux https co hrysTD9bsk,['#science'],Social,32,0.0,fr,ParcsCanada_tweeter
