groupe ethnique,souffrances,paludisme,premières nations,ménages,propre,gazoducs,espérance ,investissement,salaires,travailler bénévolemen,producteur,énergie éolienne,technologie,écosystème,fraude,participation
discrimination,social,tuberculose,prospér,relations sociales,eaux usées,biogaz,chômage,transport,groupe ethnique,propre,consommateur,solaire,Mesures,air,vol,autochtone
droits humains,faim,décès d’enfants,jeunes,éducation,traitement des eaux usées,technologie,seuil de pauvreté,irrigation,autochtones,qualité de l'air,engagement,vert,traitement,stockant le dioxyde de carbone,évasion fiscale,partag
autochtones,malnutri,décès,employabilité,parité,infrastructure,pétrole,économi,énergie,inuit,transport,éducation,tarification du carbone,Ministre des Pêches,autochtone,conflit,intervenant
inuit,maladie,vaccin,espérance ,filles,eaux pluviales,pétrole brut,industrie,développement,premières nations,bus,normes,crédits de carbone compensatoires,Garde côtière,espaces sauvages,juridique,coopération
premières nations,nutriti,rural,emplois,préjugé sexiste,salubrité,économie plus verte,secteur,développement durable,prospér,industrie,étiquettes,carbone compensatoires,Pêches,terre,État de droit,cible
prospér,santé,mortalité maternelle,dollar par jour,stéréotype,collectivité,hydrocarbures,entreprises,autonomisation,espérance ,air,ampoules à haut rendement énergétique,bioénergie,conservation,plante,violence,
nutriti,agriculture,mortalité,social,occasion,fepteu,taxe sur le carbone,commerce électronique,éducation,emplois,population,économis,biocarburants,marin,terres forestières,maltraitance,
jeunes,aliment,médicament,fille,liberté,municipalité,qualité de l'air,croissance,santé,chômage,pollution atmosphérique,eau potable,biomasse,élévation du niveau de la mer,zones sauvages,torture,
employabilité,pêche,exercice,accès,mêmes occasions,Remise,atténuation,mondial,revenu,seuil de pauvreté,sites contaminés,écosystème,méthane,habitat marin,parcs nationaux,victime,
santé,,accouchement,possibilité,,égout,polluants,mondialisation,niveau de vie,social,environnement,infrastructure,gazoducs,déversements de pétrole,parc national,pots-de-vin,
ménages,,grossesse,apprentissage,,technologie,économie plus verte,finance,environnement,faim,émissions,technologie,biogaz,zones côtières,protèg,transparent,
espérance ,,bébé,école,,planification,pollueur-payeur,tourisme,routes,rural,plein air,eau,neutre en carbone,usage traditionnel,forêt pluviale tempérée,institution,
emplois,,mourir,scolaire,,réglementaire,oléoducs,ministre,technologies de l'information,droits humains,pesticide,alimentation,climat,plantes aquatiques,préserve,libertés,
chômage,,mort,primaire,,coliformes,géothermiques,partenariat,technologies de la communication,nations les plus vulnérables,polluants atmosphérique,gaspillé,émissions de carbone,stocks de poissons,ressource,accès public à l’information,
dollar par jour,,,inscriptions,,Surveillance,énergies fossiles,innovation,assainissement,pays les moins avancés,collectivité,dégradation des sols,technologie,poisson,récolte annuelle de bois,législation,
insuffisante,,,enseignant,,Mesures,neutre en carbone,novatrice,énergie électrique,disparité,déchet,surpêche,renouvelable,invertébré,récolte de bois,droit de la famille,
seuil de pauvreté,,,secondaire,,traitement,biogaz,invest,énergie hydraulique,inégalité,collectivités en santé,surconsommation,développement durable,polluants,Bas Plateaux boréaux,justice pénale,
souffrances,,,garderie,,puit,biomasse,revenu,électricité,inégalités de revenus,nocive,production,développement soutenable,mollusque,oiseau,Ministère de la Justice,
social,,,éducation,,Désinfection,bioénergie,prospérer,services téléphoniques,éducation,cours de l'eau,habitudes alimentaires,captage du carbone,changements climatique,séquestration du carbone,système de justice,
faim,,,qualité,,microbiologique,carbone compensatoires,rentable,marchés,croissance économique,vélo,choix alimentaires,ressources naturelles,biodiversité,zones terrestres,constitution,
malnutri,,,politiques,,avis d’ébullition de l’eau,tarification du carbone,entrepreneuriat,productivité,développement durable,incidents violents,,pollution,pêche récréative,"Fonds national de conservation des 
milieux humides",affaires civiles,
maladie,,,niveau de scolarité,,dégel printanier,crédits de carbone compensatoires,entrepreneurs,manufacturier,désavantagée,forestier urbain,,hydrocarbures,AMP,agricole,affaires pénale,
rural,,,environnement pédagogique,,fortes pluies,énergie éolienne,employabilité,secteur,marginalisé,voisinage,,énergies fossiles,écosystèmes côtiers,forestière,réconciliation,
,,,pédagog,,sécheresse,solaire,chambre de commerce,effet multiplicateur,population,vibrant,,écosystème,accidents marins,forestier,droits,
,,,investies dans l’éducation,,Systèmes d’approvisionnement en eau potable,vert,technologie,stimuler,politique,inclusif,,émissions,écosystèmes marins,pollution,,
,,,invest,,avis concernant la qualité de l’eau potable,cleantech global,libre-echange,,protection sociale,vancouver,,géothermiques,effluents industriels,,,
,,,littératie,,réserves,woodlandbiofuels,commercialisation,,handicapé,toronto ,,l’élévation du niveau de la mer,Protége,espèce en péril,,
,,,numératie,,,woodland biofuels,commerce,,urbain,winnipeg,,oléoducs,pêche durable,arbre,,
,,,résolution de problèmes,,,hi-velocity systems,marché,,zones rurales,edmonton,,pollueur-payeur,espèces en péril,déboisement,,
,,,universitaire,,,air,couts,,,kelowna,,l’accord de paris,crustacés,espèces en péril,,
,,,collégia,,,nature,export,,,victoria,,économie plus verte,plage,inondation,,
,,,collège,,,recycler,développement,,,ottawa,,emplois verts,rivage,flore,,
,,,Université,,,recycle,canadaenchine,,,charlottetown,,polluants,,faune,,
,,,étude,,,gaz à effet de serre,emplois verts,,,montreal,,atténuation,,pratiques forestières,,
,,,frais de scolarité,,,,emploi,,,arbre,,propre,,ravageurs forestiers,,
,,,livre,,,,économie plus verte,,,recycler,,sommet one planet,,recycl,,
,,,leadership,,,,financement,,,recycle,,taxe sur le carbone,,compost,,
,,,bilinguisme,,,,tourisme vert,,,cyclisme,,économie à faible émission de carbone,,espèces végétales,,
,,,formation,,,,travail ,,,compostage,,générations futures,,espèces animales,,
,,,test,,,,progrès,,,compost,,l’augmentation des niveaux de la mer,,biodiversité,,
,,,examen,,,,croissance économique soutenue,,,transport en commun,,adaptation,,,,
,,,postsecondaire,,,,croissance économique,,,exercice,,technologie propre,,,,
,,,bourse,,,,emplois de qualité,,,pistes cyclables,,dioxyde de carbone,,,,
,,,apprentis,,,,le marché du travail,,,piste cyclable,,faible émission de carbone,,,,
,,,technologie,,,,bien rémunérés,,,voies réservées aux cyclistes,,émission nul,,,,
,,,,,,,stable,,,modération de la circulation,,innovation,,,,
,,,,,,,,,,circulation,,énergie propre,,,,
,,,,,,,,,,urbain,,efficacité des carburants,,,,
,,,,,,,,,,,,un fonds pour une économie à faible émission de carbone,,,,
