,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_comments,num_shares,num_likes,Reactions_SUM,category,matched_keywords,language,average_sentiment_score,sentiment,account_name
42322,1,377625007887_10154161941817888,2016-04-26 19:00:41,https://www.facebook.com/TransportsetInfrastructureauCanada/photos/a.10151491514147888.1073741825.377625007887/10154161941817888/?type=3,Avis aux consommateurs : La vis de fixation du mécanisme de réglage avant central pour certains sièges d’auto Evenflo 2013-2015 pourrait devoir être remplacée. http://www.tc.gc.ca/c3gby,Avis aux consommateurs : La vis de fixation du mécanisme de réglage avant central pour certains sièges d’auto Evenflo -2015 pourrait devoir être remplacée.,[],257.0,2003.0,33,2296,['Economical'],['consommateur'],fr,0.0,neutral,TransportsetInfrastructureauCanada_facebook
8984,2,460123390028_10156776938205029,2016-04-08 08:47:44,https://www.facebook.com/EnvironnementetressourcesnaturellesauCanada/photos/a.481746145028.384353.460123390028/10156776938205029/?type=3,"Le printemps est arrivé. La prochaine fois que vous ferez vos activités préférées en plein air au Canada, pensez à ce que signifie pour vous un Canada durable. Nous avons publié la version provisoire de la Stratégie fédérale de développement durable et la soumettons à une période de consultation publique jusqu’au 24 juin. Que pensez vous de notre stratégie? Faites nous part de votre vision pour un Canada durable. http://ow.ly/10ryuh http://ow.ly/10ryxl","Le printemps est arrivé. La prochaine fois que vous ferez vos activités préférées en plein air au Canada, pensez à ce que signifie pour vous un Canada durable. Nous avons publié la version provisoire de la Stratégie fédérale de développement durable et la soumettons à une période de consultation publique jusqu’au juin. Que pensez vous de notre stratégie? Faites nous part de votre vision pour un Canada durable.",[],26.0,148.0,850,1074,"['Environmental', 'Social']","['activité', 'air', 'durable', 'fédéral', 'développement_durable', 'publique', 'vision', 'durable']",fr,0.09128316326530612,positive,EnvironnementetressourcesnaturellesauCanada_facebook
33396,22,134615279898518_1323595961000438,2016-04-04 18:00:00,https://www.facebook.com/ParcsCanada/photos/a.281154578577920.88091.134615279898518/1323595961000438/?type=3,"C'est le début de la Semaine des ciels étoilés! 
Êtes-vous déjà allé dans l'une de nos réserves de ciel étoilé? C'est le moment ou jamais! http://ow.ly/10hcQ4
Photo prise Parc national Jasper",C'est le début de la Semaine des ciels étoilés! Êtes-vous déjà allé dans l'une de nos réserves de ciel étoilé? C'est le moment ou jamais! Photo prise Parc national Jasper,[],7.0,67.0,106,185,['Environmental'],['parc'],fr,0.0,neutral,ParcsCanada_facebook
33449,75,134615279898518_1320446954648672,2016-04-01 06:05:00,https://www.facebook.com/ParcsCanada/photos/a.281154578577920.88091.134615279898518/1320446954648672/?type=3,"Joyeux poisson d'avril! 
Bien que le castor, on adore... nous préférons notre logo comme il est!
*****
Nous sommes ravis de dévoiler notre NOUVEAU logo Parcs Canada, juste à temps pour le 150e anniversaire du Canada! http://www.pc.gc.ca/fra/voyage-travel/logo.aspx","Joyeux poisson d'avril! Bien que le castor, on adore... nous préférons notre logo comme il est! ***** Nous sommes ravis de dévoiler notre NOUVEAU logo Parcs Canada, juste à temps pour le e anniversaire du Canada!",[],10.0,32.0,43,92,['Environmental'],"['poisson', 'parc']",fr,0.0,neutral,ParcsCanada_facebook
33477,103,134615279898518_1340921542601213,2016-04-30 07:30:00,https://www.facebook.com/ParcsCanada/photos/a.281154578577920.88091.134615279898518/1340921542601213/?type=3,"Bon samedi!
Cette photo prise au Parc national Kouchibouguac nous fait rêver à l'été! Et vous?",Bon samedi! Cette photo prise au Parc national Kouchibouguac nous fait rêver à l'été! Et vous?,[],6.0,4.0,58,74,['Environmental'],['parc'],fr,0.0,neutral,ParcsCanada_facebook
33489,115,134615279898518_1340180506008650,2016-04-28 12:20:00,http://ow.ly/4ncR4t,"D'après Thrillist, voici une liste des parcs nationaux les plus beaux au Canada! (lien en anglais seulement)","D'après Thrillist, voici une liste des parcs nationaux les plus beaux au Canada! (lien en anglais seulement)",[],2.0,10.0,56,71,['Environmental'],['parc'],fr,0.0,neutral,ParcsCanada_facebook
10618,12,725314023013662720,2016-04-27 13:21:53,['https://t.co/H0J6h\xe2\x80\xa6'],RT @CanadianPM: PM Justin Trudeau met with chiefs from the @FHQTC and thanked all leaders for the opportunity to listen. https://t.co/H0J6h…,RT CanadianPM PM Justin Trudeau met chiefs FHQTC thanked leaders opportunity listen https co,[],,70.0,0,70,['other'],[],en,0.0,Neutral,GCAutochtones_tweeter
33512,138,134615279898518_1318775034815864,2016-04-01 16:15:00,https://www.facebook.com/ParcsCanada/photos/a.281154578577920.88091.134615279898518/1318775034815864/?type=3,"Joyeux Vendredi Photo des Abonnés! 
Cette magnifique photo du Cap-Bon-Ami situé dans le Parc national Forillon, Parcs Canada nous vient d'Anna C.-M.

Chaque vendredi, nous choisissons au hasard une photo envoyée par un abonné et pour la mettre en vedette sur notre mur. Si vous aimeriez soumettre une photo; veuillez svp nous envoyer un message.","Joyeux Vendredi Photo des Abonnés! Cette magnifique photo du Cap-Bon-Ami situé dans le Parc national Forillon, Parcs Canada nous vient d'Anna C.-M. Chaque vendredi, nous choisissons au hasard une photo envoyée par un abonné et pour la mettre en vedette sur notre mur. Si vous aimeriez soumettre une photo; veuillez svp nous envoyer un message.",[],1.0,32.0,29,63,['Environmental'],"['parc', 'parc']",fr,0.0,neutral,ParcsCanada_facebook
38006,37,485734081568161_713589768782590,2016-04-18 10:45:28,http://www.cra-arc.gc.ca/allegementcontribuable/,Vous devez de l’impôt et ne pouvez payer à temps? Ne paniquez pas! Vérifiez si vous êtes admissible à l’allègement pour les contribuables: http://ow.ly/4mO5IK,Vous devez de l’impôt et ne pouvez payer à temps? Ne paniquez pas! Vérifiez si vous êtes admissible à l’allègement pour les contribuables:,[],3.0,41.0,15,60,['other'],[],fr,-0.0525,negative,QuestionsdargentCanada_facebook
33556,182,134615279898518_1318447118181989,2016-04-02 08:30:00,https://www.facebook.com/ParcsCanada/photos/a.281154578577920.88091.134615279898518/1318447118181989/?type=3,"Il est facile de voir pourquoi le ""Cabot Trail"" au Parc national des Hautes-Terres-du-Cap-Breton est numéro 2 sur la liste de Vacay.ca d’endroits à visiter en 2016! 

Planifiez votre voyage dès maintenant: http://www.pc.gc.ca/fra/pn-np/ns/cbreton/index.aspx","Il est facile de voir pourquoi le ""Cabot Trail"" au Parc national des Hautes-Terres-du-Cap-Breton est numéro sur la liste de Vacay.ca d’endroits à visiter en ! Planifiez votre voyage dès maintenant:",[],4.0,2.0,43,54,['Environmental'],['parc'],fr,0.0,neutral,ParcsCanada_facebook
