Unnamed: 0,shortcode,mediaid,caption_hashtags,typename,url,caption_mentions,comments,caption,likes,tagged_users,date,is_video,id,owner_username,owner_id,video_url,text_filtered,text_tokenized,text_stemmed
0,BNe5DJhh9pT,1.3958e+18,"[""parcscanada"",""gratuit"",""concours"",""grosmorne"",""canada150"",""entréegratuiteen2017"",""voyagedunevie"",""explorecanada"",""pngrosmorne"",""terreneuve""]",GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/f170ee930a4862e971c6f406b5a0f5af/5AEBBC56/t51.2885-15/e35/19379530_241139069709111_6512404712732491776_n.jpg,[],4,Un cadeau du Canada pour vous : la carte d’entrée Découverte vous donne accès gratuitement aux endroits de ! EN PRIME : Commandez votre laissez-passer et vous serez inscrit à notre pour courir la chance de gagner un voyage inoubliable au magnifique parc national du . Cliquez sur le lien dans notre bio pour obtenir plus d’information. éeGratuiteEn2017,27,[],2016-12-01T09:20:05,False,2016-12-01_09-20-05,parcs.canada,4141034395,,Un cadeau du Canada pour vous la carte couverte vous donne gratuitement aux endroits de EN PRIME Commandez votre laissez passer et vous serez inscrit notre pour courir la chance de gagner un voyage inoubliable au magnifique parc national du Cliquez sur le lien dans notre bio pour obtenir plus information eGratuiteEn2017,"['Un', 'cadeau', 'du', 'Canada', 'pour', 'vous', 'la', 'carte', 'couverte', 'vous', 'donne', 'gratuitement', 'aux', 'endroits', 'de', 'EN', 'PRIME', 'Commandez', 'votre', 'laissez', 'passer', 'et', 'vous', 'serez', 'inscrit', 'notre', 'pour', 'courir', 'la', 'chance', 'de', 'gagner', 'un', 'voyage', 'inoubliable', 'au', 'magnifique', 'parc', 'national', 'du', 'Cliquez', 'sur', 'le', 'lien', 'dans', 'notre', 'bio', 'pour', 'obtenir', 'plus', 'information', 'eGratuiteEn2017']","['un', u'cadeau', 'du', u'canada', u'pour', u'vous', 'la', u'cart', u'couvert', u'vous', u'donn', u'gratuit', u'aux', u'endroit', 'de', 'en', u'prime', u'commandez', u'votr', u'laissez', u'passer', 'et', u'vous', u'serez', u'inscrit', u'notr', u'pour', u'courir', 'la', u'chanc', 'de', u'gagner', 'un', u'voyag', u'inoubli', 'au', u'magnifiqu', u'parc', u'nation', 'du', u'cliquez', u'sur', 'le', u'lien', u'dan', u'notr', u'bio', u'pour', u'obtenir', u'plus', u'inform', u'egratuiteen2017']"
1,BNiA5ozh_Qh,1.39668e+18,"[""pnlacswaterton"",""canada150"",""vendredi"",""photodabonnés"",""parcscanada""]",GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/804f12c47b3774b635df7ef3e80af1bd/5AFC4A5B/t51.2885-15/e35/19367717_698576593664368_4071674819614081024_n.jpg,"[""kassdaze""]",0,"C'est enfin le week-end! C'est un plaisir de voir toutes vos photos comme celle-ci de au , là où la montagne et la prairie se rencontrent.Nous sommes également ravis de la vague d'enthousiasme pour et l'entrée gratuite avec la carte Découverte. Merci pour votre patience en essayant d'accéder au site!  és",28,"[""kassandraa.d""]",2016-12-02T14:26:25,False,2016-12-02_14-26-25,parcs.canada,4141034395,,est enfin le week end est un plaisir de voir toutes vos photos comme celle ci de au la montagne et la prairie se rencontrent Nous sommes galement ravis de la vague enthousiasme pour et gratuite avec la carte couverte Merci pour votre patience en essayant der au site,"['est', 'enfin', 'le', 'week', 'end', 'est', 'un', 'plaisir', 'de', 'voir', 'toutes', 'vos', 'photos', 'comme', 'celle', 'ci', 'de', 'au', 'la', 'montagne', 'et', 'la', 'prairie', 'se', 'rencontrent', 'Nous', 'sommes', 'galement', 'ravis', 'de', 'la', 'vague', 'enthousiasme', 'pour', 'et', 'gratuite', 'avec', 'la', 'carte', 'couverte', 'Merci', 'pour', 'votre', 'patience', 'en', 'essayant', 'der', 'au', 'site']","[u'est', u'enfin', 'le', u'week', u'end', u'est', 'un', u'plaisir', 'de', u'voir', u'tout', u'vos', u'photo', u'comm', u'cell', 'ci', 'de', 'au', 'la', u'montagn', 'et', 'la', u'prairi', 'se', u'rencontr', u'nous', u'somm', u'galement', u'ravi', 'de', 'la', u'vagu', u'enthousiasm', u'pour', 'et', u'gratuit', u'avec', 'la', u'cart', u'couvert', u'merci', u'pour', u'votr', u'patienc', 'en', u'essay', u'der', 'au', u'site']"
2,BNkGecQBrao,1.39727e+18,"[""parcnationalyoho"",""rocheusescanadiennes"",""serein"",""paisible"",""merveillesdhiver""]",GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/50325260c4de57fa1ee97ef41e4b9dc9/5ADC01B9/t51.2885-15/e35/19380091_137632950147140_2541697998652440576_n.jpg,"[""kevinandmelani""]",1,"Un grand MERCI à tous nos nouveaux abonnés!!!... Comme qui ont partagé cette magnifique photo du , situé dans la partie ouest des .",29,"[""kevinandmelani""]",2016-12-03T09:53:37,False,2016-12-03_09-53-37,parcs.canada,4141034395,,Un grand MERCI tous nos nouveaux Comme qui ont cette magnifique photo du dans la partie ouest des,"['Un', 'grand', 'MERCI', 'tous', 'nos', 'nouveaux', 'Comme', 'qui', 'ont', 'cette', 'magnifique', 'photo', 'du', 'dans', 'la', 'partie', 'ouest', 'des']","['un', u'grand', u'merci', u'tous', u'nos', u'nouveaux', u'comm', u'qui', u'ont', u'cett', u'magnifiqu', u'photo', 'du', u'dan', 'la', u'parti', u'ouest', u'des']"
3,BNmp44KBdoB,1.39799e+18,"[""pacificrim"",""rpnpacificrim"",""parcscanada""]",GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/3c4b9501cdaf858b04fb1eb643193d38/5AE45CB4/t51.2885-15/e35/19228928_1981320628765581_2267535697684463616_n.jpg,[],1,"Si l'été vous manque déjà levez la main! En regardant cette impressionnante photo de la Réserve de parc national du Canada Pacific Rim, vous pouvez pratiquement sentir le sable glisser entre vos orteilles!",15,[],2016-12-04T09:41:32,False,2016-12-04_09-41-32,parcs.canada,4141034395,,Si vous manque levez la main En regardant cette impressionnante photo de la serve de parc national du Canada Pacific Rim vous pouvez pratiquement sentir le sable glisser entre vos orteilles,"['Si', 'vous', 'manque', 'levez', 'la', 'main', 'En', 'regardant', 'cette', 'impressionnante', 'photo', 'de', 'la', 'serve', 'de', 'parc', 'national', 'du', 'Canada', 'Pacific', 'Rim', 'vous', 'pouvez', 'pratiquement', 'sentir', 'le', 'sable', 'glisser', 'entre', 'vos', 'orteilles']","['si', u'vous', u'manqu', u'levez', 'la', u'main', 'en', u'regard', u'cett', u'impressionnant', u'photo', 'de', 'la', u'serv', 'de', u'parc', u'nation', 'du', u'canada', u'pacif', u'rim', u'vous', u'pouvez', u'pratiqu', u'sentir', 'le', u'sabl', u'glisser', u'entr', u'vos', u'orteill']"
4,BNpFTipB3rw,1.39867e+18,"[""exploresask"",""pndesprairies"",""parcnationaldesprairies"",""partagezlachaise""]",GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/ac529fadc2573359730b63690f98cf1d/5ADDA47B/t51.2885-15/e35/19428786_104205183537739_3575746559536529408_n.jpg,"[""tourismsask"",""brendanvanson"",""photojbartlett""]",1,"Le magnifique parc national des Prairies, un endroit privilégié à découvrir! Découvrez les espèces fauniques les plus inusitées du Canada, profitez de l’obscurité pour observer les étoiles; vous pourrez aussi y voir d’incroyables fossiles de dinosaures, plus de cercles de tipis et différents paysages, dont des buttes et des vallées ainsi qu’une vue à couper le souffle sur les badlands. Vous pouvez dormir dans une tente oTENTik, un tipi ou un terrain de camping. Vous serez surpris! Clickez le lien dans notre bio pour connaître d'autres joyaux à découvrir.MERCI à pour cette photo!",27,[],2016-12-05T08:19:35,False,2016-12-05_08-19-35,parcs.canada,4141034395,,Le magnifique parc national des Prairies un endroit couvrir couvrez les ces fauniques les plus es du Canada profitez de pour observer les toiles vous pourrez aussi voir incroyables fossiles de dinosaures plus de cercles de tipis et rents paysages dont des buttes et des es ainsi une vue couper le souffle sur les badlands Vous pouvez dormir dans une tente oTENTik un tipi ou un terrain de camping Vous serez surpris Clickez le lien dans notre bio pour tre autres joyaux couvrir MERCI pour cette photo,"['Le', 'magnifique', 'parc', 'national', 'des', 'Prairies', 'un', 'endroit', 'couvrir', 'couvrez', 'les', 'ces', 'fauniques', 'les', 'plus', 'es', 'du', 'Canada', 'profitez', 'de', 'pour', 'observer', 'les', 'toiles', 'vous', 'pourrez', 'aussi', 'voir', 'incroyables', 'fossiles', 'de', 'dinosaures', 'plus', 'de', 'cercles', 'de', 'tipis', 'et', 'rents', 'paysages', 'dont', 'des', 'buttes', 'et', 'des', 'es', 'ainsi', 'une', 'vue', 'couper', 'le', 'souffle', 'sur', 'les', 'badlands', 'Vous', 'pouvez', 'dormir', 'dans', 'une', 'tente', 'oTENTik', 'un', 'tipi', 'ou', 'un', 'terrain', 'de', 'camping', 'Vous', 'serez', 'surpris', 'Clickez', 'le', 'lien', 'dans', 'notre', 'bio', 'pour', 'tre', 'autres', 'joyaux', 'couvrir', 'MERCI', 'pour', 'cette', 'photo']","['le', u'magnifiqu', u'parc', u'nation', u'des', u'prairi', 'un', u'endroit', u'couvrir', u'couvrez', u'les', u'ces', u'fauniqu', u'les', u'plus', 'es', 'du', u'canada', u'profitez', 'de', u'pour', u'observ', u'les', u'toil', u'vous', u'pourrez', u'aussi', u'voir', u'incroy', u'fossil', 'de', u'dinosaur', u'plus', 'de', u'cercl', 'de', u'tipi', 'et', u'rent', u'paysag', u'dont', u'des', u'butt', 'et', u'des', 'es', u'ainsi', u'une', u'vue', u'couper', 'le', u'souffl', u'sur', u'les', u'badland', u'vous', u'pouvez', u'dormir', u'dan', u'une', u'tent', u'otentik', 'un', u'tipi', 'ou', 'un', u'terrain', 'de', u'camp', u'vous', u'serez', u'surpri', u'clickez', 'le', u'lien', u'dan', u'notr', u'bio', u'pour', u'tre', u'autr', u'joyaux', u'couvrir', u'merci', u'pour', u'cett', u'photo']"
5,BNsTH2OBOBD,1.39958e+18,"[""toronto"",""montréal"",""canada150"",""parcnationalmi"",""milleiles"",""parcscanada""]",GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/6791f5ead553ad743d5bb392aa04c065/5AF7B8AF/t51.2885-15/e35/19436514_317650635358415_7362780680830320640_n.jpg,[],1,"Voici un autre endroit privilégié à découvrir en : le parc national des Mille-Îles! Vivez la magie de cette nature sauvage captivante et historique, située à quelques heures de et de éal. Cliquez le lien dans notre bio pour plus d'info et pour connaître d'autres joyaux qui valent la peine d'être visités!",34,[],2016-12-06T14:18:03,False,2016-12-06_14-18-03,parcs.canada,4141034395,,Voici un autre endroit couvrir en le parc national des Mille les Vivez la magie de cette nature sauvage captivante et historique quelques heures de et de al Cliquez le lien dans notre bio pour plus info et pour tre autres joyaux qui valent la peine,"['Voici', 'un', 'autre', 'endroit', 'couvrir', 'en', 'le', 'parc', 'national', 'des', 'Mille', 'les', 'Vivez', 'la', 'magie', 'de', 'cette', 'nature', 'sauvage', 'captivante', 'et', 'historique', 'quelques', 'heures', 'de', 'et', 'de', 'al', 'Cliquez', 'le', 'lien', 'dans', 'notre', 'bio', 'pour', 'plus', 'info', 'et', 'pour', 'tre', 'autres', 'joyaux', 'qui', 'valent', 'la', 'peine']","[u'voici', 'un', u'autr', u'endroit', u'couvrir', 'en', 'le', u'parc', u'nation', u'des', u'mill', u'les', u'vivez', 'la', u'magi', 'de', u'cett', u'natur', u'sauvag', u'captivant', 'et', u'historiqu', u'quelqu', u'heur', 'de', 'et', 'de', 'al', u'cliquez', 'le', u'lien', u'dan', u'notr', u'bio', u'pour', u'plus', u'info', 'et', u'pour', u'tre', u'autr', u'joyaux', u'qui', u'valent', 'la', u'pein']"
6,BNuwYEzBz5F,1.40027e+18,"[""mingan"",""archipeldemingan"",""parcscanada"",""canada150""]",GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/bd5a70f50e9e34b5bd8ccf7efcc478a3/5AE5B0BF/t51.2885-15/e35/19380149_781041905387909_7840074031293267968_n.jpg,[],1,Nos endroits privilégiés à découvrir en sont en vedettes cette semaine! Laissez-vous émerveiller par la beauté du paysage et les formations rocheuses intéressantes qui se trouvent à la réserve de parc national de l'Archipel-de-!Cliquez sur le lien dans notre bio pour plus d'info et voir d'autres destinations inspirantes.,28,[],2016-12-07T13:12:09,False,2016-12-07_13-12-09,parcs.canada,4141034395,,Nos endroits couvrir en sont en vedettes cette semaine Laissez vous merveiller par la du paysage et les formations rocheuses ressantes qui se trouvent la serve de parc national de Archipel de Cliquez sur le lien dans notre bio pour plus info et voir autres destinations inspirantes,"['Nos', 'endroits', 'couvrir', 'en', 'sont', 'en', 'vedettes', 'cette', 'semaine', 'Laissez', 'vous', 'merveiller', 'par', 'la', 'du', 'paysage', 'et', 'les', 'formations', 'rocheuses', 'ressantes', 'qui', 'se', 'trouvent', 'la', 'serve', 'de', 'parc', 'national', 'de', 'Archipel', 'de', 'Cliquez', 'sur', 'le', 'lien', 'dans', 'notre', 'bio', 'pour', 'plus', 'info', 'et', 'voir', 'autres', 'destinations', 'inspirantes']","[u'nos', u'endroit', u'couvrir', 'en', u'sont', 'en', u'vedett', u'cett', u'semain', u'laissez', u'vous', u'merveil', u'par', 'la', 'du', u'paysag', 'et', u'les', u'format', u'rocheus', u'ressant', u'qui', 'se', u'trouvent', 'la', u'serv', 'de', u'parc', u'nation', 'de', u'archipel', 'de', u'cliquez', u'sur', 'le', u'lien', u'dan', u'notr', u'bio', u'pour', u'plus', u'info', 'et', u'voir', u'autr', u'destin', u'inspirant']"
7,BNxVytxB7eJ,1.401e+18,"[""lanseauxmeadows"",""viking"",""patrimoine"",""trésor"",""parcscanada"",""canada150""]",GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/77944c4dc6d0c82dfbbcdbb2c3db4cbb/5AF7E80A/t51.2885-15/e35/19425440_112421656040163_5127600749903085568_n.jpg,[],1,Libérez le Viking qui sommeille en vous au lieu historique national de L'Anse aux Meadows! C'est le SEUL endroit scandinave attesté de ce genre en Amérique du Nord ce qui fait de lui un trésor patrimonial mondial! Cliquez sur le lien dans notre bio pour plus d'info et voir d'autres joyaux à découvrir!  ésor,27,[],2016-12-08T13:17:35,False,2016-12-08_13-17-35,parcs.canada,4141034395,,rez le Viking qui sommeille en vous au lieu historique national de Anse aux Meadows est le SEUL endroit scandinave de ce genre en rique du Nord ce qui fait de lui un sor patrimonial mondial Cliquez sur le lien dans notre bio pour plus info et voir autres joyaux couvrir sor,"['rez', 'le', 'Viking', 'qui', 'sommeille', 'en', 'vous', 'au', 'lieu', 'historique', 'national', 'de', 'Anse', 'aux', 'Meadows', 'est', 'le', 'SEUL', 'endroit', 'scandinave', 'de', 'ce', 'genre', 'en', 'rique', 'du', 'Nord', 'ce', 'qui', 'fait', 'de', 'lui', 'un', 'sor', 'patrimonial', 'mondial', 'Cliquez', 'sur', 'le', 'lien', 'dans', 'notre', 'bio', 'pour', 'plus', 'info', 'et', 'voir', 'autres', 'joyaux', 'couvrir', 'sor']","[u'rez', 'le', u'vike', u'qui', u'sommeill', 'en', u'vous', 'au', u'lieu', u'historiqu', u'nation', 'de', u'ans', u'aux', u'meadow', u'est', 'le', u'seul', u'endroit', u'scandinav', 'de', 'ce', u'genr', 'en', u'riqu', 'du', u'nord', 'ce', u'qui', u'fait', 'de', u'lui', 'un', u'sor', u'patrimoni', u'mondial', u'cliquez', u'sur', 'le', u'lien', u'dan', u'notr', u'bio', u'pour', u'plus', u'info', 'et', u'voir', u'autr', u'joyaux', u'couvrir', u'sor']"
8,BNz28x7BNlh,1.40171e+18,"[""lowerfortgarry"",""parcscanada"",""canada150"",""manitoba""]",GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/deb58653ef59577ab5770d0abed9c3f3/5AFB1D9B/t51.2885-15/e35/19379970_444256772624482_1580873360240279552_n.jpg,[],1,Revivez les débuts de l'époque du commerce des fourrures au milieu des années au lieu historique national de Lower Fort Garry! Un de nos endroits privilégiés à découvrir l'an prochain! Cliquez sur le lien dans notre bio pour plus d'info et voir d'autres joyaux à découvrir! ,23,[],2016-12-09T12:45:48,False,2016-12-09_12-45-48,parcs.canada,4141034395,,Revivez les buts de poque du commerce des fourrures au milieu des es au lieu historique national de Lower Fort Garry Un de nos endroits couvrir prochain Cliquez sur le lien dans notre bio pour plus info et voir autres joyaux couvrir,"['Revivez', 'les', 'buts', 'de', 'poque', 'du', 'commerce', 'des', 'fourrures', 'au', 'milieu', 'des', 'es', 'au', 'lieu', 'historique', 'national', 'de', 'Lower', 'Fort', 'Garry', 'Un', 'de', 'nos', 'endroits', 'couvrir', 'prochain', 'Cliquez', 'sur', 'le', 'lien', 'dans', 'notre', 'bio', 'pour', 'plus', 'info', 'et', 'voir', 'autres', 'joyaux', 'couvrir']","[u'revivez', u'les', u'but', 'de', u'poqu', 'du', u'commerc', u'des', u'fourrur', 'au', u'milieu', u'des', 'es', 'au', u'lieu', u'historiqu', u'nation', 'de', u'lower', u'fort', u'garri', 'un', 'de', u'nos', u'endroit', u'couvrir', u'prochain', u'cliquez', u'sur', 'le', u'lien', u'dan', u'notr', u'bio', u'pour', u'plus', u'info', 'et', u'voir', u'autr', u'joyaux', u'couvrir']"
9,BN5NEKwBTyy,1.40321e+18,"[""pnriding"",""parcscanada"",""canada150"",""manitoba"",""exploremb""]",GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/24613852b14b83d16d1a06c98bfdc415/5AF5DC3F/t51.2885-15/e35/19367536_627030544162985_5570581224386199552_n.jpg,[],1,"Avez-vous déjà vu un bison? Rendez-vous dans l’ouest de Winnipeg et découvrez la forêt-parc à trembles du parc national Mont-Riding, l’une des meilleures destinations au Canada pour observer la faune.Cliquez sur le lien dans notre bio pour plus d'info et voir d'autres joyaux à découvrir! ",36,[],2016-12-11T14:35:15,False,2016-12-11_14-35-15,parcs.canada,4141034395,,Avez vous vu un bison Rendez vous dans ouest de Winnipeg et couvrez la parc trembles du parc national Mont Riding une des meilleures destinations au Canada pour observer la faune Cliquez sur le lien dans notre bio pour plus info et voir autres joyaux couvrir,"['Avez', 'vous', 'vu', 'un', 'bison', 'Rendez', 'vous', 'dans', 'ouest', 'de', 'Winnipeg', 'et', 'couvrez', 'la', 'parc', 'trembles', 'du', 'parc', 'national', 'Mont', 'Riding', 'une', 'des', 'meilleures', 'destinations', 'au', 'Canada', 'pour', 'observer', 'la', 'faune', 'Cliquez', 'sur', 'le', 'lien', 'dans', 'notre', 'bio', 'pour', 'plus', 'info', 'et', 'voir', 'autres', 'joyaux', 'couvrir']","[u'avez', u'vous', 'vu', 'un', u'bison', u'rendez', u'vous', u'dan', u'ouest', 'de', u'winnipeg', 'et', u'couvrez', 'la', u'parc', u'trembl', 'du', u'parc', u'nation', u'mont', u'ride', u'une', u'des', u'meilleur', u'destin', 'au', u'canada', u'pour', u'observ', 'la', u'faun', u'cliquez', u'sur', 'le', u'lien', u'dan', u'notr', u'bio', u'pour', u'plus', u'info', 'et', u'voir', u'autr', u'joyaux', u'couvrir']"
