Unnamed: 0,likes,mediaid,caption,url,caption_mentions,comments,id,typename,owner_username,tagged_users,date,shortcode,is_video,caption_hashtags,owner_id,video_url,text_filtered,text_tokenized,text_stemmed
0,532,1.3958e+18,"As Canada's gift to you, the will provide free admission to places! BONUS: Order your pass online and get entered in our for a chance to win an unforgettable trip to beautiful National Park. Click on the link in our bio for more info!",https://instagram.fyvr3-1.fna.fbcdn.net/vp/0aa1c801738fc03a27bbefbdca23fd1c/5AFADCCB/t51.2885-15/e35/15538309_385144795171190_5553376139449204736_n.jpg,[],62,2016-12-01_09-09-46,GraphImage,parks.canada,[],2016-12-01T09:09:46,BNe33g9AI7P,False,"[""discoverypass"",""parkscanada"",""free"",""contest"",""grosmorne"",""canada150"",""tripofalifetime"",""explorecanada"",""newfoundland"",""freeentryin2017""]",4143631778,,Canada gift provide free admission places BONUS Order pass online get entered chance win unforgettable trip beautiful National Park Click link bio info,"['Canada', 'gift', 'provide', 'free', 'admission', 'places', 'BONUS', 'Order', 'pass', 'online', 'get', 'entered', 'chance', 'win', 'unforgettable', 'trip', 'beautiful', 'National', 'Park', 'Click', 'link', 'bio', 'info']","[u'canada', u'gift', u'provid', u'free', u'admiss', u'place', u'bonus', u'order', u'pass', u'onlin', u'get', u'enter', u'chanc', u'win', u'unforgett', u'trip', u'beauti', u'nation', u'park', u'click', u'link', u'bio', u'info']"
1,810,1.39668e+18,"Yeah it's the weekend! We just LOVE seeing all your photos, like this one from in , where the mountains meet the prairies.We're also thrilled that so many of you are excited for and the free . We appreciate your patience during this high volume of online orders!",https://instagram.fyvr3-1.fna.fbcdn.net/vp/f47db4f2363063cd885b5730eb778d83/5AFDFB62/t51.2885-15/e35/15535228_197673080695452_4385382958945533952_n.jpg,"[""kassdaze""]",13,2016-12-02_14-18-59,GraphImage,parks.canada,"[""kassandraa.d""]",2016-12-02T14:18:59,BNiADJug066,False,"[""wateronlakesnp"",""canada150"",""discoverypass"",""fridayfollowerphoto"",""parkscanada""]",4143631778,,Yeah weekend LOVE seeing photos like one mountains meet prairies also thrilled many excited free appreciate patience high volume online orders,"['Yeah', 'weekend', 'LOVE', 'seeing', 'photos', 'like', 'one', 'mountains', 'meet', 'prairies', 'also', 'thrilled', 'many', 'excited', 'free', 'appreciate', 'patience', 'high', 'volume', 'online', 'orders']","[u'yeah', u'weekend', u'love', u'see', u'photo', u'like', u'one', u'mountain', u'meet', u'prairi', u'also', u'thrill', u'mani', u'excit', u'free', u'appreci', u'patienc', u'high', u'volum', u'onlin', u'order']"
2,924,1.39726e+18,"A big THANK YOU to all our new followers!!!.. like who shared with us this amazing photo of , that lies on the western slopes of the .",https://instagram.fyvr3-1.fna.fbcdn.net/vp/df38caf55d05200793bf347191913168/5AE99522/t51.2885-15/e35/15538924_389389404732954_366035512605016064_n.jpg,"[""kevinandmelani""]",5,2016-12-03_09-38-32,GraphImage,parks.canada,"[""kevinandmelani""]",2016-12-03T09:38:32,BNkEwB-gEnO,False,"[""yohonationalpark"",""canadianrockymountains"",""serene"",""winterwonderland"",""breathtaking""]",4143631778,,big THANK new followers like shared us amazing photo lies western slopes,"['big', 'THANK', 'new', 'followers', 'like', 'shared', 'us', 'amazing', 'photo', 'lies', 'western', 'slopes']","[u'big', u'thank', u'new', u'follow', u'like', u'share', 'us', u'amaz', u'photo', u'lie', u'western', u'slope']"
3,559,1.39798e+18,"Who is missing summer already? Raise your hand! Looking at this awe-inspiring photo of Pacific Rim National Park Reserve, you can almost feel the sand between your toes!",https://instagram.fyvr3-1.fna.fbcdn.net/vp/197c0bbd76cda301de1d639a381a61b3/5AFDB371/t51.2885-15/e35/15538777_1895589980673811_802730615983046656_n.jpg,[],13,2016-12-04_09-25-20,GraphImage,parks.canada,[],2016-12-04T09:25:20,BNmoCIXA2E_,False,"[""daydreaming"",""pacificrimnpr"",""pacificrim"",""parkscanada""]",4143631778,,missing summer already Raise hand Looking awe inspiring photo Pacific Rim National Park Reserve almost feel sand toes,"['missing', 'summer', 'already', 'Raise', 'hand', 'Looking', 'awe', 'inspiring', 'photo', 'Pacific', 'Rim', 'National', 'Park', 'Reserve', 'almost', 'feel', 'sand', 'toes']","[u'miss', u'summer', u'alreadi', u'rais', u'hand', u'look', u'awe', u'inspir', u'photo', u'pacif', u'rim', u'nation', u'park', u'reserv', u'almost', u'feel', u'sand', u'toe']"
4,850,1.39867e+18,"Beautiful Grasslands National Park, one of our hidden gems! Discover some of Canada’s rarest wildlife, darkest skies, astonishing dinosaur fossils, over ,000 teepee rings, and varied landscapes, from buttes and valleys to breathtaking badlands. You can sleep in an oTENTik, teepee, or campsite. Your surprise awaits! Click the link in our bio to discover other ! Thank you for this amazing photo!",https://instagram.fyvr3-1.fna.fbcdn.net/vp/a33521c01ebc8923c57cca3ead8b7a92/5AF80E07/t51.2885-15/e35/15338571_375818149419311_1664490227395198976_n.jpg,"[""tourismsask"",""brendanvanson"",""photojbartlett""]",12,2016-12-05_08-05-39,GraphImage,parks.canada,"[""photojbartlett"",""brendanvanson"",""tourismsask""]",2016-12-05T08:05:39,BNpDtcpAKLM,False,"[""hiddengems"",""exploresask"",""grasslandsnationalpark"",""grasslandsnp"",""sharethechair""]",4143631778,,Beautiful Grasslands National Park one hidden gems Discover rarest wildlife darkest skies astonishing dinosaur fossils 000 teepee rings varied landscapes buttes valleys breathtaking badlands sleep oTENTik teepee campsite surprise awaits Click link bio discover Thank amazing photo,"['Beautiful', 'Grasslands', 'National', 'Park', 'one', 'hidden', 'gems', 'Discover', 'rarest', 'wildlife', 'darkest', 'skies', 'astonishing', 'dinosaur', 'fossils', '000', 'teepee', 'rings', 'varied', 'landscapes', 'buttes', 'valleys', 'breathtaking', 'badlands', 'sleep', 'oTENTik', 'teepee', 'campsite', 'surprise', 'awaits', 'Click', 'link', 'bio', 'discover', 'Thank', 'amazing', 'photo']","[u'beauti', u'grassland', u'nation', u'park', u'one', u'hidden', u'gem', u'discov', u'rarest', u'wildlif', u'darkest', u'sky', u'astonish', u'dinosaur', u'fossil', u'000', u'teepe', u'ring', u'vari', u'landscap', u'butt', u'valley', u'breathtak', u'badland', u'sleep', u'otentik', u'teepe', u'campsit', u'surpris', u'await', u'click', u'link', u'bio', u'discov', u'thank', u'amaz', u'photo']"
5,730,1.39957e+18,"Here's another hidden gem you should discover in : Thousand Islands National Park! Eerience the magic of this captivating and historic wilderness, just a few hours from or . Click our bio link for more info and more hidden gems worth eloring!",https://instagram.fyvr3-1.fna.fbcdn.net/vp/1dbb5a2da8256e280e66570e3e741213/5AFD3723/t51.2885-15/e35/15538221_1310476622358151_8137478934330605568_n.jpg,[],13,2016-12-06_14-11-33,GraphImage,parks.canada,[],2016-12-06T14:11:33,BNsSYOAA0Vd,False,"[""toronto"",""montreal"",""canada150"",""tinationalpark"",""1000islands"",""parkscanada""]",4143631778,,another hidden gem discover Thousand Islands National Park Eerience magic captivating historic wilderness hours Click bio link info hidden gems worth eloring,"['another', 'hidden', 'gem', 'discover', 'Thousand', 'Islands', 'National', 'Park', 'Eerience', 'magic', 'captivating', 'historic', 'wilderness', 'hours', 'Click', 'bio', 'link', 'info', 'hidden', 'gems', 'worth', 'eloring']","[u'anoth', u'hidden', u'gem', u'discov', u'thousand', u'island', u'nation', u'park', u'eerienc', u'magic', u'captiv', u'histor', u'wilder', u'hour', u'click', u'bio', u'link', u'info', u'hidden', u'gem', u'worth', u'elor']"
6,574,1.40027e+18,We're all about this week! Let yourself be enchanted by the beautiful scenery and unusual rock formations at Archipelago National Park Reserve! Click the link in our bio for more info and to see other inspiring destinations.,https://instagram.fyvr3-1.fna.fbcdn.net/vp/e613d8b91bc87c4674ead7c4612bb3b7/5AF0F055/t51.2885-15/e35/15538213_893161790820059_5812319249573609472_n.jpg,[],2,2016-12-07_13-06-57,GraphImage,parks.canada,[],2016-12-07T13:06:57,BNuvx7wg8D8,False,"[""hiddengems"",""mingan"",""minganarchipelago"",""parkscanada"",""canada150""]",4143631778,,week Let enchanted beautiful scenery unusual rock formations Archipelago National Park Reserve Click link bio info see inspiring destinations,"['week', 'Let', 'enchanted', 'beautiful', 'scenery', 'unusual', 'rock', 'formations', 'Archipelago', 'National', 'Park', 'Reserve', 'Click', 'link', 'bio', 'info', 'see', 'inspiring', 'destinations']","[u'week', u'let', u'enchant', u'beauti', u'sceneri', u'unusu', u'rock', u'format', u'archipelago', u'nation', u'park', u'reserv', u'click', u'link', u'bio', u'info', u'see', u'inspir', u'destin']"
7,508,1.40099e+18,"Let your inner Viking shine at L'Anse aux Meadows National Historic Site! It is the ONLY authenticated site in North America which makes it a world heritage treasure!For more information and , click the link in our bio! ",https://instagram.fyvr3-1.fna.fbcdn.net/vp/3adfd8605d0ea48bdd82b7775b75df24/5AF07426/t51.2885-15/e35/14624664_1139623426151724_4152915539062161408_n.jpg,[],8,2016-12-08_13-10-39,GraphImage,parks.canada,[],2016-12-08T13:10:39,BNxU_7agL_q,False,"[""norse"",""hiddengems"",""lanseauxmeadows"",""viking"",""heritage"",""treasure"",""parkscanada"",""canada150""]",4143631778,,Let inner Viking shine Anse aux Meadows National Historic Site authenticated site North America makes world heritage treasure information click link bio,"['Let', 'inner', 'Viking', 'shine', 'Anse', 'aux', 'Meadows', 'National', 'Historic', 'Site', 'authenticated', 'site', 'North', 'America', 'makes', 'world', 'heritage', 'treasure', 'information', 'click', 'link', 'bio']","[u'let', u'inner', u'vike', u'shine', u'ans', u'aux', u'meadow', u'nation', u'histor', u'site', u'authent', u'site', u'north', u'america', u'make', u'world', u'heritag', u'treasur', u'inform', u'click', u'link', u'bio']"
8,437,1.4017e+18,"Eerience the early fur-trading days of the mid-1800s at Lower Fort Garry National Historic Site! It's one of our that could be yours to discover next year! For more information, click the link in our bio! ",https://instagram.fyvr3-1.fna.fbcdn.net/vp/ba647fd7ae8bd1e953130975ecf1b999/5AEA3913/t51.2885-15/e35/15623727_244299992657551_1248673226330996736_n.jpg,[],0,2016-12-09_12-34-22,GraphImage,parks.canada,[],2016-12-09T12:34:22,BNz1pHIA2KF,False,"[""hiddengems"",""lowerfortgarry"",""furtrading"",""parkscanada"",""canada150"",""manitoba"",""exploremb""]",4143631778,,Eerience early fur trading days mid 1800s Lower Fort Garry National Historic Site one could discover next year information click link bio,"['Eerience', 'early', 'fur', 'trading', 'days', 'mid', '1800s', 'Lower', 'Fort', 'Garry', 'National', 'Historic', 'Site', 'one', 'could', 'discover', 'next', 'year', 'information', 'click', 'link', 'bio']","[u'eerienc', u'earli', u'fur', u'trade', u'day', u'mid', u'1800s', u'lower', u'fort', u'garri', u'nation', u'histor', u'site', u'one', u'could', u'discov', u'next', u'year', u'inform', u'click', u'link', u'bio']"
9,921,1.40321e+18,"Have you ever seen a ? You might spot one of these big, powerful creatures if you head west from to Riding Mountain National Park’s aspen parkland; one of the best wildlife-viewing destinations in Canada! For more information and other , click the link in our bio! ",https://instagram.fyvr3-1.fna.fbcdn.net/vp/f97074734312b2131783ec81ca643a3c/5AE7595F/t51.2885-15/e35/15276640_708139796027255_6947249973696135168_n.jpg,[],12,2016-12-11_14-40-48,GraphImage,parks.canada,[],2016-12-11T14:40:48,BN5Ns3rABCe,False,"[""bison"",""winnipeg"",""hiddengems"",""ridingnp"",""parkscanada"",""canada150"",""manitoba"",""exploremb""]",4143631778,,ever seen might spot one big powerful creatures head west Riding Mountain National aspen parkland one best wildlife viewing destinations Canada information click link bio,"['ever', 'seen', 'might', 'spot', 'one', 'big', 'powerful', 'creatures', 'head', 'west', 'Riding', 'Mountain', 'National', 'aspen', 'parkland', 'one', 'best', 'wildlife', 'viewing', 'destinations', 'Canada', 'information', 'click', 'link', 'bio']","[u'ever', u'seen', u'might', u'spot', u'one', u'big', u'power', u'creatur', u'head', u'west', u'ride', u'mountain', u'nation', u'aspen', u'parkland', u'one', u'best', u'wildlif', u'view', u'destin', u'canada', u'inform', u'click', u'link', u'bio']"
