Unnamed: 0,likes,mediaid,video_url,typename,url,shortcode,comments,id,caption,owner_username,tagged_users,date,caption_mentions,is_video,caption_hashtags,owner_id,text_filtered,text_tokenized,text_stemmed
0,6,1.36e+18,https://instagram.fyvr3-1.fna.fbcdn.net/vp/5013e7c2ae521762c1f4d2b43e511329/5A6454FA/t50.2886-16/25003932_924766241033393_872096523951800320_n.mp4,GraphVideo,https://instagram.fyvr3-1.fna.fbcdn.net/vp/fe3fe8de14942472f9542ef0f0e8e8ec/5A638D88/t51.2885-15/e15/25012412_151396235620751_2097230580721647616_n.jpg,BLqu7gwB4PV,0,2016-10-17_07-39-46,"Vous nous connaissez probablement sous le nom d’Environnement Canada, mais notre nom est maintenant Environnement et Changement climatique Canada, et ce, depuis près d’un an déjà. Que faisons-nous? Bien sûr, nous vous faisons connaître les conditions météorologiques pour vous aider à planifier vos journées, mais nous faisons beaucoup plus! Suivez-nous et découvrez les différents rôles que nous jouons. Nous vous donnons accès à des photos et à des vidéos exclusives du travail en coulisses des équipes dont les bureaux se trouvent aux quatre coins de notre magnifique pays.",environnementcan,[],2016-10-17T07:39:46,[],True,[],3913646610,Vous nous connaissez probablement sous le nom Environnement Canada mais notre nom est maintenant Environnement et Changement climatique Canada et ce depuis un Que faisons nous Bien nous vous faisons tre les conditions orologiques pour vous aider planifier vos es mais nous faisons beaucoup plus Suivez nous et couvrez les rents les que nous jouons Nous vous donnons des photos et des os exclusives du travail en coulisses des quipes dont les bureaux se trouvent aux quatre coins de notre magnifique pays,"['Vous', 'nous', 'connaissez', 'probablement', 'sous', 'le', 'nom', 'Environnement', 'Canada', 'mais', 'notre', 'nom', 'est', 'maintenant', 'Environnement', 'et', 'Changement', 'climatique', 'Canada', 'et', 'ce', 'depuis', 'un', 'Que', 'faisons', 'nous', 'Bien', 'nous', 'vous', 'faisons', 'tre', 'les', 'conditions', 'orologiques', 'pour', 'vous', 'aider', 'planifier', 'vos', 'es', 'mais', 'nous', 'faisons', 'beaucoup', 'plus', 'Suivez', 'nous', 'et', 'couvrez', 'les', 'rents', 'les', 'que', 'nous', 'jouons', 'Nous', 'vous', 'donnons', 'des', 'photos', 'et', 'des', 'os', 'exclusives', 'du', 'travail', 'en', 'coulisses', 'des', 'quipes', 'dont', 'les', 'bureaux', 'se', 'trouvent', 'aux', 'quatre', 'coins', 'de', 'notre', 'magnifique', 'pays']","[u'vous', u'nous', u'connaissez', u'probabl', u'sous', 'le', u'nom', u'environn', u'canada', u'mai', u'notr', u'nom', u'est', u'mainten', u'environn', 'et', u'changement', u'climatiqu', u'canada', 'et', 'ce', u'depui', 'un', u'que', u'faison', u'nous', u'bien', u'nous', u'vous', u'faison', u'tre', u'les', u'condit', u'orologiqu', u'pour', u'vous', u'aider', u'planifi', u'vos', 'es', u'mai', u'nous', u'faison', u'beaucoup', u'plus', u'suivez', u'nous', 'et', u'couvrez', u'les', u'rent', u'les', u'que', u'nous', u'jouon', u'nous', u'vous', u'donnon', u'des', u'photo', 'et', u'des', 'os', u'exclus', 'du', u'travail', 'en', u'couliss', u'des', u'quip', u'dont', u'les', u'bureaux', 'se', u'trouvent', u'aux', u'quatr', u'coin', 'de', u'notr', u'magnifiqu', u'pay']"
1,3,1.36e+18,,GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/0d2060da9562821f0a3d048684298c0f/5AF7ABB1/t51.2885-15/e35/25011829_1487829211301269_2512665608869380096_n.jpg,BLtILrfB6Uc,1,2016-10-18_05-58-54,"« Cet été, notre travail de biologistes nous a amenées de nouveau à partir à la recherche du Grand Héron. En observant les sites de nidification, nous pouvons surveiller et suivre ces merveilleux oiseaux. Malheureusement, la population du Grand Héron est en déclin alors nous essayons d’acquérir le plus de connaissances possible! » – Kate et Britney, équipe du Service canadien de la faune",environnementcan,[],2016-10-18T05:58:54,[],False,[],3913646610,Cet notre travail de biologistes nous es de nouveau partir la recherche du Grand ron En observant les sites de nidification nous pouvons surveiller et suivre ces merveilleux oiseaux Malheureusement la population du Grand ron est en clin alors nous essayons rir le plus de connaissances possible Kate et Britney quipe du Service canadien de la faune,"['Cet', 'notre', 'travail', 'de', 'biologistes', 'nous', 'es', 'de', 'nouveau', 'partir', 'la', 'recherche', 'du', 'Grand', 'ron', 'En', 'observant', 'les', 'sites', 'de', 'nidification', 'nous', 'pouvons', 'surveiller', 'et', 'suivre', 'ces', 'merveilleux', 'oiseaux', 'Malheureusement', 'la', 'population', 'du', 'Grand', 'ron', 'est', 'en', 'clin', 'alors', 'nous', 'essayons', 'rir', 'le', 'plus', 'de', 'connaissances', 'possible', 'Kate', 'et', 'Britney', 'quipe', 'du', 'Service', 'canadien', 'de', 'la', 'faune']","[u'cet', u'notr', u'travail', 'de', u'biologist', u'nous', 'es', 'de', u'nouveau', u'partir', 'la', u'recherch', 'du', u'grand', u'ron', 'en', u'observ', u'les', u'site', 'de', u'nidif', u'nous', u'pouvon', u'surveil', 'et', u'suivr', u'ces', u'merveilleux', u'oiseaux', u'malheureus', 'la', u'popul', 'du', u'grand', u'ron', u'est', 'en', u'clin', u'alor', u'nous', u'essayon', u'rir', 'le', u'plus', 'de', u'connaiss', u'possibl', u'kate', 'et', u'britney', u'quip', 'du', u'servic', u'canadien', 'de', 'la', u'faun']"
2,3,1.36e+18,,GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/baf1c20988e02e70f548d2f9fc3beeda/5AED01ED/t51.2885-15/e35/25019046_188689098375559_6088155634304286720_n.jpg,BLvnGYJBXau,1,2016-10-19_05-07-33,"« Nous approchons de Sand Heads, une station météorologique située au large de l’île de Vancouver, dans le détroit de Georgia.En tant que météorologiste, je fais parfois des voyages de familiarisation, notamment pour remplacer et calibrer des sondes météorologiques. Lors de ces sorties, je dois monter à bord d’un aéroglisseur de la Garde côtière canadienne! Je sais que je fais des jaloux!En arrière-plan, un de nos techniciens de surveillance et trois officiers de la garde côtière déchargent notre équipement sur la plateforme. » – Cindy Yu, équipe du Service météorologique du Canada",environnementcan,[],2016-10-19T05:07:33,[],False,[],3913646610,Nous approchons de Sand Heads une station orologique au large de le de Vancouver dans le troit de Georgia En tant que orologiste je fais parfois des voyages de familiarisation notamment pour remplacer et calibrer des sondes orologiques Lors de ces sorties je dois monter bord un roglisseur de la Garde canadienne Je sais que je fais des jaloux En plan un de nos techniciens de surveillance et trois officiers de la garde chargent notre quipement sur la plateforme Cindy Yu quipe du Service orologique du Canada,"['Nous', 'approchons', 'de', 'Sand', 'Heads', 'une', 'station', 'orologique', 'au', 'large', 'de', 'le', 'de', 'Vancouver', 'dans', 'le', 'troit', 'de', 'Georgia', 'En', 'tant', 'que', 'orologiste', 'je', 'fais', 'parfois', 'des', 'voyages', 'de', 'familiarisation', 'notamment', 'pour', 'remplacer', 'et', 'calibrer', 'des', 'sondes', 'orologiques', 'Lors', 'de', 'ces', 'sorties', 'je', 'dois', 'monter', 'bord', 'un', 'roglisseur', 'de', 'la', 'Garde', 'canadienne', 'Je', 'sais', 'que', 'je', 'fais', 'des', 'jaloux', 'En', 'plan', 'un', 'de', 'nos', 'techniciens', 'de', 'surveillance', 'et', 'trois', 'officiers', 'de', 'la', 'garde', 'chargent', 'notre', 'quipement', 'sur', 'la', 'plateforme', 'Cindy', 'Yu', 'quipe', 'du', 'Service', 'orologique', 'du', 'Canada']","[u'nous', u'approchon', 'de', u'sand', u'head', u'une', u'station', u'orologiqu', 'au', u'larg', 'de', 'le', 'de', u'vancouv', u'dan', 'le', u'troit', 'de', u'georgia', 'en', u'tant', u'que', u'orologist', 'je', u'fai', u'parfoi', u'des', u'voyag', 'de', u'familiaris', u'notam', u'pour', u'remplac', 'et', u'calibr', u'des', u'sond', u'orologiqu', u'lor', 'de', u'ces', u'sorti', 'je', u'doi', u'monter', u'bord', 'un', u'roglisseur', 'de', 'la', u'gard', u'canadienn', 'je', u'sai', u'que', 'je', u'fai', u'des', u'jaloux', 'en', u'plan', 'un', 'de', u'nos', u'technicien', 'de', u'surveil', 'et', u'troi', u'offici', 'de', 'la', u'gard', u'chargent', u'notr', u'quipement', u'sur', 'la', u'plateform', u'cindi', 'yu', u'quip', 'du', u'servic', u'orologiqu', 'du', u'canada']"
3,4,1.37e+18,,GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/d12a1187a564538ffc48ef6de599c429/5AEEEBB2/t51.2885-15/e35/24327328_497420643975399_1095751053195870208_n.jpg,BLybBMDhJWh,1,2016-10-20_07-19-42,"« La patrouille des macareux arrive à la rescousse! Ce jeune macareux trouvé près de la réserve écologique de la baie Witless, à Terre-Neuve, est sorti de son habitat sécuritaire parce qu’il a été attiré par les lumières des collectivités avoisinantes qui brillent la nuit. Nous posons des bagues aux macareux que nous sauvons et nous prenons leurs mesures avant de les remettre en liberté dans l’océan. » – Sabina, Équipe du SCF",environnementcan,[],2016-10-20T07:19:42,[],False,[],3913646610,La patrouille des macareux arrive la rescousse Ce jeune macareux de la serve cologique de la baie Witless Terre Neuve est sorti de son habitat curitaire parce il par les res des avoisinantes qui brillent la nuit Nous posons des bagues aux macareux que nous sauvons et nous prenons leurs mesures avant de les remettre en dans Sabina quipe du SCF,"['La', 'patrouille', 'des', 'macareux', 'arrive', 'la', 'rescousse', 'Ce', 'jeune', 'macareux', 'de', 'la', 'serve', 'cologique', 'de', 'la', 'baie', 'Witless', 'Terre', 'Neuve', 'est', 'sorti', 'de', 'son', 'habitat', 'curitaire', 'parce', 'il', 'par', 'les', 'res', 'des', 'avoisinantes', 'qui', 'brillent', 'la', 'nuit', 'Nous', 'posons', 'des', 'bagues', 'aux', 'macareux', 'que', 'nous', 'sauvons', 'et', 'nous', 'prenons', 'leurs', 'mesures', 'avant', 'de', 'les', 'remettre', 'en', 'dans', 'Sabina', 'quipe', 'du', 'SCF']","['la', u'patrouill', u'des', u'macareux', u'arriv', 'la', u'rescouss', 'ce', u'jeun', u'macareux', 'de', 'la', u'serv', u'cologiqu', 'de', 'la', u'baie', u'witless', u'terr', u'neuv', u'est', u'sorti', 'de', u'son', u'habitat', u'curitair', u'parc', 'il', u'par', u'les', u'res', u'des', u'avoisinant', u'qui', u'brillent', 'la', u'nuit', u'nous', u'poson', u'des', u'bagu', u'aux', u'macareux', u'que', u'nous', u'sauvon', 'et', u'nous', u'prenon', u'leur', u'mesur', u'avant', 'de', u'les', u'remettr', 'en', u'dan', u'sabina', u'quip', 'du', u'scf']"
4,7,1.37e+18,,GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/20d2dca50796174e227a8e0923b516c3/5AFCEBF9/t51.2885-15/e35/24327877_2031688483731887_7091553813915500544_n.jpg,BL1HZowhQyD,1,2016-10-21_08-26-00,Notre minifourgonnette est repérée lors d’une visite de terrain axée sur la conservation des oiseaux dans la magnifique aire nommée Lac du Bois Grasslands.,environnementcan,[],2016-10-21T08:26:00,[],False,[],3913646610,Notre minifourgonnette est lors une visite de terrain sur la conservation des oiseaux dans la magnifique aire Lac du Bois Grasslands,"['Notre', 'minifourgonnette', 'est', 'lors', 'une', 'visite', 'de', 'terrain', 'sur', 'la', 'conservation', 'des', 'oiseaux', 'dans', 'la', 'magnifique', 'aire', 'Lac', 'du', 'Bois', 'Grasslands']","[u'notr', u'minifourgonnett', u'est', u'lor', u'une', u'visit', 'de', u'terrain', u'sur', 'la', u'conserv', u'des', u'oiseaux', u'dan', 'la', u'magnifiqu', u'air', u'lac', 'du', u'boi', u'grassland']"
5,9,1.37e+18,,GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/5495f3273013531fbe32d5e49f00ecea/5AF7877C/t51.2885-15/e35/25005279_149583202351969_7511849250393686016_n.jpg,BL8swIKhyhi,2,2016-10-24_07-07-04,« La folie du lundi »Des Chevêches des terriers prisent en photo par l’une de nos caméras infrarouges à détecteur de mouvement. Nos biologistes utilisent ces caméras pour prendre des photos au cœur des habitats sauvages aux quatre coins du Canada.,environnementcan,[],2016-10-24T07:07:04,[],False,[],3913646610,La folie du lundi Des des terriers prisent en photo par une de nos ras infrarouges tecteur de mouvement Nos biologistes utilisent ces ras pour prendre des photos au ur des habitats sauvages aux quatre coins du Canada,"['La', 'folie', 'du', 'lundi', 'Des', 'des', 'terriers', 'prisent', 'en', 'photo', 'par', 'une', 'de', 'nos', 'ras', 'infrarouges', 'tecteur', 'de', 'mouvement', 'Nos', 'biologistes', 'utilisent', 'ces', 'ras', 'pour', 'prendre', 'des', 'photos', 'au', 'ur', 'des', 'habitats', 'sauvages', 'aux', 'quatre', 'coins', 'du', 'Canada']","['la', u'foli', 'du', u'lundi', u'des', u'des', u'terrier', u'prisent', 'en', u'photo', u'par', u'une', 'de', u'nos', u'ras', u'infraroug', u'tecteur', 'de', u'mouvement', u'nos', u'biologist', u'utilis', u'ces', u'ras', u'pour', u'prendr', u'des', u'photo', 'au', 'ur', u'des', u'habitat', u'sauvag', u'aux', u'quatr', u'coin', 'du', u'canada']"
6,3,1.37e+18,,GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/1511f9abe660b4aa3bd70230e3d48f50/5AF4F3B5/t51.2885-15/e35/25012811_593718587686245_7682335907034169344_n.jpg,BL_X1cJBnbu,2,2016-10-25_08-02-00,"Faites la connaissance de Lynne (à gauche) et de Barbara (à droite). En , ces deux femmes ont fait partie de la toute première équipe féminine de chercheuses du Service canadien de la faune (SCF) envoyée en Arctique pour procéder au baguage des oiseaux. Depuis, années ont passé et Barbara travaille toujours au sein du SCF. Ce mois-ci, elle se trouve sur l’île Manitoulin où elle dénombre les Grues du Canada.",environnementcan,[],2016-10-25T08:02:00,[],False,[],3913646610,Faites la connaissance de Lynne gauche et de Barbara droite En ces deux femmes ont fait partie de la toute quipe minine de chercheuses du Service canadien de la faune SCF en Arctique pour der au baguage des oiseaux Depuis es ont et Barbara travaille toujours au sein du SCF Ce mois ci elle se trouve sur le Manitoulin elle nombre les Grues du Canada,"['Faites', 'la', 'connaissance', 'de', 'Lynne', 'gauche', 'et', 'de', 'Barbara', 'droite', 'En', 'ces', 'deux', 'femmes', 'ont', 'fait', 'partie', 'de', 'la', 'toute', 'quipe', 'minine', 'de', 'chercheuses', 'du', 'Service', 'canadien', 'de', 'la', 'faune', 'SCF', 'en', 'Arctique', 'pour', 'der', 'au', 'baguage', 'des', 'oiseaux', 'Depuis', 'es', 'ont', 'et', 'Barbara', 'travaille', 'toujours', 'au', 'sein', 'du', 'SCF', 'Ce', 'mois', 'ci', 'elle', 'se', 'trouve', 'sur', 'le', 'Manitoulin', 'elle', 'nombre', 'les', 'Grues', 'du', 'Canada']","[u'fait', 'la', u'connaiss', 'de', u'lynn', u'gauch', 'et', 'de', u'barbara', u'droit', 'en', u'ces', u'deux', u'femm', u'ont', u'fait', u'parti', 'de', 'la', u'tout', u'quip', u'minin', 'de', u'chercheus', 'du', u'servic', u'canadien', 'de', 'la', u'faun', u'scf', 'en', u'arctiqu', u'pour', u'der', 'au', u'baguag', u'des', u'oiseaux', u'depui', 'es', u'ont', 'et', u'barbara', u'travaill', u'toujour', 'au', u'sein', 'du', u'scf', 'ce', u'moi', 'ci', u'ell', 'se', u'trouv', u'sur', 'le', u'manitoulin', u'ell', u'nombr', u'les', u'grue', 'du', u'canada']"
7,6,1.37e+18,,GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/e620ecea8914f37e884dd9b5b1c911ab/5AD8E6D6/t51.2885-15/e35/25006838_2030171670552335_6262880985579257856_n.jpg,BMB45uzBK9M,2,2016-10-26_07-29-26,"En dénombrant la population des hérons à proximité du fleuve Fraser en Colombie-Britannique, nous avons aperçu ce drôle de héron et sa partenaire en train de construire un nid sur un poteau. Ce poteau devait avoir quelque chose de spécial pour qu’ils y élèvent un oisillon.",environnementcan,[],2016-10-26T07:29:26,[],False,[],3913646610,En nombrant la population des rons du fleuve Fraser en Colombie Britannique nous avons ce le de ron et sa partenaire en train de construire un nid sur un poteau Ce poteau devait avoir quelque chose de cial pour ils vent un oisillon,"['En', 'nombrant', 'la', 'population', 'des', 'rons', 'du', 'fleuve', 'Fraser', 'en', 'Colombie', 'Britannique', 'nous', 'avons', 'ce', 'le', 'de', 'ron', 'et', 'sa', 'partenaire', 'en', 'train', 'de', 'construire', 'un', 'nid', 'sur', 'un', 'poteau', 'Ce', 'poteau', 'devait', 'avoir', 'quelque', 'chose', 'de', 'cial', 'pour', 'ils', 'vent', 'un', 'oisillon']","['en', u'nombrant', 'la', u'popul', u'des', u'ron', 'du', u'fleuv', u'fraser', 'en', u'colombi', u'britanniqu', u'nous', u'avon', 'ce', 'le', 'de', u'ron', 'et', 'sa', u'partenair', 'en', u'train', 'de', u'construir', 'un', u'nid', u'sur', 'un', u'poteau', 'ce', u'poteau', u'devait', u'avoir', u'quelqu', u'chose', 'de', u'cial', u'pour', u'il', u'vent', 'un', u'oisillon']"
8,7,1.37e+18,,GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/cc2b7f64b5007e2a9afec867fe4a4c4d/5AF72F14/t51.2885-15/e35/24838215_183473228899594_4460688742260146176_n.jpg,BMEgVVihcAJ,1,2016-10-27_07-52-28,"Voici une photo d’une station météorologique automatisée prise en mars dernier dans la vallée Callaghan près de Whistler, alors que le soleil se pointait au-dessus des montagnes et qu’une gelée blanche recouvrait toujours la neige. Les stations météorologiques automatisées comme celle-ci, qui est située près de Whistler en Colombie-Britannique, permettent d’obtenir des données météorologiques qui contribuent à la production de prévisions plus précises!",environnementcan,[],2016-10-27T07:52:28,[],False,[],3913646610,Voici une photo une station orologique prise en mars dernier dans la Callaghan de Whistler alors que le soleil se pointait au dessus des montagnes et une blanche recouvrait toujours la neige Les stations orologiques es comme celle ci qui est de Whistler en Colombie Britannique permettent obtenir des es orologiques qui contribuent la production de visions plus cises,"['Voici', 'une', 'photo', 'une', 'station', 'orologique', 'prise', 'en', 'mars', 'dernier', 'dans', 'la', 'Callaghan', 'de', 'Whistler', 'alors', 'que', 'le', 'soleil', 'se', 'pointait', 'au', 'dessus', 'des', 'montagnes', 'et', 'une', 'blanche', 'recouvrait', 'toujours', 'la', 'neige', 'Les', 'stations', 'orologiques', 'es', 'comme', 'celle', 'ci', 'qui', 'est', 'de', 'Whistler', 'en', 'Colombie', 'Britannique', 'permettent', 'obtenir', 'des', 'es', 'orologiques', 'qui', 'contribuent', 'la', 'production', 'de', 'visions', 'plus', 'cises']","[u'voici', u'une', u'photo', u'une', u'station', u'orologiqu', u'prise', 'en', u'mar', u'dernier', u'dan', 'la', u'callaghan', 'de', u'whistler', u'alor', u'que', 'le', u'soleil', 'se', u'pointait', 'au', u'dessus', u'des', u'montagn', 'et', u'une', u'blanch', u'recouvrait', u'toujour', 'la', u'neig', u'les', u'station', u'orologiqu', 'es', u'comm', u'cell', 'ci', u'qui', u'est', 'de', u'whistler', 'en', u'colombi', u'britanniqu', u'permett', u'obtenir', u'des', 'es', u'orologiqu', u'qui', u'contribu', 'la', u'product', 'de', u'vision', u'plus', u'cise']"
9,5,1.37e+18,,GraphImage,https://instagram.fyvr3-1.fna.fbcdn.net/vp/a60f47992be02324bfb08962e40f0919/5AE0140F/t51.2885-15/e35/25011015_136738260377390_4285309727027494912_n.jpg,BMFFiExh7Vs,0,2016-10-27_13-17-31,"Docteur Fred Roots a eu tout un parcours, et nous lui devons beaucoup. L’eloration et la découverte ont été au cœur de sa vie, et il a joué un rôle influent dans le développement d’Environnement Canada. Qu’il s’agisse d’organiser le Programme du plateau continental polaire ou de présider le Programme sur l’homme et la biosphère de l’UNESCO, ses réalisations ont été multiples. Monsieur Roots est également connu pour sa contribution à la rédaction du Traité sur l’Antarctique – un traité dont l’héritage se perpétue encore aujourd’hui. Nous nous souviendrons toujours de lui. :",environnementcan,[],2016-10-27T13:17:31,"[""studentsonice""]",False,[],3913646610,Docteur Fred Roots eu tout un parcours et nous lui devons beaucoup eloration et la couverte ont au ur de sa vie et il un le influent dans le veloppement Environnement Canada il agisse organiser le Programme du plateau continental polaire ou de sider le Programme sur homme et la de UNESCO ses alisations ont multiples Monsieur Roots est galement connu pour sa contribution la daction du sur Antarctique un dont ritage se tue encore hui Nous nous souviendrons toujours de lui,"['Docteur', 'Fred', 'Roots', 'eu', 'tout', 'un', 'parcours', 'et', 'nous', 'lui', 'devons', 'beaucoup', 'eloration', 'et', 'la', 'couverte', 'ont', 'au', 'ur', 'de', 'sa', 'vie', 'et', 'il', 'un', 'le', 'influent', 'dans', 'le', 'veloppement', 'Environnement', 'Canada', 'il', 'agisse', 'organiser', 'le', 'Programme', 'du', 'plateau', 'continental', 'polaire', 'ou', 'de', 'sider', 'le', 'Programme', 'sur', 'homme', 'et', 'la', 'de', 'UNESCO', 'ses', 'alisations', 'ont', 'multiples', 'Monsieur', 'Roots', 'est', 'galement', 'connu', 'pour', 'sa', 'contribution', 'la', 'daction', 'du', 'sur', 'Antarctique', 'un', 'dont', 'ritage', 'se', 'tue', 'encore', 'hui', 'Nous', 'nous', 'souviendrons', 'toujours', 'de', 'lui']","[u'docteur', u'fred', u'root', 'eu', u'tout', 'un', u'parcour', 'et', u'nous', u'lui', u'devon', u'beaucoup', u'elor', 'et', 'la', u'couvert', u'ont', 'au', 'ur', 'de', 'sa', u'vie', 'et', 'il', 'un', 'le', u'influent', u'dan', 'le', u'velopp', u'environn', u'canada', 'il', u'agiss', u'organis', 'le', u'programm', 'du', u'plateau', u'continent', u'polair', 'ou', 'de', u'sider', 'le', u'programm', u'sur', u'homm', 'et', 'la', 'de', u'unesco', u'ses', u'alis', u'ont', u'multipl', u'monsieur', u'root', u'est', u'galement', u'connu', u'pour', 'sa', u'contribut', 'la', u'daction', 'du', u'sur', u'antarctiqu', 'un', u'dont', u'ritag', 'se', u'tue', u'encor', u'hui', u'nous', u'nous', u'souviendron', u'toujour', 'de', u'lui']"
