,Unnamed: 0,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original
0,0,947559275982880769,0,0,2017-12-31 20:05:10,"Looking for information on tides, currents and water levels? Get it here.",[],"['https://t.co/8MiTNrKF8T', 'https://t.co/L0iQmlvwiT']",Looking information tides currents water levels Get,"['Looking', 'information', 'tides', 'currents', 'water', 'levels', 'Get']","[u'look', u'inform', u'tide', u'current', u'water', u'level', u'get']","Looking for information on tides, currents and water levels? Get it here. https://t.co/8MiTNrKF8T https://t.co/L0iQmlvwiT"
1,1,947176765419655170,2,3,2017-12-30 18:45:13,Small : Reminder! Check for ice &amp; build-up on your moored vessel - pipes and engine blocks may freeze.,"['#boatowners', '#snow', '#BePrepared']",['https://t.co/x7TTtsEbuh'],Small Reminder Check ice amp build moored vessel pipes engine blocks may freeze,"['Small', 'Reminder', 'Check', 'ice', 'amp', 'build', 'moored', 'vessel', 'pipes', 'engine', 'blocks', 'may', 'freeze']","[u'small', u'remind', u'check', u'ice', u'amp', u'build', u'moor', u'vessel', u'pipe', u'engin', u'block', u'may', u'freez']",Small #boatowners: Reminder! Check for ice &amp; #snow build-up on your moored vessel - pipes and engine blocks may freeze. #BePrepared https://t.co/x7TTtsEbuh
2,2,946877269540294656,6,12,2017-12-29 22:55:07,"The Marine refuge in the Offshore Pacific Area of Interest protects &amp; as well as underwater seamounts, hydrothermal vents and the unique ecosystems they support.","['#GlassSponges', '#corals', '#MarineConservation']","['https://t.co/o174AOtrRJ', 'https://t.co/G2SUmJk5Sb']",Marine refuge Offshore Pacific Area Interest protects amp well underwater seamounts hydrothermal vents unique ecosystems support,"['Marine', 'refuge', 'Offshore', 'Pacific', 'Area', 'Interest', 'protects', 'amp', 'well', 'underwater', 'seamounts', 'hydrothermal', 'vents', 'unique', 'ecosystems', 'support']","[u'marin', u'refug', u'offshor', u'pacif', u'area', u'interest', u'protect', u'amp', u'well', u'underwat', u'seamount', u'hydrotherm', u'vent', u'uniqu', u'ecosystem', u'support']","The Marine refuge in the Offshore Pacific Area of Interest protects #GlassSponges &amp; #corals as well as underwater seamounts, hydrothermal vents and the unique ecosystems they support. #MarineConservation https://t.co/o174AOtrRJ https://t.co/G2SUmJk5Sb"
3,3,946876122221961217,1,1,2017-12-29 22:50:34,"New Red Tide/PSP bivalve closures in areas , , , , , and . FN1314 Details:",['#shellfish'],['https://t.co/GYUmc8VWYa'],New Red Tide PSP bivalve closures areas FN1314 Details,"['New', 'Red', 'Tide', 'PSP', 'bivalve', 'closures', 'areas', 'FN1314', 'Details']","[u'new', u'red', u'tide', u'psp', u'bivalv', u'closur', u'area', u'fn1314', u'detail']","New Red Tide/PSP bivalve #shellfish closures in areas 12, 13, 14, 16, 24, 25 and 26. FN1314 Details: https://t.co/GYUmc8VWYa"
4,4,946813073259712512,12,0,2017-12-29 18:40:02,: Our Canadian oceans are beautiful because of the variety of life within them. https:…,"['#Top5', '#BestOf2017']",['https://t.co/RgPCQaRUZy'],Canadian oceans beautiful variety life within https,"['Canadian', 'oceans', 'beautiful', 'variety', 'life', 'within', 'https']","[u'canadian', u'ocean', u'beauti', u'varieti', u'life', u'within', u'https']",RT @DFO_MPO: Our Canadian oceans are beautiful because of the variety of life within them. https://t.co/RgPCQaRUZy #Top5 #BestOf2017 https:…
5,5,946463429812019200,8,14,2017-12-28 19:30:40,In BC’s Strait of Georgia and Howe Sound there are Reef Conservation Areas. Bottom contact fishing is not allowed in these areas. Avoid anchoring here because it could damage sensitive glass sponges living on the seabed.,['#GlassSponge'],"['https://t.co/70SLZxYN7y', 'https://t.co/v4NQyOWaAx']",Strait Georgia Howe Sound Reef Conservation Areas Bottom contact fishing allowed areas Avoid anchoring could damage sensitive glass sponges living seabed,"['Strait', 'Georgia', 'Howe', 'Sound', 'Reef', 'Conservation', 'Areas', 'Bottom', 'contact', 'fishing', 'allowed', 'areas', 'Avoid', 'anchoring', 'could', 'damage', 'sensitive', 'glass', 'sponges', 'living', 'seabed']","[u'strait', u'georgia', u'howe', u'sound', u'reef', u'conserv', u'area', u'bottom', u'contact', u'fish', u'allow', u'area', u'avoid', u'anchor', u'could', u'damag', u'sensit', u'glass', u'spong', u'live', u'seab']",In BC’s Strait of Georgia and Howe Sound there are 9 #GlassSponge Reef Conservation Areas. Bottom contact fishing is not allowed in these areas. Avoid anchoring here because it could damage sensitive glass sponges living on the seabed. https://t.co/70SLZxYN7y https://t.co/v4NQyOWaAx
6,6,946139185597083650,6,6,2017-12-27 22:02:14,"You have until March , to apply for funding to have an abandoned boat removed from your local waterway.",[],['https://t.co/rxLTOpBL8v'],March apply funding abandoned boat removed local waterway,"['March', 'apply', 'funding', 'abandoned', 'boat', 'removed', 'local', 'waterway']","[u'march', u'appli', u'fund', u'abandon', u'boat', u'remov', u'local', u'waterway']","You have until March 15, 2018 to apply for funding to have an abandoned boat removed from your local waterway. https://t.co/rxLTOpBL8v"
7,7,946112262821031936,0,2,2017-12-27 20:15:16,"Areas may be closed to fishing for many reasons, including for purposes. Check to see if the spot you’re interested in falls in a restricted area.","['#conservation', '#fishing']","['https://t.co/HNbLjKzbjF', 'https://t.co/y0f6j8l4Oh']",Areas may closed fishing many reasons including purposes Check see spot interested falls restricted area,"['Areas', 'may', 'closed', 'fishing', 'many', 'reasons', 'including', 'purposes', 'Check', 'see', 'spot', 'interested', 'falls', 'restricted', 'area']","[u'area', u'may', u'close', u'fish', u'mani', u'reason', u'includ', u'purpos', u'check', u'see', u'spot', u'interest', u'fall', u'restrict', u'area']","Areas may be closed to fishing for many reasons, including for #conservation purposes. Check to see if the spot you’re interested in falls in a restricted #fishing area. https://t.co/HNbLjKzbjF https://t.co/y0f6j8l4Oh"
8,8,945756567160242176,42,0,2017-12-26 20:41:51,": that sea hold hands so they don't drift apart. Their ""rafts"" can contain up to otters!","['#DYK', '#otters']",['https://t.co/UHKRk0CgO\xe2\x80\xa6'],sea hold hands drift apart rafts contain otters,"['sea', 'hold', 'hands', 'drift', 'apart', 'rafts', 'contain', 'otters']","[u'sea', u'hold', u'hand', u'drift', u'apart', u'raft', u'contain', u'otter']","RT @DFO_MPO: #DYK that sea #otters hold hands so they don't drift apart. Their ""rafts"" can contain up to 200 otters! https://t.co/UHKRk0CgO…"
9,9,945727212459872266,0,1,2017-12-26 18:45:12,Repairing an old dock? We have useful information to help you protect fish and fish habitat when you are building near water.,[],"['https://t.co/Wpie3Zlmng', 'https://t.co/Lssptue1g5']",Repairing old dock useful information help protect fish fish habitat building near water,"['Repairing', 'old', 'dock', 'useful', 'information', 'help', 'protect', 'fish', 'fish', 'habitat', 'building', 'near', 'water']","[u'repair', u'old', u'dock', u'use', u'inform', u'help', u'protect', u'fish', u'fish', u'habitat', u'build', u'near', u'water']",Repairing an old dock? We have useful information to help you protect fish and fish habitat when you are building near water. https://t.co/Wpie3Zlmng https://t.co/Lssptue1g5
