,Unnamed: 0,Unnamed: 0.1,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original,text_sentiment_original_scores,text_sentiment_original_scores_type
0,0,0,947150347709054976,0,2,2017-12-30 17:00:14,"Avec l’année qui vient à sa fin, un autre de nos préférés était le défilé de la Fierté à Montréal! èrtéMTL éestnotreforce","['#Moment150', '#Fi', '#Diversit']",['https://t.co/UgzKf8JRtm'],Avec qui vient sa fin un autre de nos tait le de la al MTL estnotreforce,"['Avec', 'qui', 'vient', 'sa', 'fin', 'un', 'autre', 'de', 'nos', 'tait', 'le', 'de', 'la', 'al', 'MTL', 'estnotreforce']","[u'avec', u'qui', u'vient', 'sa', u'fin', 'un', u'autr', 'de', u'nos', u'tait', 'le', 'de', 'la', 'al', u'mtl', u'estnotreforc']","Avec l’année 2017 qui vient à sa fin, un autre de nos #Moment150 préférés était le défilé de la Fierté à Montréal! #FièrtéMTL #Diversitéestnotreforce https://t.co/UgzKf8JRtm",0.0,Neutral
1,1,1,946879277500428293,5,9,2017-12-29 23:03:06,Droit devant avec ce mile nautique de plus! La Capitaine Barrett se joint au Capitaine Kooiman à bord du NGCC Griffon pour assurer les services sans escale sur la durant les conditions de glace critiques. ère,"['#VoieMaritime', '#FleuveStLaurent', '#GCCFi']",['https://t.co/ssBLKfAf8h'],Droit devant avec ce mile nautique de plus La Capitaine Barrett se joint au Capitaine Kooiman bord du NGCC Griffon pour assurer les services sans escale sur la durant les conditions de glace critiques,"['Droit', 'devant', 'avec', 'ce', 'mile', 'nautique', 'de', 'plus', 'La', 'Capitaine', 'Barrett', 'se', 'joint', 'au', 'Capitaine', 'Kooiman', 'bord', 'du', 'NGCC', 'Griffon', 'pour', 'assurer', 'les', 'services', 'sans', 'escale', 'sur', 'la', 'durant', 'les', 'conditions', 'de', 'glace', 'critiques']","[u'droit', u'devant', u'avec', 'ce', u'mile', u'nautiqu', 'de', u'plus', 'la', u'capitain', u'barrett', 'se', u'joint', 'au', u'capitain', u'kooiman', u'bord', 'du', u'ngcc', u'griffon', u'pour', u'assur', u'les', u'servic', u'san', u'escal', u'sur', 'la', u'durant', u'les', u'condit', 'de', u'glace', u'critiqu']",Droit devant avec ce mile nautique de plus! La Capitaine Barrett se joint au Capitaine Kooiman à bord du NGCC Griffon pour assurer les services sans escale sur la #VoieMaritime durant les conditions de glace critiques. #FleuveStLaurent #GCCFière https://t.co/ssBLKfAf8h,0.0,Neutral
2,2,2,946742816289509376,1,2,2017-12-29 14:00:51,? NGCC Louis S. St-Laurent est notre plus grand navire mesurant mètres de long! Le Louis vient de revenir de l’Arctique.,['#SVQ'],['https://t.co/AgZdfO2Z0X'],NGCC Louis St Laurent est notre plus grand navire mesurant tres de long Le Louis vient de revenir de Arctique,"['NGCC', 'Louis', 'St', 'Laurent', 'est', 'notre', 'plus', 'grand', 'navire', 'mesurant', 'tres', 'de', 'long', 'Le', 'Louis', 'vient', 'de', 'revenir', 'de', 'Arctique']","[u'ngcc', u'loui', 'st', u'laurent', u'est', u'notr', u'plus', u'grand', u'navir', u'mesur', u'tres', 'de', u'long', 'le', u'loui', u'vient', 'de', u'revenir', 'de', u'arctiqu']",#SVQ? NGCC Louis S. St-Laurent est notre plus grand navire mesurant 120 mètres de long! Le Louis vient de revenir de l’Arctique. https://t.co/AgZdfO2Z0X,0.21875,Neutral
3,3,3,946380304419258369,5,4,2017-12-28 14:00:22,étro déglaçage dans l'Arctique. Nous fournissons des services de déglaçage pour assurer une navigation sécuritaire; empêcher la formation d’embâcles et les inondations et maintenir les routes de transport maritime commercial.,['#JeudiR'],"['https://t.co/3id5shmQlb', 'https://t.co/VqihUVktYG']",tro age dans Arctique Nous fournissons des services de age pour assurer une navigation curitaire la formation cles et les inondations et maintenir les routes de transport maritime commercial,"['tro', 'age', 'dans', 'Arctique', 'Nous', 'fournissons', 'des', 'services', 'de', 'age', 'pour', 'assurer', 'une', 'navigation', 'curitaire', 'la', 'formation', 'cles', 'et', 'les', 'inondations', 'et', 'maintenir', 'les', 'routes', 'de', 'transport', 'maritime', 'commercial']","[u'tro', u'age', u'dan', u'arctiqu', u'nous', u'fournisson', u'des', u'servic', 'de', u'age', u'pour', u'assur', u'une', u'navig', u'curitair', 'la', u'format', u'cles', 'et', u'les', u'inond', 'et', u'maintenir', u'les', u'rout', 'de', u'transport', u'maritim', u'commerci']",#JeudiRétro déglaçage dans l'Arctique. Nous fournissons des services de déglaçage pour assurer une navigation sécuritaire; empêcher la formation d’embâcles et les inondations et maintenir les routes de transport maritime commercial. https://t.co/3id5shmQlb @BiblioArchives https://t.co/VqihUVktYG,0.0,Neutral
4,4,4,946227308410654724,1,0,2017-12-28 03:52:25,: Arrangements d’approvisionnement approuvés pour la ; option provisoire pour services de églaçage.,['#d'],['https://t.\xe2\x80\xa6'],Arrangements approvisionnement pour la option provisoire pour services de age,"['Arrangements', 'approvisionnement', 'pour', 'la', 'option', 'provisoire', 'pour', 'services', 'de', 'age']","[u'arrang', u'approvisionn', u'pour', 'la', u'option', u'provisoir', u'pour', u'servic', 'de', u'age']",RT @salledepresseGC: Arrangements d’approvisionnement approuvés pour la @GCC_CCG; option provisoire pour services de #déglaçage. https://t.…,0.0,Neutral
5,5,5,946078333963554816,2,4,2017-12-27 18:00:26,En savoir plus sur la façon dont nous augmentons notre capacité de églaçage à fournir des services essentiels sur les voies navigables du Canada. Pour plus information:,"['#d', '#AidesNavigation']","['https://t.co/7YIEFh995g', 'https://t.co/dnxnnAQ9sw']",En savoir plus sur la dont nous augmentons notre de age fournir des services essentiels sur les voies navigables du Canada Pour plus information,"['En', 'savoir', 'plus', 'sur', 'la', 'dont', 'nous', 'augmentons', 'notre', 'de', 'age', 'fournir', 'des', 'services', 'essentiels', 'sur', 'les', 'voies', 'navigables', 'du', 'Canada', 'Pour', 'plus', 'information']","['en', u'savoir', u'plus', u'sur', 'la', u'dont', u'nous', u'augmenton', u'notr', 'de', u'age', u'fournir', u'des', u'servic', u'essentiel', u'sur', u'les', u'voi', u'navig', 'du', u'canada', u'pour', u'plus', u'inform']",En savoir plus sur la façon dont nous augmentons notre capacité de #déglaçage à fournir des services essentiels sur les voies navigables du Canada. Pour plus information: https://t.co/7YIEFh995g  #AidesNavigation https://t.co/dnxnnAQ9sw,0.0,Neutral
6,6,6,946048334795624450,0,1,2017-12-27 16:01:14,"Hauturier de recherches halieutiques amarré à Ogden Point, C-B pour les essais finale, à côté de la base à Victoria. ère",['#CCGFi'],['https://t.co/wyYzm9a6GI'],Hauturier de recherches halieutiques Ogden Point pour les essais finale de la base Victoria,"['Hauturier', 'de', 'recherches', 'halieutiques', 'Ogden', 'Point', 'pour', 'les', 'essais', 'finale', 'de', 'la', 'base', 'Victoria']","[u'hauturi', 'de', u'recherch', u'halieutiqu', u'ogden', u'point', u'pour', u'les', u'essai', u'final', 'de', 'la', u'base', u'victoria']","Hauturier de recherches halieutiques amarré à Ogden Point, C-B pour les essais finale, à côté de la base à Victoria. #CCGFière https://t.co/wyYzm9a6GI",-0.8,Negative
7,7,7,946018093633101825,0,0,2017-12-27 14:01:04,Caitlin Powers est gestionnaire de projet pour notre équipe d’hélicoptères et a été une fière employée de la Garde côtière pendant plus de ans! Regardez sa vidéo pour en savoir plus sur ses eériences extraordinaires avec la Garde côtière.,[],['https://t.co/rHwb28z5gQ'],Caitlin Powers est gestionnaire de projet pour notre quipe res et une de la Garde pendant plus de ans Regardez sa pour en savoir plus sur ses riences extraordinaires avec la Garde,"['Caitlin', 'Powers', 'est', 'gestionnaire', 'de', 'projet', 'pour', 'notre', 'quipe', 'res', 'et', 'une', 'de', 'la', 'Garde', 'pendant', 'plus', 'de', 'ans', 'Regardez', 'sa', 'pour', 'en', 'savoir', 'plus', 'sur', 'ses', 'riences', 'extraordinaires', 'avec', 'la', 'Garde']","[u'caitlin', u'power', u'est', u'gestionnair', 'de', u'projet', u'pour', u'notr', u'quip', u'res', 'et', u'une', 'de', 'la', u'gard', u'pendant', u'plus', 'de', u'an', u'regardez', 'sa', u'pour', 'en', u'savoir', u'plus', u'sur', u'ses', u'rienc', u'extraordinair', u'avec', 'la', u'gard']",Caitlin Powers est gestionnaire de projet pour notre équipe d’hélicoptères et a été une fière employée de la Garde côtière pendant plus de 10 ans! Regardez sa vidéo pour en savoir plus sur ses expériences extraordinaires avec la Garde côtière. https://t.co/rHwb28z5gQ,0.0,Neutral
8,8,8,945685726443769856,2,4,2017-12-26 16:00:21,Les navires rouges et blancs de la Garde côtière canadienne constituent un symbole visible de notre identité et leurs silhouettes rassurantes font partie du paysage des collectivités côtières depuis .,[],"['https://t.co/EHNyuzhkXN', 'https://t.co/W4fis9wWs7']",Les navires rouges et blancs de la Garde canadienne constituent un symbole visible de notre et leurs silhouettes rassurantes font partie du paysage des res depuis,"['Les', 'navires', 'rouges', 'et', 'blancs', 'de', 'la', 'Garde', 'canadienne', 'constituent', 'un', 'symbole', 'visible', 'de', 'notre', 'et', 'leurs', 'silhouettes', 'rassurantes', 'font', 'partie', 'du', 'paysage', 'des', 'res', 'depuis']","[u'les', u'navir', u'roug', 'et', u'blanc', 'de', 'la', u'gard', u'canadienn', u'constitu', 'un', u'symbol', u'visibl', 'de', u'notr', 'et', u'leur', u'silhouett', u'rassurant', u'font', u'parti', 'du', u'paysag', u'des', u'res', u'depui']",Les navires rouges et blancs de la Garde côtière canadienne constituent un symbole visible de notre identité et leurs silhouettes rassurantes font partie du paysage des collectivités côtières depuis 1962. https://t.co/EHNyuzhkXN https://t.co/W4fis9wWs7,0.0,Neutral
9,9,9,945655499948810240,1,1,2017-12-26 14:00:15,le Collège de la Garde côtière canadienne est considéré comme l'un des collèges maritimes les plus modernes et les mieux équipés au monde? Postulez ici,['#SVQ'],"['https://t.co/O2BiXBXRlv', 'https://t.co/Bj1bT4NsUT']",le ge de la Garde canadienne est comme un des ges maritimes les plus modernes et les mieux au monde Postulez ici,"['le', 'ge', 'de', 'la', 'Garde', 'canadienne', 'est', 'comme', 'un', 'des', 'ges', 'maritimes', 'les', 'plus', 'modernes', 'et', 'les', 'mieux', 'au', 'monde', 'Postulez', 'ici']","['le', 'ge', 'de', 'la', u'gard', u'canadienn', u'est', u'comm', 'un', u'des', u'ges', u'maritim', u'les', u'plus', u'modern', 'et', u'les', u'mieux', 'au', u'mond', u'postulez', u'ici']",#SVQ le Collège de la Garde côtière canadienne est considéré comme l'un des collèges maritimes les plus modernes et les mieux équipés au monde? Postulez ici https://t.co/O2BiXBXRlv https://t.co/Bj1bT4NsUT,0.0,Neutral
10,10,10,945293467781160960,4,2,2017-12-25 14:01:40,"Notre personnel travaille heures sur , jours sur , jours par année, pour assurer la sécurité de nos eaux. Joyeux temps des Fêtes à nos équipages et personnels sur et hors service. Merci de votre service.",[],['https://t.co/GylbMQbv1R'],Notre personnel travaille heures sur jours sur jours par pour assurer la de nos eaux Joyeux temps des nos quipages et personnels sur et hors service Merci de votre service,"['Notre', 'personnel', 'travaille', 'heures', 'sur', 'jours', 'sur', 'jours', 'par', 'pour', 'assurer', 'la', 'de', 'nos', 'eaux', 'Joyeux', 'temps', 'des', 'nos', 'quipages', 'et', 'personnels', 'sur', 'et', 'hors', 'service', 'Merci', 'de', 'votre', 'service']","[u'notr', u'personnel', u'travaill', u'heur', u'sur', u'jour', u'sur', u'jour', u'par', u'pour', u'assur', 'la', 'de', u'nos', u'eaux', u'joyeux', u'temp', u'des', u'nos', u'quipag', 'et', u'personnel', u'sur', 'et', u'hor', u'servic', u'merci', 'de', u'votr', u'servic']","Notre personnel travaille 24 heures sur 24, 7 jours sur 7, 365 jours par année, pour assurer la sécurité de nos eaux. Joyeux temps des Fêtes à nos équipages et personnels sur et hors service. Merci de votre service. https://t.co/GylbMQbv1R",0.0,Neutral
11,11,11,944991105782812673,2,5,2017-12-24 18:00:11,"Demandez à n'importe quel marin-de bons repas alimentent le voyage &amp; sont un point culminant de la journée. Sur les à bord du NGCC Samuel Risley, David Desveaux, Brenda Jones &amp; Jackie Day préparent des repas nutritifs, délicieux et des friandises sur le thème des Fêtes",['#GrandLacs'],['https://t.co/EYYLPhpPjO'],Demandez importe quel marin de bons repas alimentent le voyage amp sont un point culminant de la Sur les bord du NGCC Samuel Risley David Desveaux Brenda Jones amp Jackie Day parent des repas nutritifs licieux et des friandises sur le des,"['Demandez', 'importe', 'quel', 'marin', 'de', 'bons', 'repas', 'alimentent', 'le', 'voyage', 'amp', 'sont', 'un', 'point', 'culminant', 'de', 'la', 'Sur', 'les', 'bord', 'du', 'NGCC', 'Samuel', 'Risley', 'David', 'Desveaux', 'Brenda', 'Jones', 'amp', 'Jackie', 'Day', 'parent', 'des', 'repas', 'nutritifs', 'licieux', 'et', 'des', 'friandises', 'sur', 'le', 'des']","[u'demandez', u'import', u'quel', u'marin', 'de', u'bon', u'repa', u'aliment', 'le', u'voyag', u'amp', u'sont', 'un', u'point', u'culmin', 'de', 'la', u'sur', u'les', u'bord', 'du', u'ngcc', u'samuel', u'risley', u'david', u'desveaux', u'brenda', u'jone', u'amp', u'jacki', u'day', u'parent', u'des', u'repa', u'nutritif', u'licieux', 'et', u'des', u'friandis', u'sur', 'le', u'des']","Demandez à n'importe quel marin-de bons repas alimentent le voyage &amp; sont un point culminant de la journée. Sur les #GrandLacs à bord du NGCC Samuel Risley, David Desveaux, Brenda Jones &amp; Jackie Day préparent des repas nutritifs, délicieux et des friandises sur le thème des Fêtes https://t.co/EYYLPhpPjO",0.0,Neutral
12,12,12,944960930059902981,0,0,2017-12-24 16:00:16,"En ce e jour de notre décompte de jours de la période des êtes ️... DOUZE stations des SCTM, qui assurent la sécurité et l’efficacité des déplacements des navires dans les eaux canadiennes.",['#f'],"['https://t.co/zKvl6WLOEB', 'https://t.co/21gDLHy74r']",En ce jour de notre compte de jours de la riode des DOUZE stations des SCTM qui assurent la et des placements des navires dans les eaux canadiennes,"['En', 'ce', 'jour', 'de', 'notre', 'compte', 'de', 'jours', 'de', 'la', 'riode', 'des', 'DOUZE', 'stations', 'des', 'SCTM', 'qui', 'assurent', 'la', 'et', 'des', 'placements', 'des', 'navires', 'dans', 'les', 'eaux', 'canadiennes']","['en', 'ce', u'jour', 'de', u'notr', u'compt', 'de', u'jour', 'de', 'la', u'riod', u'des', u'douz', u'station', u'des', u'sctm', u'qui', u'assur', 'la', 'et', u'des', u'placement', u'des', u'navir', u'dan', u'les', u'eaux', u'canadienn']","En ce 12e jour de notre décompte de 12 jours de la période des #fêtes ☃️... DOUZE stations des SCTM, qui assurent la sécurité et l’efficacité des déplacements des navires dans les eaux canadiennes. https://t.co/zKvl6WLOEB https://t.co/21gDLHy74r",0.0,Neutral
13,13,13,944628868480106501,0,0,2017-12-23 18:00:47,"Le Père Noël prend son envol dans notre hélicoptère au Centre Queen Alexandra for Children’s Health à Victoria, C-B.",[],['https://t.co/y4dcbvd43p'],Le prend son envol dans notre au Centre Queen Alexandra Health Victoria,"['Le', 'prend', 'son', 'envol', 'dans', 'notre', 'au', 'Centre', 'Queen', 'Alexandra', 'Health', 'Victoria']","['le', u'prend', u'son', u'envol', u'dan', u'notr', 'au', u'centr', u'queen', u'alexandra', u'health', u'victoria']","Le Père Noël prend son envol dans notre hélicoptère au Centre Queen Alexandra for Children’s Health à Victoria, C-B. https://t.co/y4dcbvd43p",0.0,Neutral
14,14,14,944598755701084162,0,0,2017-12-23 16:01:07,En ce e jour de notre décompte de jours de la période des êtes ️... ONZE élèves mécaniciens de quatrième année du ège de la Garde côtière canadienne! Postulez dès maintenant :,"['#f', '#Coll']","['https://t.co/6yVDThZ2zX', 'https://t.co/Ek8vUom0A6']",En ce jour de notre compte de jours de la riode des ONZE ves caniciens de du ge de la Garde canadienne Postulez maintenant,"['En', 'ce', 'jour', 'de', 'notre', 'compte', 'de', 'jours', 'de', 'la', 'riode', 'des', 'ONZE', 'ves', 'caniciens', 'de', 'du', 'ge', 'de', 'la', 'Garde', 'canadienne', 'Postulez', 'maintenant']","['en', 'ce', u'jour', 'de', u'notr', u'compt', 'de', u'jour', 'de', 'la', u'riod', u'des', u'onz', u'ves', u'canicien', 'de', 'du', 'ge', 'de', 'la', u'gard', u'canadienn', u'postulez', u'mainten']",En ce 11e jour de notre décompte de 12 jours de la période des #fêtes ☃️... ONZE élèves mécaniciens de quatrième année du #Collège de la Garde côtière canadienne! Postulez dès maintenant : https://t.co/6yVDThZ2zX https://t.co/Ek8vUom0A6,0.0,Neutral
15,15,15,944296660666077185,3,1,2017-12-22 20:00:42,Les stations saisonnières de de la région Atlantique de la GCC dans le golfe du Saint-Laurent sont fermées pour la saison. Les navires de ces stations ne peuvent pas naviguer dans les eaux couvertes de glaces; les activités reprendront en avril '18 :,['#SAR'],"['https://t.co/VHCWoSzVzN', 'https://t.co/gqr7NlSLRb']",Les stations res de de la gion Atlantique de la GCC dans le golfe du Saint Laurent sont es pour la saison Les navires de ces stations ne peuvent pas naviguer dans les eaux couvertes de glaces les reprendront en avril 18,"['Les', 'stations', 'res', 'de', 'de', 'la', 'gion', 'Atlantique', 'de', 'la', 'GCC', 'dans', 'le', 'golfe', 'du', 'Saint', 'Laurent', 'sont', 'es', 'pour', 'la', 'saison', 'Les', 'navires', 'de', 'ces', 'stations', 'ne', 'peuvent', 'pas', 'naviguer', 'dans', 'les', 'eaux', 'couvertes', 'de', 'glaces', 'les', 'reprendront', 'en', 'avril', '18']","[u'les', u'station', u'res', 'de', 'de', 'la', u'gion', u'atlantiqu', 'de', 'la', u'gcc', u'dan', 'le', u'golf', 'du', u'saint', u'laurent', u'sont', 'es', u'pour', 'la', u'saison', u'les', u'navir', 'de', u'ces', u'station', 'ne', u'peuvent', u'pas', u'navigu', u'dan', u'les', u'eaux', u'couvert', 'de', u'glace', u'les', u'reprendront', 'en', u'avril', '18']",Les stations saisonnières de #SAR de la région Atlantique de la GCC dans le golfe du Saint-Laurent sont fermées pour la saison. Les navires de ces stations ne peuvent pas naviguer dans les eaux couvertes de glaces; les activités reprendront en avril '18 : https://t.co/VHCWoSzVzN https://t.co/gqr7NlSLRb,0.0,Neutral
16,16,16,944236094597541889,2,3,2017-12-22 16:00:02,Voyez le NGCC Cape Providence et le NGCC Thunder Cape qui sont retirés de l'eau à la fermeture saisonnière des stations de bateaux de et sauvetage à Meaford et Tobermory (Ont.) Source : Greg Mulligan 1,['#Recherche'],"['https://t.co/NPVkQDeyY', 'https://t.co/N2PWOwod8H']",Voyez le NGCC Cape Providence et le NGCC Thunder Cape qui sont de eau la fermeture des stations de bateaux de et sauvetage Meaford et Tobermory Ont Source Greg Mulligan,"['Voyez', 'le', 'NGCC', 'Cape', 'Providence', 'et', 'le', 'NGCC', 'Thunder', 'Cape', 'qui', 'sont', 'de', 'eau', 'la', 'fermeture', 'des', 'stations', 'de', 'bateaux', 'de', 'et', 'sauvetage', 'Meaford', 'et', 'Tobermory', 'Ont', 'Source', 'Greg', 'Mulligan']","[u'voyez', 'le', u'ngcc', u'cape', u'provid', 'et', 'le', u'ngcc', u'thunder', u'cape', u'qui', u'sont', 'de', u'eau', 'la', u'fermetur', u'des', u'station', 'de', u'bateaux', 'de', 'et', u'sauvetag', u'meaford', 'et', u'tobermori', u'ont', u'sourc', u'greg', u'mulligan']",Voyez le NGCC Cape Providence et le NGCC Thunder Cape qui sont retirés de l'eau à la fermeture saisonnière des stations de bateaux de #Recherche et sauvetage à Meaford et Tobermory (Ont.) Source : Greg Mulligan https://t.co/NPVkQDeyY1 https://t.co/N2PWOwod8H,0.0,Neutral
17,17,17,944205967654313984,1,3,2017-12-22 14:00:19,Pour le e jour de nos jours des êtes ️…Nous avons participé à DIX célébrations ! ère,"['#f', '#Canada150', '#GCCFi']",['https://t.co/UwQkMuGVL5'],Pour le jour de nos jours des Nous avons DIX brations,"['Pour', 'le', 'jour', 'de', 'nos', 'jours', 'des', 'Nous', 'avons', 'DIX', 'brations']","[u'pour', 'le', u'jour', 'de', u'nos', u'jour', u'des', u'nous', u'avon', u'dix', u'bration']",Pour le 10e jour de nos 12 jours des #fêtes ☃️…Nous avons participé à DIX célébrations #Canada150! #GCCFière @canada150e https://t.co/UwQkMuGVL5,0.0,Neutral
18,18,18,943967340642701313,2,0,2017-12-21 22:12:06,: Avis : se prépare à entamer ses opérations de déglaçage dans les Grands Lacs C,[],['https://t.co/xxftc5gRK'],Avis se pare entamer ses rations de age dans les Grands Lacs,"['Avis', 'se', 'pare', 'entamer', 'ses', 'rations', 'de', 'age', 'dans', 'les', 'Grands', 'Lacs']","[u'avi', 'se', u'pare', u'entam', u'ses', u'ration', 'de', u'age', u'dan', u'les', u'grand', u'lac']",RT @salledepresseGC: Avis : @GCC_CCG se prépare à entamer ses opérations de déglaçage dans les Grands Lacs https://t.co/xxftc5gRKC,0.0,Neutral
19,19,19,943953264030097408,2,0,2017-12-21 21:16:10,": En partenariat avec , , et , nous avons élaboré de nouveaux principes afin de gér…",[],[],En partenariat avec et nous avons de nouveaux principes afin de,"['En', 'partenariat', 'avec', 'et', 'nous', 'avons', 'de', 'nouveaux', 'principes', 'afin', 'de']","['en', u'partenariat', u'avec', 'et', u'nous', u'avon', 'de', u'nouveaux', u'princip', u'afin', 'de']","RT @SPAC_PSPC: En partenariat avec @DefenseCanada, @GCC_CCG, @CADSICanada et @ISDE_CA, nous avons élaboré de nouveaux principes afin de gér…",0.0,Neutral
20,20,20,943913952530128896,2,7,2017-12-21 18:39:58,étro le NGCC Terry Fox et son équipage font escale chez le père Noël au Pôle Nord pour quelques rondes de golf! églaçage,"['#JeudiR', '#D', '#Arctique']",['https://t.co/wRquIJzgAO'],tro le NGCC Terry Fox et son quipage font escale chez le au le Nord pour quelques rondes de golf age,"['tro', 'le', 'NGCC', 'Terry', 'Fox', 'et', 'son', 'quipage', 'font', 'escale', 'chez', 'le', 'au', 'le', 'Nord', 'pour', 'quelques', 'rondes', 'de', 'golf', 'age']","[u'tro', 'le', u'ngcc', u'terri', u'fox', 'et', u'son', u'quipag', u'font', u'escal', u'chez', 'le', 'au', 'le', u'nord', u'pour', u'quelqu', u'rond', 'de', u'golf', u'age']",#JeudiRétro le NGCC Terry Fox et son équipage font escale chez le père Noël au Pôle Nord pour quelques rondes de golf! #Déglaçage #Arctique https://t.co/wRquIJzgAO,0.0,Neutral
21,21,21,943873965541470208,2,5,2017-12-21 16:01:04,"C'est aujourd'hui le premier jour d’hiver, ce qui signifie qu’il s’agit du début de nuits plus courtes et des journées plus longues! Joyeux d’hiver!",['#Solstice'],['https://t.co/zzNb8qKePw'],est aujourd hui le premier jour hiver ce qui signifie il agit du de nuits plus courtes et des es plus longues Joyeux hiver,"['est', 'aujourd', 'hui', 'le', 'premier', 'jour', 'hiver', 'ce', 'qui', 'signifie', 'il', 'agit', 'du', 'de', 'nuits', 'plus', 'courtes', 'et', 'des', 'es', 'plus', 'longues', 'Joyeux', 'hiver']","[u'est', u'aujourd', u'hui', 'le', u'premier', u'jour', u'hiver', 'ce', u'qui', u'signifi', 'il', u'agit', 'du', 'de', u'nuit', u'plus', u'court', 'et', u'des', 'es', u'plus', u'longu', u'joyeux', u'hiver']","C'est aujourd'hui le premier jour d’hiver, ce qui signifie qu’il s’agit du début de nuits plus courtes et des journées plus longues! Joyeux #Solstice d’hiver! https://t.co/zzNb8qKePw",0.0,Neutral
