,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original,text_sentiment_original_scores,text_sentiment_original_scores_type,category
0,0,0,0,0,947559275009859585,0,1,2017-12-31 20:05:10,"Vous cherchez des informations sur les marées, les courants et les niveaux d'eau ? Elles sont là : 2u",[],"['https://t.co/AaX15b3b', 'https://t.co/Rtz3XVSR5p']",Vous cherchez des informations sur les es les courants et les niveaux eau Elles sont https co AaX15b3b2u https co Rtz3XVSR5p,"['Vous', 'cherchez', 'des', 'informations', 'sur', 'les', 'es', 'les', 'courants', 'et', 'les', 'niveaux', 'eau', 'Elles', 'sont', 'https', 'co', 'AaX15b3b2u', 'https', 'co', 'Rtz3XVSR5p']","[u'vous', u'cherchez', u'des', u'inform', u'sur', u'les', 'es', u'les', u'courant', 'et', u'les', u'niveaux', u'eau', u'ell', u'sont', u'https', 'co', u'aax15b3b2u', u'https', 'co', u'rtz3xvsr5p']","Vous cherchez des informations sur les marées, les courants et les niveaux d'eau ? Elles sont là : https://t.co/AaX15b3b2u https://t.co/Rtz3XVSR5p",0.0,Neutral,Environmental
1,1,1,1,1,947176763565715456,0,0,2017-12-30 18:45:12,Rappel aux proprios de petits amarrés! L'accumulation de glace et de peut geler les tuyaux et les blocs-moteurs. 8,"['#bateaux', '#neige', '#SoyezPrudents']",['https://t.co/eDPZ8WbvB'],Rappel aux proprios de petits bateaux accumulation de glace et de neige peut geler les tuyaux et les blocs moteurs SoyezPrudents https co eDPZ8WbvB8,"['Rappel', 'aux', 'proprios', 'de', 'petits', 'bateaux', 'accumulation', 'de', 'glace', 'et', 'de', 'neige', 'peut', 'geler', 'les', 'tuyaux', 'et', 'les', 'blocs', 'moteurs', 'SoyezPrudents', 'https', 'co', 'eDPZ8WbvB8']","[u'rappel', u'aux', u'proprio', 'de', u'petit', u'bateaux', u'accumul', 'de', u'glace', 'et', 'de', u'neig', u'peut', u'geler', u'les', u'tuyaux', 'et', u'les', u'bloc', u'moteur', u'soyezprud', u'https', 'co', u'edpz8wbvb8']",Rappel aux proprios de petits #bateaux amarrés! L'accumulation de glace et de #neige peut geler les tuyaux et les blocs-moteurs. #SoyezPrudents https://t.co/eDPZ8WbvB8,0.0,Neutral,Environmental
2,2,2,2,2,946877269183737857,0,0,2017-12-29 22:55:07,"Le refuge marin dans la zone d’intérêt au large du Pacifique protégera les coraux &amp; les éponges siliceuses, ainsi que les monts sous-marins, les évents hydrothermaux et les écosystèmes uniques qu’ils soutiennent. 8",[],"['https://t.co/MN9Vk0wsEE', 'https://t.co/jqqvt3FHp']",Le refuge marin dans la zone au large du Pacifique gera les coraux amp les ponges siliceuses ainsi que les monts sous marins les vents hydrothermaux et les mes uniques ils soutiennent https co MN9Vk0wsEE https co jqqvt3FHp8,"['Le', 'refuge', 'marin', 'dans', 'la', 'zone', 'au', 'large', 'du', 'Pacifique', 'gera', 'les', 'coraux', 'amp', 'les', 'ponges', 'siliceuses', 'ainsi', 'que', 'les', 'monts', 'sous', 'marins', 'les', 'vents', 'hydrothermaux', 'et', 'les', 'mes', 'uniques', 'ils', 'soutiennent', 'https', 'co', 'MN9Vk0wsEE', 'https', 'co', 'jqqvt3FHp8']","['le', u'refug', u'marin', u'dan', 'la', u'zone', 'au', u'larg', 'du', u'pacifiqu', u'gera', u'les', u'coraux', u'amp', u'les', u'pong', u'siliceus', u'ainsi', u'que', u'les', u'mont', u'sous', u'marin', u'les', u'vent', u'hydrothermaux', 'et', u'les', u'mes', u'uniqu', u'il', u'soutienn', u'https', 'co', u'mn9vk0wsee', u'https', 'co', u'jqqvt3fhp8']","Le refuge marin dans la zone d’intérêt au large du Pacifique protégera  les coraux &amp; les éponges siliceuses, ainsi que les monts sous-marins, les évents hydrothermaux et les écosystèmes uniques qu’ils soutiennent. https://t.co/MN9Vk0wsEE https://t.co/jqqvt3FHp8",0.21428571428571427,Neutral,Environmental
3,3,3,3,3,946876415558995968,0,0,2017-12-29 22:51:44,"Nouvelles fermetures de la récolte de due aux biotoxines, secteurs , , , , , et . AP1314",['#coquillages'],['https://t.co/rI1CsHADL3'],Nouvelles fermetures de la colte de coquillages due aux biotoxines secteurs 12 13 14 16 24 25 et 26 AP1314 https co rI1CsHADL3,"['Nouvelles', 'fermetures', 'de', 'la', 'colte', 'de', 'coquillages', 'due', 'aux', 'biotoxines', 'secteurs', '12', '13', '14', '16', '24', '25', 'et', '26', 'AP1314', 'https', 'co', 'rI1CsHADL3']","[u'nouvell', u'fermetur', 'de', 'la', u'colt', 'de', u'coquillag', u'due', u'aux', u'biotoxin', u'secteur', '12', '13', '14', '16', '24', '25', 'et', '26', u'ap1314', u'https', 'co', u'ri1cshadl3']","Nouvelles fermetures de la récolte de #coquillages due aux biotoxines, secteurs 12, 13, 14, 16, 24, 25 et 26. AP1314 https://t.co/rI1CsHADL3",-0.125,Neutral,Economical
4,4,4,4,4,946813119006900227,4,0,2017-12-29 18:40:13,: Nos océans canadiens sont magnifiques en raison de la variété de la vie aquatique. …,"['#Top5', '#Meilleurde20']",['https://t.co/IEz2nL9zBM'],RT Nos ans canadiens sont magnifiques en raison de la de la vie aquatique https co IEz2nL9zBM Top5,"['RT', 'Nos', 'ans', 'canadiens', 'sont', 'magnifiques', 'en', 'raison', 'de', 'la', 'de', 'la', 'vie', 'aquatique', 'https', 'co', 'IEz2nL9zBM', 'Top5']","['rt', u'nos', u'an', u'canadien', u'sont', u'magnifiqu', 'en', u'raison', 'de', 'la', 'de', 'la', u'vie', u'aquatiqu', u'https', 'co', u'iez2nl9zbm', u'top5']",RT @MPO_DFO: Nos océans canadiens sont magnifiques en raison de la variété de la vie aquatique. https://t.co/IEz2nL9zBM #Top5 #Meilleurde20…,0.0,Neutral,Social
5,5,5,5,5,946464330970787845,0,1,2017-12-28 19:34:15,Le étroitdeGéorgie et la comportent aires de conservation des récifs d'éponges siliceuses. Les activités de pêche de fond sont interdites dans ces zones. Évitez de jeter l'ancre car cela pourrait endommager les éponges siliceuses vulnérables.,"['#d', '#baieHowe']","['https://t.co/82Vr5Dv25q', 'https://t.co/NS7sJ3P4lN']",Le orgie et la baieHowe comportent aires de conservation des cifs ponges siliceuses Les de de fond sont interdites dans ces zones vitez de jeter ancre car cela pourrait endommager les ponges siliceuses rables https co 82Vr5Dv25q https co NS7sJ3P4lN,"['Le', 'orgie', 'et', 'la', 'baieHowe', 'comportent', 'aires', 'de', 'conservation', 'des', 'cifs', 'ponges', 'siliceuses', 'Les', 'de', 'de', 'fond', 'sont', 'interdites', 'dans', 'ces', 'zones', 'vitez', 'de', 'jeter', 'ancre', 'car', 'cela', 'pourrait', 'endommager', 'les', 'ponges', 'siliceuses', 'rables', 'https', 'co', '82Vr5Dv25q', 'https', 'co', 'NS7sJ3P4lN']","['le', u'orgi', 'et', 'la', u'baiehow', u'comport', u'air', 'de', u'conserv', u'des', u'cif', u'pong', u'siliceus', u'les', 'de', 'de', u'fond', u'sont', u'interdit', u'dan', u'ces', u'zone', u'vitez', 'de', u'jeter', u'ancr', u'car', u'cela', u'pourrait', u'endommag', u'les', u'pong', u'siliceus', u'rabl', u'https', 'co', u'82vr5dv25q', u'https', 'co', u'ns7sj3p4ln']",Le #détroitdeGéorgie et la #baieHowe comportent 9 aires de conservation des récifs d'éponges siliceuses. Les activités de pêche de fond sont interdites dans ces zones. Évitez de jeter l'ancre car cela pourrait endommager les éponges siliceuses vulnérables. https://t.co/82Vr5Dv25q https://t.co/NS7sJ3P4lN,0.0,Neutral,Environmental
6,6,6,6,6,946140013640724480,0,0,2017-12-27 22:05:32,Vous voulez enlever un bateau abandonné d'une voie navigable locale? Vous avez jusqu'au mars pour faire une demande de financement dans le cadre du Programme de bateaux abandonnés.,[],['https://t.co/zLXrDVqFMv'],Vous voulez enlever un bateau une voie navigable locale Vous avez jusqu au 15 mars 2018 pour faire une demande de financement dans le cadre du Programme de bateaux https co zLXrDVqFMv,"['Vous', 'voulez', 'enlever', 'un', 'bateau', 'une', 'voie', 'navigable', 'locale', 'Vous', 'avez', 'jusqu', 'au', '15', 'mars', '2018', 'pour', 'faire', 'une', 'demande', 'de', 'financement', 'dans', 'le', 'cadre', 'du', 'Programme', 'de', 'bateaux', 'https', 'co', 'zLXrDVqFMv']","[u'vous', u'voulez', u'enlev', 'un', u'bateau', u'une', u'voie', u'navig', u'local', u'vous', u'avez', u'jusqu', 'au', '15', u'mar', u'2018', u'pour', u'fair', u'une', u'demand', 'de', u'financ', u'dan', 'le', u'cadr', 'du', u'programm', 'de', u'bateaux', u'https', 'co', u'zlxrdvqfmv']",Vous voulez enlever un bateau abandonné d'une voie navigable locale? Vous avez jusqu'au 15 mars 2018 pour faire une demande de financement dans le cadre du Programme de bateaux abandonnés. https://t.co/zLXrDVqFMv,0.0,Neutral,Economical
7,7,7,7,7,946112466756521985,0,0,2017-12-27 20:16:04,"Les zones peuvent être fermées à la êche pour de multiples raisons, y compris des raisons de . Vérifiez si l’endroit où vous souhaitez pêcher se situe dans une zone de pêche restreinte. d 9","['#p', '#conservation']","['https://t.co/Hu2jSfPCO', 'https://t.co/whYZvZZkl']",Les zones peuvent es la pour de multiples raisons compris des raisons de conservation rifiez si endroit vous souhaitez se situe dans une zone de restreinte https co Hu2jSfPCOd https co whYZvZZkl9,"['Les', 'zones', 'peuvent', 'es', 'la', 'pour', 'de', 'multiples', 'raisons', 'compris', 'des', 'raisons', 'de', 'conservation', 'rifiez', 'si', 'endroit', 'vous', 'souhaitez', 'se', 'situe', 'dans', 'une', 'zone', 'de', 'restreinte', 'https', 'co', 'Hu2jSfPCOd', 'https', 'co', 'whYZvZZkl9']","[u'les', u'zone', u'peuvent', 'es', 'la', u'pour', 'de', u'multipl', u'raison', u'compri', u'des', u'raison', 'de', u'conserv', u'rifiez', 'si', u'endroit', u'vous', u'souhaitez', 'se', u'situ', u'dan', u'une', u'zone', 'de', u'restreint', u'https', 'co', u'hu2jsfpcod', u'https', 'co', u'whyzvzzkl9']","Les zones peuvent être fermées à la #pêche pour de multiples raisons, y compris des raisons de #conservation. Vérifiez si l’endroit où vous souhaitez pêcher se situe dans une zone de pêche restreinte. https://t.co/Hu2jSfPCOd https://t.co/whYZvZZkl9",0.0,Neutral,Environmental
8,8,8,8,8,945756639579144192,4,0,2017-12-26 20:42:08,: Les de mer se tiennent la patte pour rester ensemble. Leurs radeaux peuvent contenir jusqu’à loutres!,['#loutres'],['https://t.c\xe2\x80\xa6'],RT Les loutres de mer se tiennent la patte pour rester ensemble Leurs radeaux peuvent contenir 200 loutres https,"['RT', 'Les', 'loutres', 'de', 'mer', 'se', 'tiennent', 'la', 'patte', 'pour', 'rester', 'ensemble', 'Leurs', 'radeaux', 'peuvent', 'contenir', '200', 'loutres', 'https']","['rt', u'les', u'loutr', 'de', u'mer', 'se', u'tiennent', 'la', u'patt', u'pour', u'rester', u'ensembl', u'leur', u'radeaux', u'peuvent', u'contenir', u'200', u'loutr', u'https']",RT @MPO_DFO: Les #loutres de mer se tiennent la patte pour rester ensemble. Leurs radeaux peuvent contenir jusqu’à 200 loutres! https://t.c…,0.0,Neutral,Environmental
9,9,9,9,9,945727206080335873,0,0,2017-12-26 18:45:11,Vous réparez un quai? Renseignez-vous sur la façon de protéger le poisson et son habitat durant vos travaux près de l'eau.,[],"['https://t.co/58WVWZqdf4', 'https://t.co/4Me1lhCNLv']",Vous parez un quai Renseignez vous sur la de ger le poisson et son habitat durant vos travaux de eau https co 58WVWZqdf4 https co 4Me1lhCNLv,"['Vous', 'parez', 'un', 'quai', 'Renseignez', 'vous', 'sur', 'la', 'de', 'ger', 'le', 'poisson', 'et', 'son', 'habitat', 'durant', 'vos', 'travaux', 'de', 'eau', 'https', 'co', '58WVWZqdf4', 'https', 'co', '4Me1lhCNLv']","[u'vous', u'parez', 'un', u'quai', u'renseignez', u'vous', u'sur', 'la', 'de', u'ger', 'le', u'poisson', 'et', u'son', u'habitat', u'durant', u'vos', u'travaux', 'de', u'eau', u'https', 'co', u'58wvwzqdf4', u'https', 'co', u'4me1lhcnlv']",Vous réparez un quai? Renseignez-vous sur la façon de protéger le poisson et son habitat durant vos travaux près de l'eau. https://t.co/58WVWZqdf4 https://t.co/4Me1lhCNLv,0.0,Neutral,Environmental
