,Unnamed: 0,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original
0,0,946848547919495169,4,10,2017-12-29 21:01:00,"After releasing investigation reports since last January, we will soon be saying goodbye to . Wishing everyone safe travels in the new year.",[],[],releasing investigation reports since last January soon saying goodbye Wishing everyone safe travels new year,"['releasing', 'investigation', 'reports', 'since', 'last', 'January', 'soon', 'saying', 'goodbye', 'Wishing', 'everyone', 'safe', 'travels', 'new', 'year']","[u'releas', u'investig', u'report', u'sinc', u'last', u'januari', u'soon', u'say', u'goodby', u'wish', u'everyon', u'safe', u'travel', u'new', u'year']","After releasing 56 investigation reports since last January, we will soon be saying goodbye to 2017. Wishing everyone safe travels in the new year."
1,1,946812893244338177,3,1,2017-12-29 18:39:19,": hot air balloons are considered aircraft under the Aeronautics Act. In , the TSB issued two recommendations for safety. Nine years later, the risk remains","['#InterestingFact', '#hotairballoon']",['https://t.co/aphdeTcrhg'],hot air balloons considered aircraft Aeronautics Act TSB issued two recommendations safety Nine years later risk remains,"['hot', 'air', 'balloons', 'considered', 'aircraft', 'Aeronautics', 'Act', 'TSB', 'issued', 'two', 'recommendations', 'safety', 'Nine', 'years', 'later', 'risk', 'remains']","[u'hot', u'air', u'balloon', u'consid', u'aircraft', u'aeronaut', u'act', u'tsb', u'issu', u'two', u'recommend', u'safeti', u'nine', u'year', u'later', u'risk', u'remain']","#InterestingFact : hot air balloons are considered aircraft under the Aeronautics Act. In 2008, the TSB issued two recommendations for #hotairballoon safety. Nine years later, the risk remains https://t.co/aphdeTcrhg"
2,2,946463342998294528,2,0,2017-12-28 19:30:20,"Watch our very first animation, which was released as part of the investigation into a runway overrun that occurred in at",['#TBT'],['https://t.co/GswG8h4Dri'],Watch first animation released part investigation runway overrun occurred,"['Watch', 'first', 'animation', 'released', 'part', 'investigation', 'runway', 'overrun', 'occurred']","[u'watch', u'first', u'anim', u'releas', u'part', u'investig', u'runway', u'overrun', u'occur']","Watch our very first animation, which was released as part of the investigation into a runway overrun that occurred in 2005 at @TorontoPearson https://t.co/GswG8h4Dri #TBT"
3,3,946386911861661697,4,2,2017-12-28 14:26:37,"See why railway transportation of flammable liquids like crude oil across North America poses safety risks, and how these can be addressed more effectively",['#Watchlist'],['https://t.co/wWX1KtmXOK'],See railway transportation flammable liquids like crude oil across North America poses safety risks addressed effectively,"['See', 'railway', 'transportation', 'flammable', 'liquids', 'like', 'crude', 'oil', 'across', 'North', 'America', 'poses', 'safety', 'risks', 'addressed', 'effectively']","[u'see', u'railway', u'transport', u'flammabl', u'liquid', u'like', u'crude', u'oil', u'across', u'north', u'america', u'pose', u'safeti', u'risk', u'address', u'effect']","See why  railway transportation of flammable liquids like crude oil across North America poses safety risks, and how these can be addressed more effectively #Watchlist  https://t.co/wWX1KtmXOK"
4,4,946107390730096640,0,0,2017-12-27 19:55:54,that TSB Board member Joseph Hincke was RCMP's first Professional Integrity Officer? Learn about the Board members’ background and eerience by reading their biographies 1,['#DYK'],['https://t.co/sc5MkJL2r'],TSB Board member Joseph Hincke RCMP first Professional Integrity Officer Learn Board background eerience reading biographies,"['TSB', 'Board', 'member', 'Joseph', 'Hincke', 'RCMP', 'first', 'Professional', 'Integrity', 'Officer', 'Learn', 'Board', 'background', 'eerience', 'reading', 'biographies']","[u'tsb', u'board', u'member', u'joseph', u'hinck', u'rcmp', u'first', u'profession', u'integr', u'offic', u'learn', u'board', u'background', u'eerienc', u'read', u'biographi']",#DYK that TSB Board member Joseph Hincke was RCMP's first Professional Integrity Officer? Learn about the Board members’ background and experience by reading their biographies https://t.co/sc5MkJL2r1
5,5,946082391260565505,4,8,2017-12-27 18:16:34,So much happens between the deployment of TSB investigators to an accident site and the release of the investigation report. Find out more about our investigative journey in this video:,[],"['https://t.co/MDc7uxyIDh', 'https://t.co/27TY7GqLDN']",much happens deployment TSB investigators accident site release investigation report Find investigative journey video,"['much', 'happens', 'deployment', 'TSB', 'investigators', 'accident', 'site', 'release', 'investigation', 'report', 'Find', 'investigative', 'journey', 'video']","[u'much', u'happen', u'deploy', u'tsb', u'investig', u'accid', u'site', u'releas', u'investig', u'report', u'find', u'investig', u'journey', u'video']",So much happens between the deployment of TSB investigators to an accident site and the release of the investigation report. Find out more about our investigative journey in this video: https://t.co/MDc7uxyIDh https://t.co/27TY7GqLDN
6,6,945996670843711488,17,0,2017-12-27 12:35:56,: Buying a drone? Fly it below metres and km from airports. It’s the law,[],"['https://t.co/BQYrMPERlb', 'https://t.co/VJydHS\xe2\x80\xa6']",Buying drone Fly metres km airports law,"['Buying', 'drone', 'Fly', 'metres', 'km', 'airports', 'law']","[u'buy', u'drone', u'fli', u'metr', 'km', u'airport', u'law']",RT @Transport_gc: Buying a drone? Fly it below 90 metres and 5.5 km from airports. It’s the law https://t.co/BQYrMPERlb https://t.co/VJydHS…
7,7,944289870779908096,7,4,2017-12-22 19:33:43,"Are you flying over the holidays? If so, here’s some important safety advice: pay attention to pre-flight safety briefings, review safety features card &amp; wear clothing that is appropriate to the season.",[],['https://t.co/jW6VwVjjAs'],flying holidays important safety advice pay attention pre flight safety briefings review safety features card amp wear clothing appropriate season,"['flying', 'holidays', 'important', 'safety', 'advice', 'pay', 'attention', 'pre', 'flight', 'safety', 'briefings', 'review', 'safety', 'features', 'card', 'amp', 'wear', 'clothing', 'appropriate', 'season']","[u'fli', u'holiday', u'import', u'safeti', u'advic', u'pay', u'attent', u'pre', u'flight', u'safeti', u'brief', u'review', u'safeti', u'featur', u'card', u'amp', u'wear', u'cloth', u'appropri', u'season']","Are you flying over the holidays? If so, here’s some important safety advice: pay attention to pre-flight safety briefings, review safety features card &amp; wear clothing that is appropriate to the season. https://t.co/jW6VwVjjAs"
8,8,944246040760389632,0,0,2017-12-22 16:39:34,Job opportunity for public service employees and students: Human Resources Assistant. Join a dynamic team! Apply before January,[],['https://t.co/bf3aPzaAes'],Job opportunity public service employees students Human Resources Assistant Join dynamic team Apply January,"['Job', 'opportunity', 'public', 'service', 'employees', 'students', 'Human', 'Resources', 'Assistant', 'Join', 'dynamic', 'team', 'Apply', 'January']","[u'job', u'opportun', u'public', u'servic', u'employe', u'student', u'human', u'resourc', u'assist', u'join', u'dynam', u'team', u'appli', u'januari']",Job opportunity for public service employees and students: Human Resources Assistant. Join a dynamic team! Apply before January 5 https://t.co/bf3aPzaAes
9,9,944240229409525760,1,0,2017-12-22 16:16:28,"Last week, we released our investigation report into the crossing collision in Sainte-Ursule, Quebec","['#ICYMI', '#railway']",['https://t.co/HKYrLiBGzf'],Last week released investigation report crossing collision Sainte Ursule Quebec,"['Last', 'week', 'released', 'investigation', 'report', 'crossing', 'collision', 'Sainte', 'Ursule', 'Quebec']","[u'last', u'week', u'releas', u'investig', u'report', u'cross', u'collis', u'saint', u'ursul', u'quebec']","#ICYMI Last week, we released our #railway investigation report into the 2016 crossing collision in Sainte-Ursule, Quebec https://t.co/HKYrLiBGzf"
