,Unnamed: 0,Unnamed: 0.1,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_filtered_spell_corrected,text_sentiment_scores,text_corrected_sentiment_scores,text_sentiment_scores_type,text_corrected_sentiment_scores_type
0,0,0,947452374888648704,26,13,2017-12-31 13:00:23,Be safe and have fun. Keep your away from fireworks and crowds tonight,['#drone'],"['https://t.co/BQYrMPERlb', 'https://t.co/Cj2I77cCll']",safe fun Keep away fireworks crowds tonight,"['safe', 'fun', 'Keep', 'away', 'fireworks', 'crowds', 'tonight']","[u'safe', u'fun', u'keep', u'away', u'firework', u'crowd', u'tonight']",safe fun Deep away fireworks crowds tonight,0.4,0.26666666666666666,Positive,Neutral
1,1,1,947271158377996289,2,2,2017-12-31 01:00:18,We were proud to partner with to open the Jones Falls Lock for . What’s your favourite ?,"['#BoatSafetyWeek', '#150moment']",['https://t.co/bJqVSqnfWw'],proud partner open Jones Falls Lock favourite,"['proud', 'partner', 'open', 'Jones', 'Falls', 'Lock', 'favourite']","[u'proud', u'partner', u'open', u'jone', u'fall', u'lock', u'favourit']",proud partner open Bones Walls Lock favourite,0.4,0.4,Positive,Positive
2,2,2,947089997034909697,15,7,2017-12-30 13:00:26,Did you get that you had your eye on? Learn how to fly it safely:,['#drone'],"['https://t.co/BQYrMPERlb', 'https://t.co/PO5tz1tXFp']",get eye Learn fly safely,"['get', 'eye', 'Learn', 'fly', 'safely']","[u'get', u'eye', u'learn', u'fli', u'safe']",get eye Learn fly safely,0.65,0.65,Positive,Positive
3,3,3,946908788581437441,6,10,2017-12-30 01:00:22,: The first airplane flight in Canada was in February . John McCurdy flew about metres in the Silver Dart,['#FFF'],['https://t.co/vIvIC2twDj'],first airplane flight Canada February John McCurdy flew metres Silver Dart,"['first', 'airplane', 'flight', 'Canada', 'February', 'John', 'McCurdy', 'flew', 'metres', 'Silver', 'Dart']","[u'first', u'airplan', u'flight', u'canada', u'februari', u'john', u'mccurdi', u'flew', u'metr', u'silver', u'dart']",first airplane flight Canada February John McCurdy flew metre Silver Part,0.25,0.25,Neutral,Neutral
4,4,4,946878617430175745,25,9,2017-12-29 23:00:29,: Cooper &amp; Starfire . The tire tread could separate leading to tire failure 1 2,"['#Recall', '#tires']","['https://t.co/bbQSURD9V', 'https://t.co/8toPRkw5r']",Cooper amp Starfire tire tread could separate leading tire failure,"['Cooper', 'amp', 'Starfire', 'tire', 'tread', 'could', 'separate', 'leading', 'tire', 'failure']","[u'cooper', u'amp', u'starfir', u'tire', u'tread', u'could', u'separ', u'lead', u'tire', u'failur']",Cooper amp Starfire tire tread could separate leading tire failure,-0.3166666666666667,-0.3166666666666667,Neutral,Neutral
5,5,5,946848495385882624,2,2,2017-12-29 21:00:47,Enjoy your perfect present safely and legally. Share the air. Stay away from planes and other drones,[],"['https://t.co/BQYrMPERlb', 'https://t.co/AetLFbsBVs']",Enjoy perfect present safely legally Share air Stay away planes drones,"['Enjoy', 'perfect', 'present', 'safely', 'legally', 'Share', 'air', 'Stay', 'away', 'planes', 'drones']","[u'enjoy', u'perfect', u'present', u'safe', u'legal', u'share', u'air', u'stay', u'away', u'plane', u'drone']",Enjoy perfect present safely legally Share air Stay away planes drones,0.39999999999999997,0.39999999999999997,Positive,Positive
6,6,6,946845317592358912,6,0,2017-12-29 20:48:09,: .: Additional fine issued for violation of the speed restriction in the Gulf of St. Lawrence,[],['https://t.co/QkYp\xe2\x80\xa6'],Additional fine issued violation speed restriction Gulf St Lawrence,"['Additional', 'fine', 'issued', 'violation', 'speed', 'restriction', 'Gulf', 'St', 'Lawrence']","[u'addit', u'fine', u'issu', u'violat', u'speed', u'restrict', u'gulf', 'st', u'lawrenc']",Additional fine issued violation speed restriction Gulf It Lawrence,0.4166666666666667,0.4166666666666667,Positive,Positive
7,7,7,946785103228829697,13,0,2017-12-29 16:48:53,: More than out of Canadians believe texting while driving is a bigger problem today than it was years ago,[],['https://t.co/2OYpx7\xe2\x80\xa6'],Canadians believe texting driving bigger problem today years ago,"['Canadians', 'believe', 'texting', 'driving', 'bigger', 'problem', 'today', 'years', 'ago']","[u'canadian', u'believ', u'text', u'drive', u'bigger', u'problem', u'today', u'year', u'ago']",Canadians believe testing driving bigger problem today years ago,0.0,0.0,Neutral,Neutral
8,8,8,946761499061649410,13,4,2017-12-29 15:15:06,: Mercedes-Benz GLC Class . The aim of the LED headlamps may have been incorrectly adjusted during manufacturing,"['#Recall', '#SUVs']","['https://t.co/pHjP3w6XOT', 'https://t.co/HLqHH7jIab']",Mercedes Benz GLC Class aim LED headlamps may incorrectly adjusted manufacturing,"['Mercedes', 'Benz', 'GLC', 'Class', 'aim', 'LED', 'headlamps', 'may', 'incorrectly', 'adjusted', 'manufacturing']","[u'merced', u'benz', u'glc', u'class', u'aim', u'led', u'headlamp', u'may', u'incorrect', u'adjust', u'manufactur']",Precedes Men GLC Glass aim LED headlamps may incorrectly adjusted manufacturing,0.0,0.0,Neutral,Neutral
9,9,9,946727721731837954,2,5,2017-12-29 13:00:52,": in , The Bytown and Prescott Railway started service! This new rail line connected Ottawa to the Grand Trunk Railway","['#FFF', '#OTD']",['https://t.co/qVoi18FrVE'],Bytown Prescott Railway started service new rail line connected Ottawa Grand Trunk Railway,"['Bytown', 'Prescott', 'Railway', 'started', 'service', 'new', 'rail', 'line', 'connected', 'Ottawa', 'Grand', 'Trunk', 'Railway']","[u'bytown', u'prescott', u'railway', u'start', u'servic', u'new', u'rail', u'line', u'connect', u'ottawa', u'grand', u'trunk', u'railway']",Town Prescott Railway started service new rail line connected Ottawa Grand Trunk Railway,0.3181818181818182,0.3181818181818182,Neutral,Neutral
