,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original,text_sentiment_original_scores,text_sentiment_original_scores_type,category
0,0,0,0,946727731110268929,0,0,2017-12-29 13:00:55,"Titulaires de permis, le renouvellement est dû d’ici le déc. Utilisez le SNÉPL pour les paiements de",[],['https://t.co/9DyTldyB4e'],Titulaires de permis le renouvellement 2017 est ici le 31 Utilisez le PL pour les paiements de 2017 https co 9DyTldyB4e,"['Titulaires', 'de', 'permis', 'le', 'renouvellement', '2017', 'est', 'ici', 'le', '31', 'Utilisez', 'le', 'PL', 'pour', 'les', 'paiements', 'de', '2017', 'https', 'co', '9DyTldyB4e']","[u'titulair', 'de', u'permi', 'le', u'renouvel', u'2017', u'est', u'ici', 'le', '31', u'utilisez', 'le', 'pl', u'pour', u'les', u'paiement', 'de', u'2017', u'https', 'co', u'9dytldyb4']","Titulaires de permis, le renouvellement 2017 est dû d’ici le 31 déc. Utilisez le SNÉPL pour les paiements de 2017 https://t.co/9DyTldyB4e",0.0,Neutral,Environmental
1,1,1,1,944191074116960257,0,0,2017-12-22 13:01:08,"Titulaires de permis, le renouvellement est dû d’ici le déc. Utilisez le SNÉPL pour les paiements de",[],['https://t.co/9DyTldyB4e'],Titulaires de permis le renouvellement 2017 est ici le 31 Utilisez le PL pour les paiements de 2017 https co 9DyTldyB4e,"['Titulaires', 'de', 'permis', 'le', 'renouvellement', '2017', 'est', 'ici', 'le', '31', 'Utilisez', 'le', 'PL', 'pour', 'les', 'paiements', 'de', '2017', 'https', 'co', '9DyTldyB4e']","[u'titulair', 'de', u'permi', 'le', u'renouvel', u'2017', u'est', u'ici', 'le', '31', u'utilisez', 'le', 'pl', u'pour', u'les', u'paiement', 'de', u'2017', u'https', 'co', u'9dytldyb4']","Titulaires de permis, le renouvellement 2017 est dû d’ici le 31 déc. Utilisez le SNÉPL pour les paiements de 2017 https://t.co/9DyTldyB4e",0.0,Neutral,Environmental
2,2,2,2,941654338212192256,0,0,2017-12-15 13:01:03,"Titulaires de permis, le renouvellement est dû d’ici le déc. Utilisez le SNÉPL pour les paiements de",[],['https://t.co/9DyTldyB4e'],Titulaires de permis le renouvellement 2017 est ici le 31 Utilisez le PL pour les paiements de 2017 https co 9DyTldyB4e,"['Titulaires', 'de', 'permis', 'le', 'renouvellement', '2017', 'est', 'ici', 'le', '31', 'Utilisez', 'le', 'PL', 'pour', 'les', 'paiements', 'de', '2017', 'https', 'co', '9DyTldyB4e']","[u'titulair', 'de', u'permi', 'le', u'renouvel', u'2017', u'est', u'ici', 'le', '31', u'utilisez', 'le', 'pl', u'pour', u'les', u'paiement', 'de', u'2017', u'https', 'co', u'9dytldyb4']","Titulaires de permis, le renouvellement 2017 est dû d’ici le 31 déc. Utilisez le SNÉPL pour les paiements de 2017 https://t.co/9DyTldyB4e",0.0,Neutral,Environmental
3,3,3,3,940961231661404162,2,0,2017-12-13 15:06:54,: Qui ne rêve pas d'une peau éclatante pour les Fêtes? Nos scientifiques ont capturé des images aériennes inédites de baleines b…,[],[],RT Qui ne pas une peau clatante pour les Nos scientifiques ont des images riennes dites de baleines,"['RT', 'Qui', 'ne', 'pas', 'une', 'peau', 'clatante', 'pour', 'les', 'Nos', 'scientifiques', 'ont', 'des', 'images', 'riennes', 'dites', 'de', 'baleines']","['rt', u'qui', 'ne', u'pas', u'une', u'peau', u'clatant', u'pour', u'les', u'nos', u'scientifiqu', u'ont', u'des', u'imag', u'rienn', u'dite', 'de', u'balein']",RT @MPO_DFO: Qui ne rêve pas d'une peau éclatante pour les Fêtes? Nos scientifiques ont capturé des images aériennes inédites de baleines b…,0.0,Neutral,Environmental
4,4,4,4,939137616271863808,0,0,2017-12-08 14:20:30,RAPPEL : Vous avez jusqu’au décembre pour remplir notre questionnaire sur la pêche récréative du é. Faites-vous entendre!,['#BarRay'],['https://t.co/pkZYe4cxKm'],RAPPEL Vous avez au 10 cembre 2017 pour remplir notre questionnaire sur la ative du Faites vous entendre https co pkZYe4cxKm,"['RAPPEL', 'Vous', 'avez', 'au', '10', 'cembre', '2017', 'pour', 'remplir', 'notre', 'questionnaire', 'sur', 'la', 'ative', 'du', 'Faites', 'vous', 'entendre', 'https', 'co', 'pkZYe4cxKm']","[u'rappel', u'vous', u'avez', 'au', '10', u'cembr', u'2017', u'pour', u'remplir', u'notr', u'questionnair', u'sur', 'la', u'ativ', 'du', u'fait', u'vous', u'entendr', u'https', 'co', u'pkzye4cxkm']",RAPPEL : Vous avez jusqu’au 10 décembre 2017 pour remplir notre questionnaire sur la pêche récréative du #BarRayé. Faites-vous entendre! https://t.co/pkZYe4cxKm,0.0,Neutral,Environmental
5,5,5,5,939136924417183744,0,0,2017-12-08 14:17:45,RAPPEL : la date limite pour remplir notre questionnaire sur la pêche récréative du est le décembre . Erimez-votre opinion!,['#SaumonAtlantique'],"['https://t.co/eKKxEjxNPQ', 'https://t.co/xwV934yQLJ']",RAPPEL la date limite pour remplir notre questionnaire sur la ative du SaumonAtlantique est le 10 cembre 2017 Exprimez votre opinion https co eKKxEjxNPQ https co xwV934yQLJ,"['RAPPEL', 'la', 'date', 'limite', 'pour', 'remplir', 'notre', 'questionnaire', 'sur', 'la', 'ative', 'du', 'SaumonAtlantique', 'est', 'le', '10', 'cembre', '2017', 'Exprimez', 'votre', 'opinion', 'https', 'co', 'eKKxEjxNPQ', 'https', 'co', 'xwV934yQLJ']","[u'rappel', 'la', u'date', u'limit', u'pour', u'remplir', u'notr', u'questionnair', u'sur', 'la', u'ativ', 'du', u'saumonatlantiqu', u'est', 'le', '10', u'cembr', u'2017', u'exprimez', u'votr', u'opinion', u'https', 'co', u'ekkxejxnpq', u'https', 'co', u'xwv934yqlj']",RAPPEL : la date limite pour remplir notre questionnaire sur la pêche récréative du #SaumonAtlantique est le 10 décembre 2017. Exprimez-votre opinion! https://t.co/eKKxEjxNPQ https://t.co/xwV934yQLJ,0.0,Neutral,Environmental
6,6,6,6,939117590760296448,0,0,2017-12-08 13:00:56,"Titulaires de permis, le renouvellement est dû d’ici le déc. Utilisez le SNÉPL pour les paiements de",[],['https://t.co/9DyTldyB4e'],Titulaires de permis le renouvellement 2017 est ici le 31 Utilisez le PL pour les paiements de 2017 https co 9DyTldyB4e,"['Titulaires', 'de', 'permis', 'le', 'renouvellement', '2017', 'est', 'ici', 'le', '31', 'Utilisez', 'le', 'PL', 'pour', 'les', 'paiements', 'de', '2017', 'https', 'co', '9DyTldyB4e']","[u'titulair', 'de', u'permi', 'le', u'renouvel', u'2017', u'est', u'ici', 'le', '31', u'utilisez', 'le', 'pl', u'pour', u'les', u'paiement', 'de', u'2017', u'https', 'co', u'9dytldyb4']","Titulaires de permis, le renouvellement 2017 est dû d’ici le 31 déc. Utilisez le SNÉPL pour les paiements de 2017 https://t.co/9DyTldyB4e",0.0,Neutral,Environmental
7,7,7,7,936580875994705920,0,0,2017-12-01 13:00:56,"Titulaires de permis, le renouvellement est dû d’ici le déc. Utilisez le SNÉPL pour les paiements de",[],['https://t.co/9DyTldyB4e'],Titulaires de permis le renouvellement 2017 est ici le 31 Utilisez le PL pour les paiements de 2017 https co 9DyTldyB4e,"['Titulaires', 'de', 'permis', 'le', 'renouvellement', '2017', 'est', 'ici', 'le', '31', 'Utilisez', 'le', 'PL', 'pour', 'les', 'paiements', 'de', '2017', 'https', 'co', '9DyTldyB4e']","[u'titulair', 'de', u'permi', 'le', u'renouvel', u'2017', u'est', u'ici', 'le', '31', u'utilisez', 'le', 'pl', u'pour', u'les', u'paiement', 'de', u'2017', u'https', 'co', u'9dytldyb4']","Titulaires de permis, le renouvellement 2017 est dû d’ici le 31 déc. Utilisez le SNÉPL pour les paiements de 2017 https://t.co/9DyTldyB4e",0.0,Neutral,Environmental
8,8,8,8,934083017127219201,2,3,2017-11-24 15:35:20,"Première du documentaire sur l’Eédition Golfe du Saint-Laurent avec . De g à d: Jackey Richard, DG régionale associée, le min. Dominic LeBlanc, les scientifiques Mireille Chiasson &amp; Geneviève Faille et Serge Doucet, DG régional -Région du Golfe",[],"['https://t.co/IFsR0LhIQG', 'https://t.co/QP5T998pow']",du documentaire sur dition Golfe du Saint Laurent avec OceanaCan De Jackey Richard DG gionale le min Dominic LeBlanc les scientifiques Mireille Chiasson amp Faille et Serge Doucet DG gional gion du Golfe https co IFsR0LhIQG https co QP5T998pow,"['du', 'documentaire', 'sur', 'dition', 'Golfe', 'du', 'Saint', 'Laurent', 'avec', 'OceanaCan', 'De', 'Jackey', 'Richard', 'DG', 'gionale', 'le', 'min', 'Dominic', 'LeBlanc', 'les', 'scientifiques', 'Mireille', 'Chiasson', 'amp', 'Faille', 'et', 'Serge', 'Doucet', 'DG', 'gional', 'gion', 'du', 'Golfe', 'https', 'co', 'IFsR0LhIQG', 'https', 'co', 'QP5T998pow']","['du', u'documentair', u'sur', u'dition', u'golf', 'du', u'saint', u'laurent', u'avec', u'oceanacan', 'de', u'jackey', u'richard', 'dg', u'gional', 'le', u'min', u'domin', u'leblanc', u'les', u'scientifiqu', u'mireill', u'chiasson', u'amp', u'faill', 'et', u'serg', u'doucet', 'dg', u'gional', u'gion', 'du', u'golf', u'https', 'co', u'ifsr0lhiqg', u'https', 'co', u'qp5t998pow']","Première du documentaire sur l’Expédition Golfe du Saint-Laurent avec @OceanaCan. De g à d: Jackey Richard, DG régionale associée, le min. Dominic LeBlanc, les scientifiques Mireille Chiasson &amp; Geneviève Faille et Serge Doucet, DG régional -Région du Golfe https://t.co/IFsR0LhIQG https://t.co/QP5T998pow",0.0,Neutral,Environmental
9,9,9,9,931507410707021824,0,0,2017-11-17 13:00:47,"Titulaires de permis, le renouvellement est dû d’ici le déc. Utilisez le SNÉPL pour les paiements de",[],['https://t.co/9DyTldyB4e'],Titulaires de permis le renouvellement 2017 est ici le 31 Utilisez le PL pour les paiements de 2017 https co 9DyTldyB4e,"['Titulaires', 'de', 'permis', 'le', 'renouvellement', '2017', 'est', 'ici', 'le', '31', 'Utilisez', 'le', 'PL', 'pour', 'les', 'paiements', 'de', '2017', 'https', 'co', '9DyTldyB4e']","[u'titulair', 'de', u'permi', 'le', u'renouvel', u'2017', u'est', u'ici', 'le', '31', u'utilisez', 'le', 'pl', u'pour', u'les', u'paiement', 'de', u'2017', u'https', 'co', u'9dytldyb4']","Titulaires de permis, le renouvellement 2017 est dû d’ici le 31 déc. Utilisez le SNÉPL pour les paiements de 2017 https://t.co/9DyTldyB4e",0.0,Neutral,Environmental
10,10,10,10,931222536624529408,1,0,2017-11-16 18:08:48,: Quel voyageur! Des agents des pêches/biologistes à Shippagan recueillent l'étiquette d'un thon rouge de l'Atl. indiquant sa vo…,[],[],RT Quel voyageur Des agents des biologistes Shippagan recueillent tiquette un thon rouge de Atl indiquant sa,"['RT', 'Quel', 'voyageur', 'Des', 'agents', 'des', 'biologistes', 'Shippagan', 'recueillent', 'tiquette', 'un', 'thon', 'rouge', 'de', 'Atl', 'indiquant', 'sa']","['rt', u'quel', u'voyageur', u'des', u'agent', u'des', u'biologist', u'shippagan', u'recueil', u'tiquett', 'un', u'thon', u'roug', 'de', u'atl', u'indiqu', 'sa']",RT @MPO_MAR: Quel voyageur! Des agents des pêches/biologistes à Shippagan recueillent l'étiquette d'un thon rouge de l'Atl. indiquant sa vo…,0.0,Neutral,Social
