Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original,text_sentiment_original_scores,text_sentiment_original_scores_type
0,0,0,947595796731564032,5,2,2017-12-31 22:30:18,Quel est votre ésolutionNouvelAn pour la é? La Stratégie de propose des mesures que vous pouvez prendre en :,"['#R', '#durabilit', '#DevDurable']","['https://t.co/MxSvWRVNKv', 'https://t.co/tpEUNkMKQq']",Quel est votre solutionNouvelAn pour la La gie de DevDurable propose des mesures que vous pouvez prendre en 2018 https co MxSvWRVNKv https co tpEUNkMKQq,"['Quel', 'est', 'votre', 'solutionNouvelAn', 'pour', 'la', 'La', 'gie', 'de', 'DevDurable', 'propose', 'des', 'mesures', 'que', 'vous', 'pouvez', 'prendre', 'en', '2018', 'https', 'co', 'MxSvWRVNKv', 'https', 'co', 'tpEUNkMKQq']","[u'quel', u'est', u'votr', u'solutionnouvelan', u'pour', 'la', 'la', u'gie', 'de', u'devdur', u'propos', u'des', u'mesur', u'que', u'vous', u'pouvez', u'prendr', 'en', u'2018', u'https', 'co', u'mxsvwrvnkv', u'https', 'co', u'tpeunkmkqq']",Quel est votre #RésolutionNouvelAn pour la #durabilité? La Stratégie de #DevDurable propose des mesures que vous pouvez prendre en 2018 : https://t.co/MxSvWRVNKv https://t.co/tpEUNkMKQq,0.0,Neutral
1,1,1,947512685473677312,2,4,2017-12-31 17:00:02,"Hé, Canada! Des plaques sont installées partout au pays pour rendre hommage aux Canadiens ayant réservé des terres aux fins de de l’habitat. Pour en savoir plus :","['#Canada150', '#conservation', '#PurcellsCove']","['https://t.co/fjANUaxnhv', 'https://t.co/ODUdxkFHtZ']",Canada Des plaques Canada150 sont es partout au pays pour rendre hommage aux Canadiens ayant des terres aux fins de conservation de habitat Pour en savoir plus https co fjANUaxnhv NSNatureTrust PurcellsCove https co ODUdxkFHtZ,"['Canada', 'Des', 'plaques', 'Canada150', 'sont', 'es', 'partout', 'au', 'pays', 'pour', 'rendre', 'hommage', 'aux', 'Canadiens', 'ayant', 'des', 'terres', 'aux', 'fins', 'de', 'conservation', 'de', 'habitat', 'Pour', 'en', 'savoir', 'plus', 'https', 'co', 'fjANUaxnhv', 'NSNatureTrust', 'PurcellsCove', 'https', 'co', 'ODUdxkFHtZ']","[u'canada', u'des', u'plaqu', u'canada150', u'sont', 'es', u'partout', 'au', u'pay', u'pour', u'rendr', u'hommag', u'aux', u'canadien', u'ayant', u'des', u'terr', u'aux', u'fin', 'de', u'conserv', 'de', u'habitat', u'pour', 'en', u'savoir', u'plus', u'https', 'co', u'fjanuaxnhv', u'nsnaturetrust', u'purcellscov', u'https', 'co', u'odudxkfhtz']","Hé, Canada! Des plaques #Canada150 sont installées partout au pays pour rendre hommage aux Canadiens ayant réservé des terres aux fins de #conservation de l’habitat. Pour en savoir plus : https://t.co/fjANUaxnhv @NSNatureTrust #PurcellsCove https://t.co/ODUdxkFHtZ",0.0,Neutral
2,2,2,947224553557721089,3,3,2017-12-30 21:55:06,"Dans le cadre de l’année de la prévision polaire (APP), les observations météorologiques augmenteront dans le Nord du Canada. L’APP vise à améliorer les prévisions étéo et climatiques pour les régions polaires.","['#m', '#ScienceArctique']","['https://t.co/MxsfsaRqmt', 'https://t.co/FDVMKcf0F3']",Dans le cadre de de la vision polaire APP les observations orologiques augmenteront dans le Nord du Canada APP vise liorer les visions et climatiques pour les gions polaires ScienceArctique https co MxsfsaRqmt https co FDVMKcf0F3,"['Dans', 'le', 'cadre', 'de', 'de', 'la', 'vision', 'polaire', 'APP', 'les', 'observations', 'orologiques', 'augmenteront', 'dans', 'le', 'Nord', 'du', 'Canada', 'APP', 'vise', 'liorer', 'les', 'visions', 'et', 'climatiques', 'pour', 'les', 'gions', 'polaires', 'ScienceArctique', 'https', 'co', 'MxsfsaRqmt', 'https', 'co', 'FDVMKcf0F3']","[u'dan', 'le', u'cadr', 'de', 'de', 'la', u'vision', u'polair', u'app', u'les', u'observ', u'orologiqu', u'augmenteront', u'dan', 'le', u'nord', 'du', u'canada', u'app', u'vise', u'liorer', u'les', u'vision', 'et', u'climatiqu', u'pour', u'les', u'gion', u'polair', u'sciencearctiqu', u'https', 'co', u'mxsfsarqmt', u'https', 'co', u'fdvmkcf0f3']","Dans le cadre de l’année de la prévision polaire (APP), les observations météorologiques augmenteront dans le Nord du Canada. L’APP vise à améliorer les prévisions #météo et climatiques pour les régions polaires. #ScienceArctique https://t.co/MxsfsaRqmt https://t.co/FDVMKcf0F3",0.0,Neutral
3,3,3,947160411924819968,0,0,2017-12-30 17:40:14,Birgit et son équipe scientifique mènent une étude à long terme sur les contaminants dans les œufs des marins.,"['#oiseaux', '#ScienceArctique']",['https://t.co/sdfZ28WmLI'],Birgit et son quipe scientifique nent une tude long terme sur les contaminants dans les ufs des oiseaux marins ScienceArctique https co sdfZ28WmLI,"['Birgit', 'et', 'son', 'quipe', 'scientifique', 'nent', 'une', 'tude', 'long', 'terme', 'sur', 'les', 'contaminants', 'dans', 'les', 'ufs', 'des', 'oiseaux', 'marins', 'ScienceArctique', 'https', 'co', 'sdfZ28WmLI']","[u'birgit', 'et', u'son', u'quip', u'scientifiqu', u'nent', u'une', u'tude', u'long', u'term', u'sur', u'les', u'contamin', u'dan', u'les', u'uf', u'des', u'oiseaux', u'marin', u'sciencearctiqu', u'https', 'co', u'sdfz28wmli']",Birgit et son équipe scientifique mènent une étude à long terme sur les contaminants dans les œufs des #oiseaux marins. #ScienceArctique https://t.co/sdfZ28WmLI,-0.05,Neutral
4,4,4,947127651952496640,1,1,2017-12-30 15:30:03,Êtes-vous propriétaire d’une terre? Avez-vous des terres écosensibles? Renseignez-vous sur le lié à la de la et nos programmes incitatifs fiscaux pour les propriétaires privés. d,"['#financement', '#conservation', '#nature']","['https://t.co/ILB6ljj75', 'https://t.co/uPwnwrW5wJ']",tes vous taire une terre Avez vous des terres cosensibles Renseignez vous sur le financement la conservation de la nature et nos programmes incitatifs fiscaux pour les taires https co ILB6ljj75d https co uPwnwrW5wJ,"['tes', 'vous', 'taire', 'une', 'terre', 'Avez', 'vous', 'des', 'terres', 'cosensibles', 'Renseignez', 'vous', 'sur', 'le', 'financement', 'la', 'conservation', 'de', 'la', 'nature', 'et', 'nos', 'programmes', 'incitatifs', 'fiscaux', 'pour', 'les', 'taires', 'https', 'co', 'ILB6ljj75d', 'https', 'co', 'uPwnwrW5wJ']","[u'tes', u'vous', u'tair', u'une', u'terr', u'avez', u'vous', u'des', u'terr', u'cosens', u'renseignez', u'vous', u'sur', 'le', u'financ', 'la', u'conserv', 'de', 'la', u'natur', 'et', u'nos', u'programm', u'incitatif', u'fiscaux', u'pour', u'les', u'tair', u'https', 'co', u'ilb6ljj75d', u'https', 'co', u'upwnwrw5wj']",Êtes-vous propriétaire d’une terre? Avez-vous des terres écosensibles? Renseignez-vous sur le #financement lié à la #conservation de la #nature et nos programmes incitatifs fiscaux pour les propriétaires privés. https://t.co/ILB6ljj75d https://t.co/uPwnwrW5wJ,0.0,Neutral
5,5,5,946777902598774787,0,2,2017-12-29 16:20:16,C’est le Mois de la science dans l’Arctique! Nos scientifiques étudient les effets des contaminants sur la santé des ècesSauvages et des écosystèmes de l’Arctique.,"['#Esp', '#ScienceArctique']","['https://t.co/LVBu1S8r4K', 'https://t.co/KhfPz3cyIt']",est le Mois de la science dans Arctique Nos scientifiques tudient les effets des contaminants sur la des cesSauvages et des mes de Arctique ScienceArctique https co LVBu1S8r4K https co KhfPz3cyIt,"['est', 'le', 'Mois', 'de', 'la', 'science', 'dans', 'Arctique', 'Nos', 'scientifiques', 'tudient', 'les', 'effets', 'des', 'contaminants', 'sur', 'la', 'des', 'cesSauvages', 'et', 'des', 'mes', 'de', 'Arctique', 'ScienceArctique', 'https', 'co', 'LVBu1S8r4K', 'https', 'co', 'KhfPz3cyIt']","[u'est', 'le', u'moi', 'de', 'la', u'scienc', u'dan', u'arctiqu', u'nos', u'scientifiqu', u'tudient', u'les', u'effet', u'des', u'contamin', u'sur', 'la', u'des', u'cessauvag', 'et', u'des', u'mes', 'de', u'arctiqu', u'sciencearctiqu', u'https', 'co', u'lvbu1s8r4k', u'https', 'co', u'khfpz3cyit']",C’est le Mois de la science dans l’Arctique! Nos scientifiques étudient les effets des contaminants sur la santé des #EspècesSauvages et des écosystèmes de l’Arctique. #ScienceArctique https://t.co/LVBu1S8r4K https://t.co/KhfPz3cyIt,0.0,Neutral
6,6,6,946750175283838977,0,0,2017-12-29 14:30:06,Des plaques sont installées sur propriétés pour remercier et reconnaître des Canadiens pour leurs efforts de sur leurs propriétés. Merci! c,"['#Canada150', '#conservation']","['https://t.co/GXbklMUYl', 'https://t.co/cyuRaIKGHO']",Des plaques Canada150 sont es sur 150 pour remercier et tre des Canadiens pour leurs efforts de conservation sur leurs Merci https co GXbklMUYlc https co cyuRaIKGHO,"['Des', 'plaques', 'Canada150', 'sont', 'es', 'sur', '150', 'pour', 'remercier', 'et', 'tre', 'des', 'Canadiens', 'pour', 'leurs', 'efforts', 'de', 'conservation', 'sur', 'leurs', 'Merci', 'https', 'co', 'GXbklMUYlc', 'https', 'co', 'cyuRaIKGHO']","[u'des', u'plaqu', u'canada150', u'sont', 'es', u'sur', u'150', u'pour', u'remerci', 'et', u'tre', u'des', u'canadien', u'pour', u'leur', u'effort', 'de', u'conserv', u'sur', u'leur', u'merci', u'https', 'co', u'gxbklmuylc', u'https', 'co', u'cyuraikgho']",Des plaques #Canada150 sont installées sur 150 propriétés pour remercier et reconnaître des Canadiens pour leurs efforts de #conservation sur leurs propriétés. Merci! https://t.co/GXbklMUYlc https://t.co/cyuRaIKGHO,0.0,Neutral
7,7,7,946485931090907136,1,3,2017-12-28 21:00:05,"Hé, Canada! Des plaques sont installées partout au pays pour rendre hommage aux Canadiens ayant réservé des terres aux fins de de l’habitat. Pour en savoir plus :","['#Canada150', '#conservation']","['https://t.co/mlQKFNll9Z', 'https://t.co/tDhm8njXzY']",Canada Des plaques Canada150 sont es partout au pays pour rendre hommage aux Canadiens ayant des terres aux fins de conservation de habitat Pour en savoir plus https co mlQKFNll9Z https co tDhm8njXzY,"['Canada', 'Des', 'plaques', 'Canada150', 'sont', 'es', 'partout', 'au', 'pays', 'pour', 'rendre', 'hommage', 'aux', 'Canadiens', 'ayant', 'des', 'terres', 'aux', 'fins', 'de', 'conservation', 'de', 'habitat', 'Pour', 'en', 'savoir', 'plus', 'https', 'co', 'mlQKFNll9Z', 'https', 'co', 'tDhm8njXzY']","[u'canada', u'des', u'plaqu', u'canada150', u'sont', 'es', u'partout', 'au', u'pay', u'pour', u'rendr', u'hommag', u'aux', u'canadien', u'ayant', u'des', u'terr', u'aux', u'fin', 'de', u'conserv', 'de', u'habitat', u'pour', 'en', u'savoir', u'plus', u'https', 'co', u'mlqkfnll9z', u'https', 'co', u'tdhm8njxzi']","Hé, Canada! Des plaques #Canada150 sont installées partout au pays pour rendre hommage aux Canadiens ayant réservé des terres aux fins de #conservation de l’habitat. Pour en savoir plus : https://t.co/mlQKFNll9Z https://t.co/tDhm8njXzY",0.0,Neutral
8,8,8,946467090202087424,9,9,2017-12-28 19:45:13,C’est le mois de la science dans l’Arctique. Nos scientifiques utilisent la cartographie géospatiale pour étudier les effets des sur le pergélisol de l’Arctique.,"['#ChangementsClimatiques', '#ScienceArctique']","['https://t.co/EaRXD5GtXO', 'https://t.co/fhJveN1a1T']",est le mois de la science dans Arctique Nos scientifiques utilisent la cartographie ospatiale pour tudier les effets des ChangementsClimatiques sur le lisol de Arctique ScienceArctique https co EaRXD5GtXO https co fhJveN1a1T,"['est', 'le', 'mois', 'de', 'la', 'science', 'dans', 'Arctique', 'Nos', 'scientifiques', 'utilisent', 'la', 'cartographie', 'ospatiale', 'pour', 'tudier', 'les', 'effets', 'des', 'ChangementsClimatiques', 'sur', 'le', 'lisol', 'de', 'Arctique', 'ScienceArctique', 'https', 'co', 'EaRXD5GtXO', 'https', 'co', 'fhJveN1a1T']","[u'est', 'le', u'moi', 'de', 'la', u'scienc', u'dan', u'arctiqu', u'nos', u'scientifiqu', u'utilis', 'la', u'cartographi', u'ospatial', u'pour', u'tudier', u'les', u'effet', u'des', u'changementsclimatiqu', u'sur', 'le', u'lisol', 'de', u'arctiqu', u'sciencearctiqu', u'https', 'co', u'earxd5gtxo', u'https', 'co', u'fhjven1a1t']",C’est le mois de la science dans l’Arctique. Nos scientifiques utilisent la cartographie géospatiale pour étudier les effets des #ChangementsClimatiques sur le pergélisol de l’Arctique. #ScienceArctique https://t.co/EaRXD5GtXO https://t.co/fhJveN1a1T,0.0,Neutral
9,9,9,946463707097456640,4,0,2017-12-28 19:31:46,: Pas d’idée de ésolution? En voici une : baissez votre consommation d’énergie pour atténuer les effets des …,"['#bonner', '#chang']",[],RT Pas de solution En voici une baissez votre consommation nergie pour nuer les effets des,"['RT', 'Pas', 'de', 'solution', 'En', 'voici', 'une', 'baissez', 'votre', 'consommation', 'nergie', 'pour', 'nuer', 'les', 'effets', 'des']","['rt', u'pas', 'de', u'solut', 'en', u'voici', u'une', u'baissez', u'votr', u'consomm', u'nergi', u'pour', u'nuer', u'les', u'effet', u'des']",RT @ENERGYSTAR_CDN: Pas d’idée de #bonnerésolution? En voici une : baissez votre consommation d’énergie pour atténuer les effets des #chang…,0.0,Neutral
