Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original,text_sentiment_original_scores,text_sentiment_original_scores_type
0,0,0,947512650522644480,15,0,2017-12-31 16:59:54,: Canadian Coast Guard partnering with United States Coast Guard will b…,['#SGBOPP'],[],RT SGBOPP MidlandON GoSnowmobiling Canadian Coast Guard partnering United States Coast Guard,"['RT', 'SGBOPP', 'MidlandON', 'GoSnowmobiling', 'Canadian', 'Coast', 'Guard', 'partnering', 'United', 'States', 'Coast', 'Guard']","['rt', u'sgbopp', u'midlandon', u'gosnowmobil', u'canadian', u'coast', u'guard', u'partner', u'unit', u'state', u'coast', u'guard']",RT @OPP_CR: #SGBOPP @CCG_GCC @MidlandON @GoSnowmobiling @anish_police Canadian Coast Guard partnering with United States Coast Guard will b…,0.0,Neutral
1,1,1,947512598131630081,5,0,2017-12-31 16:59:41,": December , CCGS GRIFFON near Cornwall island on the St Lawrence river.",[],['https://t.co/AVvhmGT2wL'],RT December 30 2017 CCGS GRIFFON near Cornwall island St Lawrence river https co AVvhmGT2wL,"['RT', 'December', '30', '2017', 'CCGS', 'GRIFFON', 'near', 'Cornwall', 'island', 'St', 'Lawrence', 'river', 'https', 'co', 'AVvhmGT2wL']","['rt', u'decemb', '30', u'2017', u'ccgs', u'griffon', u'near', u'cornwal', u'island', 'st', u'lawrenc', u'river', u'https', 'co', u'avvhmgt2wl']","RT @James_Chapman19: December 30, 2017 CCGS GRIFFON near Cornwall island on the St Lawrence river. https://t.co/AVvhmGT2wL",0.1,Neutral
2,2,2,946904859311333376,14,0,2017-12-30 00:44:45,: Going the extra nautical mile! Captain Barrett joins Captain Kooiman aboard the Canadian Coast Guard Ship Griffon to ensure no…,[],[],RT Going extra nautical mile Captain Barrett joins Captain Kooiman aboard Canadian Coast Guard Ship Griffon ensure,"['RT', 'Going', 'extra', 'nautical', 'mile', 'Captain', 'Barrett', 'joins', 'Captain', 'Kooiman', 'aboard', 'Canadian', 'Coast', 'Guard', 'Ship', 'Griffon', 'ensure']","['rt', u'go', u'extra', u'nautic', u'mile', u'captain', u'barrett', u'join', u'captain', u'kooiman', u'aboard', u'canadian', u'coast', u'guard', u'ship', u'griffon', u'ensur']",RT @CCG_GCC: Going the extra nautical mile! Captain Barrett joins Captain Kooiman aboard the Canadian Coast Guard Ship Griffon to ensure no…,0.0,Neutral
3,3,3,946581069238865920,1,11,2017-12-29 03:18:08,CCGS Samuel Risley freed the M/V Edgar B. Speer from the ice near Sawmill Point in the downbound channel of the St. Marys River today,[],['https://t.co/arX69RM9t6'],CCGS Samuel Risley freed Edgar Speer ice near Sawmill Point downbound channel St Marys River today https co arX69RM9t6,"['CCGS', 'Samuel', 'Risley', 'freed', 'Edgar', 'Speer', 'ice', 'near', 'Sawmill', 'Point', 'downbound', 'channel', 'St', 'Marys', 'River', 'today', 'https', 'co', 'arX69RM9t6']","[u'ccgs', u'samuel', u'risley', u'freed', u'edgar', u'speer', u'ice', u'near', u'sawmil', u'point', u'downbound', u'channel', 'st', u'mari', u'river', u'today', u'https', 'co', u'arx69rm9t6']",CCGS Samuel Risley freed the M/V Edgar B. Speer from the ice near Sawmill Point in the downbound channel of the St. Marys River today https://t.co/arX69RM9t6,0.1,Neutral
4,4,4,946535938515197953,6,0,2017-12-29 00:18:48,: Dec down the out of Prescott Base h44 Griffon ice breaking down to Beauharnois QC…,['#StLawrenceSeaway'],[],RT PrescottAnchor 28 Dec 2017 StLawrenceSeaway Prescott Base 11h44 CCGShip Griffon ice breaking Beauharnois,"['RT', 'PrescottAnchor', '28', 'Dec', '2017', 'StLawrenceSeaway', 'Prescott', 'Base', '11h44', 'CCGShip', 'Griffon', 'ice', 'breaking', 'Beauharnois']","['rt', u'prescottanchor', '28', u'dec', u'2017', u'stlawrenceseaway', u'prescott', u'base', u'11h44', u'ccgship', u'griffon', u'ice', u'break', u'beauharnoi']",RT @PrescottAnchor: 28 Dec 2017 down the #StLawrenceSeaway out of Prescott Base 11h44 @CCGShip Griffon ice breaking down to Beauharnois QC…,-0.3703703703703704,Negative
5,5,5,946455047726096384,11,0,2017-12-28 18:57:22,": to icebreaking in the arctic. We provide icebreaking services to ensure safe navigation, prevent the formation of ice jam…",['#TBT'],[],RT TBT icebreaking arctic provide icebreaking services ensure safe navigation prevent formation ice,"['RT', 'TBT', 'icebreaking', 'arctic', 'provide', 'icebreaking', 'services', 'ensure', 'safe', 'navigation', 'prevent', 'formation', 'ice']","['rt', u'tbt', u'icebreak', u'arctic', u'provid', u'icebreak', u'servic', u'ensur', u'safe', u'navig', u'prevent', u'format', u'ice']","RT @CCG_GCC: #TBT to icebreaking in the arctic. We provide icebreaking services to ensure safe navigation, prevent the formation of ice jam…",0.5,Positive
6,6,6,945338535447486464,1,4,2017-12-25 17:00:45,Thank you for raising public awareness as CCGS Samuel Risley assists ship into Harbour,"['#Midland', '#icebreaking', '#safety']",['https://t.co/IUUKFR038M'],Thank raising public awareness CCGS Samuel Risley assists ship Midland Harbour icebreaking safety https co IUUKFR038M,"['Thank', 'raising', 'public', 'awareness', 'CCGS', 'Samuel', 'Risley', 'assists', 'ship', 'Midland', 'Harbour', 'icebreaking', 'safety', 'https', 'co', 'IUUKFR038M']","[u'thank', u'rais', u'public', u'awar', u'ccgs', u'samuel', u'risley', u'assist', u'ship', u'midland', u'harbour', u'icebreak', u'safeti', u'https', 'co', u'iuukfr038m']",Thank you @OPP_CR for raising public awareness as CCGS Samuel Risley assists ship into #Midland Harbour #icebreaking #safety https://t.co/IUUKFR038M,0.0,Neutral
7,7,7,945090725909270528,9,0,2017-12-25 00:36:02,: Ask any seafarer - good meals help fuel the journey and are a highlight every day. David Desveaux (Chief Cook) Brenda Jones (S…,[],[],RT Ask seafarer good meals help fuel journey highlight every day David Desveaux Chief Cook Brenda Jones,"['RT', 'Ask', 'seafarer', 'good', 'meals', 'help', 'fuel', 'journey', 'highlight', 'every', 'day', 'David', 'Desveaux', 'Chief', 'Cook', 'Brenda', 'Jones']","['rt', u'ask', u'seafar', u'good', u'meal', u'help', u'fuel', u'journey', u'highlight', u'everi', u'day', u'david', u'desveaux', u'chief', u'cook', u'brenda', u'jone']",RT @CCG_GCC: Ask any seafarer - good meals help fuel the journey and are a highlight every day. David Desveaux (Chief Cook) Brenda Jones (S…,0.7,Positive
8,8,8,944644663432105984,21,0,2017-12-23 19:03:33,: Check out CCGS Cape Providence and CCGS Thunder Cape being removed from the water during the seasonal closure of …,['#Searchandres'],[],RT Check CCGS Cape Providence CCGS Thunder Cape removed water seasonal closure,"['RT', 'Check', 'CCGS', 'Cape', 'Providence', 'CCGS', 'Thunder', 'Cape', 'removed', 'water', 'seasonal', 'closure']","['rt', u'check', u'ccgs', u'cape', u'provid', u'ccgs', u'thunder', u'cape', u'remov', u'water', u'season', u'closur']",RT @CCG_GCC: Check out CCGS Cape Providence and CCGS Thunder Cape being removed from the water during the seasonal closure of #Searchandres…,0.0,Neutral
9,9,9,944379480444940288,11,0,2017-12-23 01:29:48,: Canadian Coast Guard will conduct icebreaking operations in Midland Bay assisting commercial shipping as early…,[],[],RT Canadian Coast Guard conduct icebreaking operations Midland Bay assisting commercial shipping,"['RT', 'Canadian', 'Coast', 'Guard', 'conduct', 'icebreaking', 'operations', 'Midland', 'Bay', 'assisting', 'commercial', 'shipping']","['rt', u'canadian', u'coast', u'guard', u'conduct', u'icebreak', u'oper', u'midland', u'bay', u'assist', u'commerci', u'ship']",RT @OPP_CR: @OPP_CR @CCG_GCC Canadian Coast Guard will conduct icebreaking operations in Midland Bay assisting commercial shipping as early…,0.0,Neutral
