,Unnamed: 0,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original
0,0,947591473725403136,40,0,2017-12-31 22:13:07,: Le premier ministre Justin Trudeau souhaite une merveilleuse célébration du Nouvel An aux Canadiens:,[],['https://t.co/PpPQ5gu4t4'],Le premier ministre Justin Trudeau souhaite une merveilleuse bration du Nouvel aux Canadiens,"['Le', 'premier', 'ministre', 'Justin', 'Trudeau', 'souhaite', 'une', 'merveilleuse', 'bration', 'du', 'Nouvel', 'aux', 'Canadiens']","['le', u'premier', u'ministr', u'justin', u'trudeau', u'souhait', u'une', u'merveilleus', u'bration', 'du', u'nouvel', u'aux', u'canadien']",RT @PMcanadien: Le premier ministre Justin Trudeau souhaite une merveilleuse célébration du Nouvel An aux Canadiens: https://t.co/PpPQ5gu4t4
1,1,947512965934219265,0,3,2017-12-31 17:01:09,Bonne et heureuse veille du Jour de l'An!,[],['https://t.co/pySbDPerKG'],Bonne heureuse veille Jour An,"['Bonne', 'heureuse', 'veille', 'Jour', 'An']","[u'bonn', u'heureus', u'veill', u'jour', 'an']",Bonne et heureuse veille du Jour de l'An! https://t.co/pySbDPerKG
2,2,947150567742345217,2,1,2017-12-30 17:01:07,", une année de changements! Lequel de ces moments vous a marqué? Quels sont vos vœux pour ? Partagez en mentionnant .","['#2017', '#2018']",['https://t.co/OvUySO8E9X'],une de changements Lequel de ces moments vous Quels sont vos ux pour Partagez en mentionnant,"['une', 'de', 'changements', 'Lequel', 'de', 'ces', 'moments', 'vous', 'Quels', 'sont', 'vos', 'ux', 'pour', 'Partagez', 'en', 'mentionnant']","[u'une', 'de', u'changement', u'lequel', 'de', u'ces', u'moment', u'vous', u'quel', u'sont', u'vos', 'ux', u'pour', u'partagez', 'en', u'mentionn']","#2017, une année de changements! Lequel de ces moments vous a marqué? Quels sont vos vœux pour #2018? 🎉 Partagez en mentionnant @GCAutochtones. https://t.co/OvUySO8E9X"
3,3,947112623421706242,3,4,2017-12-30 14:30:20,Avez-vous des plans pour la veille du Jour de l’An ? Terminez l’année en beauté à Nimidiwin au . Cet événement *gratuit* aura lieu de h à h !,[],"['https://t.co/YgIWKfViEh', 'https://t.co/czj4IK2eVh']",Avez vous des plans pour la veille du Jour de Terminez en Nimidiwin au Cet nement gratuit aura lieu de,"['Avez', 'vous', 'des', 'plans', 'pour', 'la', 'veille', 'du', 'Jour', 'de', 'Terminez', 'en', 'Nimidiwin', 'au', 'Cet', 'nement', 'gratuit', 'aura', 'lieu', 'de']","[u'avez', u'vous', u'des', u'plan', u'pour', 'la', u'veill', 'du', u'jour', 'de', u'terminez', 'en', u'nimidiwin', 'au', u'cet', u'nement', u'gratuit', u'aura', u'lieu', 'de']",Avez-vous des plans pour la veille du Jour de l’An 🎉 ? Terminez l’année en beauté 💥 à Nimidiwin au  @MusCanHistoire. Cet événement *gratuit* aura lieu de 16 h à 17 h 30!  https://t.co/YgIWKfViEh https://t.co/czj4IK2eVh
4,4,946788109127168000,0,0,2017-12-29 17:00:50,"Le Festival des arts d’Alianait invite musiciens, acrobates, danseurs, conteurs, acteurs, réalisateurs et artistes visuels à montrer leurs talents à , au . Postulez avant le déc. pour participer à ce festival unique :","['#Iqaluit', '#NU']","['https://t.co/6IgVrYoeFO', 'https://t.co/zgmHwMElem']",Le Festival des arts Alianait invite musiciens acrobates danseurs conteurs acteurs alisateurs et artistes visuels montrer leurs talents au Postulez avant le pour participer ce festival unique,"['Le', 'Festival', 'des', 'arts', 'Alianait', 'invite', 'musiciens', 'acrobates', 'danseurs', 'conteurs', 'acteurs', 'alisateurs', 'et', 'artistes', 'visuels', 'montrer', 'leurs', 'talents', 'au', 'Postulez', 'avant', 'le', 'pour', 'participer', 'ce', 'festival', 'unique']","['le', u'festiv', u'des', u'art', u'alianait', u'invit', u'musicien', u'acrob', u'danseur', u'conteur', u'acteur', u'alisateur', 'et', u'artist', u'visuel', u'montrer', u'leur', u'talent', 'au', u'postulez', u'avant', 'le', u'pour', u'particip', 'ce', u'festiv', u'uniqu']","Le Festival des arts d’Alianait invite musiciens, acrobates, danseurs, conteurs, acteurs, réalisateurs et artistes visuels à montrer leurs talents à #Iqaluit, au #NU. Postulez avant le 29 déc. pour participer à ce festival unique : https://t.co/6IgVrYoeFO @Alianait https://t.co/zgmHwMElem"
5,5,946463470924509184,0,0,2017-12-28 19:30:50,"Connaissez-vous des qui font preuve d'excellence en gestion des urgences? Mettez-les en nomination pour le Prix pour service exemplaire en gestion des urgences, catégorie jeunes. Voici comment :",['#jeunesautochtones'],"['https://t.co/UJLkiJV7BS', 'https://t.co/MxwHSZ7kTY']",Connaissez vous des qui font preuve excellence en gestion des urgences Mettez les en nomination pour le Prix pour service exemplaire en gestion des urgences gorie jeunes Voici comment,"['Connaissez', 'vous', 'des', 'qui', 'font', 'preuve', 'excellence', 'en', 'gestion', 'des', 'urgences', 'Mettez', 'les', 'en', 'nomination', 'pour', 'le', 'Prix', 'pour', 'service', 'exemplaire', 'en', 'gestion', 'des', 'urgences', 'gorie', 'jeunes', 'Voici', 'comment']","[u'connaissez', u'vous', u'des', u'qui', u'font', u'preuv', u'excel', 'en', u'gestion', u'des', u'urgenc', u'mettez', u'les', 'en', u'nomin', u'pour', 'le', u'prix', u'pour', u'servic', u'exemplair', 'en', u'gestion', u'des', u'urgenc', u'gori', u'jeun', u'voici', u'comment']","Connaissez-vous des #jeunesautochtones qui font preuve d'excellence en gestion des urgences? Mettez-les en nomination pour le Prix pour service exemplaire en gestion des urgences, catégorie jeunes. Voici comment : https://t.co/UJLkiJV7BS https://t.co/MxwHSZ7kTY"
6,6,946100986111774720,1,0,2017-12-27 19:30:27,"Rappel: plus que jours pour poser votre candidature en tant que styliste ️, mannequin ou bénévole ‍️‍️ lors de la Semaine de la mode autochtone à Toronto! Ne ratez pas l’occasion de participer à cet événement incroyable. U",[],"['https://t.co/I08EeXSTK', 'https://t.co/3v84IYC4WV']",Rappel plus que jours pour poser votre candidature en tant que styliste mannequin ou vole lors de la Semaine de la mode autochtone Toronto Ne ratez pas occasion de participer cet nement incroyable,"['Rappel', 'plus', 'que', 'jours', 'pour', 'poser', 'votre', 'candidature', 'en', 'tant', 'que', 'styliste', 'mannequin', 'ou', 'vole', 'lors', 'de', 'la', 'Semaine', 'de', 'la', 'mode', 'autochtone', 'Toronto', 'Ne', 'ratez', 'pas', 'occasion', 'de', 'participer', 'cet', 'nement', 'incroyable']","[u'rappel', u'plus', u'que', u'jour', u'pour', u'poser', u'votr', u'candidatur', 'en', u'tant', u'que', u'stylist', u'mannequin', 'ou', u'vole', u'lor', 'de', 'la', u'semain', 'de', 'la', u'mode', u'autochton', u'toronto', 'ne', u'ratez', u'pas', u'occas', 'de', u'particip', u'cet', u'nement', u'incroy']","Rappel: plus que 4 jours pour poser votre candidature en tant que styliste ✂️, mannequin 🕺💃 ou bénévole 🙋‍♂️🙋‍♀️ lors de la Semaine de la mode autochtone à Toronto! Ne ratez pas l’occasion de participer à cet événement incroyable. https://t.co/I08EeXSTKU @IFWtoronto https://t.co/3v84IYC4WV"
7,7,945293328899346433,2,3,2017-12-25 14:01:06,"Vous avez le coeur gros en ce temps des Fêtes? N'hésitez pas à appeler la Ligne d’écoute d’espoir pour le mieux-être (service disponible en français, anglais, cri, ojibway et inuktut) : -855-242-3310",[],"['https://t.co/pIc412qSLm', 'https://t.co/X7qCvi1ZYO']",Vous avez le coeur gros en ce temps des sitez pas appeler la Ligne coute espoir pour le mieux service disponible en ais anglais cri ojibway et inuktut 855 242 3310,"['Vous', 'avez', 'le', 'coeur', 'gros', 'en', 'ce', 'temps', 'des', 'sitez', 'pas', 'appeler', 'la', 'Ligne', 'coute', 'espoir', 'pour', 'le', 'mieux', 'service', 'disponible', 'en', 'ais', 'anglais', 'cri', 'ojibway', 'et', 'inuktut', '855', '242', '3310']","[u'vous', u'avez', 'le', u'coeur', u'gros', 'en', 'ce', u'temp', u'des', u'sitez', u'pas', u'appel', 'la', u'lign', u'cout', u'espoir', u'pour', 'le', u'mieux', u'servic', u'dispon', 'en', u'ai', u'anglai', u'cri', u'ojibway', 'et', u'inuktut', u'855', u'242', u'3310']","Vous avez le coeur gros en ce temps des Fêtes? N'hésitez pas à appeler la Ligne d’écoute d’espoir pour le mieux-être (service disponible en français, anglais, cri, ojibway et inuktut) : 1-855-242-3310 https://t.co/pIc412qSLm https://t.co/X7qCvi1ZYO"
8,8,944938245338685440,5,0,2017-12-24 14:30:08,: Voici qui clôt notre Campagne des Fêtes de ! J'espère que vous avez pris plaisir à lire mes recomma…,['#LecturesAutochtones'],[],Voici qui notre Campagne des de que vous avez pris plaisir lire mes,"['Voici', 'qui', 'notre', 'Campagne', 'des', 'de', 'que', 'vous', 'avez', 'pris', 'plaisir', 'lire', 'mes']","[u'voici', u'qui', u'notr', u'campagn', u'des', 'de', u'que', u'vous', u'avez', u'pris', u'plaisir', u'lire', u'mes']",RT @Min_RCAAN: Voici qui clôt notre Campagne des Fêtes 2017 de #LecturesAutochtones! J'espère que vous avez pris plaisir à lire mes recomma…
9,9,944915777198714881,8,23,2017-12-24 13:00:51,Vous passez du temps en famille ou entre amis aujourd’hui? Soyez prudents sur la route et… Joyeuses Fêtes!,[],['https://t.co/govsEGAMkl'],Vous passez du temps en famille ou entre amis hui Soyez prudents sur la route Joyeuses,"['Vous', 'passez', 'du', 'temps', 'en', 'famille', 'ou', 'entre', 'amis', 'hui', 'Soyez', 'prudents', 'sur', 'la', 'route', 'Joyeuses']","[u'vous', u'passez', 'du', u'temp', 'en', u'famill', 'ou', u'entr', u'ami', u'hui', u'soyez', u'prudent', u'sur', 'la', u'rout', u'joyeus']",Vous passez du temps en famille ou entre amis aujourd’hui? Soyez prudents sur la route et… Joyeuses Fêtes! 🎄✨ https://t.co/govsEGAMkl
10,10,944568397530124290,2,1,2017-12-23 14:00:29,"Les communautés et les org. utilisent leur savoir traditionnel pour réagir aux , aux de forêt et aux . Reconnaissez leur excellence avec un Prix pour service exemplaire en gestion des urgences:","['#autochtones', '#inondations', '#feux', '#tornades']","['https://t.co/NamPj0xbNR', 'https://t.co/SP3OPyPA7k']",Les et les org utilisent leur savoir traditionnel pour agir aux aux de et aux Reconnaissez leur excellence avec un Prix pour service exemplaire en gestion des urgences,"['Les', 'et', 'les', 'org', 'utilisent', 'leur', 'savoir', 'traditionnel', 'pour', 'agir', 'aux', 'aux', 'de', 'et', 'aux', 'Reconnaissez', 'leur', 'excellence', 'avec', 'un', 'Prix', 'pour', 'service', 'exemplaire', 'en', 'gestion', 'des', 'urgences']","[u'les', 'et', u'les', u'org', u'utilis', u'leur', u'savoir', u'traditionnel', u'pour', u'agir', u'aux', u'aux', 'de', 'et', u'aux', u'reconnaissez', u'leur', u'excel', u'avec', 'un', u'prix', u'pour', u'servic', u'exemplair', 'en', u'gestion', u'des', u'urgenc']","Les communautés et les org. #autochtones utilisent leur savoir traditionnel pour réagir aux #inondations, aux #feux de forêt et aux #tornades. Reconnaissez leur excellence avec un Prix pour service exemplaire en gestion des urgences: https://t.co/NamPj0xbNR https://t.co/SP3OPyPA7k"
11,11,944285235595767808,5,2,2017-12-22 19:15:18,"Vous avez le coeur gros en ce temps des Fêtes? N'hésitez pas à appeler la Ligne d’écoute d’espoir pour le mieux-être (service disponible en français, anglais, cri, ojibway et inuktut) : -855-242-3310 2",[],"['https://t.co/C3Af6mGfQ', 'https://t.co/Pzbzaj7Xvr']",Vous avez le coeur gros en ce temps des sitez pas appeler la Ligne coute espoir pour le mieux service disponible en ais anglais cri ojibway et inuktut 855 242 3310,"['Vous', 'avez', 'le', 'coeur', 'gros', 'en', 'ce', 'temps', 'des', 'sitez', 'pas', 'appeler', 'la', 'Ligne', 'coute', 'espoir', 'pour', 'le', 'mieux', 'service', 'disponible', 'en', 'ais', 'anglais', 'cri', 'ojibway', 'et', 'inuktut', '855', '242', '3310']","[u'vous', u'avez', 'le', u'coeur', u'gros', 'en', 'ce', u'temp', u'des', u'sitez', u'pas', u'appel', 'la', u'lign', u'cout', u'espoir', u'pour', 'le', u'mieux', u'servic', u'dispon', 'en', u'ai', u'anglai', u'cri', u'ojibway', 'et', u'inuktut', u'855', u'242', u'3310']","Vous avez le coeur gros en ce temps des Fêtes? N'hésitez pas à appeler la Ligne d’écoute d’espoir pour le mieux-être (service disponible en français, anglais, cri, ojibway et inuktut) : 1-855-242-3310 https://t.co/C3Af6mGfQ2 https://t.co/Pzbzaj7Xvr"
12,12,943943519215013888,18,0,2017-12-21 20:37:27,": Le solstice d'hiver, une partie intégrante de la mythologie autochtone",[],"['https://t.co/14oyRxb9pr', 'https://t.co/b63Q678wtr']",Le solstice hiver une partie grante de la mythologie autochtone,"['Le', 'solstice', 'hiver', 'une', 'partie', 'grante', 'de', 'la', 'mythologie', 'autochtone']","['le', u'solstic', u'hiver', u'une', u'parti', u'grant', 'de', 'la', u'mythologi', u'autochton']","RT @rc_autochtones: Le solstice d'hiver, une partie intégrante de la mythologie autochtone
https://t.co/14oyRxb9pr https://t.co/b63Q678wtr"
13,13,943859306398707712,4,0,2017-12-21 15:02:49,: Recommandation du jour pour : « Le Capteur de rêves et les Sept Tentations » de . Ce réci…,['#LecturesAutochtones'],[],Recommandation du jour pour Le Capteur de et les Sept Tentations de Ce,"['Recommandation', 'du', 'jour', 'pour', 'Le', 'Capteur', 'de', 'et', 'les', 'Sept', 'Tentations', 'de', 'Ce']","[u'recommand', 'du', u'jour', u'pour', 'le', u'capteur', 'de', 'et', u'les', u'sept', u'tentat', 'de', 'ce']",RT @Min_RCAAN: Recommandation du jour pour #LecturesAutochtones : « Le Capteur de rêves et les Sept Tentations » de @davidbouchard. Ce réci…
