Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original,text_sentiment_original_scores,text_sentiment_original_scores_type
0,0,0,947502639029325824,0,0,2017-12-31 16:20:07,Want to learn about the science that went into making our celebration video? Check it out:,"['#CdnAg', '#Canada150']",['https://t.co/0Ps0CMjBRs'],Want learn CdnAg science went making Canada150 celebration video Check https co 0Ps0CMjBRs,"['Want', 'learn', 'CdnAg', 'science', 'went', 'making', 'Canada150', 'celebration', 'video', 'Check', 'https', 'co', '0Ps0CMjBRs']","[u'want', u'learn', u'cdnag', u'scienc', u'went', u'make', u'canada150', u'celebr', u'video', u'check', u'https', 'co', u'0ps0cmjbrs']",Want to learn about the #CdnAg science that went into making our #Canada150 celebration video? Check it out: https://t.co/0Ps0CMjBRs,0.0,Neutral
1,1,1,947482706706825216,0,0,2017-12-31 15:00:55,Here is our most popular tweet from the past year!,['#Canada150'],['https://t.co/pzIQoL5fk3'],popular Canada150 tweet past year https co pzIQoL5fk3,"['popular', 'Canada150', 'tweet', 'past', 'year', 'https', 'co', 'pzIQoL5fk3']","[u'popular', u'canada150', u'tweet', u'past', u'year', u'https', 'co', u'pziqol5fk3']",Here is our most popular #Canada150 tweet from the past year! https://t.co/pzIQoL5fk3,0.2625,Neutral
2,2,2,947474994157715456,0,0,2017-12-31 14:30:16,"may be nearly done, but remember – it was only the beginning!",['#Canada150'],['https://t.co/R0mEtPz39G'],Canada150 may nearly done remember beginning https co R0mEtPz39G,"['Canada150', 'may', 'nearly', 'done', 'remember', 'beginning', 'https', 'co', 'R0mEtPz39G']","[u'canada150', u'may', u'near', u'done', u'rememb', u'begin', u'https', 'co', u'r0metpz39g']","#Canada150 may be nearly done, but remember – it was only the beginning! https://t.co/R0mEtPz39G",0.05,Neutral
3,3,3,947137741405421569,2,2,2017-12-30 16:10:09,Our scientist discovered a new strain of bacterium that helps fight fungal diseases! It was named in honour of :,"['#CdnAg', '#Canada150']","['https://t.co/JCkW29IBwn', 'https://t.co/6s2F6Yb4mz']",CdnAg scientist discovered new strain bacterium helps fight fungal diseases named honour Canada150 https co JCkW29IBwn https co 6s2F6Yb4mz,"['CdnAg', 'scientist', 'discovered', 'new', 'strain', 'bacterium', 'helps', 'fight', 'fungal', 'diseases', 'named', 'honour', 'Canada150', 'https', 'co', 'JCkW29IBwn', 'https', 'co', '6s2F6Yb4mz']","[u'cdnag', u'scientist', u'discov', u'new', u'strain', u'bacterium', u'help', u'fight', u'fungal', u'diseas', u'name', u'honour', u'canada150', u'https', 'co', u'jckw29ibwn', u'https', 'co', u'6s2f6yb4mz']",Our #CdnAg scientist discovered a new strain of bacterium that helps fight fungal diseases! It was named in honour of #Canada150: https://t.co/JCkW29IBwn https://t.co/6s2F6Yb4mz,0.17045454545454544,Neutral
4,4,4,947120310041698305,0,0,2017-12-30 15:00:53,We're counting down to with our Top tweets from the past year! Here is number :,['#Canada150'],['https://t.co/4l6OfvLLwy'],counting 2018 Top 10 Canada150 tweets past year number https co 4l6OfvLLwy,"['counting', '2018', 'Top', '10', 'Canada150', 'tweets', 'past', 'year', 'number', 'https', 'co', '4l6OfvLLwy']","[u'count', u'2018', u'top', '10', u'canada150', u'tweet', u'past', u'year', u'number', u'https', 'co', u'4l6ofvllwi']",We're counting down to 2018 with our Top 10 #Canada150 tweets from the past year! Here is number 2: https://t.co/4l6OfvLLwy,0.010648148148148148,Neutral
5,5,5,946808070042157056,2,2,2017-12-29 18:20:09,Looking for opportunities for natural &amp; organic ? Find top info here:,"['#EU', '#CdnAg', '#foodbiz']",['https://t.co/0zcWo6XBLe'],Looking EU opportunities CdnAg natural amp organic foodbiz Find top info https co 0zcWo6XBLe,"['Looking', 'EU', 'opportunities', 'CdnAg', 'natural', 'amp', 'organic', 'foodbiz', 'Find', 'top', 'info', 'https', 'co', '0zcWo6XBLe']","[u'look', 'eu', u'opportun', u'cdnag', u'natur', u'amp', u'organ', u'foodbiz', u'find', u'top', u'info', u'https', 'co', u'0zcwo6xbl']",Looking for #EU opportunities for #CdnAg natural &amp; organic #foodbiz? Find top info here: https://t.co/0zcWo6XBLe,0.3,Neutral
6,6,6,946798002903113730,1,2,2017-12-29 17:40:09,Supporting a dynamic and evolving sector is a key focus of the :,"['#CdnAg', '#CdnAgPartnership']","['https://t.co/VTCOR2ZxhK', 'https://t.co/4ObPXYG8vn']",Supporting dynamic evolving CdnAg sector key focus CdnAgPartnership https co VTCOR2ZxhK https co 4ObPXYG8vn,"['Supporting', 'dynamic', 'evolving', 'CdnAg', 'sector', 'key', 'focus', 'CdnAgPartnership', 'https', 'co', 'VTCOR2ZxhK', 'https', 'co', '4ObPXYG8vn']","[u'support', u'dynam', u'evolv', u'cdnag', u'sector', u'key', u'focus', u'cdnagpartnership', u'https', 'co', u'vtcor2zxhk', u'https', 'co', u'4obpxyg8vn']",Supporting a dynamic and evolving #CdnAg sector is a key focus of the #CdnAgPartnership: https://t.co/VTCOR2ZxhK https://t.co/4ObPXYG8vn,0.08333333333333333,Neutral
7,7,7,946791739297337346,0,2,2017-12-29 17:15:15,Booth space still available in the at February’s Gulfood trade show. E-mail MAS-SAM.GC.CA for details. C,['#CanadaPavilion'],['https://t.co/srefvbYPV'],Booth space still available CanadaPavilion Gulfood trade show mail MAS SAM AGR GC CA details https co srefvbYPVC,"['Booth', 'space', 'still', 'available', 'CanadaPavilion', 'Gulfood', 'trade', 'show', 'mail', 'MAS', 'SAM', 'AGR', 'GC', 'CA', 'details', 'https', 'co', 'srefvbYPVC']","[u'booth', u'space', u'still', u'avail', u'canadapavilion', u'gulfood', u'trade', u'show', u'mail', u'mas', u'sam', u'agr', 'gc', 'ca', u'detail', u'https', 'co', u'srefvbypvc']",Booth space still available in the #CanadaPavilion at February’s Gulfood trade show. E-mail MAS-SAM@AGR.GC.CA for details. https://t.co/srefvbYPVC,0.4,Positive
8,8,8,946781629476950017,0,3,2017-12-29 16:35:05,"month is winding down, but our scientists are looking ahead at greenhouse technology- one of the keys to bringing more North! d","['#ArcticScience', '#CdnAg']","['https://t.co/IR1JKOZjwe', 'https://t.co/MRo10n3WN']",ArcticScience month winding scientists looking ahead greenhouse technology one keys bringing CdnAg North https co IR1JKOZjwe https co MRo10n3WNd,"['ArcticScience', 'month', 'winding', 'scientists', 'looking', 'ahead', 'greenhouse', 'technology', 'one', 'keys', 'bringing', 'CdnAg', 'North', 'https', 'co', 'IR1JKOZjwe', 'https', 'co', 'MRo10n3WNd']","[u'arcticsci', u'month', u'wind', u'scientist', u'look', u'ahead', u'greenhous', u'technolog', u'one', u'key', u'bring', u'cdnag', u'north', u'https', 'co', u'ir1jkozjw', u'https', 'co', u'mro10n3wnd']","#ArcticScience month is winding down, but our scientists are looking ahead at greenhouse technology- one of the keys to bringing more #CdnAg North! https://t.co/IR1JKOZjwe https://t.co/MRo10n3WNd",0.23472222222222225,Neutral
9,9,9,946774098436386816,0,2,2017-12-29 16:05:09,Looking for a New Year’s recipe? Try our delicious Grilled Salmon with Berry Compote:,['#CdnAg'],"['https://t.co/pnwCLdvDBX', 'https://t.co/J8wzekOjY5']",Looking New recipe Try delicious Grilled Salmon Berry Compote https co pnwCLdvDBX CdnAg https co J8wzekOjY5,"['Looking', 'New', 'recipe', 'Try', 'delicious', 'Grilled', 'Salmon', 'Berry', 'Compote', 'https', 'co', 'pnwCLdvDBX', 'CdnAg', 'https', 'co', 'J8wzekOjY5']","[u'look', u'new', u'recip', u'tri', u'delici', u'grill', u'salmon', u'berri', u'compot', u'https', 'co', u'pnwcldvdbx', u'cdnag', u'https', 'co', u'j8wzekojy5']",Looking for a New Year’s recipe? Try our delicious Grilled Salmon with Berry Compote: https://t.co/pnwCLdvDBX #CdnAg https://t.co/J8wzekOjY5,0.5681818181818181,Positive
10,10,10,946765330109599745,0,0,2017-12-29 15:30:19,Modern methods help keep our food fresh during the winter:,['#CdnAg'],"['https://t.co/2EfIKJb3eX', 'https://t.co/s50kApoWFL']",Modern CdnAg methods help keep food fresh winter https co 2EfIKJb3eX https co s50kApoWFL,"['Modern', 'CdnAg', 'methods', 'help', 'keep', 'food', 'fresh', 'winter', 'https', 'co', '2EfIKJb3eX', 'https', 'co', 's50kApoWFL']","[u'modern', u'cdnag', u'method', u'help', u'keep', u'food', u'fresh', u'winter', u'https', 'co', u'2efikjb3ex', u'https', 'co', u's50kapowfl']",Modern #CdnAg methods help keep our food fresh during the winter: https://t.co/2EfIKJb3eX https://t.co/s50kApoWFL,0.25,Neutral
11,11,11,946757994771046401,0,2,2017-12-29 15:01:10,We're counting down to with our Top tweets from the past year! Here is number : 1,['#Canada150'],['https://t.co/nqPYI5jx'],counting 2018 Top 10 Canada150 tweets past year number https co nqPYI5jxD1,"['counting', '2018', 'Top', '10', 'Canada150', 'tweets', 'past', 'year', 'number', 'https', 'co', 'nqPYI5jxD1']","[u'count', u'2018', u'top', '10', u'canada150', u'tweet', u'past', u'year', u'number', u'https', 'co', u'nqpyi5jxd1']",We're counting down to 2018 with our Top 10 #Canada150 tweets from the past year! Here is number 3: https://t.co/nqPYI5jxD1,0.010648148148148148,Neutral
12,12,12,946434350790447104,1,1,2017-12-28 17:35:07,",154 new bakery products were launched in in the past years? Find more trends for :","['#DYK', '#China', '#foodbiz']",['https://t.co/qvNjWT3BrA'],DYK 154 new bakery products launched China past years Find trends foodbiz https co qvNjWT3BrA,"['DYK', '154', 'new', 'bakery', 'products', 'launched', 'China', 'past', 'years', 'Find', 'trends', 'foodbiz', 'https', 'co', 'qvNjWT3BrA']","[u'dyk', u'154', u'new', u'bakeri', u'product', u'launch', u'china', u'past', u'year', u'find', u'trend', u'foodbiz', u'https', 'co', u'qvnjwt3bra']","#DYK 7,154 new bakery products were launched in #China in the past 5 years?  Find more trends for #foodbiz: https://t.co/qvNjWT3BrA",0.12878787878787878,Neutral
13,13,13,946426822878736384,4,7,2017-12-28 17:05:12,"Kudos to our scientist, Dr. Wade Abbott, for having his work on dietary pectic glycans published in : 11",['#CdnAg'],"['https://t.co/pPMaiKGI', 'https://t.co/rIrkvPOqfr']",Kudos CdnAg scientist Dr Wade Abbott work dietary pectic glycans published NatureMicrobiol https co pPMaiKGI11 https co rIrkvPOqfr,"['Kudos', 'CdnAg', 'scientist', 'Dr', 'Wade', 'Abbott', 'work', 'dietary', 'pectic', 'glycans', 'published', 'NatureMicrobiol', 'https', 'co', 'pPMaiKGI11', 'https', 'co', 'rIrkvPOqfr']","[u'kudo', u'cdnag', u'scientist', 'dr', u'wade', u'abbott', u'work', u'dietari', u'pectic', u'glycan', u'publish', u'naturemicrobiol', u'https', 'co', u'ppmaikgi11', u'https', 'co', u'rirkvpoqfr']","Kudos to our #CdnAg scientist, Dr. Wade Abbott, for having his work on dietary pectic glycans published in @NatureMicrobiol: https://t.co/pPMaiKGI11 https://t.co/rIrkvPOqfr",0.0,Neutral
