id,date_published,link,caption_original,caption_cleaned,hashtags,num_comments,num_shares,num_likes,Reactions_SUM,category,matched_keywords,language,average_sentiment_score,sentiment,account_name
631082771679739904,2015-08-11 12:40:32,['http://t.co/JHVXK2CO8i'],La construction du soutien du puits C1 est terminée. La construction a nécessité environ 50 000 mètres cubes de roche http://t.co/JHVXK2CO8i,La construction du soutien du C1 est La construction environ 50 tres cubes de roche http co JHVXK2CO8i,[],,0.0,0,0,['other'],[],fr,0.0,Neutral,MineGiant_tweeter
681113766096945153,2015-12-27 14:05:50,['https://t.co/NupCz\xe2\x80\xa6'],"RT @GCC_CCG: Étudiants, avez-vous déjà considéré de vous joindre à la @GCC_CCG? Postulez au Collège de la GCC maintenant https://t.co/NupCz…",RT tudiants avez vous de vous joindre la Postulez au ge de la GCC maintenant https co,[],,3.0,0,3,['Social'],['étudiant'],fr,0.0,Neutral,MPO_Centre_tweeter
682295294806077441,2015-12-30 20:20:49,['https://t.co/zaHgQgrbPR'],Le scientifique du MPO Martin Castonguay parle d’une découverte récente sur la migration de l’anguille #fiers https://t.co/zaHgQgrbPR,Le scientifique du MPO Martin Castonguay parle une couverte cente sur la migration de anguille fiers https co zaHgQgrbPR,['#fiers'],,2.0,1,3,"['Economical', 'Environmental', 'Social']","['scientifique', 'scientifique', 'scientifique', 'mpo', '#fiers']",fr,0.0,Neutral,MPO_DFO_tweeter
679318963407470592,2015-12-22 15:13:56,"['https://t.co/RY0YHyVMIV', 'https://t.co/OWzdprqqXW']",Tous les détails sur pêche récréative hivernale au poisson de fond dans le fjord du Saguenay https://t.co/RY0YHyVMIV https://t.co/OWzdprqqXW,Tous les tails sur ative hivernale au poisson de fond dans le fjord du Saguenay https co RY0YHyVMIV https co OWzdprqqXW,[],,1.0,1,2,['Environmental'],['poisson'],fr,0.0,Neutral,MPO_GCC_Quebec_tweeter
485734081568161_674594319348802,2016-01-28 11:46:07,http://ow.ly/Xvpi5,"Les frais de garde d’enfants grugent une bonne partie de votre revenu? #Saviezvous que vous pouvez les déduire de vos impôts?

Pour l’exercice fiscal 2015, vous pouvez réclamer jusqu’à 8 000 $ pour les frais de garde d’enfants qui sont âgés de 6 ans ou moins à la fin de l’exercice. Pour les enfants de plus de 6 ans et de moins de 16 ans, vous pouvez réclamer 5 000 $ annuellement. Renseignez-vous : http://ow.ly/Xvpi5","Les frais de garde d’enfants grugent une bonne partie de votre revenu? que vous pouvez les déduire de vos impôts? Pour l’exercice fiscal , vous pouvez réclamer jusqu’à $ pour les frais de garde d’enfants qui sont âgés de ans ou moins à la fin de l’exercice. Pour les enfants de plus de ans et de moins de ans, vous pouvez réclamer $ annuellement. Renseignez-vous :",['#Saviezvous'],8.0,114.0,36,158,"['Economical', 'Social']","['revenu', 'enfant']",fr,0.11044999999999998,positive,QuestionsdargentCanada_facebook
134615279898518_1255576354469066,2016-01-04 19:42:20,https://www.facebook.com/ParcsCanada/photos/a.281154578577920.88091.134615279898518/1255576354469066/?type=3,"Bonne année!!!
Nous débutons 2016 avec une grande nouvelle : comme première étape vers nos célébrations aux sites de Parcs Canada pour le 150e anniversaire de la Confédération du Canada, notre carte d’entrée Découverte 2016 sera valide pour 24 mois!

La carte d’entrée Découverte vous permet de multiplier à l’infini les occasions d’explorer partout au Canada près de 200 parcs nationaux, aires marines nationales de conservation et lieux historiques nationaux. Pour en savoir davantage : http://ow.ly/WgTYn","Bonne année!!! Nous débutons avec une grande nouvelle : comme première étape vers nos célébrations aux sites de Parcs Canada pour le e anniversaire de la Confédération du Canada, notre carte d’entrée Découverte sera valide pour mois! La carte d’entrée Découverte vous permet de multiplier à l’infini les occasions d’elorer partout au Canada près de parcs nationaux, aires marines nationales de conservation et lieux historiques nationaux. Pour en savoir davantage :",[],3.0,49.0,82,134,"['Economical', 'Environmental', 'Social']","['célébration', 'parc', 'occasion', 'parc', 'marine', 'conservation', 'historique']",fr,0.0,neutral,ParcsCanada_facebook
485734081568161_668828659925368,2016-01-13 11:45:54,http://ow.ly/WX3RG,"Si vous êtes âgé de 65 ans ou plus et que vous avez un faible revenu, vous pourriez recevoir le Supplément de revenu garanti, qui s’ajoute à la pension de la Sécurité de la vieillesse. 

Pour être admissible au Supplément de revenu garanti, il faut être résident autorisé du Canada, recevoir une pension de la Sécurité de la vieillesse et avoir un revenu annuel inférieur au seuil établi. Plus d’info: http://ow.ly/WX3RG","Si vous êtes âgé de ans ou plus et que vous avez un faible revenu, vous pourriez recevoir le Supplément de revenu garanti, qui s’ajoute à la pension de la Sécurité de la vieillesse. Pour être admissible au Supplément de revenu garanti, il faut être résident autorisé du Canada, recevoir une pension de la Sécurité de la vieillesse et avoir un revenu annuel inférieur au seuil établi. Plus d’info:",[],9.0,89.0,35,133,['Economical'],"['revenu', 'revenu', 'revenu', 'revenu']",fr,0.06444444444444446,positive,QuestionsdargentCanada_facebook
485734081568161_685291394945761,2016-02-23 11:45:32,https://www.facebook.com/QuestionsdargentCanada/photos/a.534106823397553.1073741828.485734081568161/685291394945761/?type=3,"ALERTE À LA FRAUDE: Prenez garde aux fraudeurs qui prétendent être de l'Agence du revenu du Canada (ARC). 

Dans ce type d'arnaque, le numéro affiché semble indiquer que l'appel provient de l'ARC. Les fraudeurs affirment que vous avez une dette fiscale et demandent un paiement immédiat par virement d'argent qu'il vous sera impossible de retracer ou par carte de crédit prépayée. Ils vous menacent aussi d'arrestation ou d'emprisonnement si vous ne le faites pas sans tarder.

Soyez toujours vigilant lorsque vous divulguez vos renseignements personnels ou financiers. Voici quelques points de repère pour détecter si l'appel vient vraiment de l'ARC: http://ow.ly/YExzg","ALERTE À LA FRAUDE: Prenez garde aux fraudeurs qui prétendent être de l'Agence du revenu du Canada (ARC). Dans ce type d'arnaque, le numéro affiché semble indiquer que l'appel provient de l'ARC. Les fraudeurs affirment que vous avez une dette fiscale et demandent un paiement immédiat par virement d'argent qu'il vous sera impossible de retracer ou par carte de crédit prépayée. Ils vous menacent aussi d'arrestation ou d'emprisonnement si vous ne le faites pas sans tarder. Soyez toujours vigilant lorsque vous divulguez vos renseignements personnels ou financiers. Voici quelques points de repère pour détecter si l'appel vient vraiment de l'ARC:",[],9.0,746.0,74,829,['Economical'],"['revenu', 'dette']",fr,0.06650000000000003,positive,QuestionsdargentCanada_facebook
702550581248917508,2016-02-24 17:48:05,['https://t.co/\xe2\x80\xa6'],"RT @JustinTrudeau: La #Jouneeduchandailrose : non à  l’intimidation et oui à la gentillesse. Retwittez en identifiant un ami:
https://t.co/…",RT JustinTrudeau La Jouneeduchandailrose non intimidation et oui la gentillesse Retwittez en identifiant un ami https co,['#Jouneeduchandailrose'],,289.0,0,289,['Social'],['ami'],fr,0.0,Neutral,MPO_Pacifique_tweeter
485734081568161_676778492463718,2016-02-02 11:46:01,http://ow.ly/XNDoF,"À compter de mars 2016, les entreprises canadiennes de câblodistribution et de télévision devront offrir un service d’entrée de gamme à prix abordable dont le tarif mensuel ne doit pas dépasser 25 $. Le #saviezvous?

Avec ce nouveau service d’entrée de gamme, les Canadiens auront accès, à un coût raisonnable, aux canaux canadiens locaux et régionaux. Renseignez-vous sur les changements qui découlent de la consultation Parlons télé du CRTC: http://ow.ly/XNDoF","À compter de mars , les entreprises canadiennes de câblodistribution et de télévision devront offrir un service d’entrée de gamme à prix abordable dont le tarif mensuel ne doit pas dépasser $. Le ? Avec ce nouveau service d’entrée de gamme, les Canadiens auront accès, à un coût raisonnable, aux canaux canadiens locaux et régionaux. Renseignez-vous sur les changements qui découlent de la consultation Parlons télé du CRTC:",['#saviezvous'],13.0,141.0,94,248,"['Economical', 'Social']","['entreprise', 'tarif', 'changement']",fr,0.06526315789473684,positive,QuestionsdargentCanada_facebook
