,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,status_id,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,status_message_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original,category
0,0,0,0,0,134615279898518_1955700001123361,,photo,https://www.facebook.com/ParcsCanada/photos/a.281154578577920.88091.134615279898518/1955699484456746/?type=3,2017-12-30 15:15:00,2,0,0,2,0,0,0,0,0,0,Nous rendre visite est encore plus intéressant. Commandez votre écouverte famille/groupe avant le décembre et obtenez un rabais de %! Commandez dès aujourd’hui et venez voir ce que nos endroits vous offrent!,['#CarteD'],['http://ow.ly/mv9S30gUf2M'],Nous rendre visite est encore plus ressant Commandez votre couverte famille groupe avant le 31 cembre 2017 et obtenez un rabais de 20 Commandez hui et venez voir ce que nos endroits vous offrent http ow ly mv9S30gUf2M,"['Nous', 'rendre', 'visite', 'est', 'encore', 'plus', 'ressant', 'Commandez', 'votre', 'couverte', 'famille', 'groupe', 'avant', 'le', '31', 'cembre', '2017', 'et', 'obtenez', 'un', 'rabais', 'de', '20', 'Commandez', 'hui', 'et', 'venez', 'voir', 'ce', 'que', 'nos', 'endroits', 'vous', 'offrent', 'http', 'ow', 'ly', 'mv9S30gUf2M']","[u'nous', u'rendr', u'visit', u'est', u'encor', u'plus', u'ressant', u'commandez', u'votr', u'couvert', u'famill', u'group', u'avant', 'le', '31', u'cembr', u'2017', 'et', u'obtenez', 'un', u'rabai', 'de', '20', u'commandez', u'hui', 'et', u'venez', u'voir', 'ce', u'que', u'nos', u'endroit', u'vous', u'offrent', u'http', 'ow', 'ly', u'mv9s30guf2m']",Nous rendre visite est encore plus intéressant. Commandez votre #CarteDécouverte famille/groupe avant le 31 décembre 2017 et obtenez un rabais de 20 %! Commandez dès aujourd’hui et venez voir ce que nos endroits vous offrent! http://ow.ly/mv9S30gUf2M,Social
1,1,1,1,1,134615279898518_1973282882698406,,photo,https://www.facebook.com/ParcsCanada/photos/a.281154578577920.88091.134615279898518/1973282746031753/?type=3,2017-12-30 12:00:00,6,2,2,5,1,0,0,0,0,0,"Puisque tire à sa fin, il en est de même pour notre éfiParcs. Nous savons que vous avez vécu de grandes sur nos cette année, alors parlez-en! Partagez votre meilleure eérience à en ! ️ Lieu historique national Rocky Mountain House","['#Canada150', '#D', '#aventures', '#sites', '#ParcsCanada']",[],Puisque Canada150 tire sa fin il en est de pour notre fiParcs Nous savons que vous avez cu de grandes aventures sur nos sites cette alors parlez en Partagez votre meilleure rience ParcsCanada en 2017 Lieu historique national Rocky Mountain House,"['Puisque', 'Canada150', 'tire', 'sa', 'fin', 'il', 'en', 'est', 'de', 'pour', 'notre', 'fiParcs', 'Nous', 'savons', 'que', 'vous', 'avez', 'cu', 'de', 'grandes', 'aventures', 'sur', 'nos', 'sites', 'cette', 'alors', 'parlez', 'en', 'Partagez', 'votre', 'meilleure', 'rience', 'ParcsCanada', 'en', '2017', 'Lieu', 'historique', 'national', 'Rocky', 'Mountain', 'House']","[u'puisqu', u'canada150', u'tire', 'sa', u'fin', 'il', 'en', u'est', 'de', u'pour', u'notr', u'fiparc', u'nous', u'savon', u'que', u'vous', u'avez', 'cu', 'de', u'grand', u'aventur', u'sur', u'nos', u'site', u'cett', u'alor', u'parlez', 'en', u'partagez', u'votr', u'meilleur', u'rienc', u'parcscanada', 'en', u'2017', u'lieu', u'historiqu', u'nation', u'rocki', u'mountain', u'hous']","Puisque #Canada150 tire à sa fin, il en est de même pour notre #DéfiParcs. Nous savons que vous avez vécu de grandes #aventures sur nos #sites cette année, alors parlez-en! Partagez votre meilleure expérience à #ParcsCanada en 2017! 🏞️ Lieu historique national Rocky Mountain House",Social
2,2,2,2,2,134615279898518_1965773673449327,Auld Lang Syne - The Tenors,link,https://www.vevo.com/watch/the-tenors/auld-lang-syne/CA93Q1700088,2017-12-30 10:30:00,2,1,0,2,0,0,0,0,0,0,La nouvelle année est à nos portes! Où irez-vous elorer en ? Jetez un œil à ces photos pour être inspiré! Ces photos mettent en vedette le parc national du Gros-Morne et le lieu historique national du Phare-de-Cap-Spear et ont été prises lors du tournage du vidéoclip des The Tenors pour la chanson « Auld Lang Syne ». Tom Cochrane Photo. 00088,[],['https://www.vevo.com/watch/the-tenors/auld-lang-syne/CA93Q17'],La nouvelle est nos portes irez vous explorer en 2018 Jetez un il ces photos pour Ces photos mettent en vedette le parc national du Gros Morne et le lieu historique national du Phare de Cap Spear et ont prises lors du tournage du oclip des Tenors pour la chanson Auld Lang Syne Tom Cochrane Photo https www vevo com watch tenors auld lang syne CA93Q1700088,"['La', 'nouvelle', 'est', 'nos', 'portes', 'irez', 'vous', 'explorer', 'en', '2018', 'Jetez', 'un', 'il', 'ces', 'photos', 'pour', 'Ces', 'photos', 'mettent', 'en', 'vedette', 'le', 'parc', 'national', 'du', 'Gros', 'Morne', 'et', 'le', 'lieu', 'historique', 'national', 'du', 'Phare', 'de', 'Cap', 'Spear', 'et', 'ont', 'prises', 'lors', 'du', 'tournage', 'du', 'oclip', 'des', 'Tenors', 'pour', 'la', 'chanson', 'Auld', 'Lang', 'Syne', 'Tom', 'Cochrane', 'Photo', 'https', 'www', 'vevo', 'com', 'watch', 'tenors', 'auld', 'lang', 'syne', 'CA93Q1700088']","['la', u'nouvell', u'est', u'nos', u'port', u'irez', u'vous', u'explor', 'en', u'2018', u'jetez', 'un', 'il', u'ces', u'photo', u'pour', u'ces', u'photo', u'mettent', 'en', u'vedett', 'le', u'parc', u'nation', 'du', u'gros', u'morn', 'et', 'le', u'lieu', u'historiqu', u'nation', 'du', u'phare', 'de', u'cap', u'spear', 'et', u'ont', u'prise', u'lor', 'du', u'tournag', 'du', u'oclip', u'des', u'tenor', u'pour', 'la', u'chanson', u'auld', u'lang', u'syne', u'tom', u'cochran', u'photo', u'https', u'www', u'vevo', u'com', u'watch', u'tenor', u'auld', u'lang', u'syne', u'ca93q1700088']","La nouvelle année est à nos portes! Où irez-vous explorer en 2018? Jetez un œil à ces photos pour être inspiré!

Ces photos mettent en vedette le parc national du Gros-Morne et le lieu historique national du Phare-de-Cap-Spear et ont été prises lors du tournage du vidéoclip des The Tenors pour la chanson « Auld Lang Syne ». 📷 Tom Cochrane Photo.

https://www.vevo.com/watch/the-tenors/auld-lang-syne/CA93Q1700088",Social
3,3,3,3,3,134615279898518_1973279706032057,,photo,https://www.facebook.com/ParcsCanada/photos/a.281154578577920.88091.134615279898518/1973277949365566/?type=3,2017-12-29 20:00:00,13,0,0,11,2,0,0,0,0,0,"a été été une année remplie d’ et de écouvertes! Que vous ayez fait du ️ dans nos , profité des paysages exceptionnels sur nos ou contemplé des à couper le souffle , nous voulons en entendre parler! Nous vous mettons au défi de nous montrer votre meilleure eérience à en ! Lieux historiques nationaux Fort Rodd Hill et du Phare de Fisgard","['#Canada150', '#aventures', '#d', '#camping', '#parcsnationaux', '#chaisesrouges', '#couchersdesoleil', '#ParcsCanada']",[],Canada150 une remplie aventures et de couvertes Que vous ayez fait du camping dans nos parcsnationaux des paysages exceptionnels sur nos chaisesrouges ou des couchersdesoleil couper le souffle nous voulons en entendre parler Nous vous mettons au fi de nous montrer votre meilleure rience ParcsCanada en 2017 Lieux historiques nationaux Fort Rodd Hill et du Phare de Fisgard,"['Canada150', 'une', 'remplie', 'aventures', 'et', 'de', 'couvertes', 'Que', 'vous', 'ayez', 'fait', 'du', 'camping', 'dans', 'nos', 'parcsnationaux', 'des', 'paysages', 'exceptionnels', 'sur', 'nos', 'chaisesrouges', 'ou', 'des', 'couchersdesoleil', 'couper', 'le', 'souffle', 'nous', 'voulons', 'en', 'entendre', 'parler', 'Nous', 'vous', 'mettons', 'au', 'fi', 'de', 'nous', 'montrer', 'votre', 'meilleure', 'rience', 'ParcsCanada', 'en', '2017', 'Lieux', 'historiques', 'nationaux', 'Fort', 'Rodd', 'Hill', 'et', 'du', 'Phare', 'de', 'Fisgard']","[u'canada150', u'une', u'rempli', u'aventur', 'et', 'de', u'couvert', u'que', u'vous', u'ayez', u'fait', 'du', u'camp', u'dan', u'nos', u'parcsnationaux', u'des', u'paysag', u'exceptionnel', u'sur', u'nos', u'chaisesroug', 'ou', u'des', u'couchersdesoleil', u'couper', 'le', u'souffl', u'nous', u'voulon', 'en', u'entendr', u'parler', u'nous', u'vous', u'metton', 'au', 'fi', 'de', u'nous', u'montrer', u'votr', u'meilleur', u'rienc', u'parcscanada', 'en', u'2017', u'lieux', u'historiqu', u'nationaux', u'fort', u'rodd', u'hill', 'et', 'du', u'phare', 'de', u'fisgard']","#Canada150 a été  été une année remplie d’#aventures et de #découvertes! Que vous ayez fait du #camping 🏕️ dans nos #parcsnationaux, profité des paysages exceptionnels sur nos #chaisesrouges ou contemplé des #couchersdesoleil à couper le souffle 🌄, nous voulons en entendre parler! Nous vous mettons au défi de nous montrer votre meilleure expérience à #ParcsCanada en 2017! Lieux historiques nationaux Fort Rodd Hill et du Phare de Fisgard",Environmental
4,4,4,4,4,134615279898518_1974344102592284,,photo,https://www.facebook.com/ParcsCanada/photos/a.281154578577920.88091.134615279898518/1974343949258966/?type=3,2017-12-29 18:15:00,116,7,6,90,17,9,0,0,0,0,"Joyeux Vendredi photo des abonnés! Cette photo magnifique nous vient de sur Instagram, accompagnée de la légende suivante : « Arbres couverts de glace au Parc national de la Pointe-Pelée. » Chaque vendredi, nous choisissons au hasard une photo envoyée par un abonné pour la mettre en vedette sur notre mur. Si vous souhaitez soumettre une photo, veuillez nous envoyer un message.",[],[],Joyeux Vendredi photo des Cette photo magnifique nous vient de tylerrharris1994 sur Instagram de la gende suivante Arbres couverts de glace au Parc national de la Pointe Chaque vendredi nous choisissons au hasard une photo par un pour la mettre en vedette sur notre mur Si vous souhaitez soumettre une photo veuillez nous envoyer un message,"['Joyeux', 'Vendredi', 'photo', 'des', 'Cette', 'photo', 'magnifique', 'nous', 'vient', 'de', 'tylerrharris1994', 'sur', 'Instagram', 'de', 'la', 'gende', 'suivante', 'Arbres', 'couverts', 'de', 'glace', 'au', 'Parc', 'national', 'de', 'la', 'Pointe', 'Chaque', 'vendredi', 'nous', 'choisissons', 'au', 'hasard', 'une', 'photo', 'par', 'un', 'pour', 'la', 'mettre', 'en', 'vedette', 'sur', 'notre', 'mur', 'Si', 'vous', 'souhaitez', 'soumettre', 'une', 'photo', 'veuillez', 'nous', 'envoyer', 'un', 'message']","[u'joyeux', u'vendredi', u'photo', u'des', u'cett', u'photo', u'magnifiqu', u'nous', u'vient', 'de', u'tylerrharris1994', u'sur', u'instagram', 'de', 'la', u'gend', u'suivant', u'arbr', u'couvert', 'de', u'glace', 'au', u'parc', u'nation', 'de', 'la', u'point', u'chaqu', u'vendredi', u'nous', u'choisisson', 'au', u'hasard', u'une', u'photo', u'par', 'un', u'pour', 'la', u'mettr', 'en', u'vedett', u'sur', u'notr', u'mur', 'si', u'vous', u'souhaitez', u'soumettr', u'une', u'photo', u'veuillez', u'nous', u'envoy', 'un', u'messag']","Joyeux Vendredi photo des abonnés! Cette photo magnifique  nous vient de @tylerrharris1994 sur Instagram, accompagnée de la légende suivante : « Arbres couverts de glace au Parc national de la Pointe-Pelée. » 

Chaque vendredi, nous choisissons au hasard une photo envoyée par un abonné pour la mettre en vedette sur notre mur. Si vous souhaitez soumettre une photo, veuillez nous envoyer un message.",Environmental
5,5,5,5,5,134615279898518_1974321049261256,Dix aventures de camping hivernale : de luxe à sauvage - Planifiez votre visite,link,http://ow.ly/ZQe830hm7mL,2017-12-29 16:15:00,3,0,0,3,0,0,0,0,0,0,"Le froid vif du matin, une neige poudreuse fraîchement tombée et la féérie de l’hiver, c’est ce qui vous attend lorsque vous vous réveillez. Si vous n’avez jamais essayé le camping durant les mois les plus froids, voici une liste de Aventures de camping hivernal pour vous mettre sur la bonne voie. Canada Elorez sans fin",['#CampingHivernal'],['http://ow.ly/ZQe830hm7mL'],Le froid vif du matin une neige poudreuse chement et la rie de hiver est ce qui vous attend lorsque vous vous veillez Si vous avez jamais le camping durant les mois les plus froids voici une liste de 10 Aventures de camping hivernal pour vous mettre sur la bonne voie CampingHivernal Canada Explorez sans fin http ow ly ZQe830hm7mL,"['Le', 'froid', 'vif', 'du', 'matin', 'une', 'neige', 'poudreuse', 'chement', 'et', 'la', 'rie', 'de', 'hiver', 'est', 'ce', 'qui', 'vous', 'attend', 'lorsque', 'vous', 'vous', 'veillez', 'Si', 'vous', 'avez', 'jamais', 'le', 'camping', 'durant', 'les', 'mois', 'les', 'plus', 'froids', 'voici', 'une', 'liste', 'de', '10', 'Aventures', 'de', 'camping', 'hivernal', 'pour', 'vous', 'mettre', 'sur', 'la', 'bonne', 'voie', 'CampingHivernal', 'Canada', 'Explorez', 'sans', 'fin', 'http', 'ow', 'ly', 'ZQe830hm7mL']","['le', u'froid', u'vif', 'du', u'matin', u'une', u'neig', u'poudreus', u'chement', 'et', 'la', u'rie', 'de', u'hiver', u'est', 'ce', u'qui', u'vous', u'attend', u'lorsqu', u'vous', u'vous', u'veillez', 'si', u'vous', u'avez', u'jamai', 'le', u'camp', u'durant', u'les', u'moi', u'les', u'plus', u'froid', u'voici', u'une', u'list', 'de', '10', u'aventur', 'de', u'camp', u'hivern', u'pour', u'vous', u'mettr', u'sur', 'la', u'bonn', u'voie', u'campinghivern', u'canada', u'explorez', u'san', u'fin', u'http', 'ow', 'ly', u'zqe830hm7ml']","Le froid vif du matin, une neige poudreuse fraîchement tombée et la féérie de l’hiver, c’est ce qui vous attend lorsque vous vous réveillez. ⛺

Si vous n’avez jamais essayé le camping durant les mois les plus froids, voici une liste de 10 Aventures de camping hivernal pour vous mettre sur la bonne voie.

#CampingHivernal Canada Explorez sans fin

http://ow.ly/ZQe830hm7mL",Environmental
6,6,6,6,6,134615279898518_1974404039252957,10 photos les plus populaires - Instagram 2017,photo,https://www.facebook.com/ParcsCanada/photos/a.1974403919252969.1073741926.134615279898518/1974404039252957/?type=3,2017-12-29 12:24:07,77,5,16,55,21,0,0,0,0,1,"Nous avons eu une année incroyable sur Instagram. Nous voulons souligner nos DIX photos les plus POPULAIRES! ⭐️ Nous suivez-vous sur notre Instagram .canada? Qu'est-ce que vous attendez, l'année sera sûrement meilleure que jamais!",[],[],Nous avons eu une 2017 incroyable sur Instagram Nous voulons souligner nos DIX photos les plus POPULAIRES Nous suivez vous sur notre Instagram parcs canada Qu est ce que vous attendez 2018 sera rement meilleure que jamais,"['Nous', 'avons', 'eu', 'une', '2017', 'incroyable', 'sur', 'Instagram', 'Nous', 'voulons', 'souligner', 'nos', 'DIX', 'photos', 'les', 'plus', 'POPULAIRES', 'Nous', 'suivez', 'vous', 'sur', 'notre', 'Instagram', 'parcs', 'canada', 'Qu', 'est', 'ce', 'que', 'vous', 'attendez', '2018', 'sera', 'rement', 'meilleure', 'que', 'jamais']","[u'nous', u'avon', 'eu', u'une', u'2017', u'incroy', u'sur', u'instagram', u'nous', u'voulon', u'soulign', u'nos', u'dix', u'photo', u'les', u'plus', u'populair', u'nous', u'suivez', u'vous', u'sur', u'notr', u'instagram', u'parc', u'canada', 'qu', u'est', 'ce', u'que', u'vous', u'attendez', u'2018', u'sera', u'rement', u'meilleur', u'que', u'jamai']","Nous avons eu une année 2017 incroyable sur Instagram. Nous voulons souligner nos DIX photos les plus POPULAIRES! ⭐️🎉✨ 

Nous suivez-vous sur notre Instagram @parcs.canada? Qu'est-ce que vous attendez, l'année 2018 sera sûrement meilleure que jamais!",Environmental
7,7,7,7,7,134615279898518_1954705841222777,,photo,https://www.facebook.com/ParcsCanada/photos/a.281154578577920.88091.134615279898518/1954705524556142/?type=3,2017-12-29 08:20:00,11,1,1,11,0,0,0,0,0,0,C’est la Journée du tic-tac de l'horloge qui veut dire que l’année tire à sa fin. ⏰ Avez-vous déjà pris votre résolution pour la nouvelle année? La nôtre est de profiter le plus possible du plein air en . Partagez vos résolutions dans les commentaires ci-dessous. Photo prise au Canal Rideau.,[],[],est la du tic tac de horloge qui veut dire que tire sa fin Avez vous pris votre solution pour la nouvelle La tre est de profiter le plus possible du plein air en 2018 Partagez vos solutions dans les commentaires ci dessous Photo prise au Canal Rideau,"['est', 'la', 'du', 'tic', 'tac', 'de', 'horloge', 'qui', 'veut', 'dire', 'que', 'tire', 'sa', 'fin', 'Avez', 'vous', 'pris', 'votre', 'solution', 'pour', 'la', 'nouvelle', 'La', 'tre', 'est', 'de', 'profiter', 'le', 'plus', 'possible', 'du', 'plein', 'air', 'en', '2018', 'Partagez', 'vos', 'solutions', 'dans', 'les', 'commentaires', 'ci', 'dessous', 'Photo', 'prise', 'au', 'Canal', 'Rideau']","[u'est', 'la', 'du', u'tic', u'tac', 'de', u'horlog', u'qui', u'veut', u'dire', u'que', u'tire', 'sa', u'fin', u'avez', u'vous', u'pris', u'votr', u'solut', u'pour', 'la', u'nouvell', 'la', u'tre', u'est', 'de', u'profit', 'le', u'plus', u'possibl', 'du', u'plein', u'air', 'en', u'2018', u'partagez', u'vos', u'solut', u'dan', u'les', u'commentair', 'ci', u'dessous', u'photo', u'prise', 'au', u'canal', u'rideau']","C’est la Journée du tic-tac de l'horloge qui veut dire que l’année tire à sa fin. ⏰ Avez-vous déjà pris votre résolution pour la nouvelle année? La nôtre est de profiter le plus possible du plein air en 2018. Partagez vos résolutions dans les commentaires ci-dessous.

Photo prise au Canal Rideau. ⛸",Environmental
8,8,8,8,8,134615279898518_1938438482849513,,photo,https://www.facebook.com/ParcsCanada/photos/a.281154578577920.88091.134615279898518/1938438226182872/?type=3,2017-12-28 20:00:00,10,0,0,9,1,0,0,0,0,0,"Est-ce que vous planifiez prendre une résolution du Nouvel An? Moins de stress? Des voyages? Être plus actif? Plus de temps passé avec les gens qui vous sont chers? Aller davantage dehors? Si vous avez répondu « oui » à toutes ces questions, nous avons la solution pour vous : DU CAMPING! Découvrez toutes les merveilleuses options qui s’offrent à vous partout au pays (Rappelez-vous : les réservations commencent en JANVIER!) : D Liberte en VR",[],['http://ow.ly/y3fK30gQcY'],Est ce que vous planifiez prendre une solution du Nouvel Moins de stress Des voyages tre plus actif Plus de temps avec les gens qui vous sont chers Aller davantage dehors Si vous avez pondu oui toutes ces questions nous avons la solution pour vous DU CAMPING couvrez toutes les merveilleuses options qui offrent vous partout au pays Rappelez vous les servations commencent en JANVIER http ow ly y3fK30gQcYD Liberte en VR,"['Est', 'ce', 'que', 'vous', 'planifiez', 'prendre', 'une', 'solution', 'du', 'Nouvel', 'Moins', 'de', 'stress', 'Des', 'voyages', 'tre', 'plus', 'actif', 'Plus', 'de', 'temps', 'avec', 'les', 'gens', 'qui', 'vous', 'sont', 'chers', 'Aller', 'davantage', 'dehors', 'Si', 'vous', 'avez', 'pondu', 'oui', 'toutes', 'ces', 'questions', 'nous', 'avons', 'la', 'solution', 'pour', 'vous', 'DU', 'CAMPING', 'couvrez', 'toutes', 'les', 'merveilleuses', 'options', 'qui', 'offrent', 'vous', 'partout', 'au', 'pays', 'Rappelez', 'vous', 'les', 'servations', 'commencent', 'en', 'JANVIER', 'http', 'ow', 'ly', 'y3fK30gQcYD', 'Liberte', 'en', 'VR']","[u'est', 'ce', u'que', u'vous', u'planifiez', u'prendr', u'une', u'solut', 'du', u'nouvel', u'moin', 'de', u'stress', u'des', u'voyag', u'tre', u'plus', u'actif', u'plus', 'de', u'temp', u'avec', u'les', u'gen', u'qui', u'vous', u'sont', u'cher', u'aller', u'davantag', u'dehor', 'si', u'vous', u'avez', u'pondu', u'oui', u'tout', u'ces', u'question', u'nous', u'avon', 'la', u'solut', u'pour', u'vous', 'du', u'camp', u'couvrez', u'tout', u'les', u'merveilleus', u'option', u'qui', u'offrent', u'vous', u'partout', 'au', u'pay', u'rappelez', u'vous', u'les', u'servat', u'commenc', 'en', u'janvier', u'http', 'ow', 'ly', u'y3fk30gqcyd', u'libert', 'en', 'vr']","Est-ce que vous planifiez prendre une résolution du Nouvel An? 

Moins de stress? Des voyages? Être plus actif? Plus de temps passé avec les gens qui vous sont chers? Aller davantage dehors?

Si vous avez répondu « oui » à toutes ces questions, nous avons la solution pour vous : DU CAMPING! ⛺

Découvrez toutes les merveilleuses options qui s’offrent à vous partout au pays (Rappelez-vous : les réservations commencent en JANVIER!) : http://ow.ly/y3fK30gQcYD  Liberte en VR",Environmental
9,9,9,9,9,134615279898518_1973303869362974,#NatureVueDenHaut - Quttinirpaaq,video,https://www.facebook.com/ParcsCanada/videos/1973303339363027/,2017-12-28 17:00:00,11,0,1,10,1,0,0,0,0,0,les parcs du Nord comme le PN seront les plus affectés par le ? Plus d'informations ici: Parcs Canada Nunavut,"['#SVQ', '#Quttinirpaaq', '#changementclimatique', '#NatureVueDenHaut']",['http://ow.ly/OoGr30hsdPO'],SVQ les parcs du Nord comme le PN Quttinirpaaq seront les plus par le changementclimatique Plus informations ici http ow ly OoGr30hsdPO NatureVueDenHaut Parcs Canada Nunavut,"['SVQ', 'les', 'parcs', 'du', 'Nord', 'comme', 'le', 'PN', 'Quttinirpaaq', 'seront', 'les', 'plus', 'par', 'le', 'changementclimatique', 'Plus', 'informations', 'ici', 'http', 'ow', 'ly', 'OoGr30hsdPO', 'NatureVueDenHaut', 'Parcs', 'Canada', 'Nunavut']","[u'svq', u'les', u'parc', 'du', u'nord', u'comm', 'le', 'pn', u'quttinirpaaq', u'seront', u'les', u'plus', u'par', 'le', u'changementclimatiqu', u'plus', u'inform', u'ici', u'http', 'ow', 'ly', u'oogr30hsdpo', u'naturevuedenhaut', u'parc', u'canada', u'nunavut']",#SVQ les parcs du Nord comme le PN #Quttinirpaaq seront les plus affectés par le #changementclimatique? Plus d'informations ici: http://ow.ly/OoGr30hsdPO #NatureVueDenHaut Parcs Canada Nunavut,Environmental
