FSDS_category,account_name,average_sentiment_score,caption_original,id,num_comments,comment_id,status_id,text_original,text_sentiment_original_scores,text_sentiment_original_scores_type
Clean drinking water,QuestionsdargentCanada_facebook,-0.375,"Votre facture d’eau gonfle durant les chauds mois d’été?

Arroser votre pelouse, vos haies et votre potager peut faire exploser votre facture d’eau, surtout si vous utilisez des gicleurs chaque soir. Pour une pelouse verte et un potager en santé, utilisez l’eau de pluie récupérée dans un baril et économisez sur votre facture d’eau.

Voyez d’autres conseils pour économiser l’eau : http://ow.ly/jJ0T301ns31",485734081568161_742802642527969,1,742802642527969_742803985861168,485734081568161_742802642527969,on se demande vraiment si y'a vraiment des gens qui sont payer a prix d'or grÃ¢ce a nos impots pour nos publier des statuts aussi ridicule sans blague rÃ©cupÃ©rer l'eau de pluie permet dâ€™Ã©conomiser moins d'eau....,-0.375,negative
Clean drinking water,QuestionsdargentCanada_facebook,0.075625,"Locataires : #Saviezvous que le propriétaire d’un logement locatif a l’obligation de respecter le degré de température minimale établi par la municipalité où vous vivez?
Si le propriétaire ne respecte pas ce règlement, vous pouvez porter plainte au service des bâtiments de votre municipalité ou auprès de votre conseiller municipal.
Renseignez-vous sur vos droits en tant que locataires. Pour en savoir plus, consultez la fiche de renseignements relative à votre province ou territoire :
https://www.cmhc-schl.gc.ca/fr/co/lolo/vogulolo/fire/index.cfm",485734081568161_808604112614488,2,808604112614488_808613399280226,485734081568161_808604112614488,Qu'elle doit Ãªtre la tempÃ©rature dans les corridors (sur les Ã©tages) et les logements sous le notre qui sont non occupÃ©s ?,-0.01,negative
Clean drinking water,EnvironnementetressourcesnaturellesauCanada_facebook,0.0,"La secrétaire parlementaire Celina Caesar-Chavannes a annoncé aux Nations Unies une contribution de 100 million de dollars par le Canada. Ces fonds serviront à rebâtir les collectivités qui ont subi de graves dommages au cours de la dernière saison des ouragans. Ensemble, nous pouvons bâtir un monde plus fort et meilleur pour tous! 

http://ow.ly/zdGk30gTRcy",460123390028_10159672729125029,1,10159672729125029_10159674026790029,460123390028_10159672729125029,Et il y a encore des victimes des inondations du printemps qui sont sans logement...,0.0,neutral
Clean drinking water,GardeCotiereCanadienne_facebook,0.4375,"Appel aux étudiants Inuits qui s’intéressent à la navigation ! La région de l’Arctique met en place une station d’embarcations de sauvetage côtière, et nous embauchons du personnel à l’échelle locale. Pour de plus amples renseignements, ou pour postuler, cliquez sur 

Inuinnaqtun
Tamnauvit Inuit ilihartuq piyumaqpiartuq qayartuqniqmun huliniq? Tahamna Ukiurtartuq pitalirtuq Tagiuqni Hinaani Annaktuiyit Qayaq havakvianik, havaktikhartaqliqtugut nunalikni havaktikhanitnik. Tuhaqpaligiami, tukhigarniqluniit, takulugu 

Inuktitut
ᐃᓄᕕᑦ ᐃᓕᓐᓂᐊᕐᑎᐅᓪᓗᑏᑦ ᐅᒥᐊᕐᑐᕐᓂᕐᒥᒃ ᐊᓕᐊᓇᐃᒋᔭᖃᕐᓗᑎᑦ? ᐅᑭᐅᕐᑕᕐᑐᒥ ᓯᒃᔭᒥ ᐸᕐᓴᐃᓂᕐᒧᑦ ᐅᒥᐊᒃᑯᑦ ᐃᓂᖃᕐᕕᒃ ᐱᔭᐅᓂᐊᕐᒪᑦ, ᐊᒻᒪᓗ ᐃᖃᓇᐃᔭᕐᑎᑦᑎᓇᓱᒃᑐᒍᑦ. ᑐᑭᓯᒋᐊᒃᑲᓐᓂᕈᒪᒍᕕᑦ, ᐱᓇᓱᒍᒪᒍᕕᓪᓘᓐᓂᑦ ᑕᑯᓗᒍ ᐅᕗᖓ
http://ow.ly/mwrA30hcxvF",299048997203389_379752549133033,2,379752549133033_379877525787202,299048997203389_379752549133033,Nice,0.0,neutral
Clean drinking water,QuestionsdargentCanada_facebook,0.0,"Vous planifiez votre retraite? Vous devrez prendre de nombreuses décisions financières bien avant d’atteindre l’âge de 60 ans.

Par exemple, l’âge que vous avez lorsque vous faites une demande de prestation du Régime de pensions du Canada ou du Régime de rentes du Québec peut avoir une incidence sur le montant d’argent que vous recevrez.

Bien que le moment habituel pour commencer à recevoir des prestations de retraite est le mois qui suit le 65e anniversaire de naissance du demandeur, il est possible de recevoir une pension réduite dès l’âge de 60 ans. Utilisez cet aide-mémoire pour vous préparer financièrement à la retraite et évaluer votre santé financière: http://ow.ly/GFAl30dZ2HW",485734081568161_993044857503745,1,993044857503745_993481124126785,485734081568161_993044857503745,Les jeunes...pensez-y!!,0.0,neutral
Clean drinking water,QuestionsdargentCanada_facebook,0.075625,"Locataires : #Saviezvous que le propriétaire d’un logement locatif a l’obligation de respecter le degré de température minimale établi par la municipalité où vous vivez?
Si le propriétaire ne respecte pas ce règlement, vous pouvez porter plainte au service des bâtiments de votre municipalité ou auprès de votre conseiller municipal.
Renseignez-vous sur vos droits en tant que locataires. Pour en savoir plus, consultez la fiche de renseignements relative à votre province ou territoire :
https://www.cmhc-schl.gc.ca/fr/co/lolo/vogulolo/fire/index.cfm",485734081568161_808604112614488,2,808604112614488_810357962439103,485734081568161_808604112614488,je vais venir au Canada que ce que je doit faire,0.0,neutral
Clean drinking water,QuestionsdargentCanada_facebook,0.075625,"Locataires : #Saviezvous que le propriétaire d’un logement locatif a l’obligation de respecter le degré de température minimale établi par la municipalité où vous vivez?
Si le propriétaire ne respecte pas ce règlement, vous pouvez porter plainte au service des bâtiments de votre municipalité ou auprès de votre conseiller municipal.
Renseignez-vous sur vos droits en tant que locataires. Pour en savoir plus, consultez la fiche de renseignements relative à votre province ou territoire :
https://www.cmhc-schl.gc.ca/fr/co/lolo/vogulolo/fire/index.cfm",485734081568161_808604112614488,2,808604112614488_809206632554236,485734081568161_808604112614488,"La tempÃ©rature minimale varie d'une municipalitÃ© Ã  l'autre. Si vous avez d'autres questions, nous vous invitons Ã  communiquer avec @SCHL.CMHC ou visiter www.cmhc-schl.gc.ca pour plus de renseignements. [[SHARE]]",0.012499999999999995,positive
Clean drinking water,QuestionsdargentCanada_facebook,0.075625,"Locataires : #Saviezvous que le propriétaire d’un logement locatif a l’obligation de respecter le degré de température minimale établi par la municipalité où vous vivez?
Si le propriétaire ne respecte pas ce règlement, vous pouvez porter plainte au service des bâtiments de votre municipalité ou auprès de votre conseiller municipal.
Renseignez-vous sur vos droits en tant que locataires. Pour en savoir plus, consultez la fiche de renseignements relative à votre province ou territoire :
https://www.cmhc-schl.gc.ca/fr/co/lolo/vogulolo/fire/index.cfm",485734081568161_808604112614488,2,808604112614488_809211072553792,485734081568161_808604112614488,Merci.,0.3,positive
Clean drinking water,GardeCotiereCanadienne_facebook,0.4375,"Appel aux étudiants Inuits qui s’intéressent à la navigation ! La région de l’Arctique met en place une station d’embarcations de sauvetage côtière, et nous embauchons du personnel à l’échelle locale. Pour de plus amples renseignements, ou pour postuler, cliquez sur 

Inuinnaqtun
Tamnauvit Inuit ilihartuq piyumaqpiartuq qayartuqniqmun huliniq? Tahamna Ukiurtartuq pitalirtuq Tagiuqni Hinaani Annaktuiyit Qayaq havakvianik, havaktikhartaqliqtugut nunalikni havaktikhanitnik. Tuhaqpaligiami, tukhigarniqluniit, takulugu 

Inuktitut
ᐃᓄᕕᑦ ᐃᓕᓐᓂᐊᕐᑎᐅᓪᓗᑏᑦ ᐅᒥᐊᕐᑐᕐᓂᕐᒥᒃ ᐊᓕᐊᓇᐃᒋᔭᖃᕐᓗᑎᑦ? ᐅᑭᐅᕐᑕᕐᑐᒥ ᓯᒃᔭᒥ ᐸᕐᓴᐃᓂᕐᒧᑦ ᐅᒥᐊᒃᑯᑦ ᐃᓂᖃᕐᕕᒃ ᐱᔭᐅᓂᐊᕐᒪᑦ, ᐊᒻᒪᓗ ᐃᖃᓇᐃᔭᕐᑎᑦᑎᓇᓱᒃᑐᒍᑦ. ᑐᑭᓯᒋᐊᒃᑲᓐᓂᕈᒪᒍᕕᑦ, ᐱᓇᓱᒍᒪᒍᕕᓪᓘᓐᓂᑦ ᑕᑯᓗᒍ ᐅᕗᖓ
http://ow.ly/mwrA30hcxvF",299048997203389_379752549133033,2,379752549133033_380481305726824,299048997203389_379752549133033,Super!,0.875,positive
Clean drinking water,AgricultureCanadienne_facebook,1.0,Découvrez comment nos recherches font en sorte que les tomates sont savoureuses et bonnes pour la santé : ow.ly/zj9D30bFzKV,798775163588850_1085940874872276,1,1085940874872276_1085945144871849,798775163588850_1085940874872276,C'est vraiment magnifique,1.0,positive
