,Unnamed: 0,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original,category,language,Reactions_SUM,sentiment_score,sentiment_type
0,0,860102236936036352,3039,3409,2017-05-04 12:02:07,All-Terrain Armored Transport the hydraulics could fail in extreme cold causing the to fall,"['#Recall', '#ATAT', '#MayThe4th']","['https://t.co/5fTSLgdPJt', 'https://t.co/axE5xmIprF']",Recall Terrain Armored Transport hydraulics could fail extreme cold causing ATAT fall https co 5fTSLgdPJt MayThe4th https co axE5xmIprF,"['Recall', 'Terrain', 'Armored', 'Transport', 'hydraulics', 'could', 'fail', 'extreme', 'cold', 'causing', 'ATAT', 'fall', 'https', 'co', '5fTSLgdPJt', 'MayThe4th', 'https', 'co', 'axE5xmIprF']","[u'recal', u'terrain', u'armor', u'transport', u'hydraul', u'could', u'fail', u'extrem', u'cold', u'caus', u'atat', u'fall', u'https', 'co', u'5ftslgdpjt', u'maythe4th', u'https', 'co', u'axe5xmiprf']",#Recall All-Terrain Armored Transport the hydraulics could fail in extreme cold causing the #ATAT to fall https://t.co/5fTSLgdPJt #MayThe4th https://t.co/axE5xmIprF,Economical,en,6448,-0.4083333333333334,Negative
1,1,825561161944985600,1765,0,2017-01-29 04:28:13,: Canadian passport holders and dual citizens will not be affected by the ban. Problems at the border? Call us /7 at -996…,[],[],RT CanEmbUSA Canadian passport holders dual citizens affected ban Problems border Call us 24 613,"['RT', 'CanEmbUSA', 'Canadian', 'passport', 'holders', 'dual', 'citizens', 'affected', 'ban', 'Problems', 'border', 'Call', 'us', '24', '613']","['rt', u'canembusa', u'canadian', u'passport', u'holder', u'dual', u'citizen', u'affect', u'ban', u'problem', u'border', u'call', 'us', '24', u'613']",RT @CanEmbUSA: Canadian passport holders and dual citizens will not be affected by the ban. Problems at the border? Call us 24/7 at 613-996…,Environmental,en,1765,0.0,Neutral
2,2,817496330868297728,1217,0,2017-01-06 22:21:28,: suspect did not fly from Canada and was not on a Canadian flight. There is no Canadian connection,['#FortLauderdale'],[],RT CanadaFP FortLauderdale suspect fly Canada Canadian flight Canadian connection,"['RT', 'CanadaFP', 'FortLauderdale', 'suspect', 'fly', 'Canada', 'Canadian', 'flight', 'Canadian', 'connection']","['rt', u'canadafp', u'fortlauderdal', u'suspect', u'fli', u'canada', u'canadian', u'flight', u'canadian', u'connect']",RT @CanadaFP: #FortLauderdale suspect did not fly from Canada and was not on a Canadian flight. There is no Canadian connection,Environmental,en,1217,-0.4,Negative
3,3,811934980163194880,515,578,2016-12-22 14:02:38,- renewed his commercial pilot’s license! Watch what happened behind the scenes during his exam U,"['#ICYMI', '#Santa']","['https://t.co/eAwBFMJFtI', 'https://t.co/hK6THmPde']",ICYMI Santa renewed commercial license Watch happened behind scenes exam https co eAwBFMJFtI https co hK6THmPdeU,"['ICYMI', 'Santa', 'renewed', 'commercial', 'license', 'Watch', 'happened', 'behind', 'scenes', 'exam', 'https', 'co', 'eAwBFMJFtI', 'https', 'co', 'hK6THmPdeU']","[u'icymi', u'santa', u'renew', u'commerci', u'licens', u'watch', u'happen', u'behind', u'scene', u'exam', u'https', 'co', u'eawbfmjfti', u'https', 'co', u'hk6thmpdeu']",#ICYMI- #Santa renewed his commercial pilot’s license! Watch what happened behind the scenes during his exam https://t.co/eAwBFMJFtI https://t.co/hK6THmPdeU,Environmental,en,1093,-0.2,Neutral
4,4,850772432579383297,964,0,2017-04-08 18:08:49,: Troops representing all four divisions of the Canadian Army who fought at Vimy march to the Canadian National Vimy Memo…,[],[],RT Troops representing four divisions Canadian Army fought Vimy march Canadian National Vimy,"['RT', 'Troops', 'representing', 'four', 'divisions', 'Canadian', 'Army', 'fought', 'Vimy', 'march', 'Canadian', 'National', 'Vimy']","['rt', u'troop', u'repres', u'four', u'divis', u'canadian', u'armi', u'fought', u'vimi', u'march', u'canadian', u'nation', u'vimi']",RT @VeteransENG_CA: Troops representing all four divisions of the Canadian Army who fought at Vimy march to the Canadian National Vimy Memo…,Social,en,964,0.0,Neutral
5,5,739860801062834182,850,0,2016-06-06 16:45:35,": Today, we remember all those who served in the Battle of 9","['#Normandy', '#DDay', '#RememberThem']",['https://t.co/2H4hnRotm'],RT Canada Today remember served Battle Normandy DDay RememberThem https co 2H4hnRotm9,"['RT', 'Canada', 'Today', 'remember', 'served', 'Battle', 'Normandy', 'DDay', 'RememberThem', 'https', 'co', '2H4hnRotm9']","['rt', u'canada', u'today', u'rememb', u'serv', u'battl', u'normandi', u'dday', u'rememberthem', u'https', 'co', u'2h4hnrotm9']","RT @Canada: Today, we remember all those who served in the Battle of #Normandy #DDay #RememberThem https://t.co/2H4hnRotm9",Environmental,en,850,0.0,Neutral
6,6,936618664173895680,708,0,2017-12-01 15:31:05,: Get ready...we are about to begin our nd year of tracking Santa! The website goes live Friday! https://…,['#NORADTracksSanta'],['https://\xe2\x80\xa6'],RT NoradSanta Get ready begin 62nd year tracking Santa website goes live Friday NORADTracksSanta https,"['RT', 'NoradSanta', 'Get', 'ready', 'begin', '62nd', 'year', 'tracking', 'Santa', 'website', 'goes', 'live', 'Friday', 'NORADTracksSanta', 'https']","['rt', u'noradsanta', u'get', u'readi', u'begin', u'62nd', u'year', u'track', u'santa', u'websit', u'goe', u'live', u'friday', u'noradtrackssanta', u'https']","RT @NoradSanta: Get ready...we are about to begin our 62nd year of tracking Santa! The
website goes live Friday! #NORADTracksSanta https://…",Environmental,en,708,0.17045454545454544,Neutral
7,7,882296590253404162,190,436,2017-07-04 17:54:34,The $2B National Trade Corridors Fund will support 🇨🇦 trade &amp; increase resilience of the 🇨🇦 transportation system 2,['#TradeCorridors'],['https://t.co/Dtv1qXFYt'],2B National Trade Corridors Fund support trade amp increase resilience transportation system TradeCorridors https co Dtv1qXFYt2,"['2B', 'National', 'Trade', 'Corridors', 'Fund', 'support', 'trade', 'amp', 'increase', 'resilience', 'transportation', 'system', 'TradeCorridors', 'https', 'co', 'Dtv1qXFYt2']","['2b', u'nation', u'trade', u'corridor', u'fund', u'support', u'trade', u'amp', u'increas', u'resili', u'transport', u'system', u'tradecorridor', u'https', 'co', u'dtv1qxfyt2']",The $2B National Trade Corridors Fund will support 🇨🇦 trade &amp; increase resilience of the 🇨🇦 transportation system #TradeCorridors https://t.co/Dtv1qXFYt2,Social,en,626,0.0,Neutral
8,8,795743783883247616,218,406,2016-11-07 21:44:36,. &amp; Min. announce Canada’s to improve on,"['#Garneau', '#OceansProtectionPlan', '#MarineSafety', '#OurCoasts']",['https://t.co/fHH7512mIQ'],CanadianPM amp Min Garneau announce OceansProtectionPlan improve MarineSafety OurCoasts https co fHH7512mIQ,"['CanadianPM', 'amp', 'Min', 'Garneau', 'announce', 'OceansProtectionPlan', 'improve', 'MarineSafety', 'OurCoasts', 'https', 'co', 'fHH7512mIQ']","[u'canadianpm', u'amp', u'min', u'garneau', u'announc', u'oceansprotectionplan', u'improv', u'marinesafeti', u'ourcoast', u'https', 'co', u'fhh7512miq']",.@CanadianPM &amp; Min. #Garneau announce Canada’s #OceansProtectionPlan to improve #MarineSafety on #OurCoasts https://t.co/fHH7512mIQ,Environmental,en,624,0.0,Neutral
9,9,811329368941133824,617,0,2016-12-20 21:56:09,: Canada will designate all Arctic Canadian waters as indefinitely off limits to future offshore oil and gas licensing.,[],[],RT CanadianPM Canada designate Arctic Canadian waters indefinitely limits future offshore oil gas licensing,"['RT', 'CanadianPM', 'Canada', 'designate', 'Arctic', 'Canadian', 'waters', 'indefinitely', 'limits', 'future', 'offshore', 'oil', 'gas', 'licensing']","['rt', u'canadianpm', u'canada', u'design', u'arctic', u'canadian', u'water', u'indefinit', u'limit', u'futur', u'offshor', u'oil', u'gas', u'licens']",RT @CanadianPM: Canada will designate all Arctic Canadian waters as indefinitely off limits to future offshore oil and gas licensing.,Environmental,en,617,0.0,Neutral
