,Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_comments,num_shares,num_likes,Reactions_SUM,category,matched_keywords,language,average_sentiment_score,sentiment,account_name
33376,2,134615279898518_1809467599079936,2017-07-25 10:50:00,https://www.facebook.com/ParcsCanada/photos/a.281154578577920.88091.134615279898518/1809466192413410/?type=3,"Vous êtes en train de lire ce message sur votre cellulaire? Vite! Téléchargez notre nouvelle appli pour accéder à des histoires captivantes, des conseils d’initiés et tout un assortiment de fonctionnalités délirantes.","Vous êtes en train de lire ce message sur votre cellulaire? Vite! Téléchargez notre nouvelle appli pour accéder à des histoires captivantes, des conseils d’initiés et tout un assortiment de fonctionnalités délirantes.",[],8.0,8.0,678,704,['other'],[],fr,0.0,neutral,ParcsCanada_facebook
33378,4,134615279898518_1810913148935381,2017-07-26 14:45:00,https://www.facebook.com/ParcsCanada/photos/a.281154578577920.88091.134615279898518/1810913148935381/?type=3,"Vous souhaitez profiter de l'entrée gratuite à l'occasion du #Canada150? Certains endroits populaires seront plus fréquentés qu'à l'habitude. Si vous planifiez un voyage au parc national Banff ou au parc national des Lacs-Waterton, planifiez à l'avance et utilisez nos outils de planification de voyage. Vous trouverez des conseils sur nos trésors cachés, les endroits congestionnés à éviter, et les meilleurs moments pour nous visiter, afin que vous puissiez profiter pleinement de votre expérience.

Parc national Banff : http://ow.ly/hYVP30dygN8
Parc national des Lacs-Waterton : http://ow.ly/YplC30dygOL","Vous souhaitez profiter de l'entrée gratuite à l'occasion du ? Certains endroits populaires seront plus fréquentés qu'à l'habitude. Si vous planifiez un voyage au parc national Banff ou au parc national des Lacs-Waterton, planifiez à l'avance et utilisez nos outils de planification de voyage. Vous trouverez des conseils sur nos trésors cachés, les endroits congestionnés à éviter, et les meilleurs moments pour nous visiter, afin que vous puissiez profiter pleinement de votre eérience. Parc national Banff : 8 Parc national des Lacs-Waterton :",['#Canada150'],15.0,53.0,524,616,"['Environmental', 'Social']","['#canada150', 'parc_national', 'parc_national', 'parc', 'parc']",fr,0.0,neutral,ParcsCanada_facebook
37625,0,1498541586883867_1564426720295353,2017-07-25 14:57:34,https://www.facebook.com/PechesOceansCanada/videos/1564426720295353/,"Effectuez une visite virtuelle de notre Institut Maurice-Lamontagne, le seul centre de recherche francophone de Pêches et Océans Canada. Tout ce qui s’y passe a pour but de faire avancer les sciences en eau douce et marine. 
Notre vidéo vous a plu et vous a donné le goût d'approfondir votre visite en vous rendant sur place à Mont-Joli (Québec)? Ça tombe bien : cet été, dans le cadre de son 30e anniversaire, l'Institut est ouvert au public du lundi au vendredi, de 9 h à 16 h. Réservez tout de suite votre place pour une de nos visites guidées gratuites en composant le 418-775-0500.","Effectuez une visite virtuelle de notre Institut Maurice-Lamontagne, le seul centre de recherche francophone de Pêches et Océans Canada. Tout ce qui s’y passe a pour but de faire avancer les sciences en eau douce et marine. Notre vidéo vous a plu et vous a donné le goût d'approfondir votre visite en vous rendant sur place à Mont-Joli (Québec)? Ça tombe bien : cet été, dans le cadre de son e anniversaire, l'Institut est ouvert au public du lundi au vendredi, de h à h. Réservez tout de suite votre place pour une de nos visites guidées gratuites en composant le -775-0500.",[],15.0,241.0,85,345,"['Environmental', 'Social']","['visite', 'océan', 'eau', 'marine', 'visite', 'visite']",fr,0.14951692708333333,positive,PechesOceansCanada_facebook
32966,4,2017-07-21_16-13-49,2017-07-21 16:13:49,https://instagram.fyvr3-1.fna.fbcdn.net/vp/890167de4de90c132985325d3f0bcc5f/5ADBCE9D/t51.2885-15/e35/20181141_794867914018910_2724109185313669120_n.jpg,"Quoi de plus exaltant que cette vue imprenable? Avec ses eaux bleues et ses forêts luxuriantes, le parc national Forillon est un joyau canadien à ne pas manquer! : .....",Quoi de plus exaltant que cette vue imprenable Avec ses eaux bleues et ses luxuriantes le parc national Forillon est un joyau canadien ne pas manquer nicktweel quebecoriginal quebec quebecregion explorequebec explorecanada happycanadaday ohcanada photographie sauvage voyage jouerdehors aventure paysage conservation vieactive,"[""quebecoriginal"",""quebec"",""quebecregion"",""explorequebec"",""explorecanada"",""happycanadaday"",""ohcanada"",""nature"",""photographie"",""sauvage"",""voyage"",""jouerdehors"",""aventure"",""paysage"",""conservation"",""vieactive""]",3.0,,310,313,"['Environmental', 'Social']","['eau', 'forêt', 'parc_national']",fr,0.3333333333333333,positive,parcs.canada_instagram
32970,8,2017-07-24_16-43-08,2017-07-24 16:43:08,https://instagram.fyvr3-1.fna.fbcdn.net/vp/8739420a302b1ec9551228312013662a/5AEBCDC7/t51.2885-15/e35/20225268_456021918097390_6358810999985799168_n.jpg,"Considéré comme paradis d’aventures pour plusieurs, la réserve de parc national Nahanni offre tout ce que l'amant de la nature pourrait désirer et plus encore! Faites le parcours ici et vos rêves d'eédition se réaliseront. ️ : .....",comme paradis aventures pour plusieurs la serve de parc national Nahanni offre tout ce que amant de la nature pourrait sirer et plus encore Faites le parcours ici et vos dition se aliseront sortahamah Nahanni PNNahanni territoiresduNordOuest TNO parc explorecanada nature photographie sauvage voyage jouerdehors aventure paysage parcscanada canada150 canada conservation mountain,"[""nahanni"",""pnnahanni"",""territoiresdunordouest"",""tno"",""parc"",""explorecanada"",""nature"",""photographie"",""sauvage"",""voyage"",""jouerdehors"",""aventure"",""paysage"",""parcscanada"",""canada150"",""canada"",""conservation"",""mountain""]",0.0,,277,277,"['Environmental', 'Social']","['parc_national', 'nature']",fr,0.0,neutral,parcs.canada_instagram
33388,14,134615279898518_1802386953121334,2017-07-22 15:45:00,https://www.facebook.com/ParcsCanada/photos/a.281154578577920.88091.134615279898518/1802385999788096/?type=3,"Besoin d'un nouvel endroit pour la détente au Jour du hamac? Nos nouveaux hébergements sont un excellent endroit pour commencer! Qu’il s’agisse des micro-cubes ou des Gouttes d'Ô avec des lofts-hamacs, vous ❤️ cette nouvelle façon unique de profiter de nos parcs et de vous détendre!

Pour plus d'informations : http://ow.ly/T9Vq30drRGj

Photo prise au Parc national Fundy","Besoin d'un nouvel endroit pour la détente au Jour du hamac? Nos nouveaux hébergements sont un excellent endroit pour commencer! Qu’il s’agisse des micro-cubes ou des Gouttes d'Ô avec des lofts-hamacs, vous ️ cette nouvelle façon unique de profiter de nos parcs et de vous détendre! Pour plus d'informations : Photo prise au Parc national Fundy",[],21.0,47.0,179,270,['Environmental'],"['parc', 'parc']",fr,0.0,neutral,ParcsCanada_facebook
32974,12,2017-07-19_16-54-28,2017-07-19 16:54:28,https://instagram.fyvr3-1.fna.fbcdn.net/vp/28ebe4e99d30745b8b6f658c9b4e9151/5AD8F33B/t51.2885-15/e35/20184064_1376712972405610_6532036720479698944_n.jpg,Vivez votre moment de paix: réfléchissez à la splendeur et la sérénité des « Îles de splendeur » que la réserve de parc national Gwaii Haanas vous offre! : .....,Vivez votre moment de chissez la splendeur et la des les de splendeur que la serve de parc national Gwaii Haanas vous offre everythingeverywhere nature photographie fleur fleurs sauvage voyage jouerdehors aventure paysage parcscanada canada explorecanada conservation haidagwaii colombiebritannique gwaiihaanas haida,"[""nature"",""photographie"",""fleur"",""fleurs"",""sauvage"",""voyage"",""jouerdehors"",""aventure"",""paysage"",""parcscanada"",""canada"",""explorecanada"",""conservation"",""haidagwaii"",""colombiebritannique"",""gwaiihaanas"",""haida""]",2.0,,268,270,['Social'],['parc_national'],fr,0.0,neutral,parcs.canada_instagram
33013,51,2017-07-22_15-03-33,2017-07-22 15:03:33,https://instagram.fyvr3-1.fna.fbcdn.net/vp/2023671f433ec36d398992e7ebf392e2/5AE5C999/t51.2885-15/e35/20184752_1150454558390905_6844596802168029184_n.jpg,"Le paradis tropical au Canada? Ne cherchez pas plus loin que ce que la beauté de la côte ouest vous promet, réserve de parc national Pacific Rim! : troubleandsqueak.....",Le paradis tropical au Canada Ne cherchez pas plus loin que ce que la de la te ouest vous promet serve de parc national Pacific Rim troubleandsqueak RPNPacificRim PacificRim parc explorecanada nature photographie sauvage voyage jouerdehors aventure paysage parcscanada canada150 canada conservation maritimes,"[""rpnpacificrim"",""pacificrim"",""parc"",""explorecanada"",""nature"",""photographie"",""sauvage"",""voyage"",""jouerdehors"",""aventure"",""paysage"",""parcscanada"",""canada150"",""canada"",""conservation"",""maritimes""]",1.0,,216,217,"['Environmental', 'Social']","['côte', 'parc_national']",fr,0.25,positive,parcs.canada_instagram
33024,62,2017-07-01_14-57-39,2017-07-01 14:57:39,https://instagram.fyvr3-1.fna.fbcdn.net/vp/072d96fbb6e1cc89a3630327206141b6/5AF36EEC/t51.2885-15/e35/19533950_868644086634133_3344988631126245376_n.jpg,Joyeux Canada !!! Nous sommes tellement heureux de compter de magnifiques vues de partout au pays dans les endroits de Parcs Canada! De la toundra arctique aux plages sablonneuses en passant par les forêts tropicales – nous espérons que vous passerez la journée avec nous et célébrerez excellentes années ensemble!: Réserve de parc national de l'Archipel-de-Mingan.....,Joyeux Canada 150 Nous sommes tellement heureux de compter de magnifiques vues de partout au pays dans les endroits de Parcs Canada De la toundra arctique aux plages sablonneuses en passant par les tropicales nous rons que vous passerez la avec nous et brerez 150 excellentes es ensemble serve de parc national de Archipel de Mingan canada canadaday canada150 parcscanada canadian quebecoriginal quebec quebecregion explorequebec explorecanada happycanadaday ohcanada nature photographie sauvage voyage jouerdehors aventure paysage conservation vieactive,"[""canada"",""canadaday"",""canada150"",""parcscanada"",""canadian"",""quebecoriginal"",""quebec"",""quebecregion"",""explorequebec"",""explorecanada"",""happycanadaday"",""ohcanada"",""nature"",""photographie"",""sauvage"",""voyage"",""jouerdehors"",""aventure"",""paysage"",""conservation"",""vieactive""]",0.0,,206,206,"['Environmental', 'Social']","['pays', 'parc', 'forêt', 'parc_national']",fr,0.0,neutral,parcs.canada_instagram
33029,67,2017-07-23_17-10-06,2017-07-23 17:10:06,https://instagram.fyvr3-1.fna.fbcdn.net/vp/92dba951bdeffda53ca92e0b050f47c3/5AF381B6/t51.2885-15/e35/20214272_172468963295395_3588349775994421248_n.jpg,"Ce paradis alpin est le rêve des passionnés d’aventures! Qu'il s'agisse de faire de la randonnée dans ses vallées profondes ou de grimper ses sommets anciens, vous adorerez ce que vous découvrirez ici! : Parc national des Glaciers : .....",Ce paradis alpin est le des aventures Qu il agisse de faire de la dans ses es profondes ou de grimper ses sommets anciens vous adorerez ce que vous couvrirez ici Parc national des Glaciers shawnafer ParcNationalCanadaDesGlaciers parc explorecanada nature photographie sauvage voyage jouerdehors aventure paysage parcscanada canada150 canada conservation,"[""parcnationalcanadadesglaciers"",""parc"",""explorecanada"",""nature"",""photographie"",""sauvage"",""voyage"",""jouerdehors"",""aventure"",""paysage"",""parcscanada"",""canada150"",""canada"",""conservation""]",1.0,,202,203,['Environmental'],['parc'],fr,0.25,positive,parcs.canada_instagram
