,id,date_published,link,caption_original,caption_cleaned,hashtags,category,Reactions_SUM,average_sentiment_score,language,account_name,words_matched_list,sentiment,FSDS_Goal_Category,FSDS_Goal_Category_word_list
0,943905384338731008,2017-12-21 18:05:55,[],"Due to the seriousness of helicopter accident near Tweed, ON, the TSB would like to bring the following to the immediate attention of all helicopter operators:  Cargo must be adequately secured at all times, to prevent it from shifting or departing the helicopter during flight.",Due seriousness helicopter accident near Tweed TSB would like bring following immediate attention helicopter operators Cargo must adequately secured times prevent shifting departing helicopter flight,[],Environmental,52,0.07708333333333334,en,TSBCanada_tweeter,['or'],positive,No Poverty,[]
1,933350148129853440,2017-11-22 15:03:10,['https://t.co/k4EuTQLkTZ'],Fatigue management is a crucial component of transportation safety. This is why we examine the presence of fatigue in nearly all our investigations. The industry has a responsibility to ensure that no one becomes a casualty of fatigue. Chair’s statement: https://t.co/k4EuTQLkTZ,Fatigue management crucial component transportation safety examine presence fatigue nearly investigations industry responsibility ensure one becomes casualty fatigue statement https co k4EuTQLkTZ,[],Economical,43,0.05,en,TSBCanada_tweeter,"['invest', 'transport']",positive,"Industry, Innovation and Infrastructure","['invest', 'industry', 'transport']"
2,793881685662326784,2016-11-02 18:25:18,"['https://t.co/zhwaXdAftP', 'https://t.co/NnUSEMuDlR']","To reduce the risk of collisions on runways, we need implementation of new technology that alerts pilots https://t.co/zhwaXdAftP #Watchlist https://t.co/NnUSEMuDlR",reduce risk collisions runways need implementation new technology alerts pilots https co zhwaXdAftP Watchlist https co NnUSEMuDlR,['#Watchlist'],Social,42,0.13636363636363635,en,TSBCanada_tweeter,[],positive,Quality Education,['technology']
3,732560721884684288,2016-05-17 13:17:41,['https://t.co/QlthJrqmgv'],RT @Transport_gc: Laser pointers can distract pilots during the most critical phases of flight. #NotABrightIdea https://t.co/QlthJrqmgv,RT Laser pointers distract pilots critical phases flight NotABrightIdea https co QlthJrqmgv,['#NotABrightIdea'],Social,37,0.25,en,TSBCanada_tweeter,[],positive,No Poverty,[]
4,714916410917535745,2016-03-29 20:45:29,['https://t.co/G2u46woXv4'],We are launching a full investigation into the aircraft accident near #ilesdelamadeleine airport https://t.co/G2u46woXv4,launching full investigation aircraft accident near ilesdelamadeleine airport https co G2u46woXv4,['#ilesdelamadeleine'],Environmental,35,0.225,en,TSBCanada_tweeter,"['or', 'air']",positive,Quality Education,['invest']
5,786966345489477632,2016-10-14 16:26:12,['https://t.co/30bHnVXeBR'],"Deploys a team of investigators to an air accident north of Kelowna, British Columbia https://t.co/30bHnVXeBR",Deploys team investigators air accident north Kelowna British Columbia https co 30bHnVXeBR,[],Environmental,32,0.0,en,TSBCanada_tweeter,"['or', 'air']",neutral,Sustainable Cities and Communities,"['kelowna', 'air']"
6,847056383115694080,2017-03-29 12:02:33,['https://t.co/l\xe2\x80\xa6'],RT @Transport_gc: #TrainTracks are NOT a spot for  #selfies or photo shoots. Stay away! #RailSafety @oplifesaver @RailCanada https://t.co/l…,RT TrainTracks spot selfies photo shoots Stay away RailSafety oplifesaver RailCanada https co,"['#TrainTracks', '#selfies', '#RailSafety']",Social,32,0.0,en,TSBCanada_tweeter,['safe'],neutral,No Poverty,[]
7,723238585034510336,2016-04-21 19:54:50,"['https://t.co/YBIX01wXG', 'https://t.co/pFH0aKBSbG']",New #photos of the aircraft involved in an accident in Gander https://t.co/YBIX01wXG8 https://t.co/pFH0aKBSbG,New photos aircraft involved accident Gander https co YBIX01wXG8 https co pFH0aKBSbG,['#photos'],Environmental,29,0.13636363636363635,en,TSBCanada_tweeter,['air'],positive,Affordable and clean energy,['air']
8,750714494029029376,2016-07-06 15:34:17,['https://t.co/hztGqGSwZY'],"Three yrs after #LacMégantic train derailment, 4 out of 5 RECs are not yet fully addressed https://t.co/hztGqGSwZY #railsafety",Three yrs gantic train derailment RECs yet fully addressed https co hztGqGSwZY railsafety,"['#LacM', '#railsafety']",Social,29,0.0,en,TSBCanada_tweeter,['safe'],neutral,Gender Equality,['men']
9,834832813622976512,2017-02-23 18:30:27,['https://t.co/KOxcut4VQm'],Happy #NationalAviationDay ! Canada's contribution to aviation has been significant. Learn more here: https://t.co/KOxcut4VQm,Happy NationalAviationDay Canada contribution aviation significant Learn https co KOxcut4VQm,['#NationalAviationDay'],Social,28,0.625,en,TSBCanada_tweeter,[],positive,Partnerships to achieve the Goal,['contribution']
