,id,date_published,link,caption_original,caption_cleaned,hashtags,num_comments,num_likes,Reactions_SUM,category,language,average_sentiment_score,account_name,words_matched_list,sentiment
0,2018-01-05_10-46-55,2018-01-05T10:46:55,https://instagram.fyvr3-1.fna.fbcdn.net/vp/1fb1d657f101df488de6b91535fe4efa/5AFAFAF9/t51.2885-15/e35/25023189_1601099506610248_2046997845818474496_n.jpg,« Le soleil allait bientôt se coucher lorsque nous avons finalement terminé l’entretien annuel d’une station météorologique éloignée près de Bathurst Inlet au Nunavut. Les chauds rayons du soleil éclairant la végétation naturelle et notre petit avion sur la petite piste d’atterrissage près de notre station. » – Braden Bunce: Braden Bunce...,Le soleil allait se coucher lorsque nous avons finalement entretien annuel une station orologique de Bathurst Inlet au Nunavut Les chauds rayons du soleil clairant la tation naturelle et notre petit avion sur la petite piste atterrissage de notre station Braden Bunce Braden Bunce Nunavut CoucherDeSoleil Nord InstaCoucherDeSoleil EnvironnementCanada EnvironnementCan,"[""nunavut"",""coucherdesoleil"",""nord"",""instacoucherdesoleil"",""environnementcanada"",""environnementcan""]",0,32,32,Environmental,fr,0.0,environnementcan_instagram,"['environnement', 'air', 'or', 'nature']",neutral
1,2018-01-16_13-03-20,2018-01-16T13:03:20,https://instagram.fyvr3-1.fna.fbcdn.net/vp/96aac32a4be1fef3ba5067594d7e89e3/5ADBF652/t51.2885-15/e35/26151502_2085892678106041_4006690864913973248_n.jpg,"cliffLAND : « … où la nature sauvage et fougueuse comble notre besoin de beauté et d’inspiration. » - Howard Clifford. Appartenant à la famille Clifford, cliffLAND est une zone de conservation située dans une partie spéciale du Bouclier canadien qui rejoint le calcaire de l’est et du sud. Elle est d’autant plus unique par une sous-couche importante de marbre qui produit une biodiversité d’une richesse incroyable. Une plaque Canada est installée sur la propriété pour commémorer les efforts de conservation du donateur. Dans le cadre du Programme des dons écologiques d’Environnement et Changement climatique Canada, cliffLAND est protégée à perpétuité par le Mississippi Madawaska Land Trust. Le Programme des dons écologiques procure des avantages fiscaux aux propriétaires qui font don d’une terre dans le but de la protéger à perpétuité.... é",cliffLAND la nature sauvage et fougueuse comble notre besoin de et inspiration Howard Clifford nAppartenant la famille Clifford cliffLAND est une zone de conservation dans une partie ciale du Bouclier canadien qui rejoint le calcaire de est et du sud Elle est autant plus unique par une sous couche importante de marbre qui produit une une richesse incroyable Une plaque Canada 150 est sur la pour morer les efforts de conservation du donateur nDans le cadre du Programme des dons cologiques Environnement et Changement climatique Canada cliffLAND est par le Mississippi Madawaska Land Trust Le Programme des dons cologiques procure des avantages fiscaux aux taires qui font une terre dans le de la ger Conservation Nature Protection ExploreCanada Canada150 BouclierCanadien EnvironnementCan EnvironnementCanada,"[""conservation"",""nature"",""protection"",""biodiversité"",""explorecanada"",""canada150"",""boucliercanadien"",""environnementcan"",""environnementcanada""]",2,28,30,Environmental,fr,0.0,environnementcan_instagram,"['environnement', 'arbre', 'climat', 'nature', 'changement climatique', 'air', 'conservation', 'or']",neutral
2,2017-05-15_08-44-16,2017-05-15T08:44:16,https://instagram.fyvr3-1.fna.fbcdn.net/vp/64083430f03f23b01b253b70672a2768/5AF30592/t51.2885-15/e35/24845497_198548264026685_8869742713377914880_n.jpg,"Reconnaissez-vous ce dôme géodésique qui est devenu un icône dans le paysage montréalais en ? Savez-vous ce qu’il héberge actuellement? La Biosphère de Montréal, c’est le seul musée de l’environnement en Amérique du Nord! Si vous êtes de passage à Montréal cet été, profitez-en pour visiter le musée! Nous avons préparé plusieurs nouvelles eitions pour célébrer le e de Montréal, le e du Canada et le e de l’E ....ère éal ébec éal Été2017 éal",Reconnaissez vous ce sique qui est devenu un ne dans le paysage alais en 1967 Savez vous ce il berge actuellement La de al est le seul de environnement en rique du Nord Si vous de passage al cet profitez en pour visiter le Nous avons plusieurs nouvelles expositions pour brer le 375e de al le 150e du Canada et le 50e de Expo 67 BiosphereMTL MTLMOMENTS al bec Canada ExploreCanada al Vacances2017 2017 EnvironnementCanada al 375MTL Expo67 Canada150,"[""biosphère"",""biospheremtl"",""mtlmoments"",""montréal"",""québec"",""canada"",""explorecanada"",""exploremontréal"",""vacances2017"",""été2017"",""environnementcanada"",""museesmontréal"",""375mtl"",""expo67"",""canada150""]",2,27,29,Environmental,fr,0.2083333333333333,environnementcan_instagram,"['environnement', 'or']",positive
3,2017-11-29_10-43-40,2017-11-29T10:43:40,https://instagram.fyvr3-1.fna.fbcdn.net/vp/0836e3000caed6b640d3e1f134f500ac/5AE783CA/t51.2885-15/e35/25006833_384707888631897_8604583587280322560_n.jpg,"Dernière chance! Le concours national de photos en ligne de Conservation de la nature Canada prend fin le novembre! Inscrivez-vous au concours en partageant sur Twitter et Instagram des photos de lieux magnifiques au Canada en mentionnant le mot-clic . Vous serez automatiquement inscrit au concours et courrez la chance de remporter un téléphone Essential de Telus! Pour chaque inscription, TELUS versera $ à Conservation de la nature Canada! Participez dès aujourd’hui; consultez le lien dans notre biographie! (anglais seulement) ...",chance Le concours national de photos en ligne de Conservation de la nature Canada prend fin le 30 novembre nInscrivez vous au concours en partageant sur Twitter et Instagram des photos de lieux magnifiques au Canada en mentionnant le mot clic PlacesWorthProtecting Vous serez automatiquement inscrit au concours et courrez la chance de remporter un phone Essential de Telus Pour chaque inscription TELUS versera Conservation de la nature Canada Participez hui consultez le lien dans notre biographie anglais seulement Concours Photos PlacesWorthProtecting NatureConservancyOfCanada nature CanadianNature NaturePic NatureShot EnvironnementCanada EnvironnementCan,"[""placesworthprotecting"",""concours"",""photos"",""placesworthprotecting"",""natureconservancyofcanada"",""nature"",""canadiannature"",""naturepic"",""natureshot"",""environnementcanada"",""environnementcan""]",0,28,28,Environmental,fr,0.0,environnementcan_instagram,"['environnement', 'conservation', 'or', 'nature']",neutral
4,2017-02-16_11-52-59,2017-02-16T11:52:59,https://instagram.fyvr3-1.fna.fbcdn.net/vp/6d19f6524fcd344c5912f267e853f61c/5ADCFCF9/t51.2885-15/e35/25008648_946303898850629_3549923584065404928_n.jpg,"L’Île de Sable est souvent nommée le « cimetière de l’Atlantique » en raison de ses nombreuses épaves . Un refuge d’oiseaux migrateurs a été créé sur l’île en . Il couvre toute l’île, un croissant de sable qui s’étend d’est en ouest sur près de kilomètres. On y trouve même des chevaux sauvages! égée",le de Sable est souvent le de Atlantique en raison de ses nombreuses paves Un refuge oiseaux migrateurs sur le en 1977 Il couvre toute le un croissant de sable qui tend est en ouest sur de 32 tres trouve des chevaux sauvages ECcan150 EnvironnementCanada Canada150 Oies OiseauxMigrateurs NouvelleEcosse,"[""eccan150"",""environnementcanada"",""canada150"",""aireprotégée"",""oies"",""oiseauxmigrateurs"",""nouvelleecosse""]",0,24,24,Environmental,fr,0.0,environnementcan_instagram,"['oiseau', 'environnement', 'eau', 'oiseaux']",neutral
5,2018-01-09_08-48-45,2018-01-09T08:48:45,https://instagram.fyvr3-1.fna.fbcdn.net/vp/9831ff9a21116ae25973f48978a852b2/5AE40992/t51.2885-15/e35/25037774_197661184122546_3492778571745722368_n.jpg,"Souvenir d’été! Hannah et Paul sont étudiants de deuxième cycle au laboratoire de Dr. Koper, à l’Université du Manitoba. Ils collaborent avec Barry, du Service canadien de la faune, pour étudier le taux de survie du Bruant de Baird dans les aires de nidification situées près de Brooks, dans le sud-est de l’Alberta. Ce projet fait partie d’une collaboration tri-nationale entre le Canada, les États‑Unis et le Mexique qui consiste à déterminer où et quand les oiseaux sont les plus restreints : dans les aires de nidification du Canada et des États-Unis ou dans les aires d’hivernage du Mexique. Pour surveiller le taux de survie, nous déployons de petits émetteurs à très haute fréquence en Alberta, tandis que nos partenaires de Bird Conservancy of the Rockies déploient des émetteurs au Montana, au Dakota du Nord et au Mexique....",Souvenir Hannah et Paul sont tudiants de cycle au laboratoire de Dr Koper du Manitoba Ils collaborent avec Barry du Service canadien de la faune pour tudier le taux de survie du Bruant de Baird dans les aires de nidification es de Brooks dans le sud est de Alberta Ce projet fait partie une collaboration tri nationale entre le Canada les Unis et le Mexique qui consiste terminer et quand les oiseaux sont les plus restreints dans les aires de nidification du Canada et des tats Unis ou dans les aires hivernage du Mexique Pour surveiller le taux de survie nous ployons de petits metteurs haute quence en Alberta tandis que nos partenaires de Bird Conservancy Rockies ploient des metteurs au Montana au Dakota du Nord et au Mexique ServiceCanadienDeLaFaune Oiseau Oiseaux InstaOiseaux Biologistes TravailDeTerrain EnvironnementCanada EnvironnementCan,"[""servicecanadiendelafaune"",""oiseau"",""oiseaux"",""instaoiseaux"",""biologistes"",""travaildeterrain"",""environnementcanada"",""environnementcan""]",0,24,24,Environmental,fr,0.0,environnementcan_instagram,"['environnement', 'or', 'oiseau', 'ice', 'air', 'oiseaux', 'eau', 'bird', 'faune']",neutral
6,2017-08-01_11-22-26,2017-08-01T11:22:26,https://instagram.fyvr3-1.fna.fbcdn.net/vp/b0839e00669aed63c474e07f6bc9d2f5/5AE2ED07/t51.2885-15/e35/24332367_318740508608193_8336421664862502912_n.jpg,Une famille de canards a installé son nid sur notre sphère végétale! C’est la preuve que la nature s’adapte rapidement aux changements s’ils sont faits dans le respect de la biodiversité..... ère èreMTL,Une famille de canards son nid sur notre tale est la preuve que la nature adapte rapidement aux changements ils sont faits dans le respect de la Canards Faune FauneCanadienne FauneEtFlore reMTL MTLMOMENTS Montreal EnvironnementCanada,"[""canards"",""faune"",""faunecanadienne"",""fauneetflore"",""biosphère"",""biosphèremtl"",""mtlmoments"",""montreal"",""environnementcanada""]",0,22,22,Social,fr,0.0,environnementcan_instagram,"['ami', 'changement', 'famille', 'change', 'nature']",neutral
7,2017-10-06_09-57-54,2017-10-06T09:57:54,https://instagram.fyvr3-1.fna.fbcdn.net/vp/f463356092b4a8c38cf761f641a098c7/5AEB7B29/t51.2885-15/e35/25009183_498261223906714_4568839759689940992_n.jpg,"Joli paysage, n’est-ce pas? En cette fête de l’Action de grâce, nous espérons que vous sortirez à l’extérieur et que vous profiterez de toute la beauté que la nature nous offre! Mario Ouellet....",Joli paysage est ce pas En cette de Action de ce nous rons que vous sortirez rieur et que vous profiterez de toute la que la nature nous offre Mario Ouellet Automne CouleursdAutomne ExploreCanada Canada FeuillesdAutomne ActionDeGrace LongWeekend FridayFeeling EnvironnementCanada EnvironnementCan,"[""automne"",""couleursdautomne"",""explorecanada"",""canada"",""feuillesdautomne"",""actiondegrace"",""longweekend"",""fridayfeeling"",""environnementcanada"",""environnementcan""]",0,22,22,Social,fr,0.0,environnementcan_instagram,"['race', 'nature']",neutral
8,2017-11-28_05-53-25,2017-11-28T05:53:25,https://instagram.fyvr3-1.fna.fbcdn.net/vp/10b5193385a98fc44f0dc1fe5a8735dc/5AFBFA55/t51.2885-15/e35/25007394_1606643192730854_4510597636629200896_n.jpg,Le Comité sur la situation des espèces en péril au Canada d’Environnement et Changement climatique célèbre ses ans de dévouement au service de la conservation des espèces sauvages! Ce groupe est constitué de scientifiques et de détenteurs de connaissances autochtones qui évaluent la situation des espèces sauvages au Canada. Félicitons ensemble cette équipe pour ses ans de travail acharné! ... ‎,Le sur la situation des ces en ril au Canada Environnement et Changement climatique bre ses 40 ans de vouement au service de la conservation des ces sauvages Ce groupe est de scientifiques et de tenteurs de connaissances autochtones qui valuent la situation des ces sauvages au Canada licitons ensemble cette quipe pour ses 40 ans de travail Faune FauneCanadienne Conservation EnvironnementCan ExploreCanada NatureCanada Biologie,"[""faune"",""faunecanadienne"",""conservation"",""environnementcan"",""environnementcanada"",""explorecanada"",""naturecanada"",""biologie""]",0,22,22,Environmental,fr,0.0,environnementcan_instagram,"['environnement', 'climat', 'nature', 'changement climatique', 'ice', 'conservation', 'or', 'faune']",neutral
9,2017-02-11_05-20-35,2017-02-11T05:20:35,https://instagram.fyvr3-1.fna.fbcdn.net/vp/3d99860b52767e251fa8f1901b39e8eb/5AE86416/t51.2885-15/e35/25008840_146091132629712_6341180258019966976_n.jpg,"Le février marque la Journée internationale des femmes et des filles de science! Nous avons l’honneur de travailler avec des scientifiques plus que géniales, incluant ces trois femmes! Jesse, Marianna et Sara sont des météorologistes qui travaillent au Centre de prévisions de tempêtes des Prairies et de l’Arctique. Elles sont diplômées du Programme des sciences atmosphériques de l'Université de l'Alberta. Impressionnant n’est-ce pas !!??? 🤗 étéorologues étéo étéorologie",Le 11 vrier marque la internationale des femmes et des filles de science Nous avons honneur de travailler avec des scientifiques plus que niales incluant ces trois femmes Jesse Marianna et Sara sont des orologistes qui travaillent au Centre de visions de des Prairies et de Arctique Elles sont es du Programme des sciences riques de de Alberta Impressionnant est ce pas FemmesDeScience ScienceEtTechnologie orologues orologie EnvironmentCan EnvironnementCanada,"[""femmesdescience"",""scienceettechnologie"",""météorologues"",""météo"",""météorologie"",""environmentcan"",""environnementcanada""]",1,20,21,Environmental,fr,0.0,environnementcan_instagram,"['environnement', 'technologie', 'or', 'air']",neutral
