,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,category,language,average_sentiment_score,sentiment,account_name,words_matched_list
0,890653292417568768,2017-07-27 19:21:07,['https://t.co/DkcXghhofQ'],RT @UNEP: RT if you agree: #ClimateChange is a SOLVABLE problem https://t.co/DkcXghhofQ,RT UNEP RT agree ClimateChange SOLVABLE problem https co DkcXghhofQ,['#ClimateChange'],947,0,947,Environmental,en,0.0,Neutral,ENERGYSTAR_CAN_tweeter,"['climate', 'climat']"
1,838754894022598656,2017-03-06 14:15:24,"['https://t.co/v57sCijUqJ', 'https://t.co/GKdHbfHTJa']",Not all light bulbs are created equal. ENERGY STAR LEDs perform better and last longer. https://t.co/v57sCijUqJ https://t.co/GKdHbfHTJa,light bulbs created equal ENERGY STAR LEDs perform better last longer https co v57sCijUqJ https co GKdHbfHTJa,[],60,168,228,Economical,en,0.225,Neutral,ENERGYSTAR_CAN_tweeter,['energy']
2,872841956237336576,2017-06-08 15:45:13,"['https://t.co/x7TZmQOv1I', 'https://t.co/KEBs7IJG8E']",RT @DFO_MPO: Happy #WorldOceansDay to all those who enjoy our oceans! 🌊 https://t.co/x7TZmQOv1I https://t.co/KEBs7IJG8E,RT Happy WorldOceansDay enjoy oceans https co x7TZmQOv1I https co KEBs7IJG8E,['#WorldOceansDay'],157,0,157,Environmental,en,0.65,Positive,ENERGYSTAR_CAN_tweeter,"['oceans', 'or']"
3,838756133670125570,2017-03-06 14:20:20,"['https://t.co/1kks3S1yjs', 'https://t.co/w5lgNmtclZ']",Save energy and help the planet with #ENERGYSTARCanada.  https://t.co/1kks3S1yjs https://t.co/w5lgNmtclZ,Save energy help planet ENERGYSTARCanada https co 1kks3S1yjs https co w5lgNmtclZ,['#ENERGYSTARCanada'],34,112,146,Economical,en,0.0,Neutral,ENERGYSTAR_CAN_tweeter,['energy']
4,838752384885133313,2017-03-06 14:05:26,"['https://t.co/M263yJBHUq', 'https://t.co/AZe0PP9z0x']",ENERGY STAR products can help you save on your utility bills. Learn how. https://t.co/M263yJBHUq https://t.co/AZe0PP9z0x,ENERGY STAR products help save utility bills Learn https co M263yJBHUq https co AZe0PP9z0x,[],24,88,112,Economical,en,0.0,Neutral,ENERGYSTAR_CAN_tweeter,['energy']
5,922810048102961153,2017-10-24 13:00:35,"['https://t.co/1hAZiLssGk', 'https://t.co/Cq4bl3M9Yq']","Happy  #ENERGYSTARDAY! Join the #EnergyEfficiency movement by making a simple change today. #LightTheMoment
https://t.co/1hAZiLssGk https://t.co/Cq4bl3M9Yq",Happy ENERGYSTARDAY Join EnergyEfficiency movement making simple change today LightTheMoment https co 1hAZiLssGk https co Cq4bl3M9Yq,"['#ENERGYSTARDAY', '#EnergyEfficiency', '#LightTheMoment']",34,51,85,Social,en,0.5,Positive,ENERGYSTAR_CAN_tweeter,['change']
6,838751419305971712,2017-03-06 14:01:36,"['https://t.co/IQo7tzq77y', 'https://t.co/1fZVpAzUrJ']","Planning renos? With over 70 products, #ENERGYSTARCanada has what you need. https://t.co/IQo7tzq77y https://t.co/1fZVpAzUrJ",Planning renos 70 products ENERGYSTARCanada need https co IQo7tzq77y https co 1fZVpAzUrJ,['#ENERGYSTARCanada'],16,64,80,Economical,en,0.0,Neutral,ENERGYSTAR_CAN_tweeter,['energy']
7,838753635433504769,2017-03-06 14:10:24,"['https://t.co/meHeN4JiYm', 'https://t.co/CoDtdHhyex']","Like us on Facebook, and stay up to date with tips to help you save all year long. https://t.co/meHeN4JiYm https://t.co/CoDtdHhyex",Like us Facebook stay date tips help save year long https co meHeN4JiYm https co CoDtdHhyex,[],9,58,67,unknown,en,-0.05,Neutral,ENERGYSTAR_CAN_tweeter,
8,933002198644154368,2017-11-21 16:00:33,"['https://t.co/2XDqpbt2WO', 'https://t.co/TwE5yOYk6A']","‘Tis the time to decorate your home w/ ENERGY STAR Christmas lights! But before you do– check out this: 
https://t.co/2XDqpbt2WO 
#TipTuesday https://t.co/TwE5yOYk6A",Tis time decorate home ENERGY STAR Christmas lights check https co 2XDqpbt2WO TipTuesday https co TwE5yOYk6A,['#TipTuesday'],27,26,53,Economical,en,0.0,Neutral,ENERGYSTAR_CAN_tweeter,['energy']
9,946455821155696640,2017-12-28 19:00:26,"['https://t.co/b3iDtrkUL', 'https://t.co/kXUk23edoh']",Can’t decide on a #NewYearsResolution? Here’s one:  lower your energy use to help reduce #ClimateChange impacts. #WinterTips https://t.co/b3iDtrkULC https://t.co/kXUk23edoh,decide NewYearsResolution one lower energy use help reduce ClimateChange impacts WinterTips https co b3iDtrkULC https co kXUk23edoh,"['#NewYearsResolution', '#ClimateChange', '#WinterTips']",26,23,49,Environmental,en,0.0,Neutral,ENERGYSTAR_CAN_tweeter,"['climate', 'climat']"
10,912693408053055488,2017-09-26 15:00:40,"['https://t.co/pq4UgooPfQ', 'https://t.co/FUBfxqH5K']",Small acts count. Save energy &amp; money by unplugging your coffee maker before you leave for the day. #TipTuesday https://t.co/pq4UgooPfQ https://t.co/FUBfxqH5Ku,Small acts count Save energy amp money unplugging coffee maker leave day TipTuesday https co pq4UgooPfQ https co FUBfxqH5Ku,['#TipTuesday'],20,23,43,Economical,en,-0.25,Neutral,ENERGYSTAR_CAN_tweeter,"['money', 'energy']"
11,890663228983971840,2017-07-27 20:00:36,"['https://t.co/TaW2F0fXZa', 'https://t.co/H24jggJKwZ']",We only get one #planet. Do your part to fight #ClimateChange. Make the simple choice to buy ENERGY STAR products 🌎 https://t.co/TaW2F0fXZa https://t.co/H24jggJKwZ,get one planet part fight ClimateChange Make simple choice buy ENERGY STAR products https co TaW2F0fXZa https co H24jggJKwZ,"['#planet', '#ClimateChange']",20,21,41,Environmental,en,0.0,Neutral,ENERGYSTAR_CAN_tweeter,"['planet', 'climate', 'climat', 'ice']"
12,842465884761427971,2017-03-16 20:01:33,['https://t.co/C1GQ5OC5QW'],What better time to think #green than when celebrating #StPatricksDay? Lower your thermostat &amp; add a layer of green clothing to save energy. https://t.co/C1GQ5OC5QW,better time think green celebrating StPatricksDay Lower thermostat amp add layer green clothing save energy https co C1GQ5OC5QW,"['#green', '#StPatricksDay']",10,26,36,Economical,en,0.033333333333333326,Neutral,ENERGYSTAR_CAN_tweeter,"['energy', 'green']"
13,872101596154519552,2017-06-06 14:43:18,['https://t.co/vlP3IvnRE7'],RT @environmentca: Tomorrow is #CleanAirDay! Here’s how you can take action to improve air quality: https://t.co/vlP3IvnRE7 #EnviroWeek htt…,RT environmentca Tomorrow CleanAirDay take action improve air quality https co vlP3IvnRE7 EnviroWeek,"['#CleanAirDay', '#EnviroWeek']",35,0,35,Environmental,en,0.1,Neutral,ENERGYSTAR_CAN_tweeter,"['air quality', 'or', 'clean', 'air']"
14,844927148293017600,2017-03-23 15:01:44,"['https://t.co/aSM4LkgWMz', 'https://t.co/zWSMbtsS2b']",#ENERGYSTARCanada electronics make it so easy to be #EnergyEfficient w/ their built-in energy-saving modes. https://t.co/aSM4LkgWMz https://t.co/zWSMbtsS2b,ENERGYSTARCanada electronics make easy EnergyEfficient built energy saving modes https co aSM4LkgWMz https co zWSMbtsS2b,"['#ENERGYSTARCanada', '#EnergyEfficient']",17,18,35,Economical,en,0.43333333333333335,Positive,ENERGYSTAR_CAN_tweeter,['energy']
15,878266626906349569,2017-06-23 15:00:55,['https://t.co/pPUG36QwEF'],Save energy this weekend by unplugging &amp; connecting with nature. Plan a #Canada150 roadtrip &amp; visit Canada’s #NationalParks. @ParksCanada https://t.co/pPUG36QwEF,Save energy weekend unplugging amp connecting nature Plan Canada150 roadtrip amp visit NationalParks ParksCanada https co pPUG36QwEF,"['#Canada150', '#NationalParks']",13,21,34,Environmental,en,0.0,Neutral,ENERGYSTAR_CAN_tweeter,"['park', 'nature']"
16,922840329279111168,2017-10-24 15:00:54,['https://t.co/TE9VldV0WW'],#ENERGYSTARCanada challenges you to celebrate #ENERGYSTARDay by swapping an old bulb for a new ENERGY STAR certified LED. #LightTheMoment https://t.co/TE9VldV0WW,ENERGYSTARCanada challenges celebrate ENERGYSTARDay swapping old bulb new ENERGY STAR certified LED LightTheMoment https co TE9VldV0WW,"['#ENERGYSTARCanada', '#ENERGYSTARDay', '#LightTheMoment']",13,21,34,Economical,en,0.11818181818181818,Neutral,ENERGYSTAR_CAN_tweeter,['energy']
17,915955047330131970,2017-10-05 15:01:15,"['https://t.co/6WbSLfp91W', 'https://t.co/6jRfOToi6X']",Wasting energy on #Thanksgiving? Don’t be a turkey. Unplug before heading out for the long weekend. #SaveEnergy https://t.co/6WbSLfp91W https://t.co/6jRfOToi6X,Wasting energy Thanksgiving turkey Unplug heading long weekend SaveEnergy https co 6WbSLfp91W https co 6jRfOToi6X,"['#Thanksgiving', '#SaveEnergy']",16,16,32,Economical,en,-0.05,Neutral,ENERGYSTAR_CAN_tweeter,['energy']
18,927940659255922688,2017-11-07 16:47:48,"['https://t.co/YThrjOOl', 'https://t.co/9FBFc9AOZj']",Learn how to choose an energy efficient LED light bulb in four easy steps. Please visit for more info: https://t.co/YThrjOOlU2 https://t.co/9FBFc9AOZj,Learn choose energy efficient LED light bulb four easy steps Please visit info https co YThrjOOlU2 https co 9FBFc9AOZj,[],15,16,31,Economical,en,0.4444444444444445,Positive,ENERGYSTAR_CAN_tweeter,['energy']
19,873228164784377857,2017-06-09 17:19:52,['https://t.co/WAs1B5Rgp'],RT @environmentca: Today is #CleanupDay! Let’s clean up Canada! #EnviroWeek https://t.co/WAs1B5RgpD,RT environmentca Today CleanupDay clean Canada EnviroWeek https co WAs1B5RgpD,"['#CleanupDay', '#EnviroWeek']",30,0,30,Environmental,en,0.4583333333333334,Positive,ENERGYSTAR_CAN_tweeter,['clean']
20,833741788728983552,2017-02-20 18:15:07,"['https://t.co/OtKEYFEBY', 'https://t.co/BQKJVjpcFw']","Welcome, new @carrot_rewards followers! Be inspired to reduce your energy use &amp; utility bills for a greener future. https://t.co/OtKEYFEBYc https://t.co/BQKJVjpcFw",Welcome new followers inspired reduce energy use amp utility bills greener future https co OtKEYFEBYc https co BQKJVjpcFw,[],11,18,29,Social,en,0.3234848484848485,Neutral,ENERGYSTAR_CAN_tweeter,"['future', 'futur']"
21,922900583979380736,2017-10-24 19:00:20,['https://t.co/sFF8DXnx4P'],"In 2016 we prevented 532,900 tonnes of GHG emissions in CAN = taking 190,321 cars off road for a year! Join the movement #ENERGYSTARDay https://t.co/sFF8DXnx4P",2016 prevented 532 900 tonnes GHG emissions taking 190 321 cars road year Join movement ENERGYSTARDay https co sFF8DXnx4P,['#ENERGYSTARDay'],9,18,27,Economical,en,0.0,Neutral,ENERGYSTAR_CAN_tweeter,['energy']
22,882977833659879425,2017-07-06 15:01:35,"['https://t.co/hqOxp8XLeB', 'https://t.co/ZueuqWHyeR']",Prepare for a #heatwave by making these simple choices that will help #SaveEnergy on the hottest days of the year: https://t.co/hqOxp8XLeB https://t.co/ZueuqWHyeR,Prepare heatwave making simple choices help SaveEnergy hottest days year https co hqOxp8XLeB https co ZueuqWHyeR,"['#heatwave', '#SaveEnergy']",12,15,27,Economical,en,0.0,Neutral,ENERGYSTAR_CAN_tweeter,['energy']
23,831896314661240833,2017-02-15 16:01:51,"['https://t.co/gIg5LrxVWo', 'https://t.co/tcVJGl4TMy']",#Students! Are you heading home for #ReadingWeek? Unplug all electronics to avoid standby power consumption. https://t.co/gIg5LrxVWo https://t.co/tcVJGl4TMy,Students heading home ReadingWeek Unplug electronics avoid standby power consumption https co gIg5LrxVWo https co tcVJGl4TMy,"['#Students', '#ReadingWeek']",17,9,26,Social,en,0.0,Neutral,ENERGYSTAR_CAN_tweeter,['students']
24,919654283066466305,2017-10-15 20:00:42,"['https://t.co/OgmHKcPrdJ', 'https://t.co/tIIfD0JKV']","ENERGY STAR has #energysavings for every room. Check out our product list to start your search for savings.
https://t.co/OgmHKcPrdJ https://t.co/tIIfD0JKV1",ENERGY STAR energysavings every room Check product list start search savings https co OgmHKcPrdJ https co tIIfD0JKV1,['#energysavings'],12,14,26,Economical,en,0.0,Neutral,ENERGYSTAR_CAN_tweeter,['energy']
25,916317437104214016,2017-10-06 15:01:16,"['https://t.co/9nDyaTS9Mj', 'https://t.co/e7aASswFZj']","Preparing for the big dinner this weekend? Follow these simple, no-cost tips to cook up the savings: https://t.co/9nDyaTS9Mj #Thanksgiving https://t.co/e7aASswFZj",Preparing big dinner weekend Follow simple cost tips cook savings https co 9nDyaTS9Mj Thanksgiving https co e7aASswFZj,['#Thanksgiving'],15,11,26,unknown,en,0.0,Neutral,ENERGYSTAR_CAN_tweeter,
26,920349519769989120,2017-10-17 18:03:19,"['https://t.co/xWiR7V73Fl', 'https://t.co/Q6Y3n39ZLk']",Start saving with the most efficient lighting technology. Check out https://t.co/xWiR7V73Fl for the latest #EnergyEfficient lighting trends https://t.co/Q6Y3n39ZLk,Start saving efficient lighting technology Check https co xWiR7V73Fl latest EnergyEfficient lighting trends https co Q6Y3n39ZLk,['#EnergyEfficient'],12,13,25,Economical,en,0.5,Positive,ENERGYSTAR_CAN_tweeter,['energy']
27,877542176707760128,2017-06-21 15:02:13,"['https://t.co/rxqiWGwx5m', 'https://t.co/1CCxtRXial']",Happy #FirstDayOfSummer! Keep your cool when the season heats up with these 5 chill #ENERGYSTARCanada tips: https://t.co/rxqiWGwx5m https://t.co/1CCxtRXial,Happy FirstDayOfSummer Keep cool season heats chill ENERGYSTARCanada tips https co rxqiWGwx5m https co 1CCxtRXial,"['#FirstDayOfSummer', '#ENERGYSTARCanada']",13,12,25,Economical,en,0.675,Positive,ENERGYSTAR_CAN_tweeter,['energy']
28,938124856851357697,2017-12-05 19:16:10,[],"RT @environmentca: Starting to #DeckTheHalls? Here’s a bright idea! Use #EnergyStar certified LED lights: they use 75% less energy, and sav…",RT environmentca Starting DeckTheHalls bright idea Use EnergyStar certified LED lights use 75 less energy,"['#DeckTheHalls', '#EnergyStar']",25,0,25,Economical,en,0.2361111111111112,Neutral,ENERGYSTAR_CAN_tweeter,['energy']
29,918174667055169536,2017-10-11 18:01:14,"['https://t.co/1hAZiLssGk', 'https://t.co/rxe54A5o2t']","Mark your calendars! #ENERGYSTARDAY is October 24. Join the global #EnergyEfficiency movement. #LightTheMoment
https://t.co/1hAZiLssGk https://t.co/rxe54A5o2t",Mark calendars ENERGYSTARDAY October 24 Join global EnergyEfficiency movement LightTheMoment https co 1hAZiLssGk https co rxe54A5o2t,"['#ENERGYSTARDAY', '#EnergyEfficiency', '#LightTheMoment']",9,15,24,Economical,en,0.0,Neutral,ENERGYSTAR_CAN_tweeter,"['energy', 'global']"
30,790957257706049540,2016-10-25 16:44:40,['https://t.co/c\xe2\x80\xa6'],RT @NRCan: Happy #ENERGYSTARDAY @ENERGYSTAR_Can! NRCan employees are celebrating by sharing their #EnergyEfficiency messages https://t.co/c…,RT NRCan Happy ENERGYSTARDAY NRCan employees celebrating sharing EnergyEfficiency messages https co,"['#ENERGYSTARDAY', '#EnergyEfficiency']",24,0,24,Economical,en,1.0,Positive,ENERGYSTAR_CAN_tweeter,['energy']
31,920303589477711872,2017-10-17 15:00:48,"['https://t.co/u0nfo6XqwZ', 'https://t.co/aA4GsMG9f']","Ward off energy waste this #Halloween with this trick: #TipTuesday #TrickOrTreat
https://t.co/u0nfo6XqwZ https://t.co/aA4GsMG9f0",Ward energy waste Halloween trick TipTuesday TrickOrTreat https co u0nfo6XqwZ https co aA4GsMG9f0,"['#Halloween', '#TipTuesday', '#TrickOrTreat']",5,19,24,Economical,en,-0.2,Neutral,ENERGYSTAR_CAN_tweeter,['energy']
32,943511402802761728,2017-12-20 16:00:22,"['https://t.co/Y8FRWIoH', 'https://t.co/UhFClLQzEz']","Don’t get on Santa’s naughty list– unplug all electronics before you leave for the holidays to #SaveEnergy. #WinterBreak 
https://t.co/Y8FRWIoHdu https://t.co/UhFClLQzEz",get naughty unplug electronics leave holidays SaveEnergy WinterBreak https co Y8FRWIoHdu https co UhFClLQzEz,"['#SaveEnergy', '#WinterBreak']",7,17,24,Economical,en,-0.15000000000000002,Neutral,ENERGYSTAR_CAN_tweeter,['energy']
33,869931809601138688,2017-05-31 15:01:20,"['https://t.co/lSOjpatOZI', 'https://t.co/k7OP2foB0b']",Good energy is contagious. Spread the word about #ENERGYSTARCanada to help others save energy &amp; the #environment. https://t.co/lSOjpatOZI https://t.co/k7OP2foB0b,Good energy contagious Spread word ENERGYSTARCanada help others save energy amp environment https co lSOjpatOZI https co k7OP2foB0b,"['#ENERGYSTARCanada', '#environment']",10,14,24,Economical,en,0.7,Positive,ENERGYSTAR_CAN_tweeter,['energy']
