10156856964149045_10156857556729045,318424514044_10156856964149045,,Paris Bostock Did you see this? You are the only salamander enthusiast I know!,2017-12-28 18:51:14,2,2,0,0,0,0,0,0,18-21
1967603329922939_1988424347840837,137563459593611_1967603329922939,,Ordered our pass!,2017-12-31 00:32:37,1,1,0,0,0,0,0,0,25-34
1967603329922939_1988424347840837,137563459593611_1967603329922939,,Ordered our pass!,2017-12-31 00:32:37,1,1,0,0,0,0,0,0,25-34
1967603329922939_1992491144100824,137563459593611_1967603329922939,1967603329922939_1988424347840837,Nice! Be sure to share pics from your 2018 adventures!,2018-01-03 10:41:33,1,1,0,0,0,0,0,0,55 and more
1967603329922939_1992570277426244,137563459593611_1967603329922939,1967603329922939_1988424347840837,Parks Canada I will 😆,2018-01-03 12:05:29,0,0,0,0,0,0,0,0,22-24
1967603329922939_1988676744482264,137563459593611_1967603329922939,,"This is outrageous.  Group passes already give people a break compared to individuals when you can bring in up to 7 people, but you offer a 20% discount only to the group pass and not to the single pass!?!?!?!?",2017-12-31 06:35:39,1,1,0,0,0,0,0,0,22-24
1967603329922939_1990615550955050,137563459593611_1967603329922939,,How about free passes to Veterans? It’s been earned!,2018-01-01 16:24:51,0,0,0,0,0,0,0,0,25-34
1967603329922939_1988198344530104,137563459593611_1967603329922939,,Inge Spee Frits Mollema,2017-12-30 19:59:43,1,1,0,0,0,0,0,0,25-34
1987835541233051_1987939954555943,137563459593611_1987835541233051,,Thank you Point Pelee National Park! Dark Sky Paddling was an amazing time! [[PHOTO]],2017-12-30 14:56:27,2,2,0,0,0,0,0,0,18-21
1987835541233051_1992489950767610,137563459593611_1987835541233051,1987835541233051_1987939954555943,Wow! Congrats on completing the #ParksChallenge!,2018-01-03 10:40:01,0,0,0,0,0,0,0,0,25-34
1987835541233051_1988185581198047,137563459593611_1987835541233051,,"Ya know, we can continue the #Canada150 celebration until July 1 next year, since it's still the 150th year since Confederation.",2017-12-30 19:41:58,1,1,0,0,0,0,0,0,25-34
1985625974787341_1988949691121636,137563459593611_1985625974787341,,Thank you Parks Canada. We've spent wonderful  holidays in june. The first time with our daughter it was awesome and we'll never forget that trip with lots impressions.,2017-12-31 10:45:09,1,1,0,0,0,0,0,0,45-54
1985625974787341_1991574387525833,137563459593611_1985625974787341,1985625974787341_1988949691121636,We're so happy to hear that! And we hope you enjoy any future adventures in our parks just as much! :),2018-01-02 15:11:21,0,0,0,0,0,0,0,0,Under 18
