id,full_text,retweet_count,favorite_count,created_at
947150598193008640,We are here to help &gt; https://t.co/pEKw1cWKa9 #AirTravel #PassengerRights,0,2,2017-12-30 17:01:14
946833537302482945,#VacationWoes – Airline lost your baggage? Find out more here &gt; https://t.co/SJ8pArLg5g,0,0,2017-12-29 20:01:21
946455992207925249,How does @CTA_gc handle #accessibility complaints? Find out here &gt; https://t.co/jdEHOSDmTK  #a11y,1,1,2017-12-28 19:01:07
946063463260008448,Read about our 113 years at the heart of transportation &gt; https://t.co/4PvOvvsXdr https://t.co/F8Xo6AazOf,0,0,2017-12-27 17:01:21
944553424783335425,Seasons Greetings to all! https://t.co/QqhKDLkpdE,0,1,2017-12-23 13:01:00
944191138101104642,Flight cancelled? Baggage lost? @CTA_gc may be able to help. Learn more &gt; https://t.co/SJ8pArLg5g,1,2,2017-12-22 13:01:24
943921571391041547,What you need to know when your air travel is disrupted &gt; https://t.co/C3cCvqJbmY,1,1,2017-12-21 19:10:14
943881440344838145,2016-2017 crop year: $CN and $CP over maximum revenue entitlements #WestCdnAg. Moved 6.9% more grain &gt; https://t.co/2ULLjMOvaR https://t.co/axyumksbaV,0,0,2017-12-21 16:30:46
943828707797594112,"It's the first day of winter! Before you fly, check out our #FlySmart tips! &gt; https://t.co/lB7oCXcC7g https://t.co/gejAdMFXJa",1,0,2017-12-21 13:01:14
943556991842217985,Options for resolving your #accessible transportation complaint &gt; Find out more &gt; https://t.co/ukcxVfLK4a,1,0,2017-12-20 19:01:31
943164343197360129,Problems with your flight? Be sure to keep records of your correspondence - more info here &gt; https://t.co/evaYlEo6jG &gt; #TravelTuesdays,0,1,2017-12-19 17:01:17
942832128840077320,Travelling with pets &gt; Find out more at #FlySmart &gt; https://t.co/WfoZrRqVxi https://t.co/aSh5EtvsSU,0,0,2017-12-18 19:01:11
942469650759241733,Taking flight? Check out our accessible travel guide &gt; https://t.co/XYDSljy8RQ #accessible #a11y,0,1,2017-12-17 19:00:49
942077175586607104,Be sure you're aware of your airline's baggage policies &gt; https://t.co/ObSaflkEwg #BeforeYouFly,0,0,2017-12-16 17:01:16
941744885064970240,Dissatisfied with your air travel experience? Contact us here &gt; https://t.co/DVOGLFR86t  #FlightProblems https://t.co/uLF2An60rE,0,0,2017-12-15 19:00:52
941367617633374208,Take a look at active and past coasting trade applications &gt; https://t.co/JDOXJX4WqE #shipping #maritime,0,0,2017-12-14 18:01:44
941155906586382339,Travelling with a #mobility aid? Find out more here &gt; https://t.co/7k17nYZuG6 #a11y,0,0,2017-12-14 04:00:28
940567227568476160,"Check-ins, delays, cancellations, bumped from your flight? What you need to know here &gt; https://t.co/pPvSaeAwea #TravelTuesday",2,1,2017-12-12 13:01:16
