id,full_text,retweet_count,favorite_count,created_at
946803208168595457,Have you seen the new evidence for the extent of #Arctic sea ice? Check it out: https://t.co/V7sjRPRLOK  #ArcticScience #openmaps https://t.co/hJf8OikKng,6,12,2017-12-29 18:00:50
946760590365790208,RT @environmentca: It’s #ArcticScience Month. Our scientists use geospatial mapping to monitor the effects of #ClimateChange on Arctic perm…,32,0,2017-12-29 15:11:29
946735111155875872,GSC was awarded the @RCGS_SGRC Gold Medal for its contribution to the development of Canada since 1842 #GSC175 https://t.co/ALD9KIJa08 https://t.co/1XG7E5JaHL,5,14,2017-12-29 13:30:14
946468543897403393,RT @ENERGYSTAR_CAN: Can’t decide on a #NewYearsResolution? Here’s one:  lower your energy use to help reduce #ClimateChange impacts. #Winte…,26,0,2017-12-28 19:51:00
946455795922821120,"#TBT The Geological Survey’s Sherard Bay Camp on Melville Island shrouded in snow, Nunavut, 1973. https://t.co/rFHgUqGVXj",1,5,2017-12-28 19:00:20
946440829245231104,Thanks to satellite radar 📡 we’re making Canada’s northern winter roads safer #ArcticScience https://t.co/UwBsNJbcQW https://t.co/Kv3F7zJi3U,6,6,2017-12-28 18:00:52
946372753946546176,This unmanned aerial vehicle is a valuable tool for geological mapping and #MineralExploration #Drones #GSC175 https://t.co/1yxkhTjgft https://t.co/MImBYDmjce,4,5,2017-12-28 13:30:21
946081940075089921,RT @environmentca: It’s #ArcticScience Month! Our scientists combine #science and Indigenous knowledge to help conserve the caribou. https:…,15,0,2017-12-27 18:14:46
946078301063401474,#TBT - Aerial photography records the ever-changing cultural and natural features on the Earth's surface. Here’s a pic of Resolute Bay in 1993 #ArcticScience https://t.co/2bPkB60Vkp,7,20,2017-12-27 18:00:18
946048362121482240,#DYK almost half of 🇨🇦 is underlain with permafrost? #ArcticScience https://t.co/ugre5CqxEQ,2,3,2017-12-27 16:01:20
946010373144096768,The GSC has been acquiring aeromagnetic data since 1947 to produce #maps like these #GSC175 https://t.co/OnriQXLgJZ https://t.co/odC1wIAHkf,9,15,2017-12-27 13:30:23
