,account_name,caption_original,category
0,AAFC_Canada_tweeter,"RT @VeteransENG_CA: On the 11th hour, of the 11th day, of the 11th month, remember Canada's Veterans https://t.co/Gha9IQbzQk #CanadaRemembe…",unknown
1,AAFC_Canada_tweeter,"RT @Clerk_GC: On behalf of the Public Service of Canada, I apologize to all LGBTQ2 public servants who suffered because of past injustice.…",unknown
2,AAFC_Canada_tweeter,We offer a mediation service that can help farmers get relief from their debts. Learn more. https://t.co/zggBAdXAvx,unknown
3,AAFC_Canada_tweeter,We can help farmers get their debt repayment back on track. Learn about our mediation service. https://t.co/mYYGlU9Ost,unknown
4,AAFC_Canada_tweeter,RT @CanadaTrade: SEPTEMBER 21: Watch live as we launch the Canada-EU trade agreement #CETA. Countless opportunities coming for 🇨🇦 #business…,unknown
5,AAFC_Canada_tweeter,"RT @CanadaTrade: On June 1, 2017, the bill to implement the #Canada-Ukraine free trade agreement was granted royal assent! 🇨🇦🇺🇦 https://t.c…",unknown
6,AAFC_Canada_tweeter,FPT Ag Ministers reach agreement on key elements of new #CdnAgPartnership: https://t.co/TXyoNVM6Lk https://t.co/16wIej6qzZ,unknown
7,AAFC_Canada_tweeter,RT @MinisterISED: Join me TODAY at 3pm ET to talk #CdnInnovation. Send me your questions using #AskBains.,unknown
8,AAFC_Canada_tweeter,"RT @VeteransENG_CA: November 10, 1917-Canadian soldiers launched their final assault of the Battle of Passchendaele #Passchendaele100 https…",unknown
9,AAFC_Canada_tweeter,It’s #NationalHamburgerDay.  Your burger tells the story of a valuable trade relationship with the US.  #AGPartners https://t.co/7uo6w4vAEz https://t.co/3q9DCU8TTc,unknown
10,AAFC_Canada_tweeter,RT @CanadaTrade: Pleased Canadian companies can take advantage of new economic opportunities in Ukraine under #CUFTA! 🇨🇦🇺🇦 https://t.co/LeD…,unknown
11,AAFC_Canada_tweeter,Greenhouses produced 306.3M cut flowers in 2016. Mothers are as unique as flowers. Which best describes yours? https://t.co/Pw0cRqMd6H https://t.co/8CJ9qBPndT,unknown
12,AAFC_Canada_tweeter,"RT @CanadaTrade: Bill #C30 has been granted Royal Assent, which means Canadians are one step closer to enjoying the benefits of #CETA https…",unknown
13,AAFC_Canada_tweeter,RT @CanadaTrade: #NAFTA renegotiations are informed by continuous consultations with Canadians. We want to keep hearing from you: https://t…,unknown
14,AAFC_Canada_tweeter,#CdnAgDay is this Thursday! What will you do to celebrate? #DiscoverAg: https://t.co/qv8j7g5dRK https://t.co/3VCAOJMzkZ,unknown
15,AAFC_Canada_tweeter,Our own Dr. Joyce Boye has issued her #PulseChallenge for #IYP2016. Will you accept and post your #PulseFact? https://t.co/KmpRL5YQTG,unknown
16,AAFC_Canada_tweeter,RT @ExportDevCanada: Discover what new opportunities #CETA offers Canadian businesses. 🇨🇦 🇪🇺https://t.co/eDnvDxpmyu https://t.co/febjinAeO9,unknown
17,AAFC_Canada_tweeter,Canada’s Ag export sales continued to increase in 2015 #AgFPT16 https://t.co/PXQvAbm3v9,unknown
18,AAFC_Canada_tweeter,RT @PHAC_GC: Governments in Canada are taking a coordinated approach to antimicrobial resistance #AMR https://t.co/Z8jwtWrHqM,unknown
19,AAFC_Canada_tweeter,RT @CanadaTrade: Advice &amp; information for 🇨🇦fish &amp; seafood companies on how to take advantage of new opportunities in the EU w/ #CETA https…,unknown
