Unnamed: 0,comment_id,status_id,parent_id,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,comment_message_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed
0,10156132471852975_10156133933932975,401846167974_10156132471852975,,2017-12-29 10:18:35,1,1,0,0,0,0,0,0,Ya and BLIND the drivers ..oncoming .. !!!,[],[],Ya BLIND drivers oncoming,"['Ya', 'BLIND', 'drivers', 'oncoming']","['ya', u'blind', u'driver', u'oncom']"
1,10156132471852975_10156134309817975,401846167974_10156132471852975,,2017-12-29 12:43:59,1,1,0,0,0,0,0,0,"Oy. Only a moron would create a meme showing a car with white lights at the back. Well done, Transport Canada.",[],[],Oy moron would create meme showing car white lights back Well done Transport Canada,"['Oy', 'moron', 'would', 'create', 'meme', 'showing', 'car', 'white', 'lights', 'back', 'Well', 'done', 'Transport', 'Canada']","['oy', u'moron', u'would', u'creat', u'meme', u'show', u'car', u'white', u'light', u'back', u'well', u'done', u'transport', u'canada']"
2,10156132471852975_10156138945362975,401846167974_10156132471852975,,2017-12-31 03:07:13,0,0,0,0,0,0,0,0,Have already complained. Dealerships say they are illegal and they should be. Morons. I put my high beams on now. Why not? If I can't see then they won't either.,[],[],already complained Dealerships say illegal Morons put high beams see either,"['already', 'complained', 'Dealerships', 'say', 'illegal', 'Morons', 'put', 'high', 'beams', 'see', 'either']","[u'alreadi', u'complain', u'dealership', u'say', u'illeg', u'moron', u'put', u'high', u'beam', u'see', u'either']"
3,10156128490292975_10156130287742975,401846167974_10156128490292975,,2017-12-27 23:55:55,0,0,0,0,0,0,0,0,Britt and this one is a Point harness that’s not legal in Canada.,[],[],Britt one Point harness legal Canada,"['Britt', 'one', 'Point', 'harness', 'legal', 'Canada']","[u'britt', u'one', u'point', u'har', u'legal', u'canada']"
4,10156128490292975_10156130292772975,401846167974_10156128490292975,10156128490292975_10156130287742975,2017-12-28 00:00:11,0,0,0,0,0,0,0,0,LoL that's so dumb. Who's picking these pictures? They need to take the car seat course!!,[],[],LoL dumb picking pictures need take car seat course,"['LoL', 'dumb', 'picking', 'pictures', 'need', 'take', 'car', 'seat', 'course']","[u'lol', u'dumb', u'pick', u'pictur', u'need', u'take', u'car', u'seat', u'cours']"
5,10156127312012975_10156128389872975,401846167974_10156127312012975,,2017-12-27 08:23:55,0,0,0,0,0,0,0,0,Léa Lachance,[],[],Lachance,['Lachance'],[u'lachanc']
6,10156127312012975_10156128898617975,401846167974_10156127312012975,,2017-12-27 12:08:34,1,0,0,0,0,0,1,0,Geneviève B.Caza c'est bon à savoir!,[],[],Caza est bon savoir,"['Caza', 'est', 'bon', 'savoir']","[u'caza', u'est', u'bon', u'savoir']"
7,10156125718112975_10156125816117975,401846167974_10156125718112975,,2017-12-26 08:57:57,1,0,0,0,1,0,0,0,Ashlee Roberts,[],[],Ashlee Roberts,"['Ashlee', 'Roberts']","[u'ashle', u'robert']"
8,10156125718112975_10156125817362975,401846167974_10156125718112975,10156125718112975_10156125816117975,2017-12-26 08:59:05,1,0,0,0,1,0,0,0,Elizabeth Cormier,[],[],Elizabeth Cormier,"['Elizabeth', 'Cormier']","[u'elizabeth', u'cormier']"
9,10156125718112975_10156126178832975,401846167974_10156125718112975,,2017-12-26 11:30:04,0,0,0,0,0,0,0,0,Krystal Johnson Ughhhhh haha,[],[],Krystal Johnson Ughhhhh haha,"['Krystal', 'Johnson', 'Ughhhhh', 'haha']","[u'krystal', u'johnson', u'ughhhhh', u'haha']"
10,10156125718112975_10156126261292975,401846167974_10156125718112975,10156125718112975_10156126178832975,2017-12-26 11:54:51,0,0,0,0,0,0,0,0,Oh boy. We're doomed,[],[],Oh boy doomed,"['Oh', 'boy', 'doomed']","['oh', u'boy', u'doom']"
11,10156125718112975_10156126449367975,401846167974_10156125718112975,,2017-12-26 13:33:00,1,1,0,0,0,0,0,0,Serves as a holding tank for a back up generator..snowblower.. water pump.. be prepared.,[],[],Serves holding tank back generator snowblower water pump prepared,"['Serves', 'holding', 'tank', 'back', 'generator', 'snowblower', 'water', 'pump', 'prepared']","[u'serv', u'hold', u'tank', u'back', u'generat', u'snowblow', u'water', u'pump', u'prepar']"
12,10156122365767975_10156122764667975,401846167974_10156122365767975,,2017-12-25 10:49:23,0,0,0,0,0,0,0,0,Bonjour,[],[],Bonjour,['Bonjour'],[u'bonjour']
13,10156121007022975_10156121085142975,401846167974_10156121007022975,,2017-12-24 20:45:57,0,0,0,0,0,0,0,0,Bonjour,[],[],Bonjour,['Bonjour'],[u'bonjour']
14,10156108811257975_10156119442792975,401846167974_10156108811257975,,2017-12-24 10:34:14,1,0,0,0,1,0,0,0,2018,[],['https://www.theglobeandmail.com/opinion/editorials/globe-editorial-justin-trudeau-fails-his-ethics-test/article37399503/?cmpid=rss1&click=sf_globefb&utm_source=Faecbook&utm_medium=Paid+Social&utm_campaign=PM'],2018,['2018'],[u'2018']
15,10156108811257975_10156119866442975,401846167974_10156108811257975,,2017-12-24 12:41:15,5,3,0,0,2,0,0,0,Uhm Santa doesn’t visit thieves and liars. Krampus does. Krampus will be visiting Trudeau.,[],[],Uhm Santa visit thieves liars Krampus Krampus visiting Trudeau,"['Uhm', 'Santa', 'visit', 'thieves', 'liars', 'Krampus', 'Krampus', 'visiting', 'Trudeau']","[u'uhm', u'santa', u'visit', u'thiev', u'liar', u'krampus', u'krampus', u'visit', u'trudeau']"
16,10156108811257975_10156119883462975,401846167974_10156108811257975,,2017-12-24 12:48:22,0,0,0,0,0,0,0,0,Bonjour,[],[],Bonjour,['Bonjour'],[u'bonjour']
17,10156119117617975_10156119849417975,401846167974_10156119117617975,,2017-12-24 12:38:58,3,3,0,0,0,0,0,0,A picture of a properly buckled baby might be a better add,[],[],picture properly buckled baby might better add,"['picture', 'properly', 'buckled', 'baby', 'might', 'better', 'add']","[u'pictur', u'proper', u'buckl', u'babi', u'might', u'better', u'add']"
18,10156119117617975_10156120071447975,401846167974_10156119117617975,,2017-12-24 14:05:35,1,1,0,0,0,0,0,0,The belt is twisted and very loose... Lol,[],[],belt twisted loose Lol,"['belt', 'twisted', 'loose', 'Lol']","[u'belt', u'twist', u'loos', u'lol']"
19,10156119117617975_10156130272952975,401846167974_10156119117617975,10156119117617975_10156120071447975,2017-12-27 23:43:06,0,0,0,0,0,0,0,0,Isn't the chest clip a bit above the armpits too? So weird for the very people that should REALLY know their car seat safety to put out this ad! LoL,[],[],chest clip bit armpits weird people REALLY know car seat safety put ad LoL,"['chest', 'clip', 'bit', 'armpits', 'weird', 'people', 'REALLY', 'know', 'car', 'seat', 'safety', 'put', 'ad', 'LoL']","[u'chest', u'clip', u'bit', u'armpit', u'weird', u'peopl', u'realli', u'know', u'car', u'seat', u'safeti', u'put', 'ad', u'lol']"
20,10156119117617975_10156130273237975,401846167974_10156119117617975,10156119117617975_10156120071447975,2017-12-27 23:43:25,0,0,0,0,0,0,0,0,"Laura, you just did the course, care to weigh in? LoL",[],[],Laura course care weigh LoL,"['Laura', 'course', 'care', 'weigh', 'LoL']","[u'laura', u'cours', u'care', u'weigh', u'lol']"
21,10156119117617975_10156130287072975,401846167974_10156119117617975,10156119117617975_10156120071447975,2017-12-27 23:55:05,1,1,0,0,0,0,0,0,Britt Howarth might be. Hard to say from the angle. Lol,[],[],Britt Howarth might Hard say angle Lol,"['Britt', 'Howarth', 'might', 'Hard', 'say', 'angle', 'Lol']","[u'britt', u'howarth', u'might', u'hard', u'say', u'angl', u'lol']"
22,10156119117617975_10156120314642975,401846167974_10156119117617975,,2017-12-24 15:45:51,0,0,0,0,0,0,0,0,Wonderful message. Every passenger should be restrained.,[],[],Wonderful message Every passenger restrained,"['Wonderful', 'message', 'Every', 'passenger', 'restrained']","[u'wonder', u'messag', u'everi', u'passeng', u'restrain']"
23,10156119117617975_10156123703212975,401846167974_10156119117617975,,2017-12-25 16:35:59,0,0,0,0,0,0,0,0,Bonjour,[],[],Bonjour,['Bonjour'],[u'bonjour']
24,10156119117617975_10156125758937975,401846167974_10156119117617975,,2017-12-26 08:19:08,0,0,0,0,0,0,0,0,Andrew Smith,[],[],Andrew Smith,"['Andrew', 'Smith']","[u'andrew', u'smith']"
25,10156119117617975_10156150687852975,401846167974_10156119117617975,,2018-01-03 22:01:59,1,1,0,0,0,0,0,0,Kara,[],[],Kara,['Kara'],[u'kara']
26,10156116586357975_10156116600087975,401846167974_10156116586357975,,2017-12-23 10:08:14,0,0,0,0,0,0,0,0,Idiots.,[],[],Idiots,['Idiots'],[u'idiot']
27,10156116586357975_10156116602597975,401846167974_10156116586357975,,2017-12-23 10:09:21,1,0,0,0,1,0,0,0,Reindeer stall speed is trots,[],[],Reindeer stall speed trots,"['Reindeer', 'stall', 'speed', 'trots']","[u'reindeer', u'stall', u'speed', u'trot']"
28,10156116586357975_10156116673227975,401846167974_10156116586357975,,2017-12-23 10:35:11,1,1,0,0,0,0,0,0,Bruno Flageol. I found an aircraft slower than the dh8 !!! Look at that!,[],[],Bruno Flageol found aircraft slower dh8 Look,"['Bruno', 'Flageol', 'found', 'aircraft', 'slower', 'dh8', 'Look']","[u'bruno', u'flageol', u'found', u'aircraft', u'slower', u'dh8', u'look']"
29,10156116586357975_10156116690022975,401846167974_10156116586357975,,2017-12-23 10:42:41,0,0,0,0,0,0,0,0,Given he has to visit several billion homes in hours hes going to travelling well over the speed of light,[],[],Given visit several billion homes hours hes going travelling well speed light,"['Given', 'visit', 'several', 'billion', 'homes', 'hours', 'hes', 'going', 'travelling', 'well', 'speed', 'light']","[u'given', u'visit', u'sever', u'billion', u'home', u'hour', u'hes', u'go', u'travel', u'well', u'speed', u'light']"
30,10156116586357975_10156116809902975,401846167974_10156116586357975,,2017-12-23 11:26:32,0,0,0,0,0,0,0,0,"Im surprised he hasn't been regulated out of the sky ,..I wonder how far in advance he had to file his SFOC ,.& if hes is considered recreational or commercial & over grams ,..& if he has to be registered & marked with his personal address ,..oh wait that's only Canadians that get drones for Christmas ,..",[],[],Im surprised regulated sky wonder far advance file SFOC hes considered recreational commercial grams registered marked personal address oh wait Canadians get drones Christmas,"['Im', 'surprised', 'regulated', 'sky', 'wonder', 'far', 'advance', 'file', 'SFOC', 'hes', 'considered', 'recreational', 'commercial', 'grams', 'registered', 'marked', 'personal', 'address', 'oh', 'wait', 'Canadians', 'get', 'drones', 'Christmas']","['im', u'surpris', u'regul', u'sky', u'wonder', u'far', u'advanc', u'file', u'sfoc', u'hes', u'consid', u'recreat', u'commerci', u'gram', u'regist', u'mark', u'person', u'address', 'oh', u'wait', u'canadian', u'get', u'drone', u'christma']"
31,10156116586357975_10156116830562975,401846167974_10156116586357975,,2017-12-23 11:31:53,0,0,0,0,0,0,0,0,knots is way to slow for Santa. I think you meant to say slow to knots. I'm sure our good friends NORAD will say knots is much too slow.,[],[],knots way slow Santa think meant say slow knots sure good friends NORAD say knots much slow,"['knots', 'way', 'slow', 'Santa', 'think', 'meant', 'say', 'slow', 'knots', 'sure', 'good', 'friends', 'NORAD', 'say', 'knots', 'much', 'slow']","[u'knot', u'way', u'slow', u'santa', u'think', u'meant', u'say', u'slow', u'knot', u'sure', u'good', u'friend', u'norad', u'say', u'knot', u'much', u'slow']"
