,id,retweet_count,favorite_count,created_at,full_text_cleaned,hashtags,urls
0,946848513752739841,0,0,2017-12-29 21:00:51,"Après avoir publié rapports d’enquête depuis janvier, nous dirons bientôt au revoir à l’année . Nous souhaitons à tous des déplacements sécuritaires en .",[],[]
1,946812938018541569,0,0,2017-12-29 18:39:30,"Fait intéressant : les montgolfières sont considérées comme des aéronefs au sens de la Loi sur l'aéronautique. En , le BST a émis deux recommandations pour la sécurité des ères. Neuf ans plus tard, le risque persiste",['#montgolfi'],['https://t.co/DX4spEZzri']
2,946463430164262912,1,2,2017-12-28 19:30:40,"Visionnez notre toute première animation, publiée dans le cadre de l'enquête sur une sortie en bout de piste survenue à en",['#jeudisouvenir'],['https://t.co/Ip0eLCSI9s']
3,946386952483418112,0,1,2017-12-28 14:26:47,"Voyez pourquoi le transport par rail de liquides inflammables, comme le pétrole brut, à l’échelle de l’Amérique du Nord pose des risques de sécurité, et comment on peut y remédier de façon efficace",['#Listedesurveillance'],['https://t.co/atnrhgREx']
4,946107662378455042,0,0,2017-12-27 19:56:59,"Le saviez-vous? Joseph Hincke, membre du BST, a été le premier agent de l'intégrité professionnelle de la GRC. Vous trouverez plus d’info sur les antécédents et l'eérience des membres du Bureau à même leurs biographies 1",[],['https://t.co/jImAsFybw']
5,946082738133782528,0,0,2017-12-27 18:17:56,"Plusieurs étapes doivent être franchies entre le moment où des enquêteurs sont envoyés sur les lieux de l’accident, et le moment où nous publions le rapport d’enquête. Voyez par vous-même le chemin à parcourir dans cette vidéo :",[],"['https://t.co/XpdDZmlNN6', 'https://t.co/XqXhqMXooa']"
6,945996588010344448,1,0,2017-12-27 12:35:37,": Vous achetez un drone? Gardez-le à m d’altitude et ,5 km des aéroports. C’est la loi c https:/…",[],['https://t.co/FaY1MVGfx']
7,944289984214904832,0,0,2017-12-22 19:34:10,"Prenez-vous l’avion durant les Fêtes? Le cas échéant, voici quelques conseils de sécurité importants : portez attention aux consignes de sécurité fournies avant le décollage, examinez la carte des mesures de sécurité et portez des vêtements de saison.",[],['https://t.co/eP4m7Z4G4J']
8,944246161434710018,0,0,2017-12-22 16:40:02,Poste ouvert aux employés et étudiants de la fonction publique : Adjoint(e) en ressources humaines. Joignez-vous à une équipe dynamique! Posez votre candidature avant le janvier,[],['https://t.co/GYQngN4WSx']
9,944240333952602113,0,0,2017-12-22 16:16:53,"L'avez-vous manqué? La semaine dernière, nous avons publié notre rapport d'enquête sur la collision à un passage à niveau survenue à Sainte-Ursule (QC) en",['#ferroviaire'],['https://t.co/ajpNH8cAVI']
