status_id,status_message,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
1203325126385126_1729576577093309,"We have a hard time explaining to our mothers what we do...

Our mandate is diverse. 

We provide consumer protection for air passengers.

We protect the human right of persons with disabilities to an accessible transportation network.

We help ensure Canada's national transportation system runs efficiently and smoothly in the interests of all Canadians: those who work and invest in it; the producers, shippers, travellers and businesses who rely on it; and the communities where it operates. 

For more information about our work, see www.otc-cta.gc.ca",Timeline Photos,photo,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1729576577093309/?type=3,2018-01-15 13:01:15,1,0,0,1,0,0,0,0,0,0
1203325126385126_1726492837401683,"#TravelTips > Be Sure to Have All of Your Travel Documents

It's your responsibility to have the proper travel documents to enter a foreign country and return to Canada. All Canadian travellers, including children, must have their own passport. Consult the diplomatic mission of each country you intend to visit for its entry requirements.

 #FlySmart > Top 10 Tips > http://ow.ly/uy2l3061cit",Timeline Photos,photo,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1726492837401683/?type=3,2018-01-12 10:01:32,2,0,0,2,0,0,0,0,0,0
1203325126385126_1725848804132753,"Due to maintenance, our website will be temporarily unavailable from January 13 to 14.",Timeline Photos,photo,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1725848804132753/?type=3,2018-01-11 16:30:20,1,0,0,0,1,0,0,0,0,0
1203325126385126_1724632390921061,"Did you know? Our definition of a disability is a health-related problem that limits someone's ability to travel or causes difficulties while travelling. This includes temporary conditions like a broken leg. 

For more information about accessibility complaints visit > http://ow.ly/kds130drbZa",Timeline Photos,photo,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1724632390921061/?type=3,2018-01-10 12:01:37,0,0,0,0,0,0,0,0,0,0
1203325126385126_1723503727700594,"The CTA extends our condolences to Bruce Hood's family and friends. Mr. Hood worked with us as Canada's first Air Travel Complaints Commissioner. He was appointed to this position in 2000 and worked to review and resolve complaints of airline customers. Mr. Hood equated this task to being an “airline referee,” borrowing the term from his former career as a National Hockey League referee for 21 years.

http://ow.ly/D2M330hFAQ2",Longtime NHL referee Bruce Hood succumbs to cancer at age 81 | CBC Sports,link,http://ow.ly/D2M330hFAQ2,2018-01-09 09:30:18,6,1,1,4,0,0,0,2,0,0
1203325126385126_1722444997806467,"When a coasting trade licence application is needed to transport passengers, we must determine if a Canadian-registered ship can provide an identical or similar adequate marine service.

To do this, we need complete, clear and pertinent information concerning the offered ship and the nature of the proposed activity.

To find out what kind of information you must provide in passenger service applications, see section 2.3 of our Guidelines at http://ow.ly/hRdD30aDDqn",Timeline Photos,photo,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1722444997806467/?type=3,2018-01-08 10:00:34,3,2,0,3,0,0,0,0,0,0
1203325126385126_1718920604825573,"#TravelTips > Pack Smart

Include your contact information and your destination contact information inside each piece of baggage. Always carry essential and valuable items with you on board: your passport, identification and return tickets; medicines and medical devices; money, jewelry and electronic equipment; and, essential overnight items.

 #FlySmart > Top 10 Tips > http://ow.ly/uy2l3061cit",Timeline Photos,photo,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1718920604825573/?type=3,2018-01-05 10:00:24,1,0,0,1,0,0,0,0,0,0
1203325126385126_1718920508158916,"#TravelTips > Pack Smart

Include your contact information and your destination contact information inside each piece of baggage. Always carry essential and valuable items with you on board: your passport, identification and return tickets; medicines and medical devices; money, jewelry and electronic equipment; and, essential overnight items.

 #FlySmart > Top 10 Tips > http://ow.ly/uy2l3061cit",Timeline Photos,photo,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1718920508158916/?type=3,2018-01-05 10:00:20,2,0,0,2,0,0,0,0,0,0
1203325126385126_1717984081585892,"Our Code of Values and Ethics 

These values guide us in our professional duties:

- Respect for democracy
- Respect for people
- Integrity
- Stewardship
- Excellence

For more information about our Code of Values and Ethics, see http://ow.ly/TWPR30b1c6T",Timeline Photos,photo,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1717984081585892/?type=3,2018-01-04 14:00:18,1,0,0,0,1,0,0,0,0,0
1203325126385126_1716755398375427,"We work with carriers and terminal operators to ensure that accessible travel measures are put into action and maintained within the federal transportation network.

We have made a set of videos called ""Accessibility for All"". These videos are educational tools to help transportation personnel in providing accessible services to persons with disabilities. 

There are six videos that range in topics from recognizing needs to providing replacement mobility aids to travellers  > http://ow.ly/Mf8A307vcVX 

#a11y  #Accessibility","Accessibility for all, module 1: Introduction and sensitivities",video,http://ow.ly/Mf8A307vcVX,2018-01-03 12:15:14,2,3,1,2,0,0,0,0,0,0
