Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,Reactions_SUM,language,average_sentiment_score,account_name,words_matched_list,sentiment,matched_keywords,category,FSDS_matched_keywords,FSDS_category
299,1203325126385126_1702569463127354,2017-12-20 12:00:44,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1702569463127354/?type=3,"Did you know? Our definition of a disability is a health-related problem that limits someone's ability to travel or causes difficulties while travelling. This includes temporary conditions like a broken leg. 

For more information about accessibility complaints visit > http://ow.ly/kds130drbZa",Did you know? Our definition of a disability is a health-related problem that limits someone's ability to travel or causes difficulties while travelling. This includes temporary conditions like a broken leg. For more information about accessibility complaints visit >,[],0,0,0,0,0,0,0,0,0,0,0,en,0.0,CanadianTransportationAgency_facebook,['health'],neutral,[],unknown,[],unknown
300,1203325126385126_1701427683241532,2017-12-19 08:01:32,http://ow.ly/LhW0300khbn,Flight cancelled? Baggage lost? @CTA_gc may be able to help. Learn more > http://ow.ly/LhW0300khbn,Flight cancelled? Baggage lost? may be able to help. Learn more >,[],0,0,0,0,0,0,0,0,0,0,0,en,0.0,CanadianTransportationAgency_facebook,['or'],neutral,[],unknown,[],unknown
301,1203325126385126_1698726170178350,2017-12-16 12:01:01,http://ow.ly/qOzo306W0wA,Be sure you're aware of your airline's baggage policies > http://ow.ly/qOzo306W0wA #BeforeYouFly,Be sure you're aware of your airline's baggage policies >,['#BeforeYouFly'],0,0,0,0,0,0,0,0,0,0,0,en,0.0,CanadianTransportationAgency_facebook,['air'],neutral,['policy'],Economical,[],unknown
302,1203325126385126_1696627993721501,2017-12-14 14:00:30,http://ow.ly/Mf8A307vcVX,"As a transportation service provider, you should be able to recognize the diverse needs of travellers with disabilities. The first step is to ask howyou can help.  For more information, watch our first training video: http://ow.ly/Mf8A307vcVX","As a transportation service provider, you should be able to recognize the diverse needs of travellers with disabilities. The first step is to ask howyou can help. For more information, watch our first training video:",[],0,0,0,0,0,0,0,0,0,0,0,en,0.0,CanadianTransportationAgency_facebook,"['or', 'ice']",neutral,[],unknown,[],unknown
303,1203325126385126_1695598813824419,2017-12-13 12:00:36,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1695598813824419/?type=3,"Railways played a dramatic role in the creation of Canada.

The Grand Trunk Railway, completed between Toronto and Montréal in 1856, linked Canada West with Canada East (now Ontario and Québec), and helped to lay the groundwork for Confederation.

Want to know more? Read At the Heart of Transportation: A Moving History >
http://ow.ly/IsZ530dbqS1","Railways played a dramatic role in the creation of Canada. The Grand Trunk Railway, completed between Toronto and Montréal in , linked Canada West with Canada East (now Ontario and Québec), and helped to lay the groundwork for Confederation. Want to know more? Read At the Heart of Transportation: A Moving History > 1",[],0,0,0,0,0,0,0,0,0,0,0,en,0.0,CanadianTransportationAgency_facebook,['transport'],neutral,[],unknown,[],unknown
304,1203325126385126_1693832030667764,2017-12-11 16:00:53,http://ow.ly/Veee307vfhW,CTA webinar on air services price advertisement rules > http://ow.ly/Veee307vfhW,CTA webinar on air services price advertisement rules >,[],0,0,0,0,0,0,0,0,0,0,0,en,0.0,CanadianTransportationAgency_facebook,"['vert', 'ice', 'air']",neutral,['air'],Environmental,[],unknown
305,1203325126385126_1690570514327249,2017-12-08 10:00:40,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1690570514327249/?type=3,"#TravelTips > Check in Early

When available, check in on-line up to 24 hours in advance of your flight. Arrive at the airport early to check in, drop off your baggage, get through the security screening process and be available for boarding at the gate on time.

#FlySmart > Top 10 Tips > http://ow.ly/uy2l3061cit","> Check in Early When available, check in on-line up to hours in advance of your flight. Arrive at the airport early to check in, drop off your baggage, get through the security screening process and be available for boarding at the gate on time. > Top Tips >","['#TravelTips', '#FlySmart']",0,0,0,0,0,0,0,0,0,0,0,en,0.0,CanadianTransportationAgency_facebook,"['or', 'air']",neutral,['#flysmart'],Economical,[],unknown
306,1203325126385126_1673167589400875,2017-11-21 15:01:06,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1673167589400875/?type=3,We participate in the economic regulation of railway companies in multiple ways >  http://ow.ly/GQkI30dr81k #grain #CdnAg,We participate in the economic regulation of railway companies in multiple ways >,"['#grain', '#CdnAg']",0,0,0,0,0,0,0,0,0,0,0,en,0.0,CanadianTransportationAgency_facebook,,neutral,['#cdnag'],Environmental,[],unknown
307,1203325126385126_1689731261077841,2017-12-07 14:00:49,http://ow.ly/pOYl301KUii,"We offer three options to resolve your complaint, ranging from informal methods of facilitation and mediation, to a formal adjudication process. Here is a brief explanation of each of the three options for resolving your complaint: http://ow.ly/pOYl301KUii","We offer three options to resolve your complaint, ranging from informal methods of facilitation and mediation, to a formal adjudication process. Here is a brief elanation of each of the three options for resolving your complaint:",[],0,0,0,0,0,0,0,0,0,0,0,en,0.0,CanadianTransportationAgency_facebook,['or'],neutral,[],unknown,[],unknown
308,1203325126385126_1688557331195234,2017-12-06 12:01:28,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1688557331195234/?type=3,"The Canadian Transportation Agency's story began 113 years ago.

Its first incarnation – the Board of Railway Commissioners – was established on a snowy day in February 1904 in Ottawa.

As Canada has evolved, our responsibilities and services evolved with it. 
Want to know more? Read At the Heart of Transportation: A Moving History >  http://ow.ly/IsZ530dbqS1","The Canadian Transportation Agency's story began years ago. Its first incarnation – the Board of Railway Commissioners – was established on a snowy day in February in Ottawa. As Canada has evolved, our responsibilities and services evolved with it. Want to know more? Read At the Heart of Transportation: A Moving History > 1",[],0,0,0,0,0,0,0,0,0,0,0,en,0.0,CanadianTransportationAgency_facebook,"['commission', 'transport']",neutral,[],unknown,"['canadian', 'canadian']",Connecting Canadians with nature 
309,1203325126385126_1687653161285651,2017-12-05 14:00:55,http://ow.ly/FiBu307vdA6,"Transportation providers are expected to provide disability related services when requested at least 48 hours prior to departure.  Find out what types of services your company should provide, visit: http://ow.ly/FiBu307vdA6","Transportation providers are eected to provide disability related services when requested at least hours prior to departure. Find out what types of services your company should provide, visit:",[],0,0,0,0,0,0,0,0,0,0,0,en,0.0,CanadianTransportationAgency_facebook,"['or', 'ice']",neutral,[],unknown,[],unknown
310,1203325126385126_1685684891482478,2017-12-03 16:00:25,http://ow.ly/4fpN307iV0u,Creating #accessible websites for transportation-related information? Check out our resource tool here > http://ow.ly/4fpN307iV0u #a11y,Creating websites for transportation-related information? Check out our resource tool here > 0u,"['#accessible', '#a11y']",0,0,0,0,0,0,0,0,0,0,0,en,0.0,CanadianTransportationAgency_facebook,['transport'],neutral,['resource'],Environmental,[],unknown
311,1203325126385126_1685393354844965,2017-12-03 10:00:17,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1685393354844965/?type=3,Today is International Day of Persons With Disabilities. Meet our partners in achieving accessible transportation > http://ow.ly/3jo630fZXEQ,Today is International Day of Persons With Disabilities. Meet our partners in achieving accessible transportation >,[],0,0,0,0,0,0,0,0,0,0,0,en,0.0,CanadianTransportationAgency_facebook,['transport'],neutral,[],unknown,[],unknown
312,1203325126385126_1683294558388178,2017-12-01 10:01:12,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1683294558388178/?type=3,"#TravelTips > Understand Your Rights and Responsibilities

The tariff is the contract of carriage between you and your air carrier – it covers your rights and obligations as a passenger and your carrier's rights and its responsibilities to you. Find it at the carrier's business offices in Canada and on their websites when used for selling air transportation. 

#FlySmart > Top 10 Tips > http://ow.ly/uy2l3061cit",> Understand Your Rights and Responsibilities The tariff is the contract of carriage between you and your air carrier – it covers your rights and obligations as a passenger and your carrier's rights and its responsibilities to you. Find it at the carrier's business offices in Canada and on their websites when used for selling air transportation. > Top Tips >,"['#TravelTips', '#FlySmart']",0,0,0,0,0,0,0,0,0,0,0,en,0.0,CanadianTransportationAgency_facebook,"['or', 'ice', 'air']",neutral,"['air', 'right', 'right', 'air', '#flysmart']",Economical,[],unknown
313,1203325126385126_1682235108494123,2017-11-30 10:00:24,http://ow.ly/4oEn307veco,"When guiding or assisting a traveller who is blind or partially sighted, there are several steps you can take to faciliate their travels and communication.  Learn more; watch our fourth training video: http://ow.ly/4oEn307veco","When guiding or assisting a traveller who is blind or partially sighted, there are several steps you can take to faciliate their travels and communication. Learn more; watch our fourth training video:",[],0,0,0,0,0,0,0,0,0,0,0,en,0.0,CanadianTransportationAgency_facebook,['or'],neutral,[],unknown,[],unknown
314,1203325126385126_1678959202155047,2017-11-27 12:00:47,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1678959202155047/?type=3,"Is the ""higher cost"" of operating an offered Canadian ship considered sufficient evidence that it is not economically suitable? Not exactly.

 
If applicants raise the ""economic suitability"" argument, they are required to produce clear evidence of this fact, and offerors must then reply by producing clear evidence to the contrary. 

This is part of the pleadings process. More information on this process is available in Part 3 of our Guidelines at http://ow.ly/k3Xp30aF1t8.","Is the ""higher cost"" of operating an offered Canadian ship considered sufficient evidence that it is not economically suitable? Not exactly. If applicants raise the ""economic suitability"" argument, they are required to produce clear evidence of this fact, and offerors must then reply by producing clear evidence to the contrary. This is part of the pleadings process. More information on this process is available in Part of our Guidelines at 8.",[],0,0,0,0,0,0,0,0,0,0,0,en,0.0,CanadianTransportationAgency_facebook,['or'],neutral,[],unknown,"['cost', 'canadian', 'canadian', 'sufficient']",Sustainable food
315,1203325126385126_1623614244356210,2017-10-01 14:00:42,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1623614244356210/?type=3,West Vancouver vs. CN oral hearing – Deadline to file a request to intervene : October 3 > http://ow.ly/i1ar30f4p7B #westvan,West Vancouver vs. CN oral hearing – Deadline to file a request to intervene : October >,['#westvan'],0,0,0,0,0,0,0,0,0,0,0,en,0.0,CanadianTransportationAgency_facebook,['or'],neutral,[],unknown,[],unknown
316,1203325126385126_1619207754796859,2017-09-26 11:00:24,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1619207754796859/?type=3,"#TravelTips > Call Ahead

From carrying sports equipment and musical instruments, to dietary restrictions, medical conditions and disability-related needs, most carriers require from 48 to 72 hours notice to accommodate special requests.

 #FlySmart > Top 10 Tips > http://ow.ly/uy2l3061cit","> Call Ahead From carrying sports equipment and musical instruments, to dietary restrictions, medical conditions and disability-related needs, most carriers require from to hours notice to accommodate special requests. > Top Tips >","['#TravelTips', '#FlySmart']",0,0,0,0,0,0,0,0,0,0,0,en,0.0,CanadianTransportationAgency_facebook,"['or', 'ice']",neutral,['#flysmart'],Economical,['equipment'],Low-carbon government
317,1203325126385126_1381963165187987,2017-02-01 12:02:06,http://ow.ly/uy2l3061cit,"#TravelTips > Have Insurance When You Travel

Include protection against baggage loss, delay, damage or theft, trip cancellation or interruption, personal injury or death, as well as sufficient medical coverage.

 #FlySmart > Top 10 Tips > http://ow.ly/uy2l3061cit","> Have Insurance When You Travel Include protection against baggage loss, delay, damage or theft, trip cancellation or interruption, personal injury or death, as well as sufficient medical coverage. > Top Tips >","['#TravelTips', '#FlySmart']",0,0,0,0,0,0,0,0,0,0,0,en,0.0,CanadianTransportationAgency_facebook,['or'],neutral,['#flysmart'],Economical,"['protection', 'injury', 'death', 'sufficient']",Safe and healthy communities
318,1203325126385126_1498689156848720,2017-05-29 11:30:35,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1498689156848720/?type=3,"We are proud to celebrate National AccessAbility Week! 

Are you a person with disabilities looking for useful travel tips for an upcoming trip? We can help you plan your trip and ensure your travel goes smoothly. 

Read more in ""Take charge of your travel"" at http://ow.ly/w1Q3303kfOf","We are proud to celebrate National AccessAbility Week! Are you a person with disabilities looking for useful travel tips for an upcoming trip? We can help you plan your trip and ensure your travel goes smoothly. Read more in ""Take charge of your travel"" at",[],0,0,0,0,0,0,0,0,0,0,0,en,0.0,CanadianTransportationAgency_facebook,['or'],neutral,[],unknown,[],unknown
319,1203325126385126_1539545452763090,2017-07-05 08:00:22,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1539545452763090/?type=3,"You can hang up your gloves. We have other ways to resolve disputes.

As a tribunal, we can resolve disputes by making decisions like a court. But we have other dispute resolution tools at our disposal including facilitation, mediation, arbitration, and adjudication.

For many disputes, we can bring people together through an informal resolution process to resolve an issue easily and to the satisfaction of the parties.

To find out more, visit http://ow.ly/pdi130dcwFz","You can hang up your gloves. We have other ways to resolve disputes. As a tribunal, we can resolve disputes by making decisions like a court. But we have other dispute resolution tools at our disposal including facilitation, mediation, arbitration, and adjudication. For many disputes, we can bring people together through an informal resolution process to resolve an issue easily and to the satisfaction of the parties. To find out more, visit",[],0,0,0,0,0,0,0,0,0,0,0,en,0.0,CanadianTransportationAgency_facebook,['or'],neutral,[],unknown,[],unknown
320,1203325126385126_1538909069493395,2017-07-04 17:15:08,http://ow.ly/SI0p30dcg0b,"Governor in Council (GIC) appointment opportunities: Member, Canadian Transportation Agency > http://ow.ly/SI0p30dcg0b","Governor in Council (GIC) appointment opportunities: Member, Canadian Transportation Agency >",[],0,0,0,0,0,0,0,0,0,0,0,en,0.0,CanadianTransportationAgency_facebook,['transport'],neutral,[],unknown,"['canadian', 'canadian']",Connecting Canadians with nature 
321,1203325126385126_1538898409494461,2017-07-04 17:00:33,http://ow.ly/6SsK30dcfHy,"Governor in Council (GIC) appointment opportunities: Vice-Chairperson, Canadian Transportation Agency  > http://ow.ly/6SsK30dcfHy","Governor in Council (GIC) appointment opportunities: Vice-Chairperson, Canadian Transportation Agency >",[],0,0,0,0,0,0,0,0,0,0,0,en,0.0,CanadianTransportationAgency_facebook,"['or', 'ice', 'air']",neutral,[],unknown,"['canadian', 'canadian']",Connecting Canadians with nature 
322,1203325126385126_1515181585199477,2017-06-13 09:15:23,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1515181585199477/?type=3,"#TravelTips > Don't Miss Your Flight

When available, pre-select your seat in advance of departure. Confirm your return flight at least 72 hours in advance. Monitor your points of contact for carrier notifications of departure time changes and cancellations. Check your flight's status at least 24 hours before departure and leaving for the airport.

 #FlySmart > Top 10 Tips > http://ow.ly/uy2l3061cit","> Don't Miss Your Flight When available, pre-select your seat in advance of departure. Confirm your return flight at least hours in advance. Monitor your points of contact for carrier notifications of departure time changes and cancellations. Check your flight's status at least hours before departure and leaving for the airport. > Top Tips >","['#TravelTips', '#FlySmart']",0,0,0,0,0,0,0,0,0,0,0,en,0.0,CanadianTransportationAgency_facebook,"['or', 'air']",neutral,"['change', '#flysmart']",Social,[],unknown
323,1203325126385126_1511042148946754,2017-06-09 09:15:27,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1511042148946754/?type=3,"#TravelTips > Have Insurance When You Travel

Include protection against baggage loss, delay, damage or theft, trip cancellation or interruption, personal injury or death, as well as sufficient medical coverage.

 #FlySmart > Top 10 Tips > http://ow.ly/uy2l3061cit","> Have Insurance When You Travel Include protection against baggage loss, delay, damage or theft, trip cancellation or interruption, personal injury or death, as well as sufficient medical coverage. > Top Tips >","['#TravelTips', '#FlySmart']",0,0,0,0,0,0,0,0,0,0,0,en,0.0,CanadianTransportationAgency_facebook,['or'],neutral,['#flysmart'],Economical,"['protection', 'injury', 'death', 'sufficient']",Safe and healthy communities
324,1203325126385126_1500508860000083,2017-05-31 10:30:46,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1500508860000083/?type=3,Shipping season is well under way. Do you know how far in advance you must submit your coasting trade licence application? It depends on the type of activity you are planning. Find out what our different minimum advance notice time periods are at http://ow.ly/9vw6309Iblh,Shipping season is well under way. Do you know how far in advance you must submit your coasting trade licence application? It depends on the type of activity you are planning. Find out what our different minimum advance notice time periods are at,[],0,0,0,0,0,0,0,0,0,0,0,en,0.0,CanadianTransportationAgency_facebook,"['ice', 'coast']",neutral,[],unknown,"['shipping', 'shipping']",Pristine lakes and rivers
325,1203325126385126_1499498633434439,2017-05-30 09:15:25,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1499498633434439/?type=3,"#TravelTips > Call Ahead

From carrying sports equipment and musical instruments, to dietary restrictions, medical conditions and disability-related needs, most carriers require from 48 to 72 hours notice to accommodate special requests.

 #FlySmart > Top 10 Tips > http://ow.ly/uy2l3061cit","> Call Ahead From carrying sports equipment and musical instruments, to dietary restrictions, medical conditions and disability-related needs, most carriers require from to hours notice to accommodate special requests. > Top Tips >","['#TravelTips', '#FlySmart']",0,0,0,0,0,0,0,0,0,0,0,en,0.0,CanadianTransportationAgency_facebook,"['or', 'ice']",neutral,['#flysmart'],Economical,['equipment'],Low-carbon government
326,1203325126385126_1499488106768825,2017-05-30 09:01:00,http://ow.ly/IIW330c8kzb,"Chair and CEO Scott Streiner attending 2017 @ITF_Forum in Leipzig, Germany as a panelist #ITF17 > http://ow.ly/IIW330c8kzb","Chair and CEO Scott Streiner attending in Leipzig, Germany as a panelist >",['#ITF17'],0,0,0,0,0,0,0,0,0,0,0,en,0.0,CanadianTransportationAgency_facebook,['air'],neutral,[],unknown,[],unknown
327,1203325126385126_1494046707312965,2017-05-24 09:55:11,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1494046707312965/?type=3,"With Summer just around the corner, it's time to start planning ahead for your coasting trade licences. When is a licence required, and what is the process to apply for one? To find answers to all your questions, just click on http://ow.ly/w6Vj309Ia2R","With Summer just around the corner, it's time to start planning ahead for your coasting trade licences. When is a licence required, and what is the process to apply for one? To find answers to all your questions, just click on",[],0,0,0,0,0,0,0,0,0,0,0,en,0.0,CanadianTransportationAgency_facebook,"['mer', 'or', 'ice', 'coast']",neutral,[],unknown,[],unknown
328,1203325126385126_1542997502417885,2017-07-08 14:30:16,https://www.facebook.com/CanadianTransportationAgency/photos/a.1217102575007381.1073741828.1203325126385126/1542997502417885/?type=3,"#TravelTips > Understand Your Rights and Responsibilities

The tariff is the contract of carriage between you and your air carrier – it covers your rights and obligations as a passenger and your carrier's rights and its responsibilities to you. Find it at the carrier's business offices in Canada and on their websites when used for selling air transportation. 

#FlySmart > Top 10 Tips > http://ow.ly/uy2l3061cit",> Understand Your Rights and Responsibilities The tariff is the contract of carriage between you and your air carrier – it covers your rights and obligations as a passenger and your carrier's rights and its responsibilities to you. Find it at the carrier's business offices in Canada and on their websites when used for selling air transportation. > Top Tips >,"['#TravelTips', '#FlySmart']",0,0,0,0,0,0,0,0,0,0,0,en,0.0,CanadianTransportationAgency_facebook,"['or', 'ice', 'air']",neutral,"['air', 'right', 'right', 'air', '#flysmart']",Economical,[],unknown
