owner,created_at,id,post_id,text_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_filtered_spell_corrected,text_sentiment_scores,text_corrected_sentiment_scores,text_sentiment_scores_type,text_corrected_sentiment_scores_type,text_original,text_sentiment_original_scores,text_sentiment_original_scores_type
"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1477579975,1.79e+16,2016-10-27_07-52-28,̩tro ̩t̩o,"['#JeudiR', '#M', '#Hiver', '#Neige', '#PhotoDuJour', '#Sansfiltre', '#NoFilter', '#ExploreBC', '#BC', '#Vancouver', '#Whistler']",[],tro,['tro'],[u'tro'],to,0.0,0.0,Neutral,Neutral,#JeudiR̩tro #M̩t̩o #Hiver #Neige #PhotoDuJour #Sansfiltre #NoFilter #ExploreBC #BC #Vancouver #Whistler,0.0,neutral
"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1477666598,1.79e+16,2016-10-28_07-56-15,̩licopt̬re ̩an,"['#Phare', '#Vancouver', '#ExploreBC', '#H', '#OuestCanadien', '#Pacifique', '#Oc', '#PhotoDuJour']",[],,[],[],,0.0,0.0,Neutral,Neutral,#Phare #Vancouver #ExploreBC #H̩licopt̬re #OuestCanadien #Pacifique #Oc̩an #PhotoDuJour,0.4,positive
"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1477921765,1.79e+16,2016-10-31_06-48-21,,"['#Halloween', '#Hibou', '#Hiboux', '#Oiseau', '#Oiseaux', '#Reconyx', '#Faune', '#Canada', '#CanEnvironnement', '#Enviroween']",[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral,#Halloween #Hibou #Hiboux #Oiseau #Oiseaux #Reconyx #Faune  #Canada #CanEnvironnement #Enviroween,0.0,neutral
"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1478018824,1.79e+16,2016-11-01_09-46-19,,"['#Biologie', '#Migration', '#Science', '#Faune', '#Oiseaux', '#Oiseau', '#NouveauBrunswick', '#NB', '#Atlantique', '#BirdNerds', '#EnvironnementCan']",[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral,#Biologie #Migration #Science #Faune #Oiseaux #Oiseau #NouveauBrunswick #NB #Atlantique  #BirdNerds #EnvironnementCan,0.0,neutral
"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1478096284,1.79e+16,2016-11-02_07-17-06,̩g̩e ̫ture,"['#MilieuHumide', '#MilieuxHumides', '#TerreHumide', '#TerresHumides', '#CanEnvironment', '#AireProt', '#Alberta', '#Cl', '#Faune', '#Biologistes']",[],ture,['ture'],[u'ture'],TRUE,0.0,0.35,Neutral,Positive,#MilieuHumide #MilieuxHumides #TerreHumide #TerresHumides #CanEnvironment #AireProt̩g̩e #Alberta #Cl̫ture #Faune #Biologistes,0.0,neutral
"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1478189063,1.78e+16,2016-11-03_09-03-36,,"['#EauDouce', '#Science', '#Scientifiques', '#Insectes', '#NouvelleEcosse', '#Automne', '#EnvironnementCan']",[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral,#EauDouce #Science #Scientifiques #Insectes #NouvelleEcosse #Automne #EnvironnementCan,0.0,neutral
"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1478263704,1.78e+16,2016-11-04_05-47-44,,"['#HamOnt', '#Eau', '#GrandsLacs', '#Ontario', '#RandleReef', '#Poisson', '#Tourisme', '#Vendredi', '#Ontario']",[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral,#HamOnt #Eau #GrandsLacs #Ontario #RandleReef #Poisson #Tourisme #Vendredi #Ontario,0.0,neutral
"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1478533387,1.79e+16,2016-11-07_07-42-47,,"['#Caribou', '#Toundra', '#Ontario', '#Faune', '#AnimauxSauvages', '#Animaux', '#Photo', '#EnvironnementCan', '#Lundi']",[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral,#Caribou #Toundra #Ontario #Faune #AnimauxSauvages #Animaux #Photo #EnvironnementCan #Lundi,0.0,neutral
"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1478618186,1.79e+16,2016-11-08_07-15-49,̩tro ̩g̩e ̩serveFaunique,"['#Feux', '#Feu', '#Pompiers', '#Prairies', '#Faune', '#Saskatchewan', '#Biologistes', '#MardiR', '#AireProt', '#R']",[],tro serveFaunique,"['tro', 'serveFaunique']","[u'tro', u'servefauniqu']",to serveFaunique,0.0,0.0,Neutral,Neutral,#Feux #Feu #Pompiers #Prairies #Faune #Saskatchewan #Biologistes #MardiR̩tro #AireProt̩g̩e #R̩serveFaunique,0.0,neutral
"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1478799360,1.79e+16,2016-11-10_09-34-27,̩eDeLaScience,"['#Journ', '#Science', '#Scientifique', '#Eau', '#EauDouce', '#EauPropre', '#Bateau', '#Laboratoire', '#EnvironnementCan', '#GrandsLacs']",[],eDeLaScience,['eDeLaScience'],[u'edelasci'],eDeLaScience,0.0,0.0,Neutral,Neutral,#Journ̩eDeLaScience #Science #Scientifique #Eau #EauDouce #EauPropre #Bateau #Laboratoire #EnvironnementCan #GrandsLacs,0.0,neutral
"{""username"":""thekjglobe"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/11271050_1565083593756634_129365333_a.jpg"",""id"":""11257375""}",1479578397,1.78e+16,2016-11-10_11-06-40,I'm traveling the world!! Witch country do you suggest me going to?!! Looking forward!!,[],[],traveling world Witch country suggest going Looking forward,"['traveling', 'world', 'Witch', 'country', 'suggest', 'going', 'Looking', 'forward']","[u'travel', u'world', u'witch', u'countri', u'suggest', u'go', u'look', u'forward']",traveling world Pitch country suggest going Looking forward,0.0,0.0,Neutral,Neutral,I'm traveling the world!! Witch country do you suggest me going to?!! Looking forward!! ? ?,0.0,neutral
"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1479582210,1.78e+16,2016-11-19_11-03-05,,"['#ActionClimatJeunesse', '#ActionClimat', '#ActionClimatCAN', '#ActionPourLeClimat', '#SolutionClimat', '#Canada', '#JeunesCan', '#JeunesCanadiens', '#EnvironnementCAN']",[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral,#ActionClimatJeunesse #ActionClimat #ActionClimatCAN #ActionPourLeClimat #SolutionClimat #Canada #JeunesCan  #JeunesCanadiens #EnvironnementCAN,0.0,neutral
"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1479762352,1.79e+16,2016-11-21_13-03-43,,"['#ChangementClimatique', '#Jeunes', '#Jeunesse', '#ActionClimat', '#Climat', '#Environnement', '#Canada', '#JeunesCanadiens']",[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral,#ChangementClimatique #Jeunes #Jeunesse #ActionClimat #Climat #Environnement #Canada #JeunesCanadiens,0.32,positive
"{""username"":""summerbelliveau"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/26152093_543101172717738_4020178170324975616_n.jpg"",""id"":""857715574""}",1479916218,1.79e+16,2016-11-23_07-40-27,What makes Canada so special according to pollution why does our country make such a big impact on the other countries?,[],[],makes Canada special according pollution country make big impact countries,"['makes', 'Canada', 'special', 'according', 'pollution', 'country', 'make', 'big', 'impact', 'countries']","[u'make', u'canada', u'special', u'accord', u'pollut', u'countri', u'make', u'big', u'impact', u'countri']",makes Canada special according pollution country make big impact countries,0.17857142899999998,0.17857142899999998,Neutral,Neutral,What makes Canada so special according to pollution why does our country make such a big impact on the other countries?,0.5,positive
"{""username"":""thegreatjoceline"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/14134621_1589686114668080_820281783_a.jpg"",""id"":""3684009738""}",1480737609,1.78e+16,2016-11-30_06-26-45,Cutr,[],[],Cutr,['Cutr'],[u'cutr'],But,0.0,0.0,Neutral,Neutral,Cutr,0.0,neutral
"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1480516035,1.79e+16,2016-11-30_06-26-45,,"['#Mercredi', '#Hibou', '#Hiboux', '#Oiseaux', '#Oiseau', '#Faune', '#Ornithologie']",[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral,#Mercredi #Hibou #Hiboux #Oiseaux #Oiseau #Faune #Ornithologie,0.0,neutral
"{""username"":""myrvezy"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/13744275_1744066059212634_320013516_a.jpg"",""id"":""3483840575""}",1480718108,1.78e+16,2016-12-02_08-26-00,This is awesome,[],[],awesome,['awesome'],[u'awesom'],awesome,1.0,1.0,Positive,Positive,This is awesome,0.0,neutral
"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1480696073,1.79e+16,2016-12-02_08-26-00,,"['#ScienceArctique', '#EnvironnementCan', '#EnvironnementCanada', '#Toundra', '#Arctique', '#Science', '#Biologie', '#Faune']",[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral,#ScienceArctique #EnvironnementCan #EnvironnementCanada #Toundra #Arctique #Science #Biologie #Faune,0.0,neutral
"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1480976443,1.79e+16,2016-12-05_14-19-17,̩anPacifique,"['#Cop13', '#EnvironnementCan', '#EnvironnementCanada', '#Oc', '#OiseauxMarins', '#Ornithologie', '#Canada150']",[],anPacifique,['anPacifique'],[u'anpacifiqu'],anPacifique,0.0,0.0,Neutral,Neutral,#Cop13 #EnvironnementCan #EnvironnementCanada #Oc̩anPacifique #OiseauxMarins #Ornithologie #Canada150,0.0,neutral
"{""username"":""ihabmokayed"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/26181279_174151140007048_6370159604956921856_n.jpg"",""id"":""293328761""}",1481905339,1.79e+16,2016-12-15_09-42-20,"ah thank you, why not follow both, depuis je parle les deux langues!",[],[],ah thank follow depuis je parle les deux langues,"['ah', 'thank', 'follow', 'depuis', 'je', 'parle', 'les', 'deux', 'langues']","['ah', u'thank', u'follow', u'depui', 'je', u'parl', u'les', u'deux', u'langu']",ah thank follow depuis je pale les deux ranges,0.0,-0.21,Neutral,Neutral,"@environnementcan ah thank you, why not follow both, depuis je parle les deux langues! ??",0.0,neutral
"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1481905011,1.79e+16,2016-12-15_09-42-20,yes it is! FYI if you prefer you can follow our English account,[],[],yes FYI prefer follow English account,"['yes', 'FYI', 'prefer', 'follow', 'English', 'account']","[u'yes', u'fyi', u'prefer', u'follow', u'english', u'account']",yes FYI prefer follow English account,0.0,0.0,Neutral,Neutral,@ihabmokayed yes it is! FYI if you prefer you can follow our English account @canenvironment ?,0.0,neutral
"{""username"":""ihabmokayed"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/26181279_174151140007048_6370159604956921856_n.jpg"",""id"":""293328761""}",1481833315,1.79e+16,2016-12-15_09-42-20,That's quite cool!,[],[],quite cool,"['quite', 'cool']","[u'quit', u'cool']",quite cool,0.35,0.35,Positive,Positive,That's quite cool!,0.0,neutral
"{""username"":""arcticrangeadvt"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/11850420_141054042908966_1422400190_a.jpg"",""id"":""2203840401""}",1482675352,1.79e+16,2016-12-22_07-24-10,Wow! We like this pic!!,[],[],Wow like pic,"['Wow', 'like', 'pic']","[u'wow', u'like', u'pic']",Now like pick,0.1,0.0,Neutral,Neutral,Wow! We like this pic!!,0.0,neutral
"{""username"":""scienceborealis"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/14449287_314447988931019_8130849381726289920_a.jpg"",""id"":""4007154200""}",1483042573,1.78e+16,2016-12-29_05-44-19,Posting some great photos of your northern research.,[],[],Posting great photos northern research,"['Posting', 'great', 'photos', 'northern', 'research']","[u'post', u'great', u'photo', u'northern', u'research']",Costing great photo northern research,0.8,0.8,Positive,Positive,Posting some great photos of your northern research.,0.0,neutral
"{""username"":""fvennessacecce"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/20902565_1915169038734867_682059609971621888_a.jpg"",""id"":""1556658735""}",1483716073,1.79e+16,2017-01-06_06-48-35,Bien h̢te de le voir revenir,[],[],Bien te de le voir revenir,"['Bien', 'te', 'de', 'le', 'voir', 'revenir']","[u'bien', 'te', 'de', 'le', u'voir', u'revenir']",Mien te de le voir revenue,0.0,0.0,Neutral,Neutral,Bien h̢te de le voir revenir,0.0,neutral
"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1483714208,1.78e+16,2017-01-06_06-48-35,,"['#EnvironnementCan', '#EnvironnementCanada']",[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral,#EnvironnementCan #EnvironnementCanada,0.0,neutral
"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1484320616,1.78e+16,2017-01-12_12-28-09,beaucoup de chemin en effet!!,[],[],beaucoup chemin effet,"['beaucoup', 'chemin', 'effet']","[u'beaucoup', u'chemin', u'effet']",beaucoup chin effect,0.0,0.0,Neutral,Neutral,@thegreatjoceline beaucoup de chemin en effet!!,0.15625,positive
"{""username"":""thegreatjoceline"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/14134621_1589686114668080_820281783_a.jpg"",""id"":""3684009738""}",1484270165,1.79e+16,2017-01-12_12-28-09,On en a fait du chemin?,[],[],fait chemin,"['fait', 'chemin']","[u'fait', u'chemin']",fait chin,0.0,0.0,Neutral,Neutral,On en a fait du chemin?,0.0,neutral
"{""username"":""dannyslapbass"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/19051051_460898334262363_7030596292271144960_a.jpg"",""id"":""1788974774""}",1484755482,1.78e+16,2017-01-18_06-46-45,bien sur!!,[],[],bien,['bien'],[u'bien'],bien,0.0,0.0,Neutral,Neutral,@environnementcan bien sur!!,0.0,neutral
"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1484754531,1.79e+16,2017-01-18_06-46-45,Il est tellement mignon,[],[],tellement mignon,"['tellement', 'mignon']","[u'tellement', u'mignon']",element minor,0.0,-0.05,Neutral,Neutral,Il est tellement mignon ??,0.15,positive
"{""username"":""dannyslapbass"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/19051051_460898334262363_7030596292271144960_a.jpg"",""id"":""1788974774""}",1484752375,1.79e+16,2017-01-18_06-46-45,Nice!!!,[],[],Nice,['Nice'],[u'nice'],Vice,0.6,0.0,Positive,Neutral,Nice!!!,0.0,neutral
"{""username"":""jericka88"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/26222394_2072301653006353_4941605056551059456_n.jpg"",""id"":""32927813""}",1485484023,1.78e+16,2017-01-26_10-32-16,Wow! Quelle magnifique et ̩trange esp̬ce.,[],[],Wow Quelle magnifique et trange ce,"['Wow', 'Quelle', 'magnifique', 'et', 'trange', 'ce']","[u'wow', u'quell', u'magnifiqu', 'et', u'trang', 'ce']",Now Quelle magnifique et strange ce,0.1,-0.05,Neutral,Neutral,Wow! Quelle magnifique et ̩trange esp̬ce. ??,1.0,positive
"{""username"":""dannyslapbass"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/19051051_460898334262363_7030596292271144960_a.jpg"",""id"":""1788974774""}",1485802396,1.79e+16,2017-01-30_08-01-35,,[],[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral,??,0.0,neutral
"{""username"":""lysianecf"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/14701060_548137552050987_6368943454902288384_a.jpg"",""id"":""1396603340""}",1486822431,1.79e+16,2017-02-11_05-20-35,,[],[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral,???,0.0,neutral
"{""username"":""darthbulshiter"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/20065512_468453020196230_3066610991555936256_a.jpg"",""id"":""375123003""}",1487459733,1.78e+16,2017-02-17_07-57-53,,[],[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral,@juliensc91,0.0,neutral
"{""username"":""environnementcan"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25016584_1248753311891192_7797948622686912512_n.jpg"",""id"":""3913646610""}",1487801759,1.79e+16,2017-02-20_07-04-12,La Colombie-Britannique prot̬ge % de ses terres!,[],[],La Colombie Britannique ge de ses terres,"['La', 'Colombie', 'Britannique', 'ge', 'de', 'ses', 'terres']","['la', u'colombi', u'britanniqu', 'ge', 'de', u'ses', u'terr']",A Colombia Britannique he de ses teres,0.0,0.0,Neutral,Neutral,La Colombie-Britannique prot̬ge 14% de ses terres! ??,0.0,neutral
"{""username"":""yeg_blog"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/21984625_1583211938384486_3389032485659607040_n.jpg"",""id"":""3128282779""}",1487611050,1.79e+16,2017-02-20_07-04-12,,[],[],,['nan'],[u'nan'],,0.0,0.0,Neutral,Neutral,?,0.0,neutral
