post_id,owner,created_at,id,text_cleaned,hashtags,urls,text_filtered_comment,text_tokenized_comment,text_stemmed_comment,text_filtered_spell_corrected,text_sentiment_scores,text_corrected_sentiment_scores,text_sentiment_scores_type,text_corrected_sentiment_scores_type,text_original_comment,text_sentiment_original_scores,text_sentiment_original_scores_type,mediaid,video_url,owner_username,url,tagged_users,comments,typename,caption,likes,shortcode,date,caption_mentions,is_video,caption_hashtags,owner_id,text_filtered_post,text_tokenized_post,text_stemmed_post,text_original_post,category
2016-10-17_07-43-13,"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}",1476715448,1.78E+16,,"['#BehindTheScenes', '#AllAccess', '#VIP', '#InstaScience', '#Weather', '#EnvironmentCanada', '#CdnSci', '#CdnEnv', '#Canada', '#Weather', '#Wildlife', '#Science', '#Environment']",[],,['nan'],[u'nan'],,0,0,Neutral,Neutral,#BehindTheScenes #AllAccess #VIP #InstaScience #Weather #EnvironmentCanada #CdnSci #CdnEnv #Canada #Weather #Wildlife #Science #Environment,0,Neutral,1.36E+18,https://instagram.fyvr3-1.fna.fbcdn.net/vp/e962d790aef99ad1b8e7d7fc7b927758/5A637549/t50.2886-16/25029936_1975530216028219_7721154925262012416_n.mp4,canenvironment,https://instagram.fyvr3-1.fna.fbcdn.net/vp/6fa52149e0a783d58f77577bde5147a4/5A639A2D/t51.2885-15/e15/25007307_1563330830422304_7773403309792034816_n.jpg,[],1,GraphVideo,"You probably know us as Environment Canada, but we’ve been Environment and Climate Change Canada for almost a year now. What do we do? Sure, we give you your weather info so you can plan your days, but we do so much more than that! Stay tuned and find out what we’re all about. We’re giving you access to exclusive behind-the-scenes photos and videos from teams located across our beautiful country.",24,BLqvU1TgqfW,2016-10-17T07:43:13,[],TRUE,[],3913900802,probably know us Environment Canada Environment Climate Change Canada almost year Sure give weather info plan days much Stay tuned find giving access exclusive behind scenes photos videos teams located across beautiful country,"['probably', 'know', 'us', 'Environment', 'Canada', 'Environment', 'Climate', 'Change', 'Canada', 'almost', 'year', 'Sure', 'give', 'weather', 'info', 'plan', 'days', 'much', 'Stay', 'tuned', 'find', 'giving', 'access', 'exclusive', 'behind', 'scenes', 'photos', 'videos', 'teams', 'located', 'across', 'beautiful', 'country']","[u'probabl', u'know', 'us', u'environ', u'canada', u'environ', u'climat', u'chang', u'canada', u'almost', u'year', u'sure', u'give', u'weather', u'info', u'plan', u'day', u'much', u'stay', u'tune', u'find', u'give', u'access', u'exclus', u'behind', u'scene', u'photo', u'video', u'team', u'locat', u'across', u'beauti', u'countri']","You probably know us as Environment Canada, but we’ve been Environment and Climate Change Canada for almost a year now. What do we do? Sure, we give you your weather info so you can plan your days, but we do so much more than that! Stay tuned and find out what we’re all about. We’re giving you access to exclusive behind-the-scenes photos and videos from teams located across our beautiful country.",Environmental
2016-10-18_05-56-05,"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}",1476795409,1.79E+16,,"['#FraserValley', '#Conservation', '#BirdNerd', '#Birds', '#TBT', '#FlashBack', '#Summer', '#Wildlife', '#PersonsDay', '#NoFilter']",[],,['nan'],[u'nan'],,0,0,Neutral,Neutral,#FraserValley #Conservation #BirdNerd #Birds #TBT #FlashBack #Summer #Wildlife #PersonsDay #NoFilter,0,Neutral,1.36E+18,,canenvironment,https://instagram.fyvr3-1.fna.fbcdn.net/vp/e91fca5ed840e34dfe4e1e2bccf5b15c/5AF0EFD0/t51.2885-15/e35/25008014_307920273028697_2885383575190896640_n.jpg,[],1,GraphImage,"“Being biologists, we were out looking for great blue herons again this summer. By visiting nesting sites, we can monitor these awesome birds and track the species. Sadly, their numbers are declining, so we’re learning all we can!” – Kate and Britney, CWS Crew",28,BLtH2_ngbkD,2016-10-18T05:56:05,[],FALSE,[],3913900802,biologists looking great blue herons summer visiting nesting sites monitor awesome birds track species Sadly numbers declining learning Kate Britney CWS Crew,"['biologists', 'looking', 'great', 'blue', 'herons', 'summer', 'visiting', 'nesting', 'sites', 'monitor', 'awesome', 'birds', 'track', 'species', 'Sadly', 'numbers', 'declining', 'learning', 'Kate', 'Britney', 'CWS', 'Crew']","[u'biologist', u'look', u'great', u'blue', u'heron', u'summer', u'visit', u'nest', u'site', u'monitor', u'awesom', u'bird', u'track', u'speci', u'sad', u'number', u'declin', u'learn', u'kate', u'britney', u'cws', u'crew']","“Being biologists, we were out looking for great blue herons again this summer. By visiting nesting sites, we can monitor these awesome birds and track the species. Sadly, their numbers are declining, so we’re learning all we can!” – Kate and Britney, CWS Crew",Environmental
2016-10-19_05-05-39,"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}",1476878775,1.79E+16,,"['#Weather', '#WeatherStation', '#WeatherNerd', '#Vancouver', '#Meteorology', '#WeatherPhotos', '#WeatherOfInstagram', '#CanadianCoastGuard', '#WeatherWednesday', '#NoFilterNeeded']",[],,['nan'],[u'nan'],,0,0,Neutral,Neutral,#Weather #WeatherStation #WeatherNerd #Vancouver #Meteorology #WeatherPhotos #WeatherOfInstagram #CanadianCoastGuard #WeatherWednesday #NoFilterNeeded,0,Neutral,1.36E+18,,canenvironment,https://instagram.fyvr3-1.fna.fbcdn.net/vp/e60b88fd02569ab5c78b71c682121965/5ADEED10/t51.2885-15/e35/25010110_193696581198275_2105655326576476160_n.jpg,[],1,GraphImage,"“Approaching Sand Heads, a weather station off Vancouver Island in the Georgia Strait. Sometimes, I go on familiarization trips as a meteorologist, for example, to replace and calibrate weather sensors. To do that, I hop into a hovercraft with the Canadian Coast Guard! You’re jealous, I know! In the background, one of our monitoring technicians and three coast guards unload our equipment onto the platform.” – Cindy YU, MSC Crew",42,BLvm4g0AUKw,2016-10-19T05:05:39,[],FALSE,[],3913900802,Approaching Sand Heads weather station Vancouver Island Georgia Strait Sometimes go familiarization trips meteorologist example replace calibrate weather sensors hop hovercraft Canadian Coast Guard jealous know background one monitoring technicians three coast guards unload equipment onto platform Cindy YU MSC Crew,"['Approaching', 'Sand', 'Heads', 'weather', 'station', 'Vancouver', 'Island', 'Georgia', 'Strait', 'Sometimes', 'go', 'familiarization', 'trips', 'meteorologist', 'example', 'replace', 'calibrate', 'weather', 'sensors', 'hop', 'hovercraft', 'Canadian', 'Coast', 'Guard', 'jealous', 'know', 'background', 'one', 'monitoring', 'technicians', 'three', 'coast', 'guards', 'unload', 'equipment', 'onto', 'platform', 'Cindy', 'YU', 'MSC', 'Crew']","[u'approach', u'sand', u'head', u'weather', u'station', u'vancouv', u'island', u'georgia', u'strait', u'sometim', 'go', u'familiar', u'trip', u'meteorologist', u'exampl', u'replac', u'calibr', u'weather', u'sensor', u'hop', u'hovercraft', u'canadian', u'coast', u'guard', u'jealous', u'know', u'background', u'one', u'monitor', u'technician', u'three', u'coast', u'guard', u'unload', u'equip', u'onto', u'platform', u'cindi', 'yu', u'msc', u'crew']","“Approaching Sand Heads, a weather station off Vancouver Island in the Georgia Strait. Sometimes, I go on familiarization trips as a meteorologist, for example, to replace and calibrate weather sensors. To do that, I hop into a hovercraft with the Canadian Coast Guard! You’re jealous, I know! In the background, one of our monitoring technicians and three coast guards unload our equipment onto the platform.” – Cindy YU, MSC Crew",Environmental
2016-10-20_07-16-34,"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}",1476977810,1.79E+16,"you are right, we are talking about the little guy on the right! We'll adjust the caption to make it more clear!",[],[],right talking little guy right adjust caption make clear,"['right', 'talking', 'little', 'guy', 'right', 'adjust', 'caption', 'make', 'clear']","[u'right', u'talk', u'littl', u'guy', u'right', u'adjust', u'caption', u'make', u'clear']",right talking little guy right adjust caution make clear,0.120982143,0.120982143,Neutral,Neutral,"@dianewestlake you are right,  we are talking about the little guy on the right! We'll adjust the caption to make it more clear!",0.216071429,Neutral,1.37E+18,,canenvironment,https://instagram.fyvr3-1.fna.fbcdn.net/vp/a1dd70b2d653bd96493ca72fda34aff7/5AF07AA7/t51.2885-15/e35/25005789_176817053057713_6282560036103258112_n.jpg,[],4,GraphImage,"“Puffin Patrol to the rescue! This young puffin (on the right), found near the Witless Bay Ecological Reserve, NL, was drawn ashore by bright lights from nearby communities at night. We band and measure the rescued puffins before releasing them back in to the ocean.” - Sabina, CWS Crew",46,BLyaqSVA1Ex,2016-10-20T07:16:34,[],FALSE,[],3913900802,Puffin Patrol rescue young puffin right found near Witless Bay Ecological Reserve NL drawn ashore bright lights nearby communities night band measure rescued puffins releasing back ocean Sabina CWS Crew,"['Puffin', 'Patrol', 'rescue', 'young', 'puffin', 'right', 'found', 'near', 'Witless', 'Bay', 'Ecological', 'Reserve', 'NL', 'drawn', 'ashore', 'bright', 'lights', 'nearby', 'communities', 'night', 'band', 'measure', 'rescued', 'puffins', 'releasing', 'back', 'ocean', 'Sabina', 'CWS', 'Crew']","[u'puffin', u'patrol', u'rescu', u'young', u'puffin', u'right', u'found', u'near', u'witless', u'bay', u'ecolog', u'reserv', 'nl', u'drawn', u'ashor', u'bright', u'light', u'nearbi', u'communiti', u'night', u'band', u'measur', u'rescu', u'puffin', u'releas', u'back', u'ocean', u'sabina', u'cws', u'crew']","“Puffin Patrol to the rescue! This young puffin (on the right), found near the Witless Bay Ecological Reserve, NL, was drawn ashore by bright lights from nearby communities at night. We band and measure the rescued puffins before releasing them back in to the ocean.” - Sabina, CWS Crew",Environmental
2016-10-20_07-16-34,"{""username"":""dianewestlake"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/19050759_1295318527254562_4316595299603709952_a.jpg"",""id"":""1549408568""}",1476974993,1.79E+16,Even the beak looks a different shape,[],[],Even beak looks different shape,"['Even', 'beak', 'looks', 'different', 'shape']","[u'even', u'beak', u'look', u'differ', u'shape']",Even beak looks different shape,0,0,Neutral,Neutral,Even the beak looks a different shape,0,Neutral,1.37E+18,,canenvironment,https://instagram.fyvr3-1.fna.fbcdn.net/vp/a1dd70b2d653bd96493ca72fda34aff7/5AF07AA7/t51.2885-15/e35/25005789_176817053057713_6282560036103258112_n.jpg,[],4,GraphImage,"“Puffin Patrol to the rescue! This young puffin (on the right), found near the Witless Bay Ecological Reserve, NL, was drawn ashore by bright lights from nearby communities at night. We band and measure the rescued puffins before releasing them back in to the ocean.” - Sabina, CWS Crew",46,BLyaqSVA1Ex,2016-10-20T07:16:34,[],FALSE,[],3913900802,Puffin Patrol rescue young puffin right found near Witless Bay Ecological Reserve NL drawn ashore bright lights nearby communities night band measure rescued puffins releasing back ocean Sabina CWS Crew,"['Puffin', 'Patrol', 'rescue', 'young', 'puffin', 'right', 'found', 'near', 'Witless', 'Bay', 'Ecological', 'Reserve', 'NL', 'drawn', 'ashore', 'bright', 'lights', 'nearby', 'communities', 'night', 'band', 'measure', 'rescued', 'puffins', 'releasing', 'back', 'ocean', 'Sabina', 'CWS', 'Crew']","[u'puffin', u'patrol', u'rescu', u'young', u'puffin', u'right', u'found', u'near', u'witless', u'bay', u'ecolog', u'reserv', 'nl', u'drawn', u'ashor', u'bright', u'light', u'nearbi', u'communiti', u'night', u'band', u'measur', u'rescu', u'puffin', u'releas', u'back', u'ocean', u'sabina', u'cws', u'crew']","“Puffin Patrol to the rescue! This young puffin (on the right), found near the Witless Bay Ecological Reserve, NL, was drawn ashore by bright lights from nearby communities at night. We band and measure the rescued puffins before releasing them back in to the ocean.” - Sabina, CWS Crew",Environmental
2016-10-20_07-16-34,"{""username"":""dianewestlake"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/19050759_1295318527254562_4316595299603709952_a.jpg"",""id"":""1549408568""}",1476974950,1.79E+16,Are they both the same bird?The one on the right looks much darker without the striking white face,[],[],bird one right looks much darker without striking white face,"['bird', 'one', 'right', 'looks', 'much', 'darker', 'without', 'striking', 'white', 'face']","[u'bird', u'one', u'right', u'look', u'much', u'darker', u'without', u'strike', u'white', u'face']",bird one right looks much darker without striking white face,0.246428571,0.246428571,Neutral,Neutral,Are they both the same bird?The one on the right looks much darker without the striking white face,0.197142857,Neutral,1.37E+18,,canenvironment,https://instagram.fyvr3-1.fna.fbcdn.net/vp/a1dd70b2d653bd96493ca72fda34aff7/5AF07AA7/t51.2885-15/e35/25005789_176817053057713_6282560036103258112_n.jpg,[],4,GraphImage,"“Puffin Patrol to the rescue! This young puffin (on the right), found near the Witless Bay Ecological Reserve, NL, was drawn ashore by bright lights from nearby communities at night. We band and measure the rescued puffins before releasing them back in to the ocean.” - Sabina, CWS Crew",46,BLyaqSVA1Ex,2016-10-20T07:16:34,[],FALSE,[],3913900802,Puffin Patrol rescue young puffin right found near Witless Bay Ecological Reserve NL drawn ashore bright lights nearby communities night band measure rescued puffins releasing back ocean Sabina CWS Crew,"['Puffin', 'Patrol', 'rescue', 'young', 'puffin', 'right', 'found', 'near', 'Witless', 'Bay', 'Ecological', 'Reserve', 'NL', 'drawn', 'ashore', 'bright', 'lights', 'nearby', 'communities', 'night', 'band', 'measure', 'rescued', 'puffins', 'releasing', 'back', 'ocean', 'Sabina', 'CWS', 'Crew']","[u'puffin', u'patrol', u'rescu', u'young', u'puffin', u'right', u'found', u'near', u'witless', u'bay', u'ecolog', u'reserv', 'nl', u'drawn', u'ashor', u'bright', u'light', u'nearbi', u'communiti', u'night', u'band', u'measur', u'rescu', u'puffin', u'releas', u'back', u'ocean', u'sabina', u'cws', u'crew']","“Puffin Patrol to the rescue! This young puffin (on the right), found near the Witless Bay Ecological Reserve, NL, was drawn ashore by bright lights from nearby communities at night. We band and measure the rescued puffins before releasing them back in to the ocean.” - Sabina, CWS Crew",Environmental
2016-10-20_07-16-34,"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}",1476973070,1.79E+16,,"['#NewFoundland', '#EastCoast', '#Puffin', '#Atlantic', '#BirdNerd', '#AtlanticPuffin', '#NoFilter', '#PhotoOfTheDay', '#InstaBird', '#BirdsOfInstagram']",[],,['nan'],[u'nan'],,0,0,Neutral,Neutral,#NewFoundland #EastCoast #Puffin #Atlantic #BirdNerd #AtlanticPuffin #NoFilter #PhotoOfTheDay #InstaBird #BirdsOfInstagram,0,Neutral,1.37E+18,,canenvironment,https://instagram.fyvr3-1.fna.fbcdn.net/vp/a1dd70b2d653bd96493ca72fda34aff7/5AF07AA7/t51.2885-15/e35/25005789_176817053057713_6282560036103258112_n.jpg,[],4,GraphImage,"“Puffin Patrol to the rescue! This young puffin (on the right), found near the Witless Bay Ecological Reserve, NL, was drawn ashore by bright lights from nearby communities at night. We band and measure the rescued puffins before releasing them back in to the ocean.” - Sabina, CWS Crew",46,BLyaqSVA1Ex,2016-10-20T07:16:34,[],FALSE,[],3913900802,Puffin Patrol rescue young puffin right found near Witless Bay Ecological Reserve NL drawn ashore bright lights nearby communities night band measure rescued puffins releasing back ocean Sabina CWS Crew,"['Puffin', 'Patrol', 'rescue', 'young', 'puffin', 'right', 'found', 'near', 'Witless', 'Bay', 'Ecological', 'Reserve', 'NL', 'drawn', 'ashore', 'bright', 'lights', 'nearby', 'communities', 'night', 'band', 'measure', 'rescued', 'puffins', 'releasing', 'back', 'ocean', 'Sabina', 'CWS', 'Crew']","[u'puffin', u'patrol', u'rescu', u'young', u'puffin', u'right', u'found', u'near', u'witless', u'bay', u'ecolog', u'reserv', 'nl', u'drawn', u'ashor', u'bright', u'light', u'nearbi', u'communiti', u'night', u'band', u'measur', u'rescu', u'puffin', u'releas', u'back', u'ocean', u'sabina', u'cws', u'crew']","“Puffin Patrol to the rescue! This young puffin (on the right), found near the Witless Bay Ecological Reserve, NL, was drawn ashore by bright lights from nearby communities at night. We band and measure the rescued puffins before releasing them back in to the ocean.” - Sabina, CWS Crew",Environmental
2016-10-21_08-24-41,"{""username"":""_kevy_93_"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/22069794_1241797192593260_6765894717629530112_n.jpg"",""id"":""540335262""}",1477080518,1.78E+16,"I'd love to be apart of the team, such awesome adventures",[],[],love apart team awesome adventures,"['love', 'apart', 'team', 'awesome', 'adventures']","[u'love', u'apart', u'team', u'awesom', u'adventur']",love apart team awesome adventures,0.75,0.75,Positive,Positive,"I'd love to be apart of the team, such awesome adventures",0.5,Positive,1.37E+18,,canenvironment,https://instagram.fyvr3-1.fna.fbcdn.net/vp/be2bf43c1559c387d95cee08508f4a10/5AE624CC/t51.2885-15/e35/25005344_454568748270559_2412271439815114752_n.jpg,[],2,GraphImage,Spotted: Our mini van on a field trip for bird conservation to the beautiful Lac du Bois grasslands.,33,BL1HP__AoPD,2016-10-21T08:24:41,[],FALSE,[],3913900802,Spotted mini van field trip bird conservation beautiful Lac du Bois grasslands,"['Spotted', 'mini', 'van', 'field', 'trip', 'bird', 'conservation', 'beautiful', 'Lac', 'du', 'Bois', 'grasslands']","[u'spot', u'mini', u'van', u'field', u'trip', u'bird', u'conserv', u'beauti', u'lac', 'du', u'boi', u'grassland']",Spotted: Our mini van on a field trip for bird conservation to the beautiful Lac du Bois grasslands.,Environmental
2016-10-21_08-24-41,"{""username"":""canenvironment"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/25024470_1534401366647809_3883762243703144448_n.jpg"",""id"":""3913900802""}",1477063725,1.79E+16,,"['#Conservation', '#Grasslands', '#BC', '#BeautifulBC', '#ExploreBC', '#Kamloops', '#Nature', '#Environmentalist', '#BirdLovers', '#Explorer', '#BiologistsOFInstagram', '#MiniVan', '#FieldTrip', '#FridayFun', '#NoFilter']",[],,['nan'],[u'nan'],,0,0,Neutral,Neutral,#Conservation #Grasslands #BC #BeautifulBC #ExploreBC #Kamloops #Nature #Environmentalist #BirdLovers #Explorer #BiologistsOFInstagram #MiniVan #FieldTrip #FridayFun #NoFilter,0,Neutral,1.37E+18,,canenvironment,https://instagram.fyvr3-1.fna.fbcdn.net/vp/be2bf43c1559c387d95cee08508f4a10/5AE624CC/t51.2885-15/e35/25005344_454568748270559_2412271439815114752_n.jpg,[],2,GraphImage,Spotted: Our mini van on a field trip for bird conservation to the beautiful Lac du Bois grasslands.,33,BL1HP__AoPD,2016-10-21T08:24:41,[],FALSE,[],3913900802,Spotted mini van field trip bird conservation beautiful Lac du Bois grasslands,"['Spotted', 'mini', 'van', 'field', 'trip', 'bird', 'conservation', 'beautiful', 'Lac', 'du', 'Bois', 'grasslands']","[u'spot', u'mini', u'van', u'field', u'trip', u'bird', u'conserv', u'beauti', u'lac', 'du', u'boi', u'grassland']",Spotted: Our mini van on a field trip for bird conservation to the beautiful Lac du Bois grasslands.,Environmental
2016-10-24_07-03-53,"{""username"":""sue_vue"",""profile_pic_url"":""https://instagram.fyvr3-1.fna.fbcdn.net/t51.2885-19/s150x150/12798136_493632827486612_354749159_a.jpg"",""id"":""1485739187""}",1477347924,1.78E+16,One of my faves BUOW are the best!,[],[],One faves BUOW best,"['One', 'faves', 'BUOW', 'best']","[u'one', u'fave', u'buow', u'best']",One faces BUOW best,1,1,Positive,Positive,One of my faves :-) BUOW are the best!,0.75,Positive,1.37E+18,,canenvironment,https://instagram.fyvr3-1.fna.fbcdn.net/vp/705349351502ad4a65f10ef3c0a8dcfb/5AEA37CA/t51.2885-15/e35/25015292_104158583707618_1708830851283812352_n.jpg,[],4,GraphImage,"""Monday got me like"" Burrowing Owl caught by one of our Infrared motion-sensor cameras. Our biologists use the cameras to take images in wildlife habitats across Canada.",66,BL8sYzEg_aX,2016-10-24T07:03:53,[],FALSE,[],3913900802,Monday got like Burrowing Owl caught one Infrared motion sensor cameras biologists use cameras take images wildlife habitats across Canada,"['Monday', 'got', 'like', 'Burrowing', 'Owl', 'caught', 'one', 'Infrared', 'motion', 'sensor', 'cameras', 'biologists', 'use', 'cameras', 'take', 'images', 'wildlife', 'habitats', 'across', 'Canada']","[u'monday', u'got', u'like', u'burrow', u'owl', u'caught', u'one', u'infrar', u'motion', u'sensor', u'camera', u'biologist', u'use', u'camera', u'take', u'imag', u'wildlif', u'habitat', u'across', u'canada']","""Monday got me like""  Burrowing Owl caught by one of our Infrared motion-sensor cameras. Our biologists use the cameras to take images in wildlife habitats across Canada.",Environmental
