comment_id,status_id,parent_id,comment_message,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special
324838921332206_325309624618469,242079006274865_324838921332206,,Good to see the ship in action during a Canadian winter,2017-12-30 23:14:06,2,2,0,0,0,0,0,0
320685611747537_324028171413281,242079006274865_320685611747537,,"Good job Caitin, I am very happy CCG has renewed its fleet of helicopters!   Kudos for your work!   Very nice building enlargement at the training centre!",2017-12-27 12:21:12,3,3,0,0,0,0,0,0
320681858414579_323731381442960,242079006274865_320681858414579,,They're a comfort to see,2017-12-26 17:04:08,0,0,0,0,0,0,0,0
320681858414579_323921268090638,242079006274865_320681858414579,,That's the picture I expect to see right about now,2017-12-27 06:23:41,0,0,0,0,0,0,0,0
320798908402874_324825901333508,242079006274865_320798908402874,,"Tyler Petten , Jake Albert John Mitchell",2017-12-29 16:56:37,0,0,0,0,0,0,0,0
320798908402874_327276747755090,242079006274865_320798908402874,,Can't wait to apply!,2018-01-04 20:17:40,1,1,0,0,0,0,0,0
320798908402874_327895281026570,242079006274865_320798908402874,,love to..but I am 72,2018-01-06 11:48:51,0,0,0,0,0,0,0,0
320679695081462_323288344820597,242079006274865_320679695081462,,"Merry Christmas Lifeboat Stations, Ships Crew and all who support..",2017-12-25 10:34:54,1,1,0,0,0,0,0,0
320679695081462_323298561486242,242079006274865_320679695081462,,Merry Christmas to the crew on the Henry Larsen today!❤️,2017-12-25 11:10:55,1,1,0,0,0,0,0,0
320679695081462_323322288150536,242079006274865_320679695081462,,Bless you all for your service 🇨🇦🇨🇦🇨🇦❤️❤️❤️👍👍👍😇😇😇☃☃☃,2017-12-25 12:44:25,1,1,0,0,0,0,0,0
321866441629454_322934881522610,242079006274865_321866441629454,,Where is this?,2017-12-24 12:23:55,0,0,0,0,0,0,0,0
321866441629454_322992508183514,242079006274865_321866441629454,,,2017-12-24 16:16:16,0,0,0,0,0,0,0,0
321866441629454_323009161515182,242079006274865_321866441629454,,Merry Christmas to all MCTSO’s working during the holidays!,2017-12-24 17:26:42,3,3,0,0,0,0,0,0
321866441629454_323453241470774,242079006274865_321866441629454,,Riley Harris,2017-12-25 22:12:42,0,0,0,0,0,0,0,0
321866441629454_323740361442062,242079006274865_321866441629454,321866441629454_323453241470774,Ahhhhh!!! hopefully ☺️,2017-12-26 17:53:48,1,1,0,0,0,0,0,0
321866441629454_324044681411630,242079006274865_321866441629454,,Wishing you all a merry Christmas and a new year filled with many blessings! 🎉🎄Thank you all for your service.....🙌😊,2017-12-27 13:23:42,2,2,0,0,0,0,0,0
321866441629454_324186024730829,242079006274865_321866441629454,,I was kinda expecting to see a centre a day.....,2017-12-28 00:41:26,0,0,0,0,0,0,0,0
321866441629454_324222384727193,242079006274865_321866441629454,,"Merry Christmas and Happy New Year to all MCTS operators. Thank you for your service the whole year through, from a fellow civil servant and shift worker.",2017-12-28 03:23:25,4,3,1,0,0,0,0,0
321864224963009_322557518227013,242079006274865_321864224963009,,Awesome Kevin !!! Merry Christmas!!! Gus & Barb,2017-12-23 11:25:11,2,2,0,0,0,0,0,0
321864224963009_322558618226903,242079006274865_321864224963009,,Very cool Kevin!! So proud!! Merry Christmas. 🎄🎁,2017-12-23 11:28:58,2,2,0,0,0,0,0,0
321864224963009_322568451559253,242079006274865_321864224963009,,Great picture!!  ❤,2017-12-23 12:01:53,3,3,0,0,0,0,0,0
321864224963009_322988011517297,242079006274865_321864224963009,,Looking good Yede Cheng,2017-12-24 15:54:35,3,2,1,0,0,0,0,0
321856728297092_322184971597601,242079006274865_321856728297092,,Summer work has come to another end,2017-12-22 11:12:34,1,1,0,0,0,0,0,0
321856728297092_324304508052314,242079006274865_321856728297092,,Ang galing naman nyan maaring mabuhat ang barko sa ganong kabigat,2017-12-28 08:05:08,0,0,0,0,0,0,0,0
321849441631154_321899318292833,242079006274865_321849441631154,,Leo Hood,2017-12-21 16:56:44,1,1,0,0,0,0,0,0
321175911698507_321909821625116,242079006274865_321175911698507,,"I was one of four Toronto Police Marine Unit officers who participated in that RHIOT course and it was an amazing learning experience. Great instructors, equipment and the CCG should be proud of the men and women who run the training and education section. Class act.",2017-12-21 17:36:47,2,2,0,0,0,0,0,0
320796681736430_321398108342954,242079006274865_320796681736430,,Kate G,2017-12-20 09:04:33,0,0,0,0,0,0,0,0
320796681736430_321496681666430,242079006274865_320796681736430,,look good in uniform Peter!,2017-12-20 14:44:18,1,1,0,0,0,0,0,0
320796681736430_321572511658847,242079006274865_320796681736430,,Proud of Canadian Coast Guard.,2017-12-20 21:05:34,2,2,0,0,0,0,0,0
320796681736430_321754654973966,242079006274865_320796681736430,,Stéphane Julien...le Rouge et Blanc c'est le plus beau!♥️,2017-12-21 08:44:15,1,1,0,0,0,0,0,0
320796681736430_321901871625911,242079006274865_320796681736430,,"So good to hear and see, in this world filled with so much unrest....you all got along, that's the kind of thing that will save the good ,the peace of our world. Thanks !",2017-12-21 17:09:54,2,2,0,0,0,0,0,0
320796681736430_322562671559831,242079006274865_320796681736430,,check this out Osiris King,2017-12-23 11:41:32,1,1,0,0,0,0,0,0
320804878402277_320814608401304,242079006274865_320804878402277,,Just don't try and take the  CCGS Sir William Alexander into Port aux Choix.  O.o,2017-12-18 17:06:09,2,1,0,1,0,0,0,0
320804878402277_320816585067773,242079006274865_320804878402277,320804878402277_320814608401304,"There is not enough water and too many rocks. It took the CCGS Terry Fox to pull her off. The""two gulls"" in Port aux Choix has a photo album",2017-12-18 17:17:04,2,1,0,1,0,0,0,0
320804878402277_320820538400711,242079006274865_320804878402277,,Merry Christmas CCG.,2017-12-18 17:38:06,1,1,0,0,0,0,0,0
320804878402277_322533234896108,242079006274865_320804878402277,320804878402277_320820538400711,"Thank you! Wishing CCG, Atlantic Region Fans a spectacular holiday season.",2017-12-23 10:30:20,0,0,0,0,0,0,0,0
320778055071626_320778551738243,242079006274865_320778055071626,,Congrats Wynn Toronitz! So proud of you.,2017-12-18 14:25:16,2,2,0,0,0,0,0,0
320778055071626_320820408400724,242079006274865_320778055071626,,Well done.  Merry Christmas all.,2017-12-18 17:37:27,1,1,0,0,0,0,0,0
320778055071626_320833105066121,242079006274865_320778055071626,,"Bravo Zulu Zack, very proud of you!",2017-12-18 18:53:00,1,1,0,0,0,0,0,0
320778055071626_320841361731962,242079006274865_320778055071626,,Congratulations,2017-12-18 19:47:36,0,0,0,0,0,0,0,0
