Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_shares,num_likes,Reactions_SUM,language,average_sentiment_score,sentiment,account_name,words_matched_list,matched_keywords,category
0,925738376556195840,2017-11-01 14:56:43,[],RT @VeteransENG_CA: RT to remember &amp; get a reminder on 11/11. Join our tribute and be added to a mosaic remembering Canada's Veterans #Cana…,RT RT remember amp get reminder 11 11 Join tribute added mosaic remembering Canada Veterans,['#Cana'],24496,0,24496,en,0.0,Neutral,CCG_GCC_tweeter,,[],unknown
1,824977651806924804,2017-01-27 13:49:34,['https://t.co/ZNBkCcU66J'],RT @Bell_LetsTalk: The final results are in! Thank you all for your unbelievable participation! #BellLetsTalk https://t.co/ZNBkCcU66J,RT final results Thank unbelievable participation BellLetsTalk https co ZNBkCcU66J,['#BellLetsTalk'],3216,0,3216,en,-0.15625,Neutral,CCG_GCC_tweeter,,[],unknown
2,831852682830815232,2017-02-15 13:08:29,"['https://t.co/OwJFD4KsJ7', 'https://\xe2\x80\xa6']",RT @environmentca: Happy National Flag of Canada Day! Your country! Your flag! 🇨🇦 #CanadianFlag #Canada150 https://t.co/OwJFD4KsJ7 https://…,RT environmentca Happy National Flag Canada Day country flag CanadianFlag Canada150 https co OwJFD4KsJ7 https,"['#CanadianFlag', '#Canada150']",1781,0,1781,en,1.0,Positive,CCG_GCC_tweeter,,['#canada150'],Social
3,824250846066130944,2017-01-25 13:41:30,['https://\xe2\x80\xa6'],"RT @CanadianPM: Today, you can make a difference! A tweet or RT with #BellLetsTalk = 5 cents to support mental health initiatives! https://…",RT CanadianPM Today make difference tweet RT BellLetsTalk cents support mental health initiatives https,['#BellLetsTalk'],1168,0,1168,en,-0.125,Neutral,CCG_GCC_tweeter,['health'],['health'],Social
4,811378960324034560,2016-12-21 01:13:13,[],RT @CanadianPM: Canada will designate all Arctic Canadian waters as indefinitely off limits to future offshore oil and gas licensing.,RT CanadianPM Canada designate Arctic Canadian waters indefinitely limits future offshore oil gas licensing,[],617,0,617,en,0.0,Neutral,CCG_GCC_tweeter,"['water', 'gas', 'or', 'ice']","['arctic', 'water', 'future', 'oil', 'gas']",Economical
5,792059176860151808,2016-10-28 17:43:18,['https://t.c\xe2\x80\xa6'],RT @RoyalCdnLegion: It’s Day 1 of the Poppy Campaign–Time to #GetYourPoppy! Wear your Poppy as a visual pledge to never forget: https://t.c…,RT RoyalCdnLegion Day Poppy Time GetYourPoppy Wear Poppy visual pledge never forget https,['#GetYourPoppy'],589,0,589,en,0.0,Neutral,CCG_GCC_tweeter,['or'],[],unknown
6,831852754083655681,2017-02-15 13:08:46,[],"RT @ParksCanada: It’s been quite the race, but here we are! Happy #FlagDay Canada! Celebrating 52 years of the #CanadianFlag @WatertonLakes…",RT ParksCanada quite race Happy FlagDay Canada Celebrating 52 years CanadianFlag,"['#FlagDay', '#CanadianFlag']",567,0,567,en,1.0,Positive,CCG_GCC_tweeter,['race'],"['race', '#flagday']",Social
7,905841782797328385,2017-09-07 17:14:45,"['https://t.co/2QFlt2LxwW', 'https://t.co/W6mbBUOCIY']",Our new Emergency Response Vessel will be stationed at #Kitsilano Base to respond to marine hazards and incidents. https://t.co/2QFlt2LxwW https://t.co/W6mbBUOCIY,new Emergency Response Vessel stationed Kitsilano Base respond marine hazards incidents https co 2QFlt2LxwW https co W6mbBUOCIY,['#Kitsilano'],131,432,563,en,-0.33181818181818185,Neutral,CCG_GCC_tweeter,"['marine', 'mer']",['marine'],Environmental
8,877504165932670976,2017-06-21 12:31:11,[],"RT @GCIndigenous: Today, we celebrate #Indigenouspeoples in Canada and recognize their invaluable contributions, cultures and history. Happ…",RT GCIndigenous Today celebrate Indigenouspeoples Canada recognize invaluable contributions cultures history,['#Indigenouspeoples'],547,0,547,en,0.0,Neutral,CCG_GCC_tweeter,"['culture', 'indigenous']","['#indigenouspeoples', 'culture']",Social
9,824257515110232064,2017-01-25 14:08:00,['https://t.co/iLtBk\xe2\x80\xa6'],RT @CanadianPM: It's #BellLetsTalk Day! Join the conversation and let's work together to #EndTheStigma on #MentalHealth. https://t.co/iLtBk…,RT CanadianPM BellLetsTalk Day Join conversation let work together EndTheStigma MentalHealth https co,"['#BellLetsTalk', '#EndTheStigma', '#MentalHealth']",546,0,546,en,0.0,Neutral,CCG_GCC_tweeter,['health'],"['#endthestigma', '#mentalhealth']",Social
10,903294963106148355,2017-08-31 16:34:36,[],"RT @USCG: As of this morning #USCG crews have rescued over 9,000 people &amp; more than 1,000 pets total since #Harvey hit. Rescue missions con…",RT USCG morning USCG crews rescued 000 people amp 000 pets total since Harvey hit Rescue missions,"['#USCG', '#Harvey']",516,0,516,en,0.25,Neutral,CCG_GCC_tweeter,['or'],[],unknown
11,811944059191357441,2016-12-22 14:38:43,['https://t.co\xe2\x80\xa6'],RT @Transport_gc: #ICYMI- #Santa renewed his commercial pilot’s license! Watch what happened behind the scenes during his exam https://t.co…,RT ICYMI Santa renewed commercial license Watch happened behind scenes exam https,"['#ICYMI', '#Santa']",515,0,515,en,-0.2,Neutral,CCG_GCC_tweeter,"['ice', 'mer']",[],unknown
12,864858548706172929,2017-05-17 15:02:00,[],"RT @CanadaNATO: ""Everyone deserves to live free of stigma, persecution, and discrimination – no matter who they are or whom they love."" -@C…",RT CanadaNATO Everyone deserves live free stigma persecution discrimination matter love,[],480,0,480,en,0.34545454545454546,Positive,CCG_GCC_tweeter,['discrimination'],['discrimination'],Social
13,859071346663452673,2017-05-01 15:45:44,"['https://t.co/Vlr7v8gLq', 'https://\xe2\x80\xa6']","RT @CanadianPM: During #MentalHealthWeek, use the hashtag #GetLoud to raise awareness about mental health. https://t.co/Vlr7v8gLq2 https://…",RT CanadianPM MentalHealthWeek use hashtag GetLoud raise awareness mental health https co Vlr7v8gLq2 https,"['#MentalHealthWeek', '#GetLoud']",474,0,474,en,-0.1,Neutral,CCG_GCC_tweeter,['health'],"['#mentalhealthweek', '#getloud', 'health']",Social
