Unnamed: 0,id,date_published,link,caption_original,caption_cleaned,hashtags,num_comments,num_likes,Reactions_SUM,language,average_sentiment_score,account_name,words_matched_list,sentiment,matched_keywords,category
0,2017-02-11_05-13-23,2017-02-11T05:13:23,https://instagram.fyvr3-1.fna.fbcdn.net/vp/3f5a0d04cf8eba539daa936ec2f41151/5ADC1BAA/t51.2885-15/e35/24838901_1587091454711537_6110314306887221248_n.jpg,"Today is the International Day of Women and Girls in Science! We have the honor to work with many female scientists, including these ! Jesse, Marianna and Sara are meteorologists working at the Prairie and Arctic Storm Prediction Centre. They graduated from the Atmospheric Science Program at the University of Alberta. Impressive right? 🤗",Today International Day Women Girls Science honor work many female scientists including Jesse Marianna Sara meteorologists working Prairie Arctic Storm Prediction Centre graduated Atmospheric Science Program University Alberta Impressive right StormPrediction WomenScienceDay WomenScientists Meteorologists Meteorology WeatherForecast OfficeWork InstaScience EnvironmentCanada CanEnvironment CoolJob WomenInScience,"[""stormprediction"",""womenscienceday"",""womenscientists"",""meteorologists"",""meteorology"",""weatherforecast"",""officework"",""instascience"",""environmentcanada"",""canenvironment"",""cooljob"",""womeninscience""]",7,139,146,en,0.6309523809523809,canenvironment_instagram,"['or', 'ice', 'air']",positive,"['arctic', 'right']",Economical
1,2018-01-12_06-05-28,2018-01-12T06:05:28,https://instagram.fyvr3-1.fna.fbcdn.net/vp/e4a0830bae3e607e577e01a0f7972334/5AD8A952/t51.2885-15/e35/26180984_317780165375479_3088416257049886720_n.jpg,"Would you believe these pictures were taken back to back? One of our scientists working at the Eureka Weather Station in Eureka, Nunavut, went for a morning walk. Due to the moon being in its waning phase, the sun and the moon were clearly visible at the same time. The waning moon rises during the night, is visible in the morning, and sets during the day. After capturing this cool shot of a muskox and the moon, she turned around and saw a beautiful sunrise. : Renee Cossitt....",Would believe pictures taken back back nOne scientists working Eureka Weather Station Eureka Nunavut went morning walk Due moon waning phase sun moon clearly visible time waning moon rises night visible morning sets day capturing cool shot muskox moon turned around saw beautiful sunrise Renee Cossitt Sunrise InstaSunrise Wildlife CanadianWildlfe Eureka Nunavut EnvironmentCanada EnvironmentCan ExploreCanada FridayFeeling,"[""sunrise"",""instasunrise"",""wildlife"",""canadianwildlfe"",""eureka"",""nunavut"",""environmentcanada"",""environmentcan"",""explorecanada"",""fridayfeeling""]",0,135,135,en,0.0,canenvironment_instagram,"['wildlife', 'eau', 'or']",neutral,[],unknown
2,2017-06-27_13-49-23,2017-06-27T13:49:23,https://instagram.fyvr3-1.fna.fbcdn.net/vp/1aa71667981cf4f642d005d2363083be/5AF5C115/t51.2885-15/e35/25010942_510159062684614_1715675908167172096_n.jpg,"The clouds ️ pictured are called mammatus. Mammatus are formed from outpouching of water vapour high in the atmosphere. They are often (but not always) seen in the anvil of strong thunderstorms, as was the case on this summer day!.... : Kyle Fougere",clouds pictured called mammatus Mammatus formed outpouching water vapour high atmosphere often always seen anvil strong thunderstorms case summer day SevereWeather Weather WeatherNerd PhotoOfTheDay SummerWeather MeteorologicalServiceCanada EnvironmentCanada Clouds Cloud InstaCloud Mammatus MammatusClouds StormClouds Kyle Fougere,"[""severeweather"",""weather"",""weathernerd"",""photooftheday"",""summerweather"",""meteorologicalservicecanada"",""environmentcanada"",""clouds"",""cloud"",""instacloud"",""mammatus"",""mammatusclouds"",""stormclouds""]",8,120,128,en,0.3080853174603175,canenvironment_instagram,"['water', 'or', 'ice', 'mer']",positive,['water'],Environmental
3,2017-01-17_06-52-48,2017-01-17T06:52:48,https://instagram.fyvr3-1.fna.fbcdn.net/vp/57c4439f344949307181a9dc8ba5143a/5ADE25D5/t51.2885-15/e35/24838999_227232221149013_8966438413079150592_n.jpg,"We use motion-sensor cameras to photograph wildlife in their natural habitats. 🦅🦌🦊Turns out, our bait stick is quite popular with all species, be they winged, pawed, or hooved! Keep checking for our great candid shots of Canadian wildlife.•••",use motion sensor cameras photograph wildlife natural habitats Turns bait stick quite popular species winged pawed hooved nKeep checking great candid shots Canadian wildlife Raven CorvusCorax Fisher MartesPennanti Coyote CanisLatrans Elk Wapiti CervusCanadensis NationalWildlifeArea Reconyx Wildlife Canada CanEnvironment EnvironmentCanada WildlifePhotography CanadianWildlife ProtectedArea,"[""raven"",""corvuscorax"",""fisher"",""martespennanti"",""coyote"",""canislatrans"",""elk"",""wapiti"",""cervuscanadensis"",""nationalwildlifearea"",""reconyx"",""wildlife"",""canada"",""canenvironment"",""environmentcanada"",""wildlifephotography"",""canadianwildlife"",""protectedarea""]",11,116,127,en,0.4037878787878788,canenvironment_instagram,"['wildlife', 'mer', 'natural', 'species', 'or']",positive,"['wildlife', 'natural', 'specie']",Environmental
4,2018-01-09_08-47-11,2018-01-09T08:47:11,https://instagram.fyvr3-1.fna.fbcdn.net/vp/4723aee705e91fbce9b0f91c67ccda7a/5AFD178B/t51.2885-15/e35/26065720_137303617063999_4395626417291788288_n.jpg,"Summer throwback! In these photos, Hannah and Paul, graduate students from Dr. Koper’s lab at the University of Manitoba, are collaborating with Barry, an employee of the Canadian Wildlife Service to monitor Baird’s Sparrow survival on breeding grounds outside of Brooks in southeastern Alberta. This project is part of a tri-national collaboration between Canada, the USA, and Mexico, with the goal of determining where and when the bird is most limited: on the breeding grounds in Canada and the USA, or the wintering grounds in Mexico. To monitor survival, we are deploying tiny Very High Frequency (VHF) transmitters in Alberta, while our partners at the Bird Conservancy of the Rockies deploy transmitters in Montana, North Dakota and Mexico. ...",Summer throwback photos Hannah Paul graduate students Dr lab University Manitoba collaborating Barry employee Canadian Wildlife Service monitor Sparrow survival breeding grounds outside Brooks southeastern Alberta project part tri national collaboration Canada USA Mexico goal determining bird limited breeding grounds Canada USA wintering grounds Mexico monitor survival deploying tiny High Frequency VHF transmitters Alberta partners Bird Conservancy Rockies deploy transmitters Montana North Dakota Mexico NativeGrasslands GrasslandBirds CanadianWildlifeService Koperlab BirdMonitoring InstaBirds Partnership Biologists Fieldwork EnvironmentCanada EnvironmentCan,"[""nativegrasslands"",""grasslandbirds"",""canadianwildlifeservice"",""koperlab"",""birdmonitoring"",""instabirds"",""partnership"",""biologists"",""fieldwork"",""environmentcanada"",""environmentcan""]",5,120,125,en,0.575,canenvironment_instagram,"['wildlife', 'lands', 'ice', 'or', 'mer', 'bird']",positive,"['student', 'wildlife', 'collaboration', 'bird', 'bird']",Environmental
5,2018-01-15_11-29-05,2018-01-15T11:29:05,https://instagram.fyvr3-1.fna.fbcdn.net/vp/313198e5ff4ac1b11036c2501df5ae6a/5AF5917B/t51.2885-15/e35/26071006_159611278017421_1939737093504761856_n.jpg,"Our scientists went to Tuktut Nogait National Park in the Northwest Territories to conduct some annual maintenance and upgrades on an automatic weather station this summer. After the work was done, their helicopter flew them to the beautiful La Roncière Waterfalls. .canada : Braden Bunce...",scientists went Tuktut Nogait National Park Northwest Territories conduct annual maintenance upgrades automatic weather station summer work done helicopter flew beautiful La Waterfalls parks canada Braden Bunce Waterfalls ChasingWaterfalls ExploreCanada ParksCanada BlueSkies EnvironmentCanada EnvironmentCan,"[""waterfalls"",""chasingwaterfalls"",""explorecanada"",""parkscanada"",""blueskies"",""environmentcanada"",""environmentcan""]",4,117,121,en,0.25625,canenvironment_instagram,"['water', 'eau', 'park', 'or', 'mer']",positive,['park'],Environmental
6,2017-07-31_11-47-30,2017-07-31T11:47:30,https://instagram.fyvr3-1.fna.fbcdn.net/vp/bce58d1e3e955103966294fe113429a8/5AF44AEE/t51.2885-15/e35/25007386_296542344083656_3792925643897831424_n.jpg,Throwback to when one of our meteorologists joined Metro Vancouver Water Management technicians for a snow survey trip in the North Shore mountains. West Coast weather doesn't always cooperate so they had to wait for a window! : Matt Macdonald ....,Throwback one meteorologists joined Metro Vancouver Water Management technicians snow survey trip North Shore mountains West Coast weather always cooperate wait window Matt Macdonald MemoriesMonday Weather CanadianWeather WeatherScience Meteorology ExploreBC MeteorologicalServiceOfCanada EnvironmentCanada InstaWeather FieldWork Helicopter,"[""memoriesmonday"",""weather"",""canadianweather"",""weatherscience"",""meteorology"",""explorebc"",""meteorologicalserviceofcanada"",""environmentcanada"",""instaweather"",""fieldwork"",""helicopter""]",0,120,120,en,0.0,canenvironment_instagram,"['water', 'or', 'ice', 'coast']",neutral,"['water', 'coast']",Environmental
7,2017-10-03_12-19-58,2017-10-03T12:19:58,https://instagram.fyvr3-1.fna.fbcdn.net/vp/6f3cd68976605135a45ae1cd2bc17e00/5AF76537/t51.2885-15/e35/25009206_1829410693947962_5514576779286675456_n.jpg,"During the breeding season, scientists with Canadian Wildlife Service and counted a record whooping crane chicks in and around Wood Buffalo National Park – a substantial and encouraging increase over the previous record of in . Monitoring efforts now switch from boreal breeding areas to Saskatchewan’s parkland and prairie regions, where migrating whooping cranes stop for up to six weeks before continuing their journey to wintering grounds along the Texas Gulf Coast. We ask that anyone observing this endangered species to call the Whooping Crane Hotline at (306) -5595 : John Conkin ....",2017 breeding season scientists Canadian Wildlife Service ParksCanada counted record 63 whooping crane chicks around Wood Buffalo National Park substantial encouraging increase previous record 49 2006 Monitoring efforts switch boreal breeding areas parkland prairie regions migrating whooping cranes stop six weeks continuing journey wintering grounds along Texas Gulf Coast ask anyone observing endangered species call Whooping Crane Hotline 306 975 5595 John Conkin SpeciesAtRisk MigratoryBirds BirdMonitoring CanadianWildlifeService WhoopingCrane Saskatchewan InstaBirds,"[""speciesatrisk"",""migratorybirds"",""birdmonitoring"",""canadianwildlifeservice"",""whoopingcrane"",""saskatchewan"",""instabirds""]",4,115,119,en,0.296875,canenvironment_instagram,"['wildlife', 'or', 'park', 'ice', 'coast', 'species', 'air', 'bird']",positive,"['wildlife', 'park', 'coast', 'specie']",Environmental
8,2017-06-16_07-56-27,2017-06-16T07:56:27,https://instagram.fyvr3-1.fna.fbcdn.net/vp/41bf8c9710b60d2ec811ace8184f8483/5AE92573/t51.2885-15/e35/25011949_269567136900723_673189871145189376_n.jpg,"The cloud pictured is called a supercell thunderstorm. Supercell thunderstorms have a rotating updraft, and are almost always associated with severe weather. They often look like a barber pole or in some cases, a UFO!....: Kyle Fougere ",cloud pictured called supercell thunderstorm Supercell thunderstorms rotating updraft almost always associated severe weather often look like barber pole cases UFO Kyle Fougere Throwback Flashback Meteorology Wx SevereWeather Weather WeatherNerd PhotoOfTheDay SummerWeather MeteorologicalServiceCanada MSC EnvironmentCanada Clouds Cloud InstaCloud,"[""throwback"",""flashback"",""meteorology"",""wx"",""severeweather"",""weather"",""weathernerd"",""photooftheday"",""summerweather"",""meteorologicalservicecanada"",""msc"",""environmentcanada"",""clouds"",""cloud"",""instacloud""]",12,104,116,en,0.2669270833333333,canenvironment_instagram,"['or', 'ice', 'mer']",positive,[],unknown
9,2017-03-16_09-41-06,2017-03-16T09:41:06,https://instagram.fyvr3-1.fna.fbcdn.net/vp/24493c67f51d0ce0e5ca6772a59ab05c/5AD9547F/t51.2885-15/e35/25010624_169201510482261_513214992342843392_n.jpg,"A bunch of ‘bous Deer 🦌 seen by biologists while travelling the Tibbitt to Contwoyto Winter Road to do station maintenance on song recorders.Not only do the Automated Recording Units capture bird calls, but they also record the sounds of caribou, moose, bears and other wildlife! Some of the recording stations have a wildlife camera at them too!......",bunch bous Deer seen biologists travelling Tibbitt Contwoyto Winter Road station maintenance song recorders nNot Automated Recording Units capture bird calls also record sounds caribou moose bears wildlife recording stations wildlife camera ReadyForACloseUp StrikeAPose BarrengroundCaribou WinterWildlife CanadianWildlife Caribous WildlifePhotography NationalWildlifeArea CanadianWildlifeService EnvironmentCanada CanEnvironment FieldWork Nunavut NorthwestTerritories ArcticScience InstaScience BiologistLife,"[""readyforacloseup"",""strikeapose"",""barrengroundcaribou"",""winterwildlife"",""canadianwildlife"",""caribous"",""wildlifephotography"",""nationalwildlifearea"",""canadianwildlifeservice"",""environmentcanada"",""canenvironment"",""fieldwork"",""nunavut"",""northwestterritories"",""arcticscience"",""instascience"",""biologistlife""]",4,111,115,en,0.3484375,canenvironment_instagram,"['wildlife', 'mer', 'bird', 'ice', 'or']",positive,"['bird', 'wildlife']",Environmental
