,status_id,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,status_message_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original,category,score,average_sentiment_score,language
0,431918433581020_771428256296701,Timeline Photos,photo,https://www.facebook.com/YourMoneyMattersCanada/photos/a.501487959957400.1073741828.431918433581020/771428256296701/?type=3,2016-02-23 11:45:32,261,89,3528,251,0,4,0,0,6,0,SCAM ALERT: Beware of scammers impersonating the Canada Revenue Agency (CRA). These scammers “spoof” phone numbers to make it look like the call is from the CRA claiming that you owe the government back taxes. These scammers threaten arrest if you don't make an immediate payment through untraceable money transfers and prepaid credit cards. Always be vigilant when disclosing personal and financial information. Here are some ways to tell if it's really the CRA:,[],['http://ow.ly/YExnK'],SCAM ALERT Beware scammers impersonating Canada Revenue Agency CRA scammers phone numbers make look like call CRA claiming owe government back taxes scammers threaten arrest make immediate payment untraceable money transfers prepaid credit cards Always vigilant disclosing personal financial information ways tell really CRA http ow ly YExnK,"['SCAM', 'ALERT', 'Beware', 'scammers', 'impersonating', 'Canada', 'Revenue', 'Agency', 'CRA', 'scammers', 'phone', 'numbers', 'make', 'look', 'like', 'call', 'CRA', 'claiming', 'owe', 'government', 'back', 'taxes', 'scammers', 'threaten', 'arrest', 'make', 'immediate', 'payment', 'untraceable', 'money', 'transfers', 'prepaid', 'credit', 'cards', 'Always', 'vigilant', 'disclosing', 'personal', 'financial', 'information', 'ways', 'tell', 'really', 'CRA', 'http', 'ow', 'ly', 'YExnK']","[u'scam', u'alert', u'bewar', u'scammer', u'imperson', u'canada', u'revenu', u'agenc', u'cra', u'scammer', u'phone', u'number', u'make', u'look', u'like', u'call', u'cra', u'claim', u'owe', u'govern', u'back', u'tax', u'scammer', u'threaten', u'arrest', u'make', u'immedi', u'payment', u'untrac', u'money', u'transfer', u'prepaid', u'credit', u'card', u'alway', u'vigil', u'disclos', u'person', u'financi', u'inform', u'way', u'tell', u'realli', u'cra', u'http', 'ow', 'ly', u'yexnk']","SCAM ALERT: Beware of scammers impersonating the Canada Revenue Agency (CRA). 

These scammers “spoof” phone numbers to make it look like the call is from the CRA claiming that you owe the government back taxes. These scammers threaten arrest if you don't make an immediate payment through untraceable money transfers and prepaid credit cards.  

Always be vigilant when disclosing personal and financial information. Here are some ways to tell if it's really the CRA: http://ow.ly/YExnK",Economical,3878,0.0,en
1,431918433581020_750814751691385,Timeline Photos,photo,https://www.facebook.com/YourMoneyMattersCanada/photos/a.501487959957400.1073741828.431918433581020/750814751691385/?type=3,2016-01-06 13:30:31,112,266,235,112,0,0,0,0,0,0,"The Department of Finance is getting ready for Budget and we want to hear from you. Leave your questions in the comment section below and Finance Minister Bill Morneau will answer some of them at one of two Facebook Live town hall events coming up on: • January , from :00 p.m. to :00 p.m., Atlantic Standard Time, hosted by Dalhousie University; and • January , from :00 p.m. to :50 p.m., Mountain Standard Time, hosted by the University of Calgary. Tune in here to watch these Facebook Live events on January th and th.",[],[],Department Finance getting ready Budget 2016 want hear Leave questions comment section Finance Minister Bill Morneau answer one two Facebook Live town hall events coming January 11 00 00 Atlantic Standard Time hosted Dalhousie University January 15 00 50 Mountain Standard Time hosted University Calgary Tune watch Facebook Live events January 11th 15th,"['Department', 'Finance', 'getting', 'ready', 'Budget', '2016', 'want', 'hear', 'Leave', 'questions', 'comment', 'section', 'Finance', 'Minister', 'Bill', 'Morneau', 'answer', 'one', 'two', 'Facebook', 'Live', 'town', 'hall', 'events', 'coming', 'January', '11', '00', '00', 'Atlantic', 'Standard', 'Time', 'hosted', 'Dalhousie', 'University', 'January', '15', '00', '50', 'Mountain', 'Standard', 'Time', 'hosted', 'University', 'Calgary', 'Tune', 'watch', 'Facebook', 'Live', 'events', 'January', '11th', '15th']","[u'depart', u'financ', u'get', u'readi', u'budget', u'2016', u'want', u'hear', u'leav', u'question', u'comment', u'section', u'financ', u'minist', u'bill', u'morneau', u'answer', u'one', u'two', u'facebook', u'live', u'town', u'hall', u'event', u'come', u'januari', '11', '00', '00', u'atlant', u'standard', u'time', u'host', u'dalhousi', u'univers', u'januari', '15', '00', '50', u'mountain', u'standard', u'time', u'host', u'univers', u'calgari', u'tune', u'watch', u'facebook', u'live', u'event', u'januari', u'11th', u'15th']","The Department of Finance is getting ready for Budget 2016 and we want to hear from you. 

Leave your questions in the comment section below and Finance Minister Bill Morneau will answer some of them at one of two Facebook Live town hall events coming up on:
• January 11, from 3:00 p.m. to 4:00 p.m., Atlantic Standard Time, hosted by Dalhousie University; and
• January 15, from 2:00 p.m. to 2:50 p.m., Mountain Standard Time, hosted by the University of Calgary. 

Tune in here to watch these Facebook Live events on January 11th and 15th.",Economical,613,0.0,en
2,431918433581020_1045063055599885,The Minister of Finance tables #Budget2017,video,https://www.facebook.com/YourMoneyMattersCanada/videos/1045063055599885/,2017-03-22 14:54:37,190,324,52,77,23,6,9,1,74,0,"The Minister of Finance, Bill Morneau, tables in the House of Commons – March , in Ottawa",['#Budget2017'],[],Minister Finance Bill Morneau tables Budget2017 House Commons March 22 2017 Ottawa,"['Minister', 'Finance', 'Bill', 'Morneau', 'tables', 'Budget2017', 'House', 'Commons', 'March', '22', '2017', 'Ottawa']","[u'minist', u'financ', u'bill', u'morneau', u'tabl', u'budget2017', u'hous', u'common', u'march', '22', u'2017', u'ottawa']","The Minister of Finance, Bill Morneau, tables #Budget2017 in the House of Commons – March 22, 2017 in Ottawa",Economical,566,0.040137932175983895,en
3,431918433581020_862727183833474,,video,https://www.facebook.com/YourMoneyMattersCanada/videos/862727183833474/,2016-08-09 13:41:47,332,133,51,292,34,1,3,1,1,0,"Minister Morneau Facebook Live event in Sudbury Ontario Le min Morneau à Sudbury Ontario, séance en direct sur Facebook",[],[],Minister Morneau Facebook Live event Sudbury Ontario Le min Morneau Sudbury Ontario ance en direct sur Facebook,"['Minister', 'Morneau', 'Facebook', 'Live', 'event', 'Sudbury', 'Ontario', 'Le', 'min', 'Morneau', 'Sudbury', 'Ontario', 'ance', 'en', 'direct', 'sur', 'Facebook']","[u'minist', u'morneau', u'facebook', u'live', u'event', u'sudburi', u'ontario', 'le', u'min', u'morneau', u'sudburi', u'ontario', u'anc', 'en', u'direct', u'sur', u'facebook']","Minister Morneau Facebook Live event in Sudbury Ontario
Le min Morneau à Sudbury Ontario, séance en direct sur Facebook",Environmental,516,0.0,en
4,431918433581020_774439312662262,Timeline Photos,photo,https://www.facebook.com/YourMoneyMattersCanada/photos/a.501487959957400.1073741828.431918433581020/774439312662262/?type=3,2016-03-01 09:02:39,192,33,245,176,4,7,5,0,0,0,"EFFECTIVE TODAY! Canadians can subscribe to a basic TV package that costs no more than $25/month. As of March st, cable and satellite companies must also now offer PICK & PAY options: EITHER individual channels OR packages of up to channels. Get more details here or contact your local cable provider:",[],['http://ow.ly/YT5FW'],EFFECTIVE TODAY Canadians subscribe basic TV package costs 25 month March 1st cable satellite companies must also offer PICK PAY options EITHER individual channels packages 10 channels Get details contact local cable provider http ow ly YT5FW,"['EFFECTIVE', 'TODAY', 'Canadians', 'subscribe', 'basic', 'TV', 'package', 'costs', '25', 'month', 'March', '1st', 'cable', 'satellite', 'companies', 'must', 'also', 'offer', 'PICK', 'PAY', 'options', 'EITHER', 'individual', 'channels', 'packages', '10', 'channels', 'Get', 'details', 'contact', 'local', 'cable', 'provider', 'http', 'ow', 'ly', 'YT5FW']","[u'effect', u'today', u'canadian', u'subscrib', u'basic', 'tv', u'packag', u'cost', '25', u'month', u'march', u'1st', u'cabl', u'satellit', u'compani', u'must', u'also', u'offer', u'pick', u'pay', u'option', u'either', u'individu', u'channel', u'packag', '10', u'channel', u'get', u'detail', u'contact', u'local', u'cabl', u'provid', u'http', 'ow', 'ly', u'yt5fw']","EFFECTIVE TODAY! Canadians can subscribe to a basic TV package that costs no more than $25/month. As of March 1st, cable and satellite companies must also now offer PICK & PAY options: EITHER individual channels OR packages of up to 10 channels. Get more details here or contact your local cable provider: http://ow.ly/YT5FW",Social,470,0.0,en
5,431918433581020_778945902211603,Timeline Photos,photo,https://www.facebook.com/YourMoneyMattersCanada/photos/a.501487959957400.1073741828.431918433581020/778945902211603/?type=3,2016-03-11 11:45:43,41,1,315,38,1,2,0,0,0,0,Spotlight: Scammers often try to lure users into clicking on fake celebrity gossip or quiz links on social media sites. Their goal is to trick you into providing your username and password so they can gain access to your personal information for illegal purposes. Learn about the risks and find out more on how to avoid social networking scams.,"['#Scam', '#FPM2016']",['http://ow.ly/Zm6eX'],Scam Spotlight Scammers often try lure users clicking fake celebrity gossip quiz links social media sites goal trick providing username password gain access personal information illegal purposes Learn risks find avoid social networking scams FPM2016 http ow ly Zm6eX,"['Scam', 'Spotlight', 'Scammers', 'often', 'try', 'lure', 'users', 'clicking', 'fake', 'celebrity', 'gossip', 'quiz', 'links', 'social', 'media', 'sites', 'goal', 'trick', 'providing', 'username', 'password', 'gain', 'access', 'personal', 'information', 'illegal', 'purposes', 'Learn', 'risks', 'find', 'avoid', 'social', 'networking', 'scams', 'FPM2016', 'http', 'ow', 'ly', 'Zm6eX']","[u'scam', u'spotlight', u'scammer', u'often', u'tri', u'lure', u'user', u'click', u'fake', u'celebr', u'gossip', u'quiz', u'link', u'social', u'media', u'site', u'goal', u'trick', u'provid', u'usernam', u'password', u'gain', u'access', u'person', u'inform', u'illeg', u'purpos', u'learn', u'risk', u'find', u'avoid', u'social', u'network', u'scam', u'fpm2016', u'http', 'ow', 'ly', u'zm6ex']","#Scam Spotlight: Scammers often try to lure users into clicking on fake celebrity gossip or quiz links on social media sites. Their goal is to trick you into providing your username and password so they can gain access to your personal information for illegal purposes. 
Learn about the risks and find out more on how to avoid social networking scams. #FPM2016 http://ow.ly/Zm6eX",Environmental,357,0.0,en
6,431918433581020_897928290313363,Timeline Photos,photo,https://www.facebook.com/YourMoneyMattersCanada/photos/a.501487959957400.1073741828.431918433581020/897928290313363/?type=3,2016-09-27 13:54:37,46,2,278,46,0,0,0,0,0,0,"If it sounds fishy, it is fishy. Beware of callers claiming to represent Public Safety Canada or the Canadian Cyber Incident Response Centre. These fraudsters will try to convince you to give them access to your computer. Remember that the Government of Canada will never call and ask for access to your PC. and learn more about how to protect yourself from fraudulent calls:",['#GetCyberSafe'],['http://www.getcybersafe.gc.ca/cnt/rsks/scms-frd/frdlnt-clls-eng.aspx'],sounds fishy fishy Beware callers claiming represent Public Safety Canada Canadian Cyber Incident Response Centre fraudsters try convince give access computer Remember Government Canada never call ask access PC GetCyberSafe learn protect fraudulent calls http www getcybersafe gc ca cnt rsks scms frd frdlnt clls eng aspx,"['sounds', 'fishy', 'fishy', 'Beware', 'callers', 'claiming', 'represent', 'Public', 'Safety', 'Canada', 'Canadian', 'Cyber', 'Incident', 'Response', 'Centre', 'fraudsters', 'try', 'convince', 'give', 'access', 'computer', 'Remember', 'Government', 'Canada', 'never', 'call', 'ask', 'access', 'PC', 'GetCyberSafe', 'learn', 'protect', 'fraudulent', 'calls', 'http', 'www', 'getcybersafe', 'gc', 'ca', 'cnt', 'rsks', 'scms', 'frd', 'frdlnt', 'clls', 'eng', 'aspx']","[u'sound', u'fishi', u'fishi', u'bewar', u'caller', u'claim', u'repres', u'public', u'safeti', u'canada', u'canadian', u'cyber', u'incid', u'respons', u'centr', u'fraudster', u'tri', u'convinc', u'give', u'access', u'comput', u'rememb', u'govern', u'canada', u'never', u'call', u'ask', u'access', 'pc', u'getcybersaf', u'learn', u'protect', u'fraudul', u'call', u'http', u'www', u'getcybersaf', 'gc', 'ca', u'cnt', u'rsks', u'scms', u'frd', u'frdlnt', u'clls', u'eng', u'aspx']","If it sounds fishy, it is fishy. 

Beware of callers claiming to represent Public Safety Canada or the Canadian Cyber Incident Response Centre. These fraudsters will try to convince you to give them access to your computer. Remember that the Government of Canada will never call and ask for access to your PC.

#GetCyberSafe and learn more about how to protect yourself from fraudulent calls: http://www.getcybersafe.gc.ca/cnt/rsks/scms-frd/frdlnt-clls-eng.aspx",Environmental,326,0.0,en
7,431918433581020_770315863074607,Timeline Photos,photo,https://www.facebook.com/YourMoneyMattersCanada/photos/a.501487959957400.1073741828.431918433581020/770315863074607/?type=3,2016-02-20 18:45:30,52,2,186,52,0,0,0,0,0,0,"Spammers are getting better and better at crafting professional, personalized emails. Here are five things to look for if you’re suspicious of that message in your inbox:",[],[],Spammers getting better better crafting professional personalized emails five things look suspicious message inbox,"['Spammers', 'getting', 'better', 'better', 'crafting', 'professional', 'personalized', 'emails', 'five', 'things', 'look', 'suspicious', 'message', 'inbox']","[u'spammer', u'get', u'better', u'better', u'craft', u'profession', u'person', u'email', u'five', u'thing', u'look', u'suspici', u'messag', u'inbox']","Spammers are getting better and better at crafting professional, personalized emails. Here are five things to look for if you’re suspicious of that message in your inbox:",Environmental,240,0.0,en
8,431918433581020_1196427230463466,,video,https://www.facebook.com/YourMoneyMattersCanada/videos/1196427230463466/,2017-09-11 17:41:17,50,14,157,46,0,0,1,0,3,0,": Got a call or voicemail from someone claiming to work for the Canada Revenue Agency (CRA) warning you’ll get sued or arrested? It’s a SCAM! Hang up or delete the message! Never return the call—criminals want you to call back, using their fake telephone number, to steal your money or identity. Remember, the CRA will never threaten you or ask for your credit card or personal information by phone. Protect yourself from phone scams:",['#ScamAlert'],['http://ow.ly/fPi530f1gzR'],ScamAlert Got call voicemail someone claiming work Canada Revenue Agency CRA warning get sued arrested SCAM Hang delete message Never return criminals want call back using fake telephone number steal money identity Remember CRA never threaten ask credit card personal information phone Protect phone scams http ow ly fPi530f1gzR,"['ScamAlert', 'Got', 'call', 'voicemail', 'someone', 'claiming', 'work', 'Canada', 'Revenue', 'Agency', 'CRA', 'warning', 'get', 'sued', 'arrested', 'SCAM', 'Hang', 'delete', 'message', 'Never', 'return', 'criminals', 'want', 'call', 'back', 'using', 'fake', 'telephone', 'number', 'steal', 'money', 'identity', 'Remember', 'CRA', 'never', 'threaten', 'ask', 'credit', 'card', 'personal', 'information', 'phone', 'Protect', 'phone', 'scams', 'http', 'ow', 'ly', 'fPi530f1gzR']","[u'scamalert', u'got', u'call', u'voicemail', u'someon', u'claim', u'work', u'canada', u'revenu', u'agenc', u'cra', u'warn', u'get', u'su', u'arrest', u'scam', u'hang', u'delet', u'messag', u'never', u'return', u'crimin', u'want', u'call', u'back', u'use', u'fake', u'telephon', u'number', u'steal', u'money', u'ident', u'rememb', u'cra', u'never', u'threaten', u'ask', u'credit', u'card', u'person', u'inform', u'phone', u'protect', u'phone', u'scam', u'http', 'ow', 'ly', u'fpi530f1gzr']","#ScamAlert: Got a call or voicemail from someone claiming to work for the Canada Revenue Agency (CRA) warning you’ll get sued or arrested?

It’s a SCAM! Hang up or delete the message! Never return the call—criminals want you to call back, using their fake telephone number, to steal your money or identity. Remember, the CRA will never threaten you or ask for your credit card or personal information by phone. 

Protect yourself from phone scams: http://ow.ly/fPi530f1gzR",Economical,221,0.09112723214285716,en
9,431918433581020_768817573224436,Couples and taxes,link,http://ow.ly/YnMeQ,2016-02-17 11:45:57,82,8,113,82,0,0,0,0,0,0,"being married or having a common-law partner can affect the amount of federal tax you pay on both your income and investments? TIP: To maximize your tax credits, the person with the lower income should claim all of the couple's medical eenses on his or her tax return. This is because the federal government offers a non-refundable tax credit for eenses that are above a percentage (3% in ) of one partner's net income. Get more tax tips here:",['#DYK'],['http://ow.ly/YnMeQ'],DYK married common law partner affect amount federal tax pay income investments TIP maximize tax credits person lower income claim couple medical expenses tax return federal government offers non refundable tax credit expenses percentage 2015 one partner net income Get tax tips http ow ly YnMeQ,"['DYK', 'married', 'common', 'law', 'partner', 'affect', 'amount', 'federal', 'tax', 'pay', 'income', 'investments', 'TIP', 'maximize', 'tax', 'credits', 'person', 'lower', 'income', 'claim', 'couple', 'medical', 'expenses', 'tax', 'return', 'federal', 'government', 'offers', 'non', 'refundable', 'tax', 'credit', 'expenses', 'percentage', '2015', 'one', 'partner', 'net', 'income', 'Get', 'tax', 'tips', 'http', 'ow', 'ly', 'YnMeQ']","[u'dyk', u'marri', u'common', u'law', u'partner', u'affect', u'amount', u'feder', u'tax', u'pay', u'incom', u'invest', u'tip', u'maxim', u'tax', u'credit', u'person', u'lower', u'incom', u'claim', u'coupl', u'medic', u'expens', u'tax', u'return', u'feder', u'govern', u'offer', u'non', u'refund', u'tax', u'credit', u'expens', u'percentag', u'2015', u'one', u'partner', u'net', u'incom', u'get', u'tax', u'tip', u'http', 'ow', 'ly', u'ynmeq']","#DYK being married or having a common-law partner can affect the amount of federal tax you pay on both your income and investments?

TIP: To maximize your tax credits, the person with the lower income should claim all of the couple's medical expenses on his or her tax return. This is because the federal government offers a non-refundable tax credit for expenses that are above a percentage (3% in 2015) of one partner's net income. Get more tax tips here: http://ow.ly/YnMeQ",Economical,203,0.0,en
