,Unnamed: 0,status_id,link_name,status_type,status_link,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,status_message_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original,category,Reactions_SUM,average_sentiment_score,language
0,0,318424514044_10154848488474045,Environment and Natural Resources in Canada,photo,https://www.facebook.com/EnvironmentandNaturalResourcesinCanada/photos/a.10150107070389045.321637.318424514044/10153978724119045/?type=3,2016-06-13 09:24:37,3079,49,353,3005,67,6,1,0,0,0,,[],[],,['nan'],[u'nan'],,Social,3481,0.3748281611799054,tl
1,1,318424514044_10155396901694045,,video,https://www.facebook.com/EnvironmentandNaturalResourcesinCanada/videos/10155396901694045/,2016-11-23 09:01:22,315,695,129,214,48,10,7,11,25,0,,[],[],,['nan'],[u'nan'],,Social,1139,0.09135171199699416,tl
2,2,318424514044_10154830856069045,Environment and Natural Resources in Canada,photo,https://www.facebook.com/EnvironmentandNaturalResourcesinCanada/photos/a.10150107070389045.321637.318424514044/10154830855964045/?type=3,2016-06-07 16:19:19,996,20,81,929,63,4,0,0,0,0,,[],[],,['nan'],[u'nan'],,Social,1097,0.21251984126984128,tl
3,3,318424514044_10154700497599045,Timeline Photos,photo,https://www.facebook.com/EnvironmentandNaturalResourcesinCanada/photos/a.338211969044.199983.318424514044/10154700497599045/?type=3,2016-04-20 13:54:24,631,47,142,612,14,3,1,0,1,0,The -19 Federal Sustainable Development Strategy is out for public consultation until June . We want to hear what you think about our plan for a healthy and sustainable Canada.,[],"['http://ow.ly/10rvIV', 'http://ow.ly/10rvDn']",2016 19 Federal Sustainable Development Strategy public consultation June 24 want hear think plan healthy sustainable Canada http ow ly 10rvIV http ow ly 10rvDn,"['2016', '19', 'Federal', 'Sustainable', 'Development', 'Strategy', 'public', 'consultation', 'June', '24', 'want', 'hear', 'think', 'plan', 'healthy', 'sustainable', 'Canada', 'http', 'ow', 'ly', '10rvIV', 'http', 'ow', 'ly', '10rvDn']","[u'2016', '19', u'feder', u'sustain', u'develop', u'strategi', u'public', u'consult', u'june', '24', u'want', u'hear', u'think', u'plan', u'healthi', u'sustain', u'canada', u'http', 'ow', 'ly', u'10rviv', u'http', 'ow', 'ly', u'10rvdn']",The 2016-19 Federal Sustainable Development Strategy is out for public consultation until June 24.  We want to hear what you think about our plan for a healthy and sustainable Canada. http://ow.ly/10rvIV http://ow.ly/10rvDn,Social,820,0.07730389466500577,en
4,4,318424514044_10154771845659045,Timeline Photos,photo,https://www.facebook.com/EnvironmentandNaturalResourcesinCanada/photos/a.338211969044.199983.318424514044/10154771845659045/?type=3,2016-05-17 07:34:48,634,28,151,603,16,1,14,0,0,0,Curious about sustainability? Check out the draft -19 Federal Sustainable Development Strategy and see what the Government of Canada is doing to work towards a sustainable future. We’re curious about what you think of our plans to get there.,[],"['http://ow.ly/10rvIV', 'http://ow.ly/10rvDn']",Curious sustainability Check draft 2016 19 Federal Sustainable Development Strategy see Government Canada work towards sustainable future curious think plans get http ow ly 10rvIV http ow ly 10rvDn,"['Curious', 'sustainability', 'Check', 'draft', '2016', '19', 'Federal', 'Sustainable', 'Development', 'Strategy', 'see', 'Government', 'Canada', 'work', 'towards', 'sustainable', 'future', 'curious', 'think', 'plans', 'get', 'http', 'ow', 'ly', '10rvIV', 'http', 'ow', 'ly', '10rvDn']","[u'curious', u'sustain', u'check', u'draft', u'2016', '19', u'feder', u'sustain', u'develop', u'strategi', u'see', u'govern', u'canada', u'work', u'toward', u'sustain', u'futur', u'curious', u'think', u'plan', u'get', u'http', 'ow', 'ly', u'10rviv', u'http', 'ow', 'ly', u'10rvdn']",Curious about sustainability? Check out the draft 2016-19 Federal Sustainable Development Strategy and see what the Government of Canada is doing to work towards a sustainable future. We’re curious about what you think of our plans to get there. http://ow.ly/10rvIV http://ow.ly/10rvDn,Social,813,0.12130285883526624,en
5,5,318424514044_10154849106479045,Timeline Photos,photo,https://www.facebook.com/EnvironmentandNaturalResourcesinCanada/photos/a.338211969044.199983.318424514044/10154849106479045/?type=3,2016-06-13 14:25:32,531,25,62,508,23,0,0,0,0,0,"A healthy and fully sustainable Canada... We can get there, but we can’t get there alone. We need your input and your vision. Check out our draft plan for an environmentally sustainable Canada, the -2019 Federal Sustainable Development Strategy. Comment until June .",[],"['http://ow.ly/10rvIV', 'http://ow.ly/10rvDn']",healthy fully sustainable Canada get get alone need input vision Check draft plan environmentally sustainable Canada 2016 2019 Federal Sustainable Development Strategy Comment June 24 http ow ly 10rvIV http ow ly 10rvDn,"['healthy', 'fully', 'sustainable', 'Canada', 'get', 'get', 'alone', 'need', 'input', 'vision', 'Check', 'draft', 'plan', 'environmentally', 'sustainable', 'Canada', '2016', '2019', 'Federal', 'Sustainable', 'Development', 'Strategy', 'Comment', 'June', '24', 'http', 'ow', 'ly', '10rvIV', 'http', 'ow', 'ly', '10rvDn']","[u'healthi', u'fulli', u'sustain', u'canada', u'get', u'get', u'alon', u'need', u'input', u'vision', u'check', u'draft', u'plan', u'environment', u'sustain', u'canada', u'2016', u'2019', u'feder', u'sustain', u'develop', u'strategi', u'comment', u'june', '24', u'http', 'ow', 'ly', u'10rviv', u'http', 'ow', 'ly', u'10rvdn']","A healthy and fully sustainable Canada... We can get there, but we can’t get there alone. We need your input and your vision. Check out our draft plan for an environmentally sustainable Canada, the 2016-2019 Federal Sustainable Development Strategy. Comment until June 24. http://ow.ly/10rvIV http://ow.ly/10rvDn",Social,618,0.14413696043325674,en
6,6,318424514044_10154702444009045,,video,https://www.facebook.com/EnvironmentandNaturalResourcesinCanada/videos/10154702444009045/,2016-04-21 08:55:42,198,305,86,187,6,4,0,0,1,0,The Government of Canada wants diverse perspectives on how to address climate change. Tune-in and find out what others are saying and how you can be part of the conversation! Le gouvernement du Canada désire recueillir différentes perspectives sur la façon de lutter contre les changements climatiques. Regardez notre diffusion en direct et voyez comment vous pouvez prendre part à la discussion sur !,"['#CanClimateAction', '#ActionClimatCAN']",[],Government Canada wants diverse perspectives address climate change Tune find others saying part CanClimateAction conversation Le gouvernement du Canada sire recueillir rentes perspectives sur la de lutter contre les changements climatiques Regardez notre diffusion en direct et voyez comment vous pouvez prendre part la discussion sur ActionClimatCAN,"['Government', 'Canada', 'wants', 'diverse', 'perspectives', 'address', 'climate_change', 'Tune', 'find', 'others', 'saying', 'part', 'CanClimateAction', 'conversation', 'Le', 'gouvernement', 'du', 'Canada', 'sire', 'recueillir', 'rentes', 'perspectives', 'sur', 'la', 'de', 'lutter', 'contre', 'les', 'changements', 'climatiques', 'Regardez', 'notre', 'diffusion', 'en', 'direct', 'et', 'voyez', 'comment', 'vous', 'pouvez', 'prendre', 'part', 'la', 'discussion', 'sur', 'ActionClimatCAN']","[u'govern', u'canada', u'want', u'divers', u'perspect', u'address', u'climate_chang', u'tune', u'find', u'other', u'say', u'part', u'canclimateact', u'convers', 'le', u'gouvern', 'du', u'canada', u'sire', u'recueillir', u'rent', u'perspect', u'sur', 'la', 'de', u'lutter', u'contr', u'les', u'changement', u'climatiqu', u'regardez', u'notr', u'diffus', 'en', u'direct', 'et', u'voyez', u'comment', u'vous', u'pouvez', u'prendr', u'part', 'la', u'discuss', u'sur', u'actionclimatcan']","The Government of Canada wants diverse perspectives on how to address climate change. Tune-in and find out what others are saying and how you can be part of the #CanClimateAction conversation!

Le gouvernement du Canada désire recueillir différentes perspectives sur la façon de lutter contre les changements climatiques. Regardez notre diffusion en direct et voyez comment vous pouvez prendre part à la discussion sur #ActionClimatCAN!",Environmental,589,0.10268586817730532,fr
7,7,318424514044_10154732005664045,Timeline Photos,photo,https://www.facebook.com/EnvironmentandNaturalResourcesinCanada/photos/a.338211969044.199983.318424514044/10154732005664045/?type=3,2016-05-02 09:47:42,475,17,66,463,9,0,3,0,0,0,"Sustainability: we’re listening for your input We’re hoping to start a conversation... One that results in a solid plan to shape an economically robust and environmentally healthy Canada. Check out our new draft Federal Sustainable Development Strategy, a plan that sets out federal environmental priorities and actions for the next three years. Get involved and your input will shape the final strategy and guide improvements in future strategies. Comment until June .",[],"['http://ow.ly/10rvIV', 'http://ow.ly/10rvDn']",Sustainability listening input hoping start conversation One results solid plan shape economically robust environmentally healthy Canada Check new draft Federal Sustainable Development Strategy plan sets federal environmental priorities actions next three years Get involved input shape final strategy guide improvements future strategies Comment June 24 http ow ly 10rvIV http ow ly 10rvDn,"['Sustainability', 'listening', 'input', 'hoping', 'start', 'conversation', 'One', 'results', 'solid', 'plan', 'shape', 'economically', 'robust', 'environmentally', 'healthy', 'Canada', 'Check', 'new', 'draft', 'Federal', 'Sustainable', 'Development', 'Strategy', 'plan', 'sets', 'federal', 'environmental', 'priorities', 'actions', 'next', 'three', 'years', 'Get', 'involved', 'input', 'shape', 'final', 'strategy', 'guide', 'improvements', 'future', 'strategies', 'Comment', 'June', '24', 'http', 'ow', 'ly', '10rvIV', 'http', 'ow', 'ly', '10rvDn']","[u'sustain', u'listen', u'input', u'hope', u'start', u'convers', u'one', u'result', u'solid', u'plan', u'shape', u'econom', u'robust', u'environment', u'healthi', u'canada', u'check', u'new', u'draft', u'feder', u'sustain', u'develop', u'strategi', u'plan', u'set', u'feder', u'environment', u'prioriti', u'action', u'next', u'three', u'year', u'get', u'involv', u'input', u'shape', u'final', u'strategi', u'guid', u'improv', u'futur', u'strategi', u'comment', u'june', '24', u'http', 'ow', 'ly', u'10rviv', u'http', 'ow', 'ly', u'10rvdn']","Sustainability: we’re listening for your input
We’re hoping to start a conversation... One that results in a solid plan to shape an economically robust and environmentally healthy Canada. Check out our new draft Federal Sustainable Development Strategy, a plan that sets out federal environmental priorities and actions for the next three years. Get involved and your input will shape the final strategy and guide improvements in future strategies. Comment until June 24. http://ow.ly/10rvIV http://ow.ly/10rvDn",Social,558,0.07631039777622252,en
8,8,318424514044_10154491555714045,Timeline Photos,photo,https://www.facebook.com/EnvironmentandNaturalResourcesinCanada/photos/a.338211969044.199983.318424514044/10154491555714045/?type=3,2016-02-15 11:30:17,403,2,93,399,4,0,0,0,0,0,"Did you know that more than bird species regularly make use of Canada's natural landscapes? They’re an integral part of our Canadian heritage, just like the Canadian flag! Happy National Flag of Canada Day!",[],['http://ow.ly/YlqLO'],know 450 bird species regularly make use Canada natural landscapes integral part Canadian heritage like Canadian flag http ow ly YlqLO Happy National Flag Canada Day,"['know', '450', 'bird', 'species', 'regularly', 'make', 'use', 'Canada', 'natural', 'landscapes', 'integral', 'part', 'Canadian', 'heritage', 'like', 'Canadian', 'flag', 'http', 'ow', 'ly', 'YlqLO', 'Happy', 'National', 'Flag', 'Canada', 'Day']","[u'know', u'450', u'bird', u'speci', u'regular', u'make', u'use', u'canada', u'natur', u'landscap', u'integr', u'part', u'canadian', u'heritag', u'like', u'canadian', u'flag', u'http', 'ow', 'ly', u'ylqlo', u'happi', u'nation', u'flag', u'canada', u'day']","Did you know that more than 450 bird species regularly make use of Canada's natural landscapes? They’re an integral part of our Canadian heritage, just like the Canadian flag! http://ow.ly/YlqLO

Happy National Flag of Canada Day!",Environmental,498,0.4,en
9,9,318424514044_10156589291004045,,video,https://www.facebook.com/EnvironmentandNaturalResourcesinCanada/videos/10156589291004045/,2017-10-06 11:31:05,177,13,280,152,18,5,0,1,1,0,"Climate change is real - and ‎it can be seen from space! Canada's own, the amazing Commander Chris Hadfield elains. Watch, share, comment and enjoy!",[],[],Climate change real seen space Canada amazing Commander Chris Hadfield explains Watch share comment enjoy,"['Climate', 'change', 'real', 'seen', 'space', 'Canada', 'amazing', 'Commander', 'Chris', 'Hadfield', 'explains', 'Watch', 'share', 'comment', 'enjoy']","[u'climat', u'chang', u'real', u'seen', u'space', u'canada', u'amaz', u'command', u'chris', u'hadfield', u'explain', u'watch', u'share', u'comment', u'enjoy']","Climate change is real - and ‎it can be seen from space! Canada's own, the amazing Commander Chris Hadfield explains. Watch, share, comment and enjoy! 🚀",Environmental,470,0.09734432234432236,en
