comment_id,status_id,parent_id,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,comment_message_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original,text_sentiment_original_scores,text_sentiment_original_scores_type
1070571143084449_1070587396416157,485734081568161_1070571143084449,,2017-12-29 12:27,1,1,0,0,0,0,0,0,"Personnellement j'aime mieux mettre le mm montant Ã  chaque semaine... alors dans cette situation faudrait que je mettre ,50$ par semaine..",[],[],Personnellement aime mieux mettre le mm montant chaque semaine alors dans cette situation faudrait que je mettre 50 par semaine,"['Personnellement', 'aime', 'mieux', 'mettre', 'le', 'mm', 'montant', 'chaque', 'semaine', 'alors', 'dans', 'cette', 'situation', 'faudrait', 'que', 'je', 'mettre', '50', 'par', 'semaine']","[u'personnel', u'aim', u'mieux', u'mettr', 'le', 'mm', u'montant', u'chaqu', u'semain', u'alor', u'dan', u'cett', u'situat', u'faudrait', u'que', 'je', u'mettr', '50', u'par', u'semain']","Personnellement j'aime mieux mettre le mm montant Ã  chaque semaine... alors dans cette situation faudrait que je mettre 26,50$ par semaine..",0.6,positive
1070571143084449_1070673219740908,485734081568161_1070571143084449,1070571143084449_1070587396416157,2017-12-29 16:07,2,2,0,0,0,0,0,0,% d'accord avec vous. L'autre faÃ§on proposÃ© est complÃ©tement ridicule.....dans les deux derniers mois on se retrouve Ã  mettre $ par mois.......si qqn peut se permettre celÃ ....il n'a pas besoin de faire tout Ã§a pendant un an.,[],[],accord avec vous autre est tement ridicule dans les deux derniers mois se retrouve mettre par mois si qqn peut se permettre il pas besoin de faire tout pendant un,"['accord', 'avec', 'vous', 'autre', 'est', 'tement', 'ridicule', 'dans', 'les', 'deux', 'derniers', 'mois', 'se', 'retrouve', 'mettre', 'par', 'mois', 'si', 'qqn', 'peut', 'se', 'permettre', 'il', 'pas', 'besoin', 'de', 'faire', 'tout', 'pendant', 'un']","[u'accord', u'avec', u'vous', u'autr', u'est', u'tement', u'ridicul', u'dan', u'les', u'deux', u'dernier', u'moi', 'se', u'retrouv', u'mettr', u'par', u'moi', 'si', u'qqn', u'peut', 'se', u'permettr', 'il', u'pas', u'besoin', 'de', u'fair', u'tout', u'pendant', 'un']",100% d'accord avec vous. L'autre faÃ§on proposÃ© est complÃ©tement ridicule.....dans les deux derniers mois on se retrouve Ã  mettre 200$ par mois.......si qqn peut se permettre celÃ ....il n'a pas besoin de faire tout Ã§a pendant un an.,-0.05666666666666668,negative
1070571143084449_1070683386406558,485734081568161_1070571143084449,1070571143084449_1070587396416157,2017-12-29 16:46,0,0,0,0,0,0,0,0,pourquoi pas juste mettre $ par semaine et avoir plus en bout de ligne,[],[],pourquoi juste mettre semaine avoir plus bout ligne,"['pourquoi', 'juste', 'mettre', 'semaine', 'avoir', 'plus', 'bout', 'ligne']","[u'pourquoi', u'just', u'mettr', u'semain', u'avoir', u'plus', u'bout', u'lign']",pourquoi pas juste mettre 52$ par semaine et avoir plus en bout de ligne,0.02,positive
1070571143084449_1070686163072947,485734081568161_1070571143084449,1070571143084449_1070587396416157,2017-12-29 16:54,0,0,0,0,0,0,0,0,Lewis Durivage si le budget le permet je trouve aussi que c une bonne idÃ©e... tout dÃ©pend des besoin... mon conjoint et moi avons des projets et on ce fait des tites case dans notre fichier Excel...,[],[],Lewis Durivage si le budget le permet je trouve aussi que une bonne tout pend des besoin mon conjoint et moi avons des projets et ce fait des tites case dans notre fichier Excel,"['Lewis', 'Durivage', 'si', 'le', 'budget', 'le', 'permet', 'je', 'trouve', 'aussi', 'que', 'une', 'bonne', 'tout', 'pend', 'des', 'besoin', 'mon', 'conjoint', 'et', 'moi', 'avons', 'des', 'projets', 'et', 'ce', 'fait', 'des', 'tites', 'case', 'dans', 'notre', 'fichier', 'Excel']","[u'lewi', u'durivag', 'si', 'le', u'budget', 'le', u'permet', 'je', u'trouv', u'aussi', u'que', u'une', u'bonn', u'tout', u'pend', u'des', u'besoin', u'mon', u'conjoint', 'et', u'moi', u'avon', u'des', u'projet', 'et', 'ce', u'fait', u'des', u'tite', u'case', u'dan', u'notr', u'fichier', u'excel']",Lewis Durivage si le budget le permet je trouve aussi que c une bonne idÃ©e... tout dÃ©pend des besoin... mon conjoint et moi avons des projets et on ce fait des tites case dans  notre fichier Excel...,0.34,positive
1070571143084449_1070590779749152,485734081568161_1070571143084449,,2017-12-29 12:35,0,0,0,0,0,0,0,0,Moi j'ai rÃ©ussie et oui pour je le ferai,[],[],Moi ai ussie et oui pour je le ferai,"['Moi', 'ai', 'ussie', 'et', 'oui', 'pour', 'je', 'le', 'ferai']","[u'moi', 'ai', u'ussi', 'et', u'oui', u'pour', 'je', 'le', u'ferai']",Moi j'ai rÃ©ussie et oui pour 2018 je le ferai ðŸ˜‰,0.01,positive
1070571143084449_1070981029710127,485734081568161_1070571143084449,,2017-12-30 8:41,0,0,0,0,0,0,0,0,Bonjour,[],[],Bonjour,['Bonjour'],[u'bonjour'],Bonjour,0.0,neutral
1070571143084449_1071623379645892,485734081568161_1070571143084449,,2017-12-31 11:41,0,0,0,0,0,0,0,0,ValÃ©rie Rouette pour toi Ã§a serait bien,[],[],rie Rouette pour toi serait bien,"['rie', 'Rouette', 'pour', 'toi', 'serait', 'bien']","[u'rie', u'rouett', u'pour', u'toi', u'serait', u'bien']",ValÃ©rie Rouette pour toi Ã§a serait bien,0.0,neutral
1070571143084449_1070753863066177,485734081568161_1070571143084449,,2017-12-29 20:48,1,0,0,1,0,0,0,0,Guillaume Joseph,[],[],Guillaume Joseph,"['Guillaume', 'Joseph']","[u'guillaum', u'joseph']",Guillaume Joseph,0.0,neutral
1070571143084449_1070604839747746,485734081568161_1070571143084449,,2017-12-29 13:02,0,0,0,0,0,0,0,0,Ely Rioux,[],[],Ely Rioux,"['Ely', 'Rioux']","[u'eli', u'rioux']",Ely Rioux,0.0,neutral
1070571143084449_1070572696417627,485734081568161_1070571143084449,,2017-12-29 11:49,1,1,0,0,0,0,0,0,BÃ©atrice Cennes Habitudes,[],[],atrice Cennes Habitudes,"['atrice', 'Cennes', 'Habitudes']","[u'atric', u'cenn', u'habitud']",BÃ©atrice Cennes Habitudes,0.0,neutral
1066485463493017_1066575930150637,485734081568161_1066485463493017,,2017-12-21 16:04,0,0,0,0,0,0,0,0,"on voit aucune diffÃ©rence sur notre facture ...... faites moi rire pour l,avoir testÃ© a plusieurs occasions",[],[],voit aucune rence sur notre facture faites moi rire pour avoir plusieurs occasions,"['voit', 'aucune', 'rence', 'sur', 'notre', 'facture', 'faites', 'moi', 'rire', 'pour', 'avoir', 'plusieurs', 'occasions']","[u'voit', u'aucun', u'renc', u'sur', u'notr', u'factur', u'fait', u'moi', u'rire', u'pour', u'avoir', u'plusieur', u'occas']","on voit aucune diffÃ©rence sur notre facture ...... faites moi rire pour l,avoir testÃ© a plusieurs occasions",0.5,positive
1066094556865441_1069660576508839,485734081568161_1066094556865441,,2017-12-27 17:59,0,0,0,0,0,0,0,0,es ce que trudeau fait des dons avec son argent personnel ou juste avec l'argent des canadiens et quebecois?,[],[],trudeau fait dons argent personnel juste argent canadiens quebecois,"['trudeau', 'fait', 'dons', 'argent', 'personnel', 'juste', 'argent', 'canadiens', 'quebecois']","[u'trudeau', u'fait', u'don', u'argent', u'personnel', u'just', u'argent', u'canadien', u'quebecoi']",es ce que trudeau fait des dons avec son argent personnel ou juste avec l'argent des canadiens et quebecois?,0.135,positive
