,id,date_published,link,caption_original,caption_cleaned,hashtags,num_comments,num_shares,num_likes,Reactions_SUM,category,matched_keywords,language,average_sentiment_score,sentiment,account_name
0,137563459593611_1257381627611783,2016-01-04 19:41:38,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1257381627611783/?type=3,"Happy New Year!!!
We are starting 2016 with great news: as a first step towards celebrating Canada's 150th Anniversary of Confederation at Parks Canada places, our 2016 Discovery Pass will be valid for 24 months!

The Discovery Pass gives you unlimited opportunities to enjoy nearly 200 National Parks, National Historic Sites and National Marine Conservation Areas across Canada. Find out more: http://ow.ly/WgNJc","Happy New Year!!! We are starting with great news: as a first step towards celebrating Canada's th Anniversary of Confederation at Parks Canada places, our Discovery Pass will be valid for months! The Discovery Pass gives you unlimited opportunities to enjoy nearly National Parks, National Historic Sites and National Marine Conservation Areas across Canada. Find out more: c",[],221.0,2140.0,4355,6718,Environmental,"['marine', 'conservation']",en,0.09056122448979592,positive,ParksCanada_facebook
1,137563459593611_1263349230348356,2016-01-15 09:15:01,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1263349230348356/?type=3,"Happy Friday Follower Photo!!!
This amazing photo of Banff National Park comes to us from Shelby (SMV Photography) who captioned it: “It feels good being lost in the right direction!”

NEW! Every Friday, we randomly pick a photo sent to us by a follower and feature it on our wall. What a great way to see our amazing national parks and historic sites through YOUR eyes!!!

If you would like to submit a photo for consideration, simply send us a message with your photo and caption.","Happy Friday Follower Photo!!! This amazing photo of Banff National Park comes to us from Shelby (SMV Photography) who captioned it: “It feels good being lost in the right direction!” NEW! Every Friday, we randomly pick a photo sent to us by a follower and feature it on our wall. What a great way to see our amazing national parks and historic sites through YOUR eyes!!! If you would like to submit a photo for consideration, simply send us a message with your photo and caption.",[],83.0,445.0,3503,4039,Social,"['photo', 'park', 'right', 'photo', 'park', 'photo', 'photo']",en,0.2585034013605442,positive,ParksCanada_facebook
2,137563459593611_1259767534039859,2016-01-08 15:59:13,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1259767534039859/?type=3,"Happy Friday Follower Photo!!!
This surreal aurora night shot at the Athabasca Glacier in Jasper National Park comes to us from Paul Zizka Photography.

NEW! Every Friday, we'll randomly pick a photo sent to us by a follower and feature it on our wall. 
What a great way to see our amazing national parks and historic sites through YOUR eyes!

If you would like to submit a photo for consideration, simply message us your photo with a short caption.","Happy Friday Follower Photo!!! This surreal aurora night shot at the Athabasca Glacier in Jasper National Park comes to us from Paul Zizka Photography. NEW! Every Friday, we'll randomly pick a photo sent to us by a follower and feature it on our wall. What a great way to see our amazing national parks and historic sites through YOUR eyes! If you would like to submit a photo for consideration, simply message us your photo with a short caption.",[],60.0,509.0,2505,3086,Social,"['park', 'photo', 'park', 'photo', 'photo']",en,0.2798273601398601,positive,ParksCanada_facebook
0,137563459593611_1282377541778858,2016-02-15 10:16:02,https://www.facebook.com/ParksCanada/photos/a.1282377168445562.1073741915.137563459593611/1282377541778858/?type=3,We are happy to share with you this photo album to commemorate National Flag Day. Our staff are proud to bear the #CanadianFlag!,We are happy to share with you this photo album to commemorate National Flag Day. Our staff are proud to bear the !,['#CanadianFlag'],85.0,1067.0,5341,6503,Social,['photo'],en,0.2980486379754997,positive,ParksCanada_facebook
1,431918433581020_771428256296701,2016-02-23 11:45:32,https://www.facebook.com/YourMoneyMattersCanada/photos/a.501487959957400.1073741828.431918433581020/771428256296701/?type=3,"SCAM ALERT: Beware of scammers impersonating the Canada Revenue Agency (CRA). 

These scammers “spoof” phone numbers to make it look like the call is from the CRA claiming that you owe the government back taxes. These scammers threaten arrest if you don't make an immediate payment through untraceable money transfers and prepaid credit cards.  

Always be vigilant when disclosing personal and financial information. Here are some ways to tell if it's really the CRA: http://ow.ly/YExnK",SCAM ALERT: Beware of scammers impersonating the Canada Revenue Agency (CRA). These scammers “spoof” phone numbers to make it look like the call is from the CRA claiming that you owe the government back taxes. These scammers threaten arrest if you don't make an immediate payment through untraceable money transfers and prepaid credit cards. Always be vigilant when disclosing personal and financial information. Here are some ways to tell if it's really the CRA:,[],89.0,3528.0,251,3878,Economical,"['government', 'government', 'tax', 'money']",en,0.0,neutral,YourMoneyMattersCanada_facebook
2,702550562156445697,2016-02-24 17:48:01,[],"RT @JustinTrudeau: On Pink Shirt Day, we stand up to bullying and vow to spread kindness. Please RT and tag a friend to #PinkItForward:
htt…",RT JustinTrudeau Pink Shirt Day stand bullying vow spread kindness Please RT tag friend PinkItForward,['#PinkItForward'],,3684.0,0,3684,Social,['friend'],en,-0.1,Neutral,DFO_Pacific_tweeter
0,137563459593611_1293284547354824,2016-03-04 11:15:00,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1293284547354824/?type=3,"Happy Friday Follower Photo!!!
This amazing shot comes to us from Randy K. who captioned it: ""A moose in Riding Mountain National Park, Manitoba. A wildlife photographer's dream place!""

Every Friday, we randomly pick a photo sent to us by a follower and feature it on our wall. If you would like to submit a photo for consideration, simply send us a message with your photo and caption.","Happy Friday Follower Photo!!! This amazing shot comes to us from Randy K. who captioned it: ""A moose in Riding Mountain National Park, Manitoba. A wildlife photographer's dream place!"" Every Friday, we randomly pick a photo sent to us by a follower and feature it on our wall. If you would like to submit a photo for consideration, simply send us a message with your photo and caption.",[],39.0,242.0,2368,2766,Social,"['mountain', 'park', 'wildlife', 'photo', 'photo', 'photo']",en,0.34488756613756616,positive,ParksCanada_facebook
1,137563459593611_1304044479612164,2016-03-21 10:35:01,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1304044479612164/?type=3,"Happy #InternationalDayOfForests! 

Enjoy the calm of the forest today! 

Photo taken in Pacific Rim National Park Reserve",Happy ! Enjoy the calm of the forest today! Photo taken in Pacific Rim National Park Reserve,['#InternationalDayOfForests'],34.0,298.0,2057,2490,Environmental,"['forest', 'photo', 'park']",en,0.30674427198817444,positive,ParksCanada_facebook
2,137563459593611_1291850320831580,2016-03-02 08:05:00,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1291850320831580/?type=3,"“Today is your day! Your mountain is waiting. So... get on your way!” #DrSeussDay

Photo taken in Kluane National Park. Parks Canada Yukon",“Today is your day! Your mountain is waiting. So... get on your way!” Photo taken in Kluane National Park. Parks Canada Yukon,['#DrSeussDay'],36.0,261.0,2041,2411,Social,"['mountain', 'photo', 'park', 'yukon']",id,0.2298888888888889,positive,ParksCanada_facebook
0,137563459593611_1339738726042739,2016-04-28 12:20:00,http://ow.ly/4ncR4t,"According to Thrillist, here's a list of Canada's most beautiful national parks! Have you been to one yet?","According to Thrillist, here's a list of Canada's most beautiful national parks! Have you been to one yet?",[],116.0,755.0,2961,4091,unknown,[],en,0.04966108452950558,positive,ParksCanada_facebook
1,137563459593611_1323283714354907,2016-04-05 14:04:11,https://www.facebook.com/ParksCanada/photos/a.1323283411021604.1073741916.137563459593611/1323283714354907/?type=3,"On Monday, 87 Plains Bison calves were moved from Elk Island National Park to the Blackfeet Nation Reservation in Montana, their ancestral homeland. Partnering with Iinnii Initiative has been a unique conservation initiative and an international success. 
Happy homecoming bison!
 Wildlife Conservation Society WCS Canada Oakland Zoo","On Monday, Plains Bison calves were moved from Elk Island National Park to the Blackfeet Nation Reservation in Montana, their ancestral homeland. Partnering with Iinnii Initiative has been a unique conservation initiative and an international success. Happy homecoming bison! Wildlife Conservation Society WCS Canada Oakland Zoo",[],44.0,359.0,1895,2379,Environmental,"['park', 'conservation', 'wildlife', 'conservation']",en,0.11969954937304075,positive,ParksCanada_facebook
2,137563459593611_1328540213829257,2016-04-18 07:45:00,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1328540213829257/?type=3,"Not sure where to go camping this summer? No worries! 
The Huffington Post Canada made a list of the 30 best places to camp in Canada and guess what? Ten of our national parks made the cut! 
See which ones here: http://ow.ly/10xLtv 

Photo taken in Waterton Lakes National Park (#5 on the list!)",Not sure where to go camping this summer? No worries! The Huffington Post Canada made a list of the best places to camp in Canada and guess what? Ten of our national parks made the cut! See which ones here: Photo taken in Waterton Lakes National Park ( on the list!),['#5'],55.0,332.0,1740,2214,Social,"['camping', 'summer', 'summer', 'camp', 'park', 'photo', 'park']",en,0.2557377708536983,positive,ParksCanada_facebook
0,137563459593611_1344712718878673,2016-05-08 06:55:00,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1344712718878673/?type=3,Happy Mother's Day to all the momma bears out there! #TimeToConnect,Happy Mother's Day to all the momma bears out there!,['#TimeToConnect'],115.0,1964.0,8635,11478,unknown,[],en,0.11529611170977012,positive,ParksCanada_facebook
1,137563459593611_1354186437931301,2016-05-20 08:15:00,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1354186437931301/?type=3,"Happy Friday Follower Photo!!!
This mesmerizing shot of Waterfowl Lake in Banff National Park comes to us from Harry R. who captioned it: ""A time for reflection.""

Every Friday, we randomly pick a photo sent to us by a follower and feature it on our wall. If you would like to submit a photo for consideration, simply send us a message with your photo and caption.","Happy Friday Follower Photo!!! This mesmerizing shot of Waterfowl Lake in Banff National Park comes to us from Harry R. who captioned it: ""A time for reflection."" Every Friday, we randomly pick a photo sent to us by a follower and feature it on our wall. If you would like to submit a photo for consideration, simply send us a message with your photo and caption.",[],185.0,1089.0,7092,9031,Social,"['lake', 'park', 'photo', 'photo', 'photo']",en,0.05849056603773585,positive,ParksCanada_facebook
2,137563459593611_1340579375958674,2016-05-01 09:00:00,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1340579375958674/?type=3,Elk Island National Park may be the only place in Canada where you can get stuck in a bison traffic jam!,Elk Island National Park may be the only place in Canada where you can get stuck in a bison traffic jam!,[],162.0,841.0,5325,6678,Environmental,['park'],en,0.04035563973063973,positive,ParksCanada_facebook
0,318424514044_10154848488474045,2016-06-13 09:24:37,https://www.facebook.com/EnvironmentandNaturalResourcesinCanada/photos/a.10150107070389045.321637.318424514044/10153978724119045/?type=3,,,[],49.0,353.0,3005,3481,unknown,[],tl,0.3748281611799054,positive,EnvironmentandNaturalResourcesinCanada_facebook
1,137563459593611_1383609778322300,2016-06-29 08:05:00,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1383609778322300/?type=3,"The Amazing Race Canada kicked off with a bang last night at spectacular Jasper National Park! Thanks for visiting, racers! Were you watching? CTV","The Amazing Race Canada kicked off with a bang last night at spectacular Jasper National Park! Thanks for visiting, racers! Were you watching? CTV",[],69.0,237.0,2939,3435,Social,['race'],en,0.13426724137931034,positive,ParksCanada_facebook
2,137563459593611_1360259033990708,2016-06-08 09:55:00,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1360259033990708/?type=3,"It's World Oceans Day! Did you know that Canada has the longest coastline (243,000 km total!) in the world? Here's a look at Canada's national marine conservation areas: http://ow.ly/MoaTV 

Photo taken in Gwaii Haanas - Islands of Beauty.","It's World Oceans Day! Did you know that Canada has the longest coastline (243,000 km total!) in the world? Here's a look at Canada's national marine conservation areas: Photo taken in Gwaii Haanas - Islands of Beauty.",[],21.0,324.0,2096,2573,Environmental,"['marine', 'conservation', 'photo']",en,0.36061507936507936,positive,ParksCanada_facebook
0,137563459593611_1389636671052944,2016-07-08 08:15:00,https://www.facebook.com/ParksCanada/photos/a.179253688757921.51944.137563459593611/1389636671052944/?type=3,"Happy Friday Follower Photo!!!
This amazing shot of Banff National Park comes to us from Glenn T. Did you know that Banff is Canada's first official national park?

Every Friday, we randomly pick a photo sent to us by a follower and feature it on our wall. If you would like to submit a photo for consideration, simply send us a message with your photo and caption.","Happy Friday Follower Photo!!! This amazing shot of Banff National Park comes to us from Glenn T. Did you know that Banff is Canada's first official national park? Every Friday, we randomly pick a photo sent to us by a follower and feature it on our wall. If you would like to submit a photo for consideration, simply send us a message with your photo and caption.",[],70.0,321.0,2687,3323,Social,"['park', 'park', 'photo', 'photo', 'photo']",en,0.17684426229508196,positive,ParksCanada_facebook
