Unnamed: 0,Unnamed: 0.1,likes,mediaid,caption,url,caption_mentions,comments,id,typename,owner_username,tagged_users,date,shortcode,is_video,caption_hashtags,owner_id,video_url,text_filtered,text_tokenized,text_stemmed,text_original
0,0,532,1.3958e+18,"As Canada's gift to you, the will provide free admission to places! BONUS: Order your pass online and get entered in our for a chance to win an unforgettable trip to beautiful National Park. Click on the link in our bio for more info!",https://instagram.fyvr3-1.fna.fbcdn.net/vp/0aa1c801738fc03a27bbefbdca23fd1c/5AFADCCB/t51.2885-15/e35/15538309_385144795171190_5553376139449204736_n.jpg,[],62,2016-12-01_09-09-46,GraphImage,parks.canada,[],2016-12-01T09:09:46,BNe33g9AI7P,False,"[""discoverypass"",""parkscanada"",""free"",""contest"",""grosmorne"",""canada150"",""tripofalifetime"",""explorecanada"",""newfoundland"",""freeentryin2017""]",4143631778,,Canada gift 2017 DiscoveryPass provide free admission ParksCanada places BONUS Order FREE pass online get entered CONTEST chance win unforgettable trip beautiful GrosMorne National Park nClick link bio info Canada150 TripOfALifetime ExploreCanada Newfoundland FreeEntryIn2017,"['Canada', 'gift', '2017', 'DiscoveryPass', 'provide', 'free', 'admission', 'ParksCanada', 'places', 'BONUS', 'Order', 'FREE', 'pass', 'online', 'get', 'entered', 'CONTEST', 'chance', 'win', 'unforgettable', 'trip', 'beautiful', 'GrosMorne', 'National', 'Park', 'nClick', 'link', 'bio', 'info', 'Canada150', 'TripOfALifetime', 'ExploreCanada', 'Newfoundland', 'FreeEntryIn2017']","[u'canada', u'gift', u'2017', u'discoverypass', u'provid', u'free', u'admiss', u'parkscanada', u'place', u'bonus', u'order', u'free', u'pass', u'onlin', u'get', u'enter', u'contest', u'chanc', u'win', u'unforgett', u'trip', u'beauti', u'grosmorn', u'nation', u'park', u'nclick', u'link', u'bio', u'info', u'canada150', u'tripofalifetim', u'explorecanada', u'newfoundland', u'freeentryin2017']","As Canada's gift to you, the 2017 #DiscoveryPass will provide free admission to #ParksCanada places! BONUS: Order your #FREE pass online and get entered in our #CONTEST for a chance to win an unforgettable trip to beautiful #GrosMorne National Park. \nClick on the link in our bio for more info!\n\n#Canada150 #TripOfALifetime #ExploreCanada #Newfoundland #FreeEntryIn2017"
1,1,810,1.39668e+18,"Yeah it's the weekend! We just LOVE seeing all your photos, like this one from in , where the mountains meet the prairies.We're also thrilled that so many of you are excited for and the free . We appreciate your patience during this high volume of online orders!",https://instagram.fyvr3-1.fna.fbcdn.net/vp/f47db4f2363063cd885b5730eb778d83/5AFDFB62/t51.2885-15/e35/15535228_197673080695452_4385382958945533952_n.jpg,"[""kassdaze""]",13,2016-12-02_14-18-59,GraphImage,parks.canada,"[""kassandraa.d""]",2016-12-02T14:18:59,BNiADJug066,False,"[""wateronlakesnp"",""canada150"",""discoverypass"",""fridayfollowerphoto"",""parkscanada""]",4143631778,,Yeah weekend LOVE seeing photos like one kassdaze WateronLakesNP mountains meet prairies nWe also thrilled many excited Canada150 free DiscoveryPass appreciate patience high volume online orders FridayFollowerPhoto ParksCanada,"['Yeah', 'weekend', 'LOVE', 'seeing', 'photos', 'like', 'one', 'kassdaze', 'WateronLakesNP', 'mountains', 'meet', 'prairies', 'nWe', 'also', 'thrilled', 'many', 'excited', 'Canada150', 'free', 'DiscoveryPass', 'appreciate', 'patience', 'high', 'volume', 'online', 'orders', 'FridayFollowerPhoto', 'ParksCanada']","[u'yeah', u'weekend', u'love', u'see', u'photo', u'like', u'one', u'kassdaz', u'wateronlakesnp', u'mountain', u'meet', u'prairi', u'nwe', u'also', u'thrill', u'mani', u'excit', u'canada150', u'free', u'discoverypass', u'appreci', u'patienc', u'high', u'volum', u'onlin', u'order', u'fridayfollowerphoto', u'parkscanada']","Yeah it's the weekend! We just LOVE seeing all your photos, like this one from @kassdaze in #WateronLakesNP, where the mountains meet the prairies.\n\nWe're also thrilled that so many of you are excited for #Canada150 and the free #DiscoveryPass. We appreciate your patience during this high volume of online orders!\n#FridayFollowerPhoto #ParksCanada"
2,2,924,1.39726e+18,"A big THANK YOU to all our new followers!!!.. like who shared with us this amazing photo of , that lies on the western slopes of the .",https://instagram.fyvr3-1.fna.fbcdn.net/vp/df38caf55d05200793bf347191913168/5AE99522/t51.2885-15/e35/15538924_389389404732954_366035512605016064_n.jpg,"[""kevinandmelani""]",5,2016-12-03_09-38-32,GraphImage,parks.canada,"[""kevinandmelani""]",2016-12-03T09:38:32,BNkEwB-gEnO,False,"[""yohonationalpark"",""canadianrockymountains"",""serene"",""winterwonderland"",""breathtaking""]",4143631778,,big THANK new followers like kevinandmelani shared us amazing photo YohonationalPark lies western slopes CanadianRockyMountains serene winterwonderland breathtaking,"['big', 'THANK', 'new', 'followers', 'like', 'kevinandmelani', 'shared', 'us', 'amazing', 'photo', 'YohonationalPark', 'lies', 'western', 'slopes', 'CanadianRockyMountains', 'serene', 'winterwonderland', 'breathtaking']","[u'big', u'thank', u'new', u'follow', u'like', u'kevinandmelani', u'share', 'us', u'amaz', u'photo', u'yohonationalpark', u'lie', u'western', u'slope', u'canadianrockymountain', u'seren', u'winterwonderland', u'breathtak']","A big THANK YOU to all our new followers!!!.. like @kevinandmelani who shared with us this amazing photo of #YohonationalPark, that lies on the western slopes of the #CanadianRockyMountains. #serene #winterwonderland #breathtaking"
3,3,559,1.39798e+18,"Who is missing summer already? Raise your hand! Looking at this awe-inspiring photo of Pacific Rim National Park Reserve, you can almost feel the sand between your toes!",https://instagram.fyvr3-1.fna.fbcdn.net/vp/197c0bbd76cda301de1d639a381a61b3/5AFDB371/t51.2885-15/e35/15538777_1895589980673811_802730615983046656_n.jpg,[],13,2016-12-04_09-25-20,GraphImage,parks.canada,[],2016-12-04T09:25:20,BNmoCIXA2E_,False,"[""daydreaming"",""pacificrimnpr"",""pacificrim"",""parkscanada""]",4143631778,,missing summer already Raise hand nLooking awe inspiring photo Pacific Rim National Park Reserve almost feel sand toes DayDreaming PacificRimNPR PacificRim ParksCanada,"['missing', 'summer', 'already', 'Raise', 'hand', 'nLooking', 'awe', 'inspiring', 'photo', 'Pacific', 'Rim', 'National', 'Park', 'Reserve', 'almost', 'feel', 'sand', 'toes', 'DayDreaming', 'PacificRimNPR', 'PacificRim', 'ParksCanada']","[u'miss', u'summer', u'alreadi', u'rais', u'hand', u'nlook', u'awe', u'inspir', u'photo', u'pacif', u'rim', u'nation', u'park', u'reserv', u'almost', u'feel', u'sand', u'toe', u'daydream', u'pacificrimnpr', u'pacificrim', u'parkscanada']","Who is missing summer already? Raise your hand! 🖐\nLooking at this awe-inspiring photo of Pacific Rim National Park Reserve, you can almost feel the sand between your toes! #DayDreaming #PacificRimNPR #PacificRim #ParksCanada"
4,4,850,1.39867e+18,"Beautiful Grasslands National Park, one of our hidden gems! Discover some of Canada’s rarest wildlife, darkest skies, astonishing dinosaur fossils, over ,000 teepee rings, and varied landscapes, from buttes and valleys to breathtaking badlands. You can sleep in an oTENTik, teepee, or campsite. Your surprise awaits! Click the link in our bio to discover other ! Thank you for this amazing photo!",https://instagram.fyvr3-1.fna.fbcdn.net/vp/a33521c01ebc8923c57cca3ead8b7a92/5AF80E07/t51.2885-15/e35/15338571_375818149419311_1664490227395198976_n.jpg,"[""tourismsask"",""brendanvanson"",""photojbartlett""]",12,2016-12-05_08-05-39,GraphImage,parks.canada,"[""photojbartlett"",""brendanvanson"",""tourismsask""]",2016-12-05T08:05:39,BNpDtcpAKLM,False,"[""hiddengems"",""exploresask"",""grasslandsnationalpark"",""grasslandsnp"",""sharethechair""]",4143631778,,Beautiful Grasslands National Park one hidden gems Discover rarest wildlife darkest skies astonishing dinosaur fossils 12 000 teepee rings varied landscapes buttes valleys breathtaking badlands sleep oTENTik teepee campsite surprise awaits nClick link bio discover hiddengems nThank tourismsask brendanvanson photojbartlett amazing photo ExploreSask GrasslandsNationalPark GrasslandsNP ShareTheChair,"['Beautiful', 'Grasslands', 'National', 'Park', 'one', 'hidden', 'gems', 'Discover', 'rarest', 'wildlife', 'darkest', 'skies', 'astonishing', 'dinosaur', 'fossils', '12', '000', 'teepee', 'rings', 'varied', 'landscapes', 'buttes', 'valleys', 'breathtaking', 'badlands', 'sleep', 'oTENTik', 'teepee', 'campsite', 'surprise', 'awaits', 'nClick', 'link', 'bio', 'discover', 'hiddengems', 'nThank', 'tourismsask', 'brendanvanson', 'photojbartlett', 'amazing', 'photo', 'ExploreSask', 'GrasslandsNationalPark', 'GrasslandsNP', 'ShareTheChair']","[u'beauti', u'grassland', u'nation', u'park', u'one', u'hidden', u'gem', u'discov', u'rarest', u'wildlif', u'darkest', u'sky', u'astonish', u'dinosaur', u'fossil', '12', u'000', u'teepe', u'ring', u'vari', u'landscap', u'butt', u'valley', u'breathtak', u'badland', u'sleep', u'otentik', u'teepe', u'campsit', u'surpris', u'await', u'nclick', u'link', u'bio', u'discov', u'hiddengem', u'nthank', u'tourismsask', u'brendanvanson', u'photojbartlett', u'amaz', u'photo', u'exploresask', u'grasslandsnationalpark', u'grasslandsnp', u'sharethechair']","Beautiful Grasslands National Park, one of our hidden gems! Discover some of Canada’s rarest wildlife, darkest skies, astonishing dinosaur fossils, over 12,000 teepee rings, and varied landscapes, from buttes and valleys to breathtaking badlands. You can sleep in an oTENTik, teepee, or campsite. Your surprise awaits! \nClick the link in our bio to discover other #hiddengems! \nThank you @tourismsask @brendanvanson @photojbartlett for this amazing photo! #ExploreSask #GrasslandsNationalPark #GrasslandsNP #ShareTheChair"
5,5,730,1.39957e+18,"Here's another hidden gem you should discover in : Thousand Islands National Park! Eerience the magic of this captivating and historic wilderness, just a few hours from or . Click our bio link for more info and more hidden gems worth eloring!",https://instagram.fyvr3-1.fna.fbcdn.net/vp/1dbb5a2da8256e280e66570e3e741213/5AFD3723/t51.2885-15/e35/15538221_1310476622358151_8137478934330605568_n.jpg,[],13,2016-12-06_14-11-33,GraphImage,parks.canada,[],2016-12-06T14:11:33,BNsSYOAA0Vd,False,"[""toronto"",""montreal"",""canada150"",""tinationalpark"",""1000islands"",""parkscanada""]",4143631778,,another hidden gem discover 2017 Thousand Islands National Park Experience magic captivating historic wilderness hours Toronto Montreal Click bio link info hidden gems worth exploring Canada150 TINationalPark 1000Islands ParksCanada,"['another', 'hidden', 'gem', 'discover', '2017', 'Thousand', 'Islands', 'National', 'Park', 'Experience', 'magic', 'captivating', 'historic', 'wilderness', 'hours', 'Toronto', 'Montreal', 'Click', 'bio', 'link', 'info', 'hidden', 'gems', 'worth', 'exploring', 'Canada150', 'TINationalPark', '1000Islands', 'ParksCanada']","[u'anoth', u'hidden', u'gem', u'discov', u'2017', u'thousand', u'island', u'nation', u'park', u'experi', u'magic', u'captiv', u'histor', u'wilder', u'hour', u'toronto', u'montreal', u'click', u'bio', u'link', u'info', u'hidden', u'gem', u'worth', u'explor', u'canada150', u'tinationalpark', u'1000island', u'parkscanada']","Here's another hidden gem you should discover in 2017: Thousand Islands National Park! Experience the magic of this captivating and historic wilderness, just a few hours from #Toronto or #Montreal. Click our bio link for more info and more hidden gems worth exploring! #Canada150 #TINationalPark #1000Islands #ParksCanada"
6,6,574,1.40027e+18,We're all about this week! Let yourself be enchanted by the beautiful scenery and unusual rock formations at Archipelago National Park Reserve! Click the link in our bio for more info and to see other inspiring destinations.,https://instagram.fyvr3-1.fna.fbcdn.net/vp/e613d8b91bc87c4674ead7c4612bb3b7/5AF0F055/t51.2885-15/e35/15538213_893161790820059_5812319249573609472_n.jpg,[],2,2016-12-07_13-06-57,GraphImage,parks.canada,[],2016-12-07T13:06:57,BNuvx7wg8D8,False,"[""hiddengems"",""mingan"",""minganarchipelago"",""parkscanada"",""canada150""]",4143631778,,HiddenGems week nLet enchanted beautiful scenery unusual rock formations Mingan Archipelago National Park Reserve nClick link bio info see inspiring destinations MinganArchipelago ParksCanada Canada150,"['HiddenGems', 'week', 'nLet', 'enchanted', 'beautiful', 'scenery', 'unusual', 'rock', 'formations', 'Mingan', 'Archipelago', 'National', 'Park', 'Reserve', 'nClick', 'link', 'bio', 'info', 'see', 'inspiring', 'destinations', 'MinganArchipelago', 'ParksCanada', 'Canada150']","[u'hiddengem', u'week', u'nlet', u'enchant', u'beauti', u'sceneri', u'unusu', u'rock', u'format', u'mingan', u'archipelago', u'nation', u'park', u'reserv', u'nclick', u'link', u'bio', u'info', u'see', u'inspir', u'destin', u'minganarchipelago', u'parkscanada', u'canada150']",We're all about #HiddenGems this week! \nLet yourself be enchanted by the beautiful scenery and unusual rock formations at #Mingan Archipelago National Park Reserve! \nClick the link in our bio for more info and to see other inspiring destinations.\n#MinganArchipelago #ParksCanada #Canada150
7,7,508,1.40099e+18,"Let your inner Viking shine at L'Anse aux Meadows National Historic Site! It is the ONLY authenticated site in North America which makes it a world heritage treasure!For more information and , click the link in our bio! ",https://instagram.fyvr3-1.fna.fbcdn.net/vp/3adfd8605d0ea48bdd82b7775b75df24/5AF07426/t51.2885-15/e35/14624664_1139623426151724_4152915539062161408_n.jpg,[],8,2016-12-08_13-10-39,GraphImage,parks.canada,[],2016-12-08T13:10:39,BNxU_7agL_q,False,"[""norse"",""hiddengems"",""lanseauxmeadows"",""viking"",""heritage"",""treasure"",""parkscanada"",""canada150""]",4143631778,,Let inner Viking shine Anse aux Meadows National Historic Site authenticated Norse site North America makes world heritage treasure nFor information hiddengems click link bio LAnseAuxMeadows viking heritage treasure ParksCanada Canada150,"['Let', 'inner', 'Viking', 'shine', 'Anse', 'aux', 'Meadows', 'National', 'Historic', 'Site', 'authenticated', 'Norse', 'site', 'North', 'America', 'makes', 'world', 'heritage', 'treasure', 'nFor', 'information', 'hiddengems', 'click', 'link', 'bio', 'LAnseAuxMeadows', 'viking', 'heritage', 'treasure', 'ParksCanada', 'Canada150']","[u'let', u'inner', u'vike', u'shine', u'ans', u'aux', u'meadow', u'nation', u'histor', u'site', u'authent', u'nors', u'site', u'north', u'america', u'make', u'world', u'heritag', u'treasur', u'nfor', u'inform', u'hiddengem', u'click', u'link', u'bio', u'lanseauxmeadow', u'vike', u'heritag', u'treasur', u'parkscanada', u'canada150']","Let your inner Viking shine at L'Anse aux Meadows National Historic Site! It is the ONLY authenticated #Norse site in North America which makes it a world heritage treasure!\nFor more information and #hiddengems, click the link in our bio! \n#LAnseAuxMeadows #viking #heritage #treasure #ParksCanada #Canada150"
8,8,437,1.4017e+18,"Eerience the early fur-trading days of the mid-1800s at Lower Fort Garry National Historic Site! It's one of our that could be yours to discover next year! For more information, click the link in our bio! ",https://instagram.fyvr3-1.fna.fbcdn.net/vp/ba647fd7ae8bd1e953130975ecf1b999/5AEA3913/t51.2885-15/e35/15623727_244299992657551_1248673226330996736_n.jpg,[],0,2016-12-09_12-34-22,GraphImage,parks.canada,[],2016-12-09T12:34:22,BNz1pHIA2KF,False,"[""hiddengems"",""lowerfortgarry"",""furtrading"",""parkscanada"",""canada150"",""manitoba"",""exploremb""]",4143631778,,Experience early fur trading days mid 1800s Lower Fort Garry National Historic Site one hiddengems could discover next year nFor information click link bio LowerFortGarry furtrading ParksCanada Canada150 Manitoba ExploreMB,"['Experience', 'early', 'fur', 'trading', 'days', 'mid', '1800s', 'Lower', 'Fort', 'Garry', 'National', 'Historic', 'Site', 'one', 'hiddengems', 'could', 'discover', 'next', 'year', 'nFor', 'information', 'click', 'link', 'bio', 'LowerFortGarry', 'furtrading', 'ParksCanada', 'Canada150', 'Manitoba', 'ExploreMB']","[u'experi', u'earli', u'fur', u'trade', u'day', u'mid', u'1800s', u'lower', u'fort', u'garri', u'nation', u'histor', u'site', u'one', u'hiddengem', u'could', u'discov', u'next', u'year', u'nfor', u'inform', u'click', u'link', u'bio', u'lowerfortgarri', u'furtrad', u'parkscanada', u'canada150', u'manitoba', u'exploremb']","Experience the early fur-trading days of the mid-1800s at Lower Fort Garry National Historic Site! It's one of our #hiddengems that could be yours to discover next year! \nFor more information, click the link in our bio! \n#LowerFortGarry #furtrading #ParksCanada #Canada150 #Manitoba #ExploreMB"
9,9,921,1.40321e+18,"Have you ever seen a ? You might spot one of these big, powerful creatures if you head west from to Riding Mountain National Park’s aspen parkland; one of the best wildlife-viewing destinations in Canada! For more information and other , click the link in our bio! ",https://instagram.fyvr3-1.fna.fbcdn.net/vp/f97074734312b2131783ec81ca643a3c/5AE7595F/t51.2885-15/e35/15276640_708139796027255_6947249973696135168_n.jpg,[],12,2016-12-11_14-40-48,GraphImage,parks.canada,[],2016-12-11T14:40:48,BN5Ns3rABCe,False,"[""bison"",""winnipeg"",""hiddengems"",""ridingnp"",""parkscanada"",""canada150"",""manitoba"",""exploremb""]",4143631778,,ever seen bison might spot one big powerful creatures head west Winnipeg Riding Mountain National aspen parkland one best wildlife viewing destinations Canada nFor information hiddengems click link bio RidingNP ParksCanada Canada150 Manitoba ExploreMB,"['ever', 'seen', 'bison', 'might', 'spot', 'one', 'big', 'powerful', 'creatures', 'head', 'west', 'Winnipeg', 'Riding', 'Mountain', 'National', 'aspen', 'parkland', 'one', 'best', 'wildlife', 'viewing', 'destinations', 'Canada', 'nFor', 'information', 'hiddengems', 'click', 'link', 'bio', 'RidingNP', 'ParksCanada', 'Canada150', 'Manitoba', 'ExploreMB']","[u'ever', u'seen', u'bison', u'might', u'spot', u'one', u'big', u'power', u'creatur', u'head', u'west', u'winnipeg', u'ride', u'mountain', u'nation', u'aspen', u'parkland', u'one', u'best', u'wildlif', u'view', u'destin', u'canada', u'nfor', u'inform', u'hiddengem', u'click', u'link', u'bio', u'ridingnp', u'parkscanada', u'canada150', u'manitoba', u'exploremb']","Have you ever seen a #bison? You might spot one of these big, powerful creatures if you head west from #Winnipeg to Riding Mountain National Park’s aspen parkland; one of the best wildlife-viewing destinations in Canada! \nFor more information and other #hiddengems, click the link in our bio! \n#RidingNP #ParksCanada #Canada150 #Manitoba #ExploreMB"
