,Unnamed: 0,Unnamed: 0.1,comment_id,status_id,parent_id,comment_published,num_reactions,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,num_special,comment_message_cleaned,hashtags,urls,text_filtered,text_tokenized,text_stemmed,text_original,text_sentiment_original_scores,text_sentiment_original_scores_type
0,0,0,401065763648796_403772610044778,315919208830119_401065763648796,,2017-12-29 22:39:12,0,0,0,0,0,0,0,0,Brian Bezaire Matt Rozak,[],[],Brian Bezaire Matt Rozak,"['Brian', 'Bezaire', 'Matt', 'Rozak']","[u'brian', u'bezair', u'matt', u'rozak']",Brian Bezaire Matt Rozak 🙂,0.0,Neutral
1,1,1,400739440348095_402875520134487,315919208830119_400739440348095,,2017-12-27 14:10:56,1,1,0,0,0,0,0,0,Love these fish,[],[],Love fish,"['Love', 'fish']","[u'love', u'fish']",Love these fish,0.5,Positive
2,2,2,400739440348095_402883340133705,315919208830119_400739440348095,,2017-12-27 14:48:27,0,0,0,0,0,0,0,0,Michael Brewster,[],[],Michael Brewster,"['Michael', 'Brewster']","[u'michael', u'brewster']",Michael Brewster,0.0,Neutral
3,3,3,400739440348095_403185566770149,315919208830119_400739440348095,,2017-12-28 10:45:07,2,2,0,0,0,0,0,0,Sarah MacDonald This fish almost reminds me of a person,[],[],Sarah MacDonald fish almost reminds person,"['Sarah', 'MacDonald', 'fish', 'almost', 'reminds', 'person']","[u'sarah', u'macdonald', u'fish', u'almost', u'remind', u'person']",Sarah MacDonald This fish almost reminds me of a person,0.0,Neutral
4,4,4,400739440348095_403190410102998,315919208830119_400739440348095,400739440348095_403185566770149,2017-12-28 11:06:13,0,0,0,0,0,0,0,0,"If it ate rats instead, it would be a dead ringer for Bettle",[],[],ate rats instead would dead ringer Bettle,"['ate', 'rats', 'instead', 'would', 'dead', 'ringer', 'Bettle']","[u'ate', u'rat', u'instead', u'would', u'dead', u'ringer', u'bettl']","If it ate rats instead, it would be a dead ringer for Bettle",-0.2,Neutral
5,5,5,400738253681547_402561626832543,315919208830119_400738253681547,,2017-12-26 18:48:56,0,0,0,0,0,0,0,0,How about any gills,[],[],gills,['gills'],[u'gill'],How about any 6 gills,0.0,Neutral
6,6,6,400737733681599_402470386841667,315919208830119_400737733681599,,2017-12-26 11:34:42,1,1,0,0,0,0,0,0,of the great Team work.,"['#CCGProud', '#DFO_CCG']",[],great Team work,"['great', 'Team', 'work']","[u'great', u'team', u'work']",#CCGProud of the great #DFO_CCG Team work.,0.8,Positive
7,7,7,400737733681599_402470433508329,315919208830119_400737733681599,,2017-12-26 11:34:59,2,2,0,0,0,0,0,0,of the great Team work.,"['#CCGProud', '#DFO_CCG']",[],great Team work,"['great', 'Team', 'work']","[u'great', u'team', u'work']",#CCGProud of the great #DFO_CCG Team work.,0.8,Positive
8,8,8,400737733681599_402472196841486,315919208830119_400737733681599,,2017-12-26 11:43:02,1,1,0,0,0,0,0,0,Doug McKenna,[],[],Doug McKenna,"['Doug', 'McKenna']","[u'doug', u'mckenna']",Doug McKenna,0.0,Neutral
9,9,9,400737733681599_408999872855385,315919208830119_400737733681599,,2018-01-12 10:51:15,2,2,0,0,0,0,0,0,Tagging Jay Barthelotte and Shannon Thudds who are both featured in this high speed view of science in the Arctic. I think the total time that this video covers was about hours (I was watching nervously from the bridge of the CCGS Henry Larsen).,[],[],Tagging Jay Barthelotte Shannon Thudds featured high speed view science Arctic think total time video covers hours watching nervously bridge CCGS Henry Larsen,"['Tagging', 'Jay', 'Barthelotte', 'Shannon', 'Thudds', 'featured', 'high', 'speed', 'view', 'science', 'Arctic', 'think', 'total', 'time', 'video', 'covers', 'hours', 'watching', 'nervously', 'bridge', 'CCGS', 'Henry', 'Larsen']","[u'tag', u'jay', u'barthelott', u'shannon', u'thudd', u'featur', u'high', u'speed', u'view', u'scienc', u'arctic', u'think', u'total', u'time', u'video', u'cover', u'hour', u'watch', u'nervous', u'bridg', u'ccgs', u'henri', u'larsen']",Tagging Jay Barthelotte and Shannon Thudds who are both featured in this high speed view of science in the Arctic. I think the total time that this video covers was about 3 hours (I was watching nervously from the bridge of the CCGS Henry Larsen).,0.08,Neutral
